,feature_id,feature_name
0,ENSMUSG00000051951,Xkr4
1,ENSMUSG00000089699,Gm1992
2,ENSMUSG00000102343,Gm37381
3,ENSMUSG00000025900,Rp1
4,ENSMUSG00000025902,Sox17
5,ENSMUSG00000104328,Gm37323
6,ENSMUSG00000033845,Mrpl15
7,ENSMUSG00000025903,Lypla1
8,ENSMUSG00000104217,Gm37988
9,ENSMUSG00000033813,Tcea1
10,ENSMUSG00000002459,Rgs20
11,ENSMUSG00000085623,Gm16041
12,ENSMUSG00000033793,Atp6v1h
13,ENSMUSG00000025905,Oprk1
14,ENSMUSG00000033774,Npbwr1
15,ENSMUSG00000025907,Rb1cc1
16,ENSMUSG00000090031,4732440D04Rik
17,ENSMUSG00000087247,Alkal1
18,ENSMUSG00000033740,St18
19,ENSMUSG00000051285,Pcmtd1
20,ENSMUSG00000097797,Gm26901
21,ENSMUSG00000103067,Gm30414
22,ENSMUSG00000025909,Sntg1
23,ENSMUSG00000061024,Rrs1
24,ENSMUSG00000025911,Adhfe1
25,ENSMUSG00000067879,Vxn
26,ENSMUSG00000099827,Gm29520
27,ENSMUSG00000025912,Mybl1
28,ENSMUSG00000045210,Vcpip1
29,ENSMUSG00000097893,1700034P13Rik
30,ENSMUSG00000025915,Sgk3
31,ENSMUSG00000046101,Mcmdc2
32,ENSMUSG00000098234,Snhg6
33,ENSMUSG00000099032,Tcf24
34,ENSMUSG00000025916,Ppp1r42
35,ENSMUSG00000087199,Gm15818
36,ENSMUSG00000025917,Cops5
37,ENSMUSG00000056763,Cspp1
38,ENSMUSG00000067851,Arfgef1
39,ENSMUSG00000042501,Cpa6
40,ENSMUSG00000048960,Prex2
41,ENSMUSG00000057715,A830018L16Rik
42,ENSMUSG00000097171,Gm17644
43,ENSMUSG00000101314,Gm29663
44,ENSMUSG00000016918,Sulf1
45,ENSMUSG00000025938,Slco5a1
46,ENSMUSG00000099498,Gm29283
47,ENSMUSG00000042414,Prdm14
48,ENSMUSG00000005886,Ncoa2
49,ENSMUSG00000101476,Gm29570
50,ENSMUSG00000025935,Tram1
51,ENSMUSG00000025937,Lactb2
52,ENSMUSG00000067813,Xkr9
53,ENSMUSG00000025932,Eya1
54,ENSMUSG00000054493,Gm9947
55,ENSMUSG00000025930,Msc
56,ENSMUSG00000032769,Trpa1
57,ENSMUSG00000092083,Kcnb2
58,ENSMUSG00000025925,Terf1
59,ENSMUSG00000032719,Sbspon
60,ENSMUSG00000067795,4930444P10Rik
61,ENSMUSG00000043716,Rpl7
62,ENSMUSG00000025921,Rdh10
63,ENSMUSG00000100868,Gm28095
64,ENSMUSG00000025920,Stau2
65,ENSMUSG00000089982,Gm7568
66,ENSMUSG00000025939,Ube2w
67,ENSMUSG00000079658,Eloc
68,ENSMUSG00000097744,D030040B21Rik
69,ENSMUSG00000025940,Tmem70
70,ENSMUSG00000025779,Ly96
71,ENSMUSG00000101640,Gm28376
72,ENSMUSG00000042686,Jph1
73,ENSMUSG00000100110,Gm28783
74,ENSMUSG00000025777,Gdap1
75,ENSMUSG00000099899,Gm28784
76,ENSMUSG00000067780,Pi15
77,ENSMUSG00000100053,Gm28154
78,ENSMUSG00000085125,Gm16070
79,ENSMUSG00000025776,Crispld1
80,ENSMUSG00000099895,Gm28153
81,ENSMUSG00000025774,Crisp4
82,ENSMUSG00000073735,Defb18
83,ENSMUSG00000067773,Defb41
84,ENSMUSG00000089787,Gm15825
85,ENSMUSG00000042596,Tfap2d
86,ENSMUSG00000025927,Tfap2b
87,ENSMUSG00000100538,Gm28340
88,ENSMUSG00000043760,Pkhd1
89,ENSMUSG00000089914,4930486I03Rik
90,ENSMUSG00000099906,Gm28653
91,ENSMUSG00000025929,Il17a
92,ENSMUSG00000041872,Il17f
93,ENSMUSG00000041859,Mcm3
94,ENSMUSG00000102121,Gm28065
95,ENSMUSG00000097934,6720483E21Rik
96,ENSMUSG00000025931,Paqr8
97,ENSMUSG00000041809,Efhc1
98,ENSMUSG00000041779,Tram2
99,ENSMUSG00000099971,Gm28287
100,ENSMUSG00000025933,Tmem14a
101,ENSMUSG00000025934,Gsta3
102,ENSMUSG00000099343,Gm28836
103,ENSMUSG00000067750,Khdc1a
104,ENSMUSG00000041722,Khdc1c
105,ENSMUSG00000085079,Khdc1b
106,ENSMUSG00000028033,Kcnq5
107,ENSMUSG00000041670,Rims1
108,ENSMUSG00000073730,Ppp1r14bl
109,ENSMUSG00000097970,Gm27028
110,ENSMUSG00000100775,Gm29107
111,ENSMUSG00000026158,Ogfrl1
112,ENSMUSG00000099503,Gm28822
113,ENSMUSG00000026156,B3gat2
114,ENSMUSG00000026155,Smap1
115,ENSMUSG00000026154,Sdhaf4
116,ENSMUSG00000026153,Fam135a
117,ENSMUSG00000026147,Col9a1
118,ENSMUSG00000026141,Col19a1
119,ENSMUSG00000073725,Lmbrd1
120,ENSMUSG00000100483,Gm28237
121,ENSMUSG00000099392,Gm29414
122,ENSMUSG00000033569,Adgrb3
123,ENSMUSG00000073722,4931408C20Rik
124,ENSMUSG00000101514,Gm5524
125,ENSMUSG00000048411,Gm597
126,ENSMUSG00000053185,Gm9898
127,ENSMUSG00000048874,Phf3
128,ENSMUSG00000026064,Ptp4a1_ENSMUSG00000026064
129,ENSMUSG00000100237,Gm28644
130,ENSMUSG00000086727,4931428L18Rik
131,ENSMUSG00000100910,Gm29128
132,ENSMUSG00000050217,Lgsn
133,ENSMUSG00000026063,Dnaaf6
134,ENSMUSG00000026058,Khdrbs2
135,ENSMUSG00000091318,Gm5415
136,ENSMUSG00000102917,Gm37724
137,ENSMUSG00000104230,Gm37591
138,ENSMUSG00000026134,Prim2
139,ENSMUSG00000004768,Rab23
140,ENSMUSG00000042215,Bag2
141,ENSMUSG00000042197,Zfp451
142,ENSMUSG00000042182,Bend6
143,ENSMUSG00000026131,Dst
144,ENSMUSG00000104397,Gm37958
145,ENSMUSG00000102336,Gm37233
146,ENSMUSG00000042111,Ccdc115
147,ENSMUSG00000101711,Gm28306
148,ENSMUSG00000026127,Imp4
149,ENSMUSG00000026126,Ptpn18
150,ENSMUSG00000101223,4930568A12Rik
151,ENSMUSG00000026125,Prss39
152,ENSMUSG00000026124,Cfc1
153,ENSMUSG00000037529,Prss40
154,ENSMUSG00000045815,1700101I19Rik
155,ENSMUSG00000045174,Amer3
156,ENSMUSG00000037509,Arhgef4
157,ENSMUSG00000104002,Gm38336
158,ENSMUSG00000037503,Fam168b
159,ENSMUSG00000026123,Plekhb2
160,ENSMUSG00000104417,Gm37068
161,ENSMUSG00000101714,Gm28415
162,ENSMUSG00000102531,1110002O04Rik
163,ENSMUSG00000102279,Gm37146
