,EID
0,ENSMUSG00000000049
1,ENSMUSG00000000058
2,ENSMUSG00000000078
3,ENSMUSG00000000093
4,ENSMUSG00000000120
5,ENSMUSG00000000127
6,ENSMUSG00000000244
7,ENSMUSG00000000263
8,ENSMUSG00000000275
9,ENSMUSG00000000301
10,ENSMUSG00000000317
11,ENSMUSG00000000320
12,ENSMUSG00000000359
13,ENSMUSG00000000392
14,ENSMUSG00000000394
15,ENSMUSG00000000402
16,ENSMUSG00000000409
17,ENSMUSG00000000489
18,ENSMUSG00000000530
19,ENSMUSG00000000555
20,ENSMUSG00000000567
21,ENSMUSG00000000594
22,ENSMUSG00000000627
23,ENSMUSG00000000628
24,ENSMUSG00000000673
25,ENSMUSG00000000682
26,ENSMUSG00000000730
27,ENSMUSG00000000731
28,ENSMUSG00000000732
29,ENSMUSG00000000782
30,ENSMUSG00000000791
31,ENSMUSG00000000792
32,ENSMUSG00000000805
33,ENSMUSG00000000817
34,ENSMUSG00000000861
35,ENSMUSG00000000869
36,ENSMUSG00000000903
37,ENSMUSG00000000957
38,ENSMUSG00000001020
39,ENSMUSG00000001023
40,ENSMUSG00000001025
41,ENSMUSG00000001027
42,ENSMUSG00000001029
43,ENSMUSG00000001089
44,ENSMUSG00000001098
45,ENSMUSG00000001119
46,ENSMUSG00000001128
47,ENSMUSG00000001131
48,ENSMUSG00000001156
49,ENSMUSG00000001173
50,ENSMUSG00000001227
51,ENSMUSG00000001240
52,ENSMUSG00000001270
53,ENSMUSG00000001281
54,ENSMUSG00000001300
55,ENSMUSG00000001348
56,ENSMUSG00000001349
57,ENSMUSG00000001403
58,ENSMUSG00000001444
59,ENSMUSG00000001473
60,ENSMUSG00000001493
61,ENSMUSG00000001504
62,ENSMUSG00000001506
63,ENSMUSG00000001520
64,ENSMUSG00000001542
65,ENSMUSG00000001622
66,ENSMUSG00000001627
67,ENSMUSG00000001741
68,ENSMUSG00000001773
69,ENSMUSG00000001827
70,ENSMUSG00000001865
71,ENSMUSG00000001870
72,ENSMUSG00000001911
73,ENSMUSG00000001918
74,ENSMUSG00000001930
75,ENSMUSG00000001943
76,ENSMUSG00000001946
77,ENSMUSG00000001964
78,ENSMUSG00000001985
79,ENSMUSG00000001986
80,ENSMUSG00000001995
81,ENSMUSG00000002007
82,ENSMUSG00000002020
83,ENSMUSG00000002033
84,ENSMUSG00000002100
85,ENSMUSG00000002104
86,ENSMUSG00000002107
87,ENSMUSG00000002111
88,ENSMUSG00000002204
89,ENSMUSG00000002233
90,ENSMUSG00000002257
91,ENSMUSG00000002289
92,ENSMUSG00000002458
93,ENSMUSG00000002475
94,ENSMUSG00000002489
95,ENSMUSG00000002602
96,ENSMUSG00000002603
97,ENSMUSG00000002668
98,ENSMUSG00000002688
99,ENSMUSG00000002699
100,ENSMUSG00000002732
101,ENSMUSG00000002769
102,ENSMUSG00000002831
103,ENSMUSG00000002847
104,ENSMUSG00000002881
105,ENSMUSG00000002900
106,ENSMUSG00000002930
107,ENSMUSG00000002944
108,ENSMUSG00000002980
109,ENSMUSG00000002983
110,ENSMUSG00000002985
111,ENSMUSG00000003032
112,ENSMUSG00000003051
113,ENSMUSG00000003228
114,ENSMUSG00000003283
115,ENSMUSG00000003379
116,ENSMUSG00000003382
117,ENSMUSG00000003418
118,ENSMUSG00000003420
119,ENSMUSG00000003477
120,ENSMUSG00000003484
121,ENSMUSG00000003545
