,EID
0,ENSMUSG00000000049
1,ENSMUSG00000000058
2,ENSMUSG00000000078
3,ENSMUSG00000000093
4,ENSMUSG00000000120
5,ENSMUSG00000000127
6,ENSMUSG00000000184
7,ENSMUSG00000000244
8,ENSMUSG00000000253
9,ENSMUSG00000000263
10,ENSMUSG00000000275
11,ENSMUSG00000000301
12,ENSMUSG00000000317
13,ENSMUSG00000000320
14,ENSMUSG00000000359
15,ENSMUSG00000000392
16,ENSMUSG00000000394
17,ENSMUSG00000000402
18,ENSMUSG00000000409
19,ENSMUSG00000000440
20,ENSMUSG00000000489
21,ENSMUSG00000000530
22,ENSMUSG00000000555
23,ENSMUSG00000000567
24,ENSMUSG00000000594
25,ENSMUSG00000000628
26,ENSMUSG00000000682
27,ENSMUSG00000000732
28,ENSMUSG00000000792
29,ENSMUSG00000000805
30,ENSMUSG00000000817
31,ENSMUSG00000000903
32,ENSMUSG00000000957
33,ENSMUSG00000001020
34,ENSMUSG00000001025
35,ENSMUSG00000001029
36,ENSMUSG00000001089
37,ENSMUSG00000001098
38,ENSMUSG00000001119
39,ENSMUSG00000001131
40,ENSMUSG00000001173
41,ENSMUSG00000001227
42,ENSMUSG00000001240
43,ENSMUSG00000001260
44,ENSMUSG00000001270
45,ENSMUSG00000001281
46,ENSMUSG00000001288
47,ENSMUSG00000001300
48,ENSMUSG00000001348
49,ENSMUSG00000001349
50,ENSMUSG00000001403
51,ENSMUSG00000001444
52,ENSMUSG00000001473
53,ENSMUSG00000001493
54,ENSMUSG00000001504
55,ENSMUSG00000001506
56,ENSMUSG00000001508
57,ENSMUSG00000001520
58,ENSMUSG00000001542
59,ENSMUSG00000001552
60,ENSMUSG00000001627
61,ENSMUSG00000001741
62,ENSMUSG00000001827
63,ENSMUSG00000001864
64,ENSMUSG00000001865
65,ENSMUSG00000001870
66,ENSMUSG00000001918
67,ENSMUSG00000001930
68,ENSMUSG00000001946
69,ENSMUSG00000001985
70,ENSMUSG00000001986
71,ENSMUSG00000001995
72,ENSMUSG00000002007
73,ENSMUSG00000002012
74,ENSMUSG00000002020
75,ENSMUSG00000002033
76,ENSMUSG00000002059
77,ENSMUSG00000002111
78,ENSMUSG00000002204
79,ENSMUSG00000002233
80,ENSMUSG00000002274
81,ENSMUSG00000002289
82,ENSMUSG00000002395
83,ENSMUSG00000002475
84,ENSMUSG00000002489
85,ENSMUSG00000002602
86,ENSMUSG00000002603
87,ENSMUSG00000002668
88,ENSMUSG00000002688
89,ENSMUSG00000002699
90,ENSMUSG00000002769
91,ENSMUSG00000002799
92,ENSMUSG00000002844
93,ENSMUSG00000002847
94,ENSMUSG00000002900
95,ENSMUSG00000002930
96,ENSMUSG00000002944
97,ENSMUSG00000002980
98,ENSMUSG00000002983
99,ENSMUSG00000002985
100,ENSMUSG00000003032
101,ENSMUSG00000003051
102,ENSMUSG00000003206
103,ENSMUSG00000003226
104,ENSMUSG00000003228
105,ENSMUSG00000003279
106,ENSMUSG00000003283
107,ENSMUSG00000003379
108,ENSMUSG00000003382
109,ENSMUSG00000003418
110,ENSMUSG00000003476
111,ENSMUSG00000003477
112,ENSMUSG00000003484
113,ENSMUSG00000003500
114,ENSMUSG00000003545
115,ENSMUSG00000003555
116,ENSMUSG00000003573
117,ENSMUSG00000003617
118,ENSMUSG00000003665
119,ENSMUSG00000003746
120,ENSMUSG00000003778
121,ENSMUSG00000003849
