,EID
0,ENSMUSG00000051951
1,ENSMUSG00000089699
2,ENSMUSG00000102343
3,ENSMUSG00000025900
4,ENSMUSG00000025902
5,ENSMUSG00000104328
6,ENSMUSG00000033845
7,ENSMUSG00000025903
8,ENSMUSG00000104217
9,ENSMUSG00000033813
10,ENSMUSG00000002459
11,ENSMUSG00000085623
12,ENSMUSG00000033793
13,ENSMUSG00000025905
14,ENSMUSG00000033774
15,ENSMUSG00000025907
16,ENSMUSG00000090031
17,ENSMUSG00000087247
18,ENSMUSG00000033740
19,ENSMUSG00000051285
20,ENSMUSG00000097797
21,ENSMUSG00000103067
22,ENSMUSG00000025909
23,ENSMUSG00000061024
24,ENSMUSG00000025911
25,ENSMUSG00000067879
26,ENSMUSG00000099827
27,ENSMUSG00000025912
28,ENSMUSG00000045210
29,ENSMUSG00000097893
30,ENSMUSG00000025915
31,ENSMUSG00000046101
32,ENSMUSG00000098234
33,ENSMUSG00000099032
34,ENSMUSG00000025916
35,ENSMUSG00000087199
36,ENSMUSG00000025917
37,ENSMUSG00000056763
38,ENSMUSG00000067851
39,ENSMUSG00000042501
40,ENSMUSG00000048960
41,ENSMUSG00000057715
42,ENSMUSG00000097171
43,ENSMUSG00000101314
44,ENSMUSG00000016918
45,ENSMUSG00000025938
46,ENSMUSG00000099498
47,ENSMUSG00000042414
48,ENSMUSG00000005886
49,ENSMUSG00000101476
50,ENSMUSG00000025935
51,ENSMUSG00000025937
52,ENSMUSG00000067813
53,ENSMUSG00000025932
54,ENSMUSG00000054493
55,ENSMUSG00000025930
56,ENSMUSG00000032769
57,ENSMUSG00000092083
58,ENSMUSG00000025925
59,ENSMUSG00000032719
60,ENSMUSG00000067795
61,ENSMUSG00000043716
62,ENSMUSG00000025921
63,ENSMUSG00000100868
64,ENSMUSG00000025920
65,ENSMUSG00000089982
66,ENSMUSG00000025939
67,ENSMUSG00000079658
68,ENSMUSG00000097744
69,ENSMUSG00000025940
70,ENSMUSG00000025779
71,ENSMUSG00000101640
72,ENSMUSG00000042686
73,ENSMUSG00000100110
74,ENSMUSG00000025777
75,ENSMUSG00000099899
76,ENSMUSG00000067780
77,ENSMUSG00000100053
78,ENSMUSG00000085125
79,ENSMUSG00000025776
80,ENSMUSG00000099895
81,ENSMUSG00000025774
82,ENSMUSG00000073735
83,ENSMUSG00000067773
84,ENSMUSG00000089787
85,ENSMUSG00000042596
86,ENSMUSG00000025927
87,ENSMUSG00000100538
88,ENSMUSG00000043760
89,ENSMUSG00000089914
90,ENSMUSG00000099906
91,ENSMUSG00000025929
92,ENSMUSG00000041872
93,ENSMUSG00000041859
94,ENSMUSG00000102121
95,ENSMUSG00000097934
96,ENSMUSG00000025931
97,ENSMUSG00000041809
98,ENSMUSG00000041779
99,ENSMUSG00000099971
100,ENSMUSG00000025933
101,ENSMUSG00000025934
102,ENSMUSG00000099343
103,ENSMUSG00000067750
104,ENSMUSG00000041722
105,ENSMUSG00000085079
106,ENSMUSG00000028033
107,ENSMUSG00000041670
108,ENSMUSG00000073730
109,ENSMUSG00000097970
110,ENSMUSG00000100775
111,ENSMUSG00000026158
112,ENSMUSG00000099503
113,ENSMUSG00000026156
114,ENSMUSG00000026155
115,ENSMUSG00000026154
116,ENSMUSG00000026153
117,ENSMUSG00000026147
118,ENSMUSG00000026141
119,ENSMUSG00000073725
120,ENSMUSG00000100483
121,ENSMUSG00000099392
122,ENSMUSG00000033569
123,ENSMUSG00000073722
124,ENSMUSG00000101514
125,ENSMUSG00000048411
126,ENSMUSG00000053185
127,ENSMUSG00000048874
128,ENSMUSG00000026064
129,ENSMUSG00000100237
130,ENSMUSG00000086727
131,ENSMUSG00000100910
132,ENSMUSG00000050217
133,ENSMUSG00000026063
134,ENSMUSG00000026058
