,EID
0,ENSMUSG00000096351
1,ENSMUSG00000095567
2,ENSMUSG00002076083
3,ENSMUSG00000078485
4,ENSMUSG00000035692
5,ENSMUSG00000041936
6,ENSMUSG00000110404
7,ENSMUSG00000059939
8,ENSMUSG00000029074
9,ENSMUSG00000041954
10,ENSMUSG00000029075
11,ENSMUSG00000029076
12,ENSMUSG00000050796
13,ENSMUSG00000023286
14,ENSMUSG00000029033
15,ENSMUSG00000051557
16,ENSMUSG00000029072
17,ENSMUSG00000029071
18,ENSMUSG00000029070
19,ENSMUSG00000065990
20,ENSMUSG00000029068
21,ENSMUSG00000029066
22,ENSMUSG00000078487
23,ENSMUSG00000073680
24,ENSMUSG00000042116
25,ENSMUSG00000029036
26,ENSMUSG00000084845
27,ENSMUSG00000029038
28,ENSMUSG00000029060
29,ENSMUSG00000029061
30,ENSMUSG00000042202
31,ENSMUSG00000029063
32,ENSMUSG00000029064
33,ENSMUSG00000023153
34,ENSMUSG00000029054
35,ENSMUSG00000029053
36,ENSMUSG00000029050
37,ENSMUSG00000029049
38,ENSMUSG00000029048
39,ENSMUSG00000029047
40,ENSMUSG00000029055
41,ENSMUSG00000029056
42,ENSMUSG00000048001
43,ENSMUSG00000058183
44,ENSMUSG00000046637
45,ENSMUSG00000051276
46,ENSMUSG00000039410
47,ENSMUSG00000029032
48,ENSMUSG00000057751
49,ENSMUSG00000029030
50,ENSMUSG00000029029
51,ENSMUSG00000029026
52,ENSMUSG00000039492
53,ENSMUSG00000078350
54,ENSMUSG00000029028
55,ENSMUSG00000039523
56,ENSMUSG00000029027
57,ENSMUSG00000047613
58,ENSMUSG00000039546
59,ENSMUSG00000039577
60,ENSMUSG00000028931
61,ENSMUSG00000005045
62,ENSMUSG00000028936
63,ENSMUSG00000058498
64,ENSMUSG00000039662
65,ENSMUSG00000028946
66,ENSMUSG00000042804
67,ENSMUSG00000028937
68,ENSMUSG00000028940
69,ENSMUSG00000028943
70,ENSMUSG00000024793
71,ENSMUSG00000039713
72,ENSMUSG00000028948
73,ENSMUSG00000028950
74,ENSMUSG00000028952
75,ENSMUSG00000073700
76,ENSMUSG00000047777
77,ENSMUSG00000039759
78,ENSMUSG00000039768
79,ENSMUSG00000014592
80,ENSMUSG00000028955
81,ENSMUSG00000028957
82,ENSMUSG00000028963
83,ENSMUSG00000028965
84,ENSMUSG00000028964
85,ENSMUSG00000028967
86,ENSMUSG00000039838
87,ENSMUSG00000039852
88,ENSMUSG00000028972
89,ENSMUSG00000062064
90,ENSMUSG00000028976
91,ENSMUSG00000047875
92,ENSMUSG00000028980
93,ENSMUSG00000039911
94,ENSMUSG00000028982
95,ENSMUSG00000044700
96,ENSMUSG00000039936
97,ENSMUSG00000039953
98,ENSMUSG00000028988
99,ENSMUSG00000028990
100,ENSMUSG00000028992
101,ENSMUSG00000028996
102,ENSMUSG00000028960
103,ENSMUSG00000063077
104,ENSMUSG00000028961
105,ENSMUSG00000028971
106,ENSMUSG00000028974
107,ENSMUSG00000028975
108,ENSMUSG00000070577
109,ENSMUSG00000041459
110,ENSMUSG00000028979
111,ENSMUSG00000006442
112,ENSMUSG00000017264
113,ENSMUSG00000028991
114,ENSMUSG00000028989
115,ENSMUSG00000047719
116,ENSMUSG00000041556
117,ENSMUSG00000029001
118,ENSMUSG00000055401
119,ENSMUSG00000029003
120,ENSMUSG00000029005
