,EID
0,ENSMUSG00000022347
1,ENSMUSG00000052595
2,ENSMUSG00000030111
3,ENSMUSG00000028794
4,ENSMUSG00000047878
5,ENSMUSG00000037953
6,ENSMUSG00000036678
7,ENSMUSG00000029482
8,ENSMUSG00000027761
9,ENSMUSG00000091376
10,ENSMUSG00000078507
11,ENSMUSG00000057228
12,ENSMUSG00000021482
13,ENSMUSG00000037257
14,ENSMUSG00000057230
15,ENSMUSG00000035642
16,ENSMUSG00000006299
17,ENSMUSG00000020804
18,ENSMUSG00000027628
19,ENSMUSG00000068522
20,ENSMUSG00000031960
21,ENSMUSG00000023938
22,ENSMUSG00000075528
23,ENSMUSG00000055923
24,ENSMUSG00000025894
25,ENSMUSG00000029695
26,ENSMUSG00000018697
27,ENSMUSG00000025375
28,ENSMUSG00000057880
29,ENSMUSG00000015243
30,ENSMUSG00000050296
31,ENSMUSG00000004668
32,ENSMUSG00000026944
33,ENSMUSG00000024130
34,ENSMUSG00000028125
35,ENSMUSG00000018800
36,ENSMUSG00000044749
37,ENSMUSG00000035722
38,ENSMUSG00000020620
39,ENSMUSG00000041797
40,ENSMUSG00000031974
41,ENSMUSG00000027048
42,ENSMUSG00000042476
43,ENSMUSG00000072791
44,ENSMUSG00000026198
45,ENSMUSG00000031333
46,ENSMUSG00000028973
47,ENSMUSG00000029408
48,ENSMUSG00000023088
49,ENSMUSG00000032842
50,ENSMUSG00000036872
51,ENSMUSG00000025194
52,ENSMUSG00000020865
53,ENSMUSG00000032849
54,ENSMUSG00000022822
55,ENSMUSG00000030834
56,ENSMUSG00000040136
57,ENSMUSG00000030249
58,ENSMUSG00000031378
59,ENSMUSG00000055782
60,ENSMUSG00000028127
61,ENSMUSG00000021240
62,ENSMUSG00000058355
63,ENSMUSG00000038762
64,ENSMUSG00000028953
65,ENSMUSG00000003234
66,ENSMUSG00000024030
67,ENSMUSG00000029299
68,ENSMUSG00000032131
69,ENSMUSG00000040505
70,ENSMUSG00000024254
71,ENSMUSG00000006638
72,ENSMUSG00000033157
73,ENSMUSG00000040532
74,ENSMUSG00000032046
75,ENSMUSG00000090121
76,ENSMUSG00000040396
77,ENSMUSG00000042210
78,ENSMUSG00000042073
79,ENSMUSG00000000686
80,ENSMUSG00000007036
81,ENSMUSG00000055882
82,ENSMUSG00000003346
83,ENSMUSG00000047368
84,ENSMUSG00000038459
85,ENSMUSG00000037818
86,ENSMUSG00000039202
87,ENSMUSG00000002475
88,ENSMUSG00000040997
89,ENSMUSG00000032540
90,ENSMUSG00000025277
91,ENSMUSG00000007950
92,ENSMUSG00000058835
93,ENSMUSG00000026782
94,ENSMUSG00000018381
95,ENSMUSG00000035258
96,ENSMUSG00000026842
97,ENSMUSG00000026596
98,ENSMUSG00000025085
99,ENSMUSG00000029095
100,ENSMUSG00000032735
101,ENSMUSG00000015787
102,ENSMUSG00000017631
103,ENSMUSG00000042895
104,ENSMUSG00000078453
105,ENSMUSG00000035234
106,ENSMUSG00000030965
107,ENSMUSG00000036376
108,ENSMUSG00000030083
109,ENSMUSG00000032724
110,ENSMUSG00000069814
111,ENSMUSG00000110332
112,ENSMUSG00000095026
113,ENSMUSG00000118462
114,ENSMUSG00000024532
115,ENSMUSG00000108367
116,ENSMUSG00000110170
117,ENSMUSG00000097050
118,ENSMUSG00000107252
119,ENSMUSG00000053297
120,ENSMUSG00000075408
121,ENSMUSG00000087512
122,ENSMUSG00000039068
123,ENSMUSG00000109833
124,ENSMUSG00000036880
125,ENSMUSG00000020532
126,ENSMUSG00000042010
127,ENSMUSG00000090150
128,ENSMUSG00000031969
129,ENSMUSG00000027710
130,ENSMUSG00000026003
131,ENSMUSG00000062908
132,ENSMUSG00000029545
133,ENSMUSG00000030861
134,ENSMUSG00000018574
135,ENSMUSG00000030607
136,ENSMUSG00000001588
137,ENSMUSG00000049076
138,ENSMUSG00000029033
139,ENSMUSG00000032047
140,ENSMUSG00000026499
141,ENSMUSG00000056938
142,ENSMUSG00000026781
143,ENSMUSG00000033701
144,ENSMUSG00000026644
145,ENSMUSG00000040272
146,ENSMUSG00000075023
147,ENSMUSG00000038000
148,ENSMUSG00000020681
149,ENSMUSG00000015405
