,Mouse gene stable ID
0,ENSMUSG00000096351
1,ENSMUSG00000095567
2,ENSMUSG00002076083
3,ENSMUSG00000078485
4,ENSMUSG00000035692
5,ENSMUSG00000041936
6,ENSMUSG00000059939
7,ENSMUSG00000029074
8,ENSMUSG00000041954
9,ENSMUSG00000029075
10,ENSMUSG00000029076
11,ENSMUSG00000050796
12,ENSMUSG00000023286
13,ENSMUSG00000029033
14,ENSMUSG00000051557
15,ENSMUSG00000029072
16,ENSMUSG00000029071
17,ENSMUSG00000029070
18,ENSMUSG00000065990
19,ENSMUSG00000029068
20,ENSMUSG00000029066
21,ENSMUSG00000078487
22,ENSMUSG00000042116
23,ENSMUSG00000029036
24,ENSMUSG00000029038
25,ENSMUSG00000029060
26,ENSMUSG00000029061
27,ENSMUSG00000042202
28,ENSMUSG00000029063
29,ENSMUSG00000029064
30,ENSMUSG00000023153
31,ENSMUSG00000029054
32,ENSMUSG00000029053
33,ENSMUSG00000029050
34,ENSMUSG00000029049
35,ENSMUSG00000029048
36,ENSMUSG00000029047
37,ENSMUSG00000039410
38,ENSMUSG00000029032
39,ENSMUSG00000057751
40,ENSMUSG00000029030
41,ENSMUSG00000029029
42,ENSMUSG00000029026
43,ENSMUSG00000039492
44,ENSMUSG00000078350
45,ENSMUSG00000029028
46,ENSMUSG00000039523
47,ENSMUSG00000029027
48,ENSMUSG00000047613
49,ENSMUSG00000039546
50,ENSMUSG00000039577
51,ENSMUSG00000028931
52,ENSMUSG00000005045
53,ENSMUSG00000028936
54,ENSMUSG00000058498
55,ENSMUSG00000039662
56,ENSMUSG00000042804
57,ENSMUSG00000028937
58,ENSMUSG00000028940
59,ENSMUSG00000028943
60,ENSMUSG00000024793
61,ENSMUSG00000039713
62,ENSMUSG00000028948
63,ENSMUSG00000028950
64,ENSMUSG00000028952
65,ENSMUSG00000073700
66,ENSMUSG00000047777
67,ENSMUSG00000039759
68,ENSMUSG00000039768
69,ENSMUSG00000014592
70,ENSMUSG00000028955
71,ENSMUSG00000028957
72,ENSMUSG00000028963
73,ENSMUSG00000028965
74,ENSMUSG00000028964
75,ENSMUSG00000028967
76,ENSMUSG00000039838
77,ENSMUSG00000039852
78,ENSMUSG00000028972
79,ENSMUSG00000062064
80,ENSMUSG00000028976
81,ENSMUSG00000047875
82,ENSMUSG00000028980
83,ENSMUSG00000039911
84,ENSMUSG00000028982
85,ENSMUSG00000044700
86,ENSMUSG00000039936
87,ENSMUSG00000039953
88,ENSMUSG00000028988
89,ENSMUSG00000028990
90,ENSMUSG00000028992
91,ENSMUSG00000028996
92,ENSMUSG00000028960
93,ENSMUSG00000063077
94,ENSMUSG00000028961
95,ENSMUSG00000028974
96,ENSMUSG00000028975
97,ENSMUSG00000070577
98,ENSMUSG00000041459
99,ENSMUSG00000028979
100,ENSMUSG00000006442
101,ENSMUSG00000017264
102,ENSMUSG00000028991
103,ENSMUSG00000028989
104,ENSMUSG00000047719
105,ENSMUSG00000041556
106,ENSMUSG00000029001
107,ENSMUSG00000055401
108,ENSMUSG00000029003
109,ENSMUSG00000029005
110,ENSMUSG00000029007
111,ENSMUSG00000029009
112,ENSMUSG00000029016
113,ENSMUSG00000041616
114,ENSMUSG00000044496
115,ENSMUSG00000019055
116,ENSMUSG00000029020
117,ENSMUSG00000029022
118,ENSMUSG00000028602
119,ENSMUSG00000028599
