dbdb_top100_pathways,mSTZ_top100_pathways
Retrograde endocannabinoid signaling,Protein processing in endoplasmic reticulum
Type II diabetes mellitus,Osteoclast differentiation
Thyroid hormone synthesis,Ribosome
Protein processing in endoplasmic reticulum,Glycolysis / Gluconeogenesis
Prolactin signaling pathway,Protein export
Circadian rhythm,N-Glycan biosynthesis
Huntington disease,Huntington disease
N-Glycan biosynthesis,Thyroid hormone synthesis
Alzheimer disease,Thermogenesis
Thermogenesis,Lysosome
Ribosome,Terpenoid backbone biosynthesis
Metabolism of xenobiotics by cytochrome P450,Prolactin signaling pathway
Chemical carcinogenesis,Alzheimer disease
Proteasome,Oxidative phosphorylation
Insulin resistance,IL-17 signaling pathway
Butanoate metabolism,Antigen processing and presentation
Glutathione metabolism,Proteasome
Phototransduction,TNF signaling pathway
JAK-STAT signaling pathway,Type II diabetes mellitus
Pancreatic secretion,Retrograde endocannabinoid signaling
Parkinson disease,Parkinson disease
Oxidative phosphorylation,Glutathione metabolism
Protein export,Fructose and mannose metabolism
Salivary secretion,RNA transport
TNF signaling pathway,Peroxisome
Adipocytokine signaling pathway,Metabolism of xenobiotics by cytochrome P450
Signaling pathways regulating pluripotency of stem cells,Chemical carcinogenesis
Th17 cell differentiation,Glycerophospholipid metabolism
FoxO signaling pathway,Complement and coagulation cascades
Osteoclast differentiation,Maturity onset diabetes of the young
Non-alcoholic fatty liver disease (NAFLD),Pyruvate metabolism
Tryptophan metabolism,Amphetamine addiction
Ether lipid metabolism,Glycosaminoglycan degradation
"Alanine, aspartate and glutamate metabolism",Malaria
Maturity onset diabetes of the young,RNA polymerase
Olfactory transduction,Non-alcoholic fatty liver disease (NAFLD)
Cardiac muscle contraction,Endocytosis
Apoptosis,Apoptosis
VEGF signaling pathway,Ubiquitin mediated proteolysis
Vasopressin-regulated water reabsorption,Legionellosis
AGE-RAGE signaling pathway in diabetic complications,Pentose phosphate pathway
Steroid biosynthesis,Systemic lupus erythematosus
Transcriptional misregulation in cancer,Arachidonic acid metabolism
MAPK signaling pathway,Circadian rhythm
Drug metabolism,Amyotrophic lateral sclerosis (ALS)
Hypertrophic cardiomyopathy (HCM),Renal cell carcinoma
Chronic myeloid leukemia,Nucleotide excision repair
Non-small cell lung cancer,Vasopressin-regulated water reabsorption
Terpenoid backbone biosynthesis,AGE-RAGE signaling pathway in diabetic complications
Arginine and proline metabolism,Cocaine addiction
Bile secretion,Citrate cycle (TCA cycle)
Folate biosynthesis,Relaxin signaling pathway
"Valine, leucine and isoleucine degradation",Taste transduction
Central carbon metabolism in cancer,Drug metabolism
Malaria,Steroid biosynthesis
Glycerophospholipid metabolism,Amino sugar and nucleotide sugar metabolism
Fat digestion and absorption,AMPK signaling pathway
Melanogenesis,Hepatitis C
Gastric acid secretion,Sphingolipid metabolism
Hedgehog signaling pathway,Th17 cell differentiation
Th1 and Th2 cell differentiation,Insulin signaling pathway
Lysosome,Bladder cancer
Arachidonic acid metabolism,Phototransduction
Systemic lupus erythematosus,Tryptophan metabolism
NF-kappa B signaling pathway,Pancreatic secretion
Endocrine and other factor-regulated calcium reabsorption,Insulin resistance
cAMP signaling pathway,Porphyrin and chlorophyll metabolism
Hepatitis B,TGF-beta signaling pathway
Inflammatory mediator regulation of TRP channels,Th1 and Th2 cell differentiation
RNA polymerase,HIF-1 signaling pathway
Vascular smooth muscle contraction,Ether lipid metabolism
IL-17 signaling pathway,Cardiac muscle contraction
Focal adhesion,Purine metabolism
Peroxisome,Biosynthesis of unsaturated fatty acids
Human T-cell leukemia virus 1 infection,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Pancreatic cancer,cAMP signaling pathway
MicroRNAs in cancer,"Parathyroid hormone synthesis, secretion and action"
Thyroid hormone signaling pathway,Hypertrophic cardiomyopathy (HCM)
Relaxin signaling pathway,MAPK signaling pathway
Breast cancer,DNA replication
Tyrosine metabolism,Neuroactive ligand-receptor interaction
Gap junction,Ras signaling pathway
Cocaine addiction,Autophagy
Endometrial cancer,Phagosome
Aldosterone synthesis and secretion,Leishmaniasis
Toxoplasmosis,Measles
Aminoacyl-tRNA biosynthesis,Cholesterol metabolism
Complement and coagulation cascades,C-type lectin receptor signaling pathway
p53 signaling pathway,FoxO signaling pathway
Hippo signaling pathway,Fat digestion and absorption
C-type lectin receptor signaling pathway,Bile secretion
Measles,PPAR signaling pathway
Insulin secretion,SNARE interactions in vesicular transport
"Glycine, serine and threonine metabolism",Galactose metabolism
Longevity regulating pathway,Transcriptional misregulation in cancer
Influenza A,Glucagon signaling pathway
Ras signaling pathway,Pertussis
Glycolysis / Gluconeogenesis,Folate biosynthesis
RNA transport,mTOR signaling pathway
Pentose phosphate pathway,Rheumatoid arthritis
