,addl_dataset,hidden_layers,latent_dim,learning_rate,cov_embed_dim,max_epochs,layers,dropout_rate,kl_divergence_weight,weight_decay,seed,r2_dbdb,shared_top_genes_dbdb,scores_corr_dbdb,pvals_adj_corr_dbdb,scores_ranks_corr_dbdb,shared_top_genes_dbdb_pancreatic_A_cell,scores_corr_dbdb_pancreatic_A_cell,pvals_adj_corr_dbdb_pancreatic_A_cell,scores_ranks_corr_dbdb_pancreatic_A_cell,shared_top_genes_dbdb_pancreatic_D_cell,scores_corr_dbdb_pancreatic_D_cell,pvals_adj_corr_dbdb_pancreatic_D_cell,scores_ranks_corr_dbdb_pancreatic_D_cell,shared_top_genes_dbdb_type_B_pancreatic_cell,scores_corr_dbdb_type_B_pancreatic_cell,pvals_adj_corr_dbdb_type_B_pancreatic_cell,scores_ranks_corr_dbdb_type_B_pancreatic_cell,r2_mSTZ,shared_top_genes_mSTZ,scores_corr_mSTZ,pvals_adj_corr_mSTZ,scores_ranks_corr_mSTZ,shared_top_genes_mSTZ_pancreatic_A_cell,scores_corr_mSTZ_pancreatic_A_cell,pvals_adj_corr_mSTZ_pancreatic_A_cell,scores_ranks_corr_mSTZ_pancreatic_A_cell,shared_top_genes_mSTZ_pancreatic_D_cell,scores_corr_mSTZ_pancreatic_D_cell,pvals_adj_corr_mSTZ_pancreatic_D_cell,scores_ranks_corr_mSTZ_pancreatic_D_cell,shared_top_genes_mSTZ_type_B_pancreatic_cell,scores_corr_mSTZ_type_B_pancreatic_cell,pvals_adj_corr_mSTZ_type_B_pancreatic_cell,scores_ranks_corr_mSTZ_type_B_pancreatic_cell
0,random_mouse_seed_42_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.4,0.005,0.001,42,0.7586786666977492,0.302,0.09196578907101534,-0.011049334835129617,0.2377683041964782,0.528,0.1977525715181575,-0.03397676113619816,0.44920811880090206,0.505,0.1751766415677915,-0.028370256357196918,0.3216613179623686,0.287,0.1331515576562109,-0.04908848252482609,0.2251410361267818,0.7310005321477908,0.236,0.0414351885915328,-0.05431590521041564,0.14594578954953216,0.455,0.10847292261307323,0.028851348095595093,0.19216997690777518,0.392,0.10753459048563724,0.04716553366481543,0.15391585399065041,0.272,0.054893648063061615,-0.0014450835265427272,0.14504646011627334
1,embedding_top30_mouse_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.4,0.005,0.0001,43,0.8010043233885473,0.292,-0.0013366918281354256,-0.06318878693165388,0.08523624591513843,0.466,0.17345709136282408,-0.01854525177924401,0.3417505273056141,0.475,0.20098539046769806,0.043758239426029855,0.30436666670740736,0.27,0.10630524664367465,-0.04231062331672536,0.1796572115174679,0.7910673700350156,0.222,-0.029322249343187792,-0.08629580767447598,-0.03310315923368436,0.44,0.10221052648157368,0.07847977722402255,0.1820427046714116,0.397,0.10822047451483013,0.09757772313014372,0.10908793834310423,0.238,0.05600440053817103,-0.023059408115976305,0.09862843140315902
2,extra_mouse_T1D_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.4,0.005,0.0001,43,0.5513212881204073,0.299,0.10280748074354704,-0.04706497543970767,0.18616359890706655,0.533,0.22197523211700046,-0.030051616751383355,0.4737359797484421,0.483,0.21176079635010153,-0.018887158203775522,0.3645228729469858,0.277,0.10965881822475285,-0.04560276825919159,0.1742032086892454,0.5901824740236741,0.248,0.05586259151596767,-0.05760059087656148,0.11717129213014355,0.449,0.0917724903167123,-0.006946925133901117,0.18675731141747903,0.377,0.04726070434207205,0.03338772685490348,0.06820704668967185,0.246,0.04684204148340012,-0.03978908248365655,0.0917750484194498
3,extra_mouse_T1D_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.4,0.005,0.001,43,0.6379008517580249,0.261,0.09788509896239088,-0.016412562622255926,0.1597760857528984,0.494,0.20942590674420658,-0.030832072941850152,0.4501069593452176,0.496,0.18111952778145998,-0.00496671530672085,0.30089377387708593,0.255,-0.001861607034115874,-0.059938192260614885,0.22532330948036772,0.7253936296799309,0.223,0.039922598004977744,-0.03312097541797962,0.08717813413090378,0.412,0.07159797729322079,-0.01055560966516908,0.16165153796128198,0.394,0.09320075572219341,0.0579519265001475,0.18595507666167516,0.24,-0.02024221532668466,-0.058524732274946444,0.10909258945473214
4,extra_mouse_Embryonic_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.3,0.005,0.0001,44,0.7770645174556138,0.286,0.088354390030751,0.000345279583825771,0.19487382165264683,0.538,0.22942846081462973,-0.04811398042319027,0.4654503543833726,0.504,0.2351914645553309,0.003602582798263955,0.3608419649824405,0.293,0.06513770554560082,-0.036682376430774793,0.22525490902832318,0.8780276539485418,0.227,0.0511901810409864,-0.055259500937866406,0.14938107037567447,0.458,0.11384299811364783,-0.04739010822616745,0.19739782726642519,0.396,0.10458772056029433,0.02673754585889182,0.0861229429025492,0.298,0.024763331541648594,-0.025080708268232683,0.17231030847892315
5,embedding_top70_mouse_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.3,0.005,0.0001,43,0.82109409369,0.28,0.04730659775580439,-0.04664749099795178,0.18139655348850595,0.482,0.17346154869459388,-0.058602931231798286,0.3696794468532718,0.489,0.16773101514963154,-0.005220678667388129,0.30763133062570336,0.28,0.11396912069087833,-0.03193062552610314,0.21129879992208883,0.8862366656590205,0.232,0.06712453590331378,-0.05319407680221346,0.19038255715361743,0.454,0.10788167624898809,-0.012264529858533876,0.18171278374586483,0.376,0.06090502092994581,0.0059995716060532375,0.08973797485977497,0.237,0.042631550815938696,-0.022099998814229267,0.09660789917865545
6,extra_human_chem_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.4,0.005,0.001,43,-0.3045936310572692,0.343,-0.0016899664256929078,-0.01297290009144184,0.11630306136700681,0.406,0.08817901125926719,-0.008545287141076786,0.21783253442583714,0.374,0.0924170583235692,-0.04444156521133817,0.1512101661344629,0.336,-0.009827170689717566,0.001844378942193888,0.11719294991032775,-0.1997242249687461,0.271,-0.008241228681811675,-0.010159209024493375,0.051234878581653175,0.306,0.05664770752095122,-0.02364549303973626,0.07911472345719149,0.317,0.04681379959659935,-0.013411583099355605,0.016229815581090615,0.293,-0.016195554639928778,0.0030884792711762905,0.042593758954862095
7,random_human_seed_42_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.4,0.005,0.001,44,0.48833056413101994,0.27,0.09308764366173784,-0.030819055228183467,0.14048340894260097,0.492,0.24663173901026383,-0.07678345252122959,0.4294896254988472,0.473,0.19762862056865785,-0.014640506914071722,0.3217219499691055,0.251,0.0694519258958854,-0.01909664720877947,0.1201789262421029,0.7184521941246658,0.187,0.04488197752353566,-0.042618890614228425,0.043583237731470846,0.447,0.163842298003143,-0.022646111767398218,0.20433902714878074,0.377,0.07322372264297573,0.02505200125326571,0.0936346241816249,0.205,0.021009953777937324,-0.010395513650386032,0.02634353003817
8,extra_human_chem_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.3,0.005,0.0001,42,0.8189595961604814,0.34,-0.0027137920101666674,-0.028214698041460977,0.13123249324805478,0.404,0.08314919293640799,-0.027659959372463253,0.2542443620271513,0.396,0.0920760326472601,0.0027251544196149244,0.20587009531889947,0.343,-0.0032245143697470836,0.001282722551851247,0.14696606077400673,0.7163439064276268,0.283,-0.0032302529106788555,0.0006650053555347576,-0.035273076363675146,0.365,0.06119484241747496,0.0011512784937947607,0.05860083940009326,0.373,0.07890922617807448,0.05625523691722972,0.06386139465126606,0.321,-0.01115808651724671,-0.029248171004356564,0.03969058929895437
9,extra_mouse_chem_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.4,0.005,0.0001,42,0.8083244010115499,0.3,0.06219124608672612,-0.039463475899087774,0.15784401042711227,0.471,0.2005558640529803,-0.026187313195138076,0.37897817233090797,0.492,0.1490166288433866,0.09797338037637991,0.3313505657056183,0.254,0.13834644050226833,-0.03771293633694392,0.152457847161983,0.8076537722175833,0.227,0.004506471631795705,-0.06403929708449548,0.05466358607373178,0.44,0.1559738710708751,0.08703452278836597,0.20754668306074253,0.371,0.04864395005321478,0.1392981047488764,0.06782697820299756,0.23,0.0804592077041244,-0.03601116275351209,0.09086315942923993
10,extra_mouse_aged_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.3,0.005,0.001,42,0.821124620119149,0.331,-0.003528359608256942,-0.029014122571527325,0.0960091137787904,0.41,0.06778251687775916,-0.022819886618974706,0.21704818767202083,0.398,0.09667183179717083,0.017899176248568394,0.19129115369901703,0.328,-0.007377098159649499,-0.015139588437171305,0.10701469055718783,0.8107938533641919,0.308,-0.00260852732964079,-0.020939226140289324,0.043754517750501966,0.324,0.07431383706028709,-0.02506112337052454,0.04144579393842154,0.326,0.06328253240435944,-0.03691906729129026,-0.0070195678910630974,0.313,-0.01652447333111654,-0.02105396218862134,0.03980939108993234
