,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5810304133042024,2.974675766813745,0.0,0.0,0.0,102/289,24.76%,COL4A3;FGF23;COL4A6;FGF10;EIF4E1B;EPO;TNC;LPAR3;LPAR4;EREG;COL2A1;FLT3;THBS2;CD19;FGF5;GNGT1;ITGA8;FGF16;CHRM1;COL9A1;OSM;IL2RA;FGF6;PDGFRA;IL2RG;ITGB7;ITGA11;PKN3;TNN;IL4;COL6A2;LPAR5;GNB3;LAMA1;FGF17;PIK3R6;ANGPT1;CSF3;IL7R;IGF2;LAMC3;THBS4;NTF3;OSMR;FGF20;COL1A1;PDGFRB;LAMB2;IGF1;EFNA3;FGF21;GNG8;ITGB4;ERBB2;NGFR;CREB3L4;LAMA4;TEK;FGF2;COL6A1;COL6A5;GNG13;TLR4;IL2RB;FN1;PDGFD;CDK6;SYK;CHAD;FGF7;ITGA7;PIK3AP1;GNG11;KDR;VWF;FLT4;NGF;EGF;FGF18;GNGT2;FGFR4;EPOR;PDGFC;RELN;ITGA5;KIT;IL7;MYB;CREB3L3;PIK3CG;PCK1;CHRM2;VTN;LAMB3;ERBB4;THBS3;SOS2;IL6;COL1A2;COL4A5;GNG10;FGF22,combination
1,gsea,Human papillomavirus infection,0.5177599732339234,2.8090364721649426,0.0,0.0,0.0,88/270,31.78%,COL4A3;WNT8A;COL4A6;TBPL2;TNC;ATP6V0D2;WNT8B;COL2A1;ATP6V1E2;THBS2;ITGA8;FZD10;HES2;COL9A1;WNT3A;WNT2;ITGB7;ITGA11;ATP6V1C2;TNN;COL6A2;WNT7A;LAMA1;ATP6V1B1;CCNA1;WNT11;LAMC3;WNT2B;THBS4;WNT6;COL1A1;PDGFRB;LAMB2;FZD4;ITGB4;CREB3L4;LAMA4;COL6A1;COL6A5;NOTCH3;LFNG;WNT16;TCF7;FN1;WNT9A;CDK6;CHAD;ITGA7;WNT7B;VWF;FZD9;EGF;RELN;ITGA5;PTGS2;WNT10A;HEY2;CREB3L3;HEY1;RBPJL;CCNA2;VTN;LAMB3;THBS3;SOS2;COL1A2;COL4A5;FZD2;ATP6V0A4;COL4A4;WNT10B;AXIN2;LAMB1;ITGA10;ITGA1;APC2;RBL1;RPS6KB2;MTOR;THBS1;ITGB6;LAMA5;COL4A2;WNT5A;JAG1;HEYL;APC;CDK2,combination
2,gsea,Serotonergic synapse,0.6077441802393508,2.8035848599650985,0.0,0.0,0.0,33/87,24.71%,PLA2G4D;HTR4;GABRB2;CACNA1S;ALOX12;PLA2G4E;GNGT1;ALOX15;HTR2C;HTR3B;PLA2G4F;PLCB2;GNB3;TPH1;HTR6;HTR2B;HTR3A;HTR1F;GNG8;GNG13;HTR7;PLA2G4A;HTR5A;PLA2G4C;GNG11;KCNJ5;HTR2A;GNGT2;PTGS2;PTGS1;SLC6A4;SLC18A2;GNG10,combination
3,gsea,JAK-STAT signaling pathway,0.6145153369176596,2.751606234153015,0.0,0.0,0.0,43/113,27.07%,IL12A;IL21R;IFNG;EPO;IL13RA2;IFNE;IL5RA;IL19;IL23R;IL24;OSM;IL2RA;IL12RB2;GFAP;PDGFRA;IL22RA1;IL2RG;IL4;IL21;IL5;CSF3;IL7R;LEP;IL22RA2;OSMR;IL10RA;LEPR;PDGFRB;IL15;MPL;IL2RB;IL10;EGF;EPOR;IL7;IL20RA;SOS2;IL6;STAT4;SOCS1;TSLP;CSF3R;LIF,combination
4,gsea,Wnt signaling pathway,0.5551790898146742,2.7420574374868787,0.0,0.0,0.0,36/128,22.31%,WNT8A;NKD1;WNT8B;LEF1;RSPO2;SFRP2;FZD10;RSPO1;WNT3A;WNT2;PLCB2;NOTUM;WNT7A;SFRP1;DKK2;WNT11;WNT2B;MMP7;RSPO3;WNT6;SOX17;DAAM2;DKK1;FZD4;SFRP4;RAC2;WNT16;TCF7;WNT9A;LGR5;PRICKLE4;CAMK2A;WNT7B;FZD9;LGR6;WNT10A,combination
5,gsea,Regulation of actin cytoskeleton,0.5199785072752536,2.724584960203348,0.0,0.0,0.0,59/183,29.55%,FGF23;MYL2;FGF10;LPAR4;FGF5;ITGA8;FGF16;CHRM1;MYL10;FGF6;PDGFRA;ITGAL;CHRM5;ITGB7;ITGA11;MYLK4;LPAR5;FGF17;ITGAX;MYLK3;NCKAP1L;FGD3;WAS;FGF20;MYLK2;PDGFRB;BDKRB1;FGF21;ITGB4;ITGAM;FGF2;RAC2;FN1;PDGFD;FGF7;MYLK;ITGA7;ITGAE;PFN4;EGF;FGF18;FGFR4;CXCR4;PDGFC;ITGA5;VAV1;CHRM2;SOS2;FGF22;MYL7;FGFR3;LPAR1;ITGAD;ITGA10;ITGA1;APC2;TIAM1;GIT1;FGFR2,combination
6,gsea,Focal adhesion,0.530544380016269,2.7215751709395777,0.0,0.0,0.0,66/177,30.87%,COL4A3;COL4A6;MYL2;TNC;COL2A1;THBS2;ITGA8;MYL10;COL9A1;CAV3;PDGFRA;ITGB7;ITGA11;PARVG;TNN;MYLK4;COL6A2;LAMA1;MYLK3;LAMC3;THBS4;FLNC;COL1A1;MYLK2;PDGFRB;LAMB2;IGF1;ITGB4;ERBB2;LAMA4;COL6A1;COL6A5;RAC2;FN1;PDGFD;CHAD;MYLK;ITGA7;KDR;SHC3;VWF;FLT4;EGF;PDGFC;RELN;ITGA5;VAV1;VTN;LAMB3;THBS3;SOS2;COL1A2;COL4A5;MYL7;COL4A4;FLT1;LAMB1;ITGA10;ITGA1;CAV1;THBS1;ITGB6;LAMA5;PARVB;COL4A2;TLN2,combination
7,gsea,Synaptic vesicle cycle,0.5709871949985552,2.719377215040209,0.0,0.0,0.0,24/66,23.99%,SLC6A7;SLC6A12;SLC17A7;ATP6V0D2;ATP6V1E2;SLC6A1;SLC1A7;SLC6A5;ATP6V1C2;SLC17A6;ATP6V1B1;CPLX4;UNC13C;SLC6A2;SLC6A13;SLC1A2;CPLX1;SLC6A11;SLC1A3;STX1A;SLC1A6;SLC17A8;SLC6A4;SLC18A2,combination
8,gsea,Pathways in cancer,0.528620308786517,2.718513090313824,0.0,0.0,0.0,166/440,31.78%,COL4A3;WNT8A;NOS2;IL12A;GLI1;FGF23;COL4A6;BIRC7;IFNG;FGF10;EPO;MGST2;LPAR3;LPAR4;WNT8B;FLT3;HHIP;RXRG;FGF5;GNGT1;FGF16;PAX8;LEF1;FZD10;IL5RA;IL23R;NKX3-1;IL2RA;IL12RB2;SHH;FGF6;PDGFRA;MMP2;WNT3A;SPI1;WNT2;IL2RG;ESR2;PLCB2;IL4;IL5;LPAR5;WNT7A;GNB3;LAMA1;FGF17;TRAF1;IL7R;BMP4;IGF2;WNT11;LAMC3;WNT2B;GLI2;WNT6;PTGER2;FGF20;MMP9;KIF7;AR;PDGFRB;LAMB2;IGF1;RASGRP3;IL15;ESR1;BDKRB1;CTNNA3;FGF21;GNG8;DCC;FZD4;RASGRP4;ERBB2;PMAIP1;DAPK2;LAMA4;FGF2;GNG13;NOTCH3;RAC2;IL2RB;WNT16;F2RL3;TCF7;FN1;WNT9A;CDK6;RARB;FGF7;CAMK2A;GNG11;PTGER1;WNT7B;EGLN3;FLT4;FZD9;EGF;FGF18;GLI3;GNGT2;FGFR4;EPOR;CXCR4;PTGS2;KIT;SKP2;WNT10A;ADCY8;IL7;HEY2;HEY1;BIRC5;LAMB3;SOS2;IL6;STAT4;COL4A5;FZD2;GNG10;DLL3;FGF22;ALK;PTGER3;EDNRB;FGFR3;PTCH2;NQO1;CSF3R;RUNX1;TGFBR2;COL4A4;WNT10B;EDN1;PLCG2;AXIN2;ADCY7;LPAR1;CALML4;LAMB1;BID;FRAT2;APC2;FGFR2;RPS6KB2;SMAD3;MTOR;TGFB1;LAMA5;COL4A2;WNT5A;ADCY5;CSF1R;IL23A;MAX;BRCA2;IL12RB1;GNG3;ETS1;JAG1;ZBTB16;EDNRA;HEYL;APC;RASGRP2;CDK2,combination
9,gsea,Transcriptional misregulation in cancer,0.5402843589410781,2.7037016571205705,0.0,0.0,0.0,41/142,27.82%,PAX5;WT1;TLX1;PAX3;FLT3;RXRG;HOXA9;MPO;PAX8;MMP3;SPI1;ITGB7;PAX7;FLI1;CCNA1;TRAF1;SLC45A3;MMP9;ERG;IGF1;CEBPE;NGFR;ITGAM;ETV4;LYL1;IL2RB;WNT16;CD40;CD86;BCL11B;PLAU;HMGA2;CD14;PTCRA;IL6;ETV5;MAF;RUNX1;TGFBR2;RUNX2;FLT1,combination
