,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5061315203027434,2.5000912757427036,0.0,0.0,0.0,113/289,28.68%,FGF10;FGF16;LPAR3;TNC;THBS2;COL2A1;EPO;FLT3;EREG;EIF4E1B;LPAR4;ITGA8;COL9A1;GNGT1;COL4A3;FGF6;FGF5;CD19;FGF23;COL4A6;PKN3;OSM;ITGB7;LAMA1;IGF2;LPAR5;PDGFRA;CHRM1;ANGPT1;LAMC3;IL2RA;IGF1;TNN;PIK3R6;IL2RG;IL4;THBS4;PDGFRB;GNB3;PDGFD;CSF3;LAMB2;IL2RB;OSMR;GNG8;ITGB4;IL7R;COL6A2;ITGA11;NTF3;FGF20;ERBB2;EFNA3;FGF7;PIK3AP1;GNG13;LAMA4;COL6A5;KDR;COL6A1;CREB3L4;GNGT2;FGF17;NGFR;COL1A1;FGF21;CHAD;VWF;FN1;FGF2;TEK;PIK3CG;ITGA7;LAMB3;RELN;FGF22;NGF;FGF18;GNG11;PCK1;FGFR3;COL4A5;KIT;FGFR4;EGF;EPOR;IL7;FLT4;SYK;CHRM2;CDK6;GNG10;TLR4;MYB;ITGA10;FLT1;COL1A2;IL6;PDGFC;THBS3;ITGB6;ITGA5;LAMA5;VTN;SOS2;CSF3R;CREB3L3;COL4A4;ERBB4;CSF1R;FGFR2;MTOR;LPAR1,embedding_top30_mouse
1,gsea,JAK-STAT signaling pathway,0.5539669900051278,2.4511968350221447,0.0,0.0,0.0,39/113,23.93%,IL21R;IFNG;IFNE;EPO;IL12A;IL22RA1;IL19;IL13RA2;IL23R;OSM;IL24;IL12RB2;IL21;PDGFRA;IL15;IL2RA;LEP;IL5;IL2RG;IL4;PDGFRB;CSF3;IL2RB;OSMR;IL7R;GFAP;LEPR;IL10RA;IL5RA;MPL;IL22RA2;IL10;EGF;EPOR;IL7;LIF;IL20RA;IL6;STAT4,embedding_top30_mouse
2,gsea,Ras signaling pathway,0.4680914086669767,2.341727846804152,0.0,0.0011520383760980366,0.001,76/192,33.78%,FGF10;FGF16;PLA2G4D;FLT3;GNGT1;FGF6;FGF5;FGF23;PLA2G5;PLA2G4E;IGF2;PDGFRA;ANGPT1;GRIN2B;IGF1;PDGFRB;GNB3;PDGFD;GNG8;RASGRP3;NTF3;PLA1A;PLA2G4F;FGF20;RAC2;EFNA3;FGF7;RASGRP4;GNG13;PLA2G12B;KDR;PLA2G4A;PLA2G2C;GNGT2;FGF17;NGFR;HTR7;FGF21;FGF2;TEK;RAPGEF5;FGF22;NGF;FGF18;GNG11;FGFR3;PLA2G4C;KIT;FGFR4;EGF;FLT4;GNG10;PLD2;PLCE1;FLT1;PDGFC;SHC3;RASAL1;PLA2G2D;SOS2;PLCG2;CSF1R;CALML4;LAT;FGFR2;RASAL3;PIK3CB;GRIN2A;GNG3;FGF1;ETS1;BRAP;RIN1;RASGRP2;PDGFB;NTRK1,embedding_top30_mouse
3,gsea,Serotonergic synapse,0.5199664779783999,2.328270227525725,0.0,0.0008640287820735274,0.001,42/87,34.12%,ALOX12;PLA2G4D;GNGT1;GABRB2;HTR3B;CACNA1S;HTR2C;HTR4;PLA2G4E;HTR6;TPH1;GNB3;HTR2A;GNG8;HTR5A;PLCB2;HTR2B;HTR1F;PLA2G4F;ALOX15;PTGS1;GNG13;HTR3A;PLA2G4A;GNGT2;HTR7;GNG11;PLA2G4C;GNG10;SLC6A4;PTGS2;SLC18A2;KCNJ5;TPH2;CYP4X1;ADCY5;KCND2;GNG3;GABRB1;CACNA1D;RAPGEF3;ALOX12B,embedding_top30_mouse
4,gsea,Phospholipase D signaling pathway,0.49561763161721767,2.3152242081591767,0.0,0.000691223025658822,0.001,53/128,34.46%,AVPR2;AVP;GRM7;LPAR3;GRM3;GRM6;PLA2G4D;PTGFR;LPAR4;CXCR1;MS4A2;PLA2G4E;LPAR5;PDGFRA;PIK3R6;PDGFRB;GRM2;PDGFD;PLCB2;PLA2G4F;CYTH4;PLA2G4A;CXCR2;PIK3CG;PLA2G4C;KIT;EGF;GRM1;SYK;DGKI;PLD2;PDGFC;SHC3;GRM8;SPHK1;SOS2;PLCG2;ADCY7;GRM4;MTOR;LPAR1;GRM5;PIK3CB;ADCY5;PIK3R5;ADCY8;ADCY1;DGKA;AVPR1B;ADCY2;PDGFB;RAPGEF3;PIK3CD,embedding_top30_mouse
5,gsea,Pathways in cancer,0.4614876708584897,2.3094223396726665,0.0,0.0005760191880490183,0.001,175/440,33.78%,FGF10;WNT8A;RXRG;FGF16;LPAR3;SHH;IFNG;EPO;FLT3;MGST2;LPAR4;HHIP;BIRC7;WNT8B;NOS2;LEF1;IL12A;GNGT1;PAX8;COL4A3;FGF6;FGF5;FGF23;NKX3-1;IL23R;COL4A6;MMP2;WNT3A;FZD10;WNT2;GLI1;LAMA1;KIF7;IL12RB2;IGF2;LPAR5;TRAF1;PDGFRA;IL15;PTGER2;LAMC3;IL2RA;WNT6;IGF1;IL5;IL2RG;IL4;TCF7;MMP9;PDGFRB;GNB3;WNT11;CTNNA3;WNT7A;LAMB2;IL2RB;SPI1;GNG8;IL7R;RASGRP3;PLCB2;ESR1;IL5RA;DCC;AR;GLI2;FGF20;RAC2;BDKRB1;BMP4;ESR2;ERBB2;PMAIP1;FZD4;FGF7;RASGRP4;GNG13;LAMA4;WNT7B;RARB;NOTCH3;SKP2;GNGT2;FGF17;WNT2B;FGF21;FN1;CAMK2A;FGF2;WNT16;LAMB3;FGF22;FGF18;GNG11;ALK;PTGER1;HEY2;FGFR3;WNT10A;COL4A5;CXCR4;KIT;EDN1;FGFR4;EGF;EPOR;DAPK2;WNT9A;IL7;FZD9;FLT4;CDK6;GNG10;F2RL3;GLI3;PTGS2;BIRC5;IL6;PTGER3;STAT4;PTCH2;EDNRB;FZD2;DLL3;EGLN3;LAMA5;AXIN2;TGFBR2;RUNX1;HEY1;SOS2;CSF3R;PLCG2;COL4A4;CXCL12;JAG1;MGST1;CSF1R;ADCY7;CALML4;BID;TGFB1;FGFR2;MTOR;FRAT2;WNT10B;LPAR1;SMAD3;RAD51;NQO1;GSTO2;PIK3CB;ADCY5;EDNRA;ITGA2B;WNT5A;CDK2;COL4A2;ADCY8;GSTM4;IL23A;GNG3;FGF1;ZBTB16;ADCY1;ETS1;FZD1;LAMB1;MLH1;ADCY2;RASGRP2;HEYL;LAMA3;PDGFB;NTRK1,embedding_top30_mouse
6,gsea,Wnt signaling pathway,0.48130585372475193,2.3048769111316805,0.0,0.0004937307326134443,0.001,43/128,28.41%,WNT8A;SFRP2;NKD1;WNT8B;LEF1;RSPO1;RSPO2;SFRP1;WNT3A;FZD10;WNT2;DAAM2;WNT6;MMP7;TCF7;WNT11;WNT7A;PLCB2;NOTUM;SOX17;RSPO3;RAC2;DKK1;FZD4;WNT7B;WNT2B;DKK2;CAMK2A;WNT16;SFRP4;WNT10A;LGR5;WNT9A;FZD9;LGR6;CER1;FZD2;WIF1;AXIN2;PRICKLE4;VANGL1;FRAT2;WNT10B,embedding_top30_mouse
7,gsea,Focal adhesion,0.45441405341500735,2.2866379344453565,0.0,0.0004320143910367637,0.001,75/177,34.60%,TNC;THBS2;MYL2;COL2A1;ITGA8;COL9A1;COL4A3;CAV3;COL4A6;PARVG;ITGB7;LAMA1;PDGFRA;LAMC3;IGF1;TNN;MYLK4;MYL10;THBS4;PDGFRB;PDGFD;LAMB2;ITGB4;COL6A2;ITGA11;MYLK2;RAC2;ERBB2;MYLK3;LAMA4;COL6A5;KDR;COL6A1;COL1A1;CHAD;VWF;FN1;FLNC;ITGA7;LAMB3;RELN;MYLK;COL4A5;VAV1;EGF;FLT4;ITGA10;FLT1;COL1A2;PDGFC;SHC3;THBS3;CAV1;ITGB6;ITGA5;MYL7;LAMA5;VTN;SOS2;COL4A4;MYL9;ITGA1;PIK3CB;PARVB;CAV2;ITGA2B;COL4A2;LAMB1;LAMA3;PDGFB;THBS1;LAMC2;PIK3CD;LAMA2;VAV3,embedding_top30_mouse
8,gsea,Human papillomavirus infection,0.43448273355071576,2.26892420740012,0.0,0.0007680255840653577,0.003,93/270,34.92%,WNT8A;ATP6V1E2;TNC;THBS2;COL2A1;TBPL2;WNT8B;ITGA8;ATP6V0D2;COL9A1;COL4A3;COL4A6;HES2;WNT3A;FZD10;WNT2;ITGB7;LAMA1;ATP6V1B1;ATP6V1C2;LAMC3;WNT6;TNN;TCF7;THBS4;PDGFRB;WNT11;CCNA1;WNT7A;LAMB2;ITGB4;COL6A2;ITGA11;FZD4;LAMA4;COL6A5;WNT7B;COL6A1;CREB3L4;NOTCH3;WNT2B;COL1A1;CHAD;VWF;FN1;LFNG;WNT16;ITGA7;LAMB3;RELN;HEY2;WNT10A;COL4A5;RBPJL;EGF;WNT9A;FZD9;CDK6;ITGA10;COL1A2;PTGS2;CCNA2;THBS3;FZD2;ITGB6;ITGA5;LAMA5;AXIN2;VTN;ATP6V0A4;HEY1;SOS2;CREB3L3;COL4A4;JAG1;MTOR;WNT10B;ITGA1;PIK3CB;ITGA2B;WNT5A;CDK2;COL4A2;DLG2;FZD1;LAMB1;HEYL;LAMA3;THBS1;LAMC2;PIK3CD;LAMA2;HES7,embedding_top30_mouse
9,gsea,Th1 and Th2 cell differentiation,0.5434744129575463,2.264358768717617,0.0,0.000691223025658822,0.003,25/68,29.77%,IFNG;TBX21;IL12A;CD3E;IL12RB2;CD3G;GATA3;IL2RA;IL5;PRKCQ;IL2RG;IL4;IL2RB;RUNX3;CD3D;CD4;NOTCH3;RBPJL;STAT4;DLL3;MAF;JAG1;LAT;CD247;LCK,embedding_top30_mouse
