,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,Th17 cell differentiation,0.5898166196705461,2.7415153446781275,0.0,0.0,0.0,18/82,15.61%,RXRG;IFNG;IL21R;CD3E;IL2RA;TBX21;IL4;IL23R;IL21;CD3G;PRKCQ;FOXP3;IRF4;IL17A;CD3D;GATA3;CD4;IL2RG,extra_human_chem
1,gsea,Synaptic vesicle cycle,0.5759176958697446,2.724070062045283,0.0,0.0,0.0,24/66,24.12%,SLC17A7;ATP6V0D2;ATP6V1E2;SLC6A7;SLC6A1;SLC6A12;SLC6A5;SLC1A7;ATP6V1C2;SLC6A2;ATP6V1B1;UNC13C;SLC17A6;SLC1A2;CPLX4;SLC6A11;SLC1A6;CPLX1;SLC6A4;SLC17A8;SLC18A2;SLC6A13;ATP6V0A4;SLC1A3,extra_human_chem
2,gsea,JAK-STAT signaling pathway,0.623743776927791,2.7206237913155187,0.0,0.0,0.0,38/113,22.20%,IFNG;IL12A;EPO;IL19;IL21R;IL22RA1;IL24;IL2RA;IL15;IL4;IFNE;IL23R;IL5RA;IL21;IL5;CSF3;IL7R;LEPR;IL13RA2;IL10RA;IL22RA2;LEP;IL12RB2;OSM;IL10;PDGFRB;IL2RG;MPL;PDGFRA;IL20RA;EPOR;STAT4;IL6;IL2RB;GFAP;IL7;OSMR;CSF3R,extra_human_chem
3,gsea,PI3K-Akt signaling pathway,0.5630577700140025,2.7116594117334056,0.0,0.0,0.0,106/289,26.43%,TNC;COL9A1;LPAR4;EREG;COL2A1;EIF4E1B;FLT3;EPO;LPAR3;CHRM1;THBS2;FGF10;GNGT1;FGF6;CD19;IL2RA;FGF5;FGF16;GNB3;IL4;COL4A6;FGF23;ITGB7;LPAR5;TNN;ANGPT1;CSF3;PIK3R6;COL1A1;NTF3;IL7R;ITGA8;FGF20;IGF1;LAMB2;FGF21;LAMA4;LAMC3;LAMA1;THBS4;COL6A1;NGFR;FGF2;PKN3;ITGA11;IGF2;COL4A3;COL6A5;GNG8;ERBB2;CHAD;TEK;OSM;EFNA3;COL6A2;TLR4;ITGB4;ITGA7;PDGFRB;IL2RG;FLT4;GNGT2;MYB;FGF18;PDGFRA;EPOR;PIK3AP1;CHRM2;GNG13;RELN;IL6;PDGFC;IL2RB;IL7;PDGFD;FGF17;LAMB3;OSMR;VTN;VWF;CSF3R;ITGA5;PIK3CG;FGF7;CREB3L4;CREB3L3;PCK1;COL4A4;GNG10;CDK6;KDR;FGFR3;SYK;ERBB4;FGF22;FN1;NGF;CSF1R;FLT1;GNG11;COL4A5;ITGA1;PIK3R5;EGF;ITGA10;COL4A2,extra_human_chem
4,gsea,Transcriptional misregulation in cancer,0.5446342534574885,2.710594805671886,0.0,0.0,0.0,42/142,27.68%,RXRG;PAX5;FLT3;WT1;PAX3;TLX1;HOXA9;PAX8;MMP3;ITGB7;MPO;SPI1;FLI1;IGF1;NGFR;CCNA1;WNT16;SLC45A3;ERG;TRAF1;ITGAM;ETV4;CEBPE;CD86;BCL11B;PLAU;LYL1;MMP9;IL6;IL2RB;PAX7;HMGA2;RUNX2;MAF;TGFBR2;CSF1R;FLT1;PTCRA;RUNX1;CD14;ZBTB16;CD40,extra_human_chem
5,gsea,Wnt signaling pathway,0.5497077828639713,2.697991505308703,0.0,0.0,0.0,39/128,24.29%,WNT8B;NKD1;WNT8A;LEF1;RSPO1;FZD10;RSPO2;SFRP1;NOTUM;SOX17;WNT11;DKK1;MMP7;PLCB2;WNT3A;SFRP2;WNT7A;WNT6;WNT16;DKK2;WNT2B;DAAM2;RAC2;WNT2;FZD9;CAMK2A;SFRP4;RSPO3;LGR5;FZD2;WNT7B;WNT9A;WIF1;FZD4;TCF7;WNT10A;PRICKLE4;WNT10B;LGR6,extra_human_chem
6,gsea,Signaling pathways regulating pluripotency of stem cells,0.5750073518729388,2.690767234385517,0.0,0.0,0.0,36/116,27.06%,ESRRB;INHBC;WNT8B;NODAL;WNT8A;ONECUT1;DLX5;FZD10;LHX5;TBX3;WNT11;IGF1;WNT3A;SOX2;BMP4;WNT7A;FGF2;WNT6;WNT16;INHBE;WNT2B;HESX1;WNT2;FZD9;DUSP9;FZD2;WNT7B;WNT9A;FZD4;WNT10A;WNT10B;INHBB;FGFR3;LIF;FGFR2;FGFR4,extra_human_chem
7,gsea,Human papillomavirus infection,0.505029350645288,2.687827370201404,0.0,0.0,0.0,71/270,26.43%,TNC;ATP6V0D2;COL9A1;WNT8B;COL2A1;TBPL2;ATP6V1E2;THBS2;WNT8A;FZD10;COL4A6;ITGB7;HES2;TNN;WNT11;COL1A1;ATP6V1C2;ITGA8;ATP6V1B1;WNT3A;LAMB2;LAMA4;LAMC3;LAMA1;THBS4;COL6A1;HEY2;LFNG;WNT7A;CCNA1;WNT6;ITGA11;WNT16;COL4A3;WNT2B;COL6A5;CHAD;COL6A2;ITGB4;NOTCH3;ITGA7;WNT2;PDGFRB;FZD9;FZD2;RELN;WNT7B;CCNA2;WNT9A;FZD4;HEY1;RBPJL;LAMB3;TCF7;VTN;VWF;ITGA5;WNT10A;CREB3L4;ATP6V0A4;CREB3L3;COL4A4;CDK6;WNT10B;FN1;COL4A5;ITGA1;PTGS2;EGF;ITGA10;COL4A2,extra_human_chem
8,gsea,Tight junction,0.5682480882723514,2.6628757594306753,0.0,0.0,0.0,23/129,21.66%,MYH3;MYH1;MYH8;CLDN14;MYL2;BVES;CLDN16;PRKAG3;CLDN18;CLDN5;MYH15;CLDN4;MYH13;CLDN19;CLDN10;ERBB2;WAS;CLDN15;CFTR;MYH7B;HCLS1;MPP4;CGNL1,extra_human_chem
9,gsea,Pathways in cancer,0.5276768875971632,2.6335418506680734,0.0,0.0,0.0,165/440,31.07%,BIRC7;NOS2;RXRG;IFNG;LPAR4;WNT8B;HHIP;IL12A;MGST2;FLT3;EPO;NKX3-1;LPAR3;WNT8A;LEF1;FGF10;PAX8;GNGT1;FZD10;FGF6;SHH;IL2RA;MMP2;IL15;FGF5;FGF16;GNB3;IL4;IL23R;COL4A6;IL5RA;FGF23;IL5;LPAR5;WNT11;GLI2;IL7R;AR;FGF20;SPI1;GLI1;PTGER2;IGF1;PLCB2;RASGRP4;WNT3A;DCC;LAMB2;FGF21;LAMA4;LAMC3;LAMA1;BDKRB1;CTNNA3;HEY2;BMP4;WNT7A;FGF2;IL12RB2;RASGRP3;WNT6;ESR1;WNT16;TRAF1;IGF2;COL4A3;WNT2B;GNG8;ERBB2;NOTCH3;RAC2;WNT2;PDGFRB;IL2RG;FZD9;CAMK2A;FLT4;GNGT2;KIF7;FGF18;DAPK2;PDGFRA;BIRC5;GLI3;EPOR;MMP9;STAT4;CXCR4;FZD2;GNG13;IL6;DLL3;IL2RB;ESR2;WNT7B;WNT9A;F2RL3;IL7;FZD4;HEY1;EDN1;FGF17;LAMB3;EGLN3;TCF7;CSF3R;PMAIP1;WNT10A;FGF7;RARB;TGFBR2;COL4A4;PTGER1;GNG10;CDK6;WNT10B;ADCY7;PTGER3;EDNRB;SKP2;CALML4;FGFR3;FGF22;FN1;CSF1R;GNG11;COL4A5;PTGS2;FRAT2;RUNX1;EGF;ALK;COL4A2;IL23A;FGFR2;FGFR4;ZBTB16;KIT;TGFB1;ADCY8;ETS1;RAD51;LAMA5;HEYL;PTCH2;ADCY5;ADCY2;CDK2;EDNRA;NQO1;GNG3;AXIN2;FZD1;SMAD3;LAMA3;MGST1;RASGRP2;ADCY1;LAMB1;F2R;CXCL12;APC2;ITGA2B;JAG1;IL12RB1,extra_human_chem
10,gsea,Serotonergic synapse,0.590182400892202,2.6169972964649477,0.0,0.0,0.0,41/87,30.78%,ALOX12;PLA2G4D;PLA2G4E;ALOX15;GABRB2;HTR2C;GNGT1;CACNA1S;HTR4;GNB3;HTR2B;HTR2A;HTR6;HTR3B;PLCB2;HTR3A;PLA2G4F;GNG8;HTR7;PTGS1;TPH1;GNGT2;SLC6A4;PLA2G4A;HTR1F;GNG13;SLC18A2;KCNJ5;HTR5A;GNG10;PLA2G4C;GNG11;TPH2;PTGS2;CYP4X1;GABRB1;ADCY5;GNG3;ALOX12B;RAPGEF3;CACNA1F,extra_human_chem
11,gsea,Phospholipase D signaling pathway,0.5640862120581143,2.6046961123666765,0.0,0.0,0.0,43/128,28.89%,AVP;LPAR4;PTGFR;PLA2G4D;PLA2G4E;GRM7;GRM6;LPAR3;GRM2;MS4A2;LPAR5;CXCR1;PIK3R6;AVPR2;PLCB2;PLA2G4F;GRM3;CYTH4;CXCR2;PDGFRB;GRM1;DGKI;PLA2G4A;PDGFRA;SHC3;PDGFC;PDGFD;SPHK1;PIK3CG;ADCY7;GRM8;GRM4;PLA2G4C;GRM5;SYK;PIK3R5;EGF;PLD2;KIT;ADCY8;AVPR1A;ADCY5;ADCY2,extra_human_chem
12,gsea,Chemokine signaling pathway,0.5459610493578744,2.6040720371222585,0.0,0.0,0.0,52/139,30.20%,CCR3;CCR6;FGR;CXCR3;CCL17;GNGT1;XCR1;GNB3;HCK;PPBP;CCL22;CCL24;CXCR6;CXCR1;PIK3R6;CCR7;CCR9;PLCB2;CXCL14;DOCK2;CCL19;CXCR2;GNG8;CCR4;WAS;CXCL9;RAC2;ITK;CCL20;CX3CR1;GNGT2;NCF1;SHC3;CXCR4;GNG13;VAV1;PIK3CG;CXCR5;GNG10;ADCY7;CCL2;CXCL13;GNG11;PIK3R5;ADCY8;CCR10;ADCY5;ADCY2;GNG3;VAV3;RASGRP2;ADCY1,extra_human_chem
13,gsea,Th1 and Th2 cell differentiation,0.6149554323325284,2.5996373166439253,0.0,0.0,0.0,22/68,23.64%,IFNG;IL12A;CD3E;IL2RA;TBX21;IL4;IL5;CD3G;PRKCQ;CD3D;GATA3;IL12RB2;NOTCH3;CD4;IL2RG;RUNX3;STAT4;DLL3;IL2RB;RBPJL;MAF;CD247,extra_human_chem
14,gsea,Toxoplasmosis,0.5607605316840217,2.5799332764973397,0.0,0.0,0.0,14/84,14.70%,BIRC7;NOS2;IFNG;IL12A;CD40LG;PIK3R6;IL10RA;LAMB2;LAMA4;LAMC3;LAMA1;CIITA;IL10;TLR4,extra_human_chem
15,gsea,TGF-beta signaling pathway,0.583629866529274,2.5373727537596493,0.0,0.0,0.0,20/74,24.70%,INHBC;IFNG;NODAL;FMOD;GDF5;NOG;BMP5;BMP4;INHBE;AMHR2;AMH;FST;DCN;LTBP1;BMP7;SMAD6;TGFBR2;GDF6;INHBB;HAMP,extra_human_chem
16,gsea,Focal adhesion,0.5090013771345663,2.52318531296206,0.0,0.0,0.0,64/177,30.22%,TNC;COL9A1;COL2A1;MYL2;THBS2;CAV3;COL4A6;ITGB7;TNN;MYLK2;COL1A1;PARVG;ITGA8;IGF1;LAMB2;LAMA4;LAMC3;MYLK3;LAMA1;THBS4;COL6A1;MYL10;ITGA11;COL4A3;COL6A5;ERBB2;CHAD;COL6A2;ITGB4;ITGA7;RAC2;PDGFRB;MYLK4;FLT4;MYLK;PDGFRA;SHC3;RELN;PDGFC;VAV1;PDGFD;LAMB3;VTN;VWF;ITGA5;MYL7;COL4A4;FLNC;KDR;FN1;FLT1;COL4A5;ITGA1;EGF;ITGA10;COL4A2;PARVB;LAMA5;COL1A2;CAV1;VAV3;LAMA3;THBS3;LAMB1,extra_human_chem
17,gsea,Vascular smooth muscle contraction,0.5361615618717221,2.5212371656938077,0.0,0.0,0.0,49/110,30.78%,AVP;PLA2G4D;PLA2G4E;KCNMB3;CACNA1S;PLA2G5;PRKCQ;MYLK2;PTGIR;ADRA1D;PLCB2;MYLK3;CALCRL;PLA2G4F;ACTG2;NPPC;MYLK4;ADM;CALCB;PLA2G4A;NPPA;MYLK;ACTA2;NPPB;PRKCH;PLA2G12B;EDN1;PLA2G2C;PPP1R14A;ADCY7;PLA2G4C;CALML4;PLA2G2D;MYL6B;ADCY8;RAMP3;ADRA1B;AVPR1A;GUCY1A2;ADCY5;ADCY2;EDNRA;KCNMB4;PRKG1;NPR2;ADCY1;ADRA1A;NPR1;CACNA1F,extra_human_chem
18,gsea,Melanogenesis,0.5381887192828632,2.502369561115255,0.0,0.0,0.0,36/84,30.20%,TYRP1;WNT8B;WNT8A;LEF1;FZD10;WNT11;TYR;PLCB2;WNT3A;WNT7A;WNT6;WNT16;WNT2B;WNT2;FZD9;CAMK2A;FZD2;WNT7B;WNT9A;FZD4;EDN1;TCF7;WNT10A;CREB3L4;CREB3L3;MC1R;WNT10B;ADCY7;EDNRB;CALML4;KIT;ADCY8;ADCY5;ADCY2;FZD1;ADCY1,extra_human_chem
19,gsea,Breast cancer,0.569694732099202,2.4895943347191656,0.0,0.0,0.0,46/124,26.18%,WNT8B;TNFSF11;WNT8A;LEF1;FGF10;FZD10;FGF6;FGF5;FGF16;FGF23;WNT11;FGF20;IGF1;WNT3A;FGF21;HEY2;WNT7A;FGF2;WNT6;ESR1;WNT16;WNT2B;ERBB2;NOTCH3;PGR;WNT2;FZD9;FLT4;FGF18;SHC3;FZD2;DLL3;ESR2;WNT7B;WNT9A;FZD4;HEY1;FGF17;TCF7;WNT10A;FGF7;CDK6;WNT10B;FGF22;FRAT2;EGF,extra_human_chem
20,gsea,Ras signaling pathway,0.5098841449818446,2.488445984765125,0.0,0.0,0.0,69/192,30.13%,PLA2G4D;PLA2G4E;FLT3;FGF10;GNGT1;FGF6;FGF5;FGF16;GNB3;FGF23;PLA2G5;ANGPT1;NTF3;FGF20;IGF1;RASGRP4;FGF21;NGFR;FGF2;PLA2G4F;RASGRP3;IGF2;GNG8;TEK;EFNA3;HTR7;GRIN2B;RAC2;PDGFRB;FLT4;GNGT2;PLCE1;FGF18;PLA2G4A;PDGFRA;SHC3;PLA1A;GNG13;PDGFC;PDGFD;PLA2G12B;FGF17;PLA2G2C;FGF7;GNG10;PLA2G4C;KDR;CALML4;FGFR3;RAPGEF5;FGF22;NGF;CSF1R;FLT1;GNG11;PLA2G2D;EGF;LAT;FGFR2;PLD2;FGFR4;KIT;ETS1;GRIN2A;GNG3;RASAL1;RIN1;RASAL3;RASGRP2,extra_human_chem
21,gsea,cGMP-PKG signaling pathway,0.4836220970979623,2.487031113253193,0.0,0.0,0.0,53/141,30.78%,ADRA2B;KCNMB3;KCNJ8;OPRD1;CACNA1S;ADRB3;ADRA2C;ATP1A4;ATP2B3;MYLK2;PIK3R6;SLC8A3;CNGA1;ADRA1D;ATP2A1;PLCB2;TRPC6;MYLK3;PRKG2;PLN;NPPC;PDE2A;MYLK4;ATP1A2;NPPA;MYLK;SLC25A31;NPPB;CNGB1;PIK3CG;CREB3L4;CREB3L3;ADCY7;EDNRB;MYH7;CALML4;PIK3R5;ADCY8;ATP1A3;ADRA1B;GUCY1A2;ADCY5;ADCY2;FXYD2;EDNRA;KCNMB4;PRKG1;NPR2;PDE3A;ADCY1;ADRA1A;NPR1;CACNA1F,extra_human_chem
22,gsea,T cell receptor signaling pathway,0.5377716790137002,2.475737748440662,0.0,0.0,0.0,20/85,23.64%,IFNG;CD8A;CD3E;IL4;CD40LG;IL5;CD3G;CTLA4;PRKCQ;CD3D;CARD11;ICOS;IL10;CD4;ITK;GRAP2;LCP2;VAV1;CD28;CD247,extra_human_chem
23,gsea,Apelin signaling pathway,0.5002155843693212,2.473519608526962,0.0,0.0,0.0,40/121,30.20%,RYR1;NOS2;MYL2;PRKAG3;APLNR;GNGT1;GNB3;MYLK2;PIK3R6;SLC8A3;PLCB2;MYLK3;APLN;GNG8;NOTCH3;RYR2;MYLK4;ADCY10;GNGT2;NOS1;MYLK;MYL3;ACTA2;PLIN1;GNG13;RYR3;SPHK1;UCP1;PIK3CG;GNG10;ADCY7;CALML4;GNG11;PIK3R5;ADCY8;ADCY5;ADCY2;GNG3;SMAD3;ADCY1,extra_human_chem
24,gsea,Regulation of actin cytoskeleton,0.4909995073921672,2.468278419253079,0.0,0.0,0.0,54/183,27.06%,LPAR4;MYL2;CHRM1;FGF10;FGF6;CHRM5;FGF5;FGF16;FGF23;ITGAL;FGD3;ITGB7;LPAR5;ITGAX;MYLK2;ITGA8;FGF20;FGF21;MYLK3;BDKRB1;MYL10;FGF2;ITGA11;ITGAM;WAS;ITGAE;ITGB4;ITGA7;RAC2;PDGFRB;MYLK4;FGF18;MYLK;PDGFRA;CHRM2;CXCR4;PDGFC;VAV1;NCKAP1L;PDGFD;FGF17;PFN4;ITGA5;FGF7;MYL7;ITGAD;FGFR3;FGF22;FN1;ITGA1;EGF;ITGA10;FGFR2;FGFR4,extra_human_chem
25,gsea,Long-term depression,0.5824535778563402,2.4610590891365787,0.0,0.0,0.0,11/51,17.59%,RYR1;PLA2G4D;PLA2G4E;GRIA1;IGF1;PLCB2;PRKG2;PLA2G4F;GRM1;NOS1;PLA2G4A,extra_human_chem
26,gsea,Adipocytokine signaling pathway,0.6065277513324017,2.459166648191446,0.0,0.0,0.0,14/58,26.11%,ACSBG2;RXRG;PRKAG3;ADIPOQ;CPT1B;PRKCQ;LEPR;LEP;ACSBG1;TNFRSF1B;PCK1;CD36;PPARA;CAMKK2,extra_human_chem
27,gsea,Glutamatergic synapse,0.5899131222716373,2.453591327913443,0.0,0.0,0.0,46/99,29.24%,GRIK1;SLC17A7;PLA2G4D;PLA2G4E;GRIA1;GRM7;GRM6;GRIA4;GNGT1;GNB3;GRM2;SLC1A7;SLC17A6;PLCB2;PLA2G4F;GRIN3A;SLC1A2;GRM3;GNG8;GRIN3B;GRIN2B;SLC1A6;GNGT2;GRM1;PLA2G4A;SLC17A8;GNG13;HOMER2;SLC38A1;GNG10;ADCY7;SLC1A3;GRIK4;GRM8;GRM4;PLA2G4C;GRM5;GNG11;GRIK3;GRIN2D;PLD2;ADCY8;GRIN2A;ADCY5;ADCY2;GNG3,extra_human_chem
