,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5180409102953052,2.5223433775830824,0.0,0.0,0.0,112/289,27.43%,FGF10;THBS2;COL4A6;FGF23;LPAR3;ITGA8;EPO;TNC;EREG;COL2A1;FLT3;COL9A1;EIF4E1B;LPAR4;FGF16;CD19;COL4A3;PDGFRA;GNGT1;PCK1;FGF17;CHRM1;LAMA1;SYK;FGF5;LAMB2;PKN3;IL2RA;IL2RB;PDGFRB;ITGB7;IL2RG;GNG11;THBS3;LPAR5;OSM;FGF6;TNN;CREB3L4;IL4;NGF;CDK6;GNB3;IGF1;COL6A2;ITGA11;THBS4;PDGFD;PIK3R6;GNG13;IL7R;IGF2;CSF3;ANGPT1;ITGB4;GNG8;NTF3;COL1A2;FN1;FGF20;OSMR;VWF;LAMC3;EFNA3;KIT;FGFR4;FGF21;COL6A5;LAMA4;COL6A1;CHAD;NGFR;PIK3CG;ITGA7;FGF2;PIK3AP1;LAMB3;TEK;KDR;FGF7;EGF;COL1A1;FGF18;COL4A5;EPOR;TLR4;FGF22;FLT4;CHRM2;IL7;GNG10;ITGA10;FLT1;GNGT2;RELN;MYB;ERBB2;PDGFC;IL6;LPAR1;SOS2;FGFR3;LAMA5;PIK3CB;CREB3L3;FGFR2;ITGB6;MTOR;VTN;ITGA5;CSF3R;ERBB4,extra_human_neonatal
1,gsea,JAK-STAT signaling pathway,0.5465032606089966,2.4493086574691088,0.0,0.0017714665314256734,0.002,44/113,27.29%,GFAP;IL13RA2;IL12A;EPO;IFNG;IFNE;PDGFRA;IL12RB2;IL2RA;IL2RB;PDGFRB;IL5RA;IL2RG;IL21;LEP;IL5;OSM;IL4;IL22RA1;MPL;IL22RA2;IL21R;IL7R;CSF3;OSMR;LEPR;IL10RA;IL24;IL10;IL15;EGF;EPOR;IL19;IL7;IL20RA;STAT4;IL23R;LIF;TSLP;IL6;SOS2;PIK3CB;MTOR;CSF3R,extra_human_neonatal
2,gsea,Ras signaling pathway,0.4841358811897204,2.4029451136696314,0.0,0.002361955375234231,0.003,66/192,28.01%,FGF10;FGF23;PLA2G2C;PLA2G4D;FLT3;FGF16;PDGFRA;GNGT1;GRIN2B;FGF17;PLA2G4C;FGF5;PDGFRB;PLA2G12B;PLA2G4F;RAPGEF5;GNG11;FGF6;NGF;GNB3;IGF1;PLA2G5;PDGFD;GNG13;IGF2;ANGPT1;GNG8;NTF3;FGF20;EFNA3;KIT;FGFR4;RASGRP4;FGF21;PLA2G4E;RASGRP3;PLA2G4A;NGFR;HTR7;RAC2;FGF2;TEK;KDR;FGF7;EGF;FGF18;PLA1A;FGF22;FLT4;RASAL3;GNG10;FLT1;GNGT2;PLD2;PLCE1;PDGFC;SOS2;PLCG2;FGFR3;PIK3CB;LAT;PLA2G2D;FGFR2;RASAL1;CALML4;SHC3,extra_human_neonatal
3,gsea,Wnt signaling pathway,0.48852559259060074,2.3522850647167948,0.0,0.0022143331642820916,0.004,45/128,30.14%,WNT8A;RSPO1;NKD1;WNT8B;LEF1;WNT2;SFRP2;WNT3A;FZD10;SFRP4;PLCB2;WNT6;RSPO3;SFRP1;NOTUM;WNT2B;MMP7;WNT11;SOX17;LGR6;RSPO2;TCF7;DKK2;WNT7B;WNT7A;DKK1;DAAM2;FZD4;WNT10A;CAMK2A;RAC2;WNT16;VANGL1;FZD9;LGR5;WNT9A;TBL1XR1;FZD2;WIF1;AXIN2;PRICKLE4;CER1;WNT10B;FRAT2;SMAD3,extra_human_neonatal
4,gsea,Phospholipase D signaling pathway,0.5047071754694137,2.3330281293693735,0.0,0.0017714665314256734,0.004,51/128,33.47%,AVP;AVPR2;GRM7;LPAR3;GRM6;PLA2G4D;PTGFR;LPAR4;MS4A2;PDGFRA;PLA2G4C;SYK;PLCB2;CXCR1;PDGFRB;PLA2G4F;LPAR5;GRM2;GRM3;PDGFD;PIK3R6;KIT;PLA2G4E;PLA2G4A;CYTH4;PIK3CG;CXCR2;EGF;GRM1;DGKI;PLD2;PDGFC;LPAR1;GRM8;SOS2;PLCG2;PIK3CB;SPHK1;MTOR;SHC3;ADCY7;GRM5;GRM4;ADCY5;PIK3R5;AVPR1B;DGKA;ADCY1;ADCY8;PDGFB;ADCY2,extra_human_neonatal
5,gsea,Leukocyte transendothelial migration,0.49316398393172883,2.3271791170986216,0.0,0.0014762221095213945,0.004,34/93,26.71%,CLDN19;MYL10;MYL2;CLDN16;CLDN14;CLDN10;ITK;NCF4;CLDN8;CLDN15;ESAM;NCF2;MMP2;CLDN5;ITGAL;CTNNA3;NCF1;TXK;RHOH;ITGAM;CLDN4;MMP9;CLDN18;THY1;CLDN2;RAC2;VCAM1;CDH5;MYL9;CXCR4;VAV1;PLCG2;PIK3CB;MYL7,extra_human_neonatal
6,gsea,Pathways in cancer,0.46565216063067805,2.3194979523730908,0.0,0.0015183998840791488,0.005,176/440,33.72%,FGF10;ESR2;NKX3-1;COL4A6;WNT8A;FGF23;LPAR3;IL12A;NOS2;EPO;BIRC7;RXRG;FLT3;WNT8B;IFNG;HHIP;MGST2;LPAR4;FGF16;COL4A3;GLI1;LEF1;TRAF1;WNT2;PDGFRA;GNGT1;IL12RB2;FGF17;WNT3A;PAX8;LAMA1;FGF5;FZD10;LAMB2;IL2RA;PLCB2;PMAIP1;SHH;IL2RB;PDGFRB;IL5RA;IL2RG;WNT6;IL5;GNG11;LPAR5;FGF6;IL4;CDK6;MMP2;KIF7;GNB3;IGF1;CTNNA3;GNG13;IL7R;SPI1;IGF2;WNT2B;DCC;GNG8;AR;GLI2;FN1;WNT11;SKP2;RARB;FGF20;ESR1;MMP9;PTGS2;BMP4;TCF7;PTGER2;LAMC3;WNT7B;WNT7A;KIT;FGFR4;RASGRP4;FGF21;ALK;LAMA4;RASGRP3;FZD4;WNT10A;CAMK2A;RAC2;WNT16;FGF2;LAMB3;BDKRB1;IL15;FGF7;EGF;FGF18;COL4A5;EPOR;PTGER1;FGF22;FLT4;DAPK2;PTCH2;IL7;FZD9;GNG10;GNGT2;BIRC5;ERBB2;JAG1;WNT9A;GLI3;STAT4;IL23R;PTGER3;CXCR4;IL6;LPAR1;EDNRB;FZD2;DLL3;SOS2;PLCG2;FGFR3;BID;EDN1;LAMA5;PIK3CB;EGLN3;HEY1;GSTO2;TGFBR2;F2RL3;AXIN2;RUNX1;FGFR2;MTOR;TRAF5;CSF3R;CALML4;CXCL12;MGST1;ADCY7;COL4A4;WNT10B;TGFB1;MLH1;FRAT2;RAD51;MSH2;HEY2;SMAD3;ADCY5;TRAF2;ITGA2B;FGF1;CSF1R;COL4A2;CDK2;LAMC2;IL23A;GNG3;ZBTB16;EDNRA;FZD1;ADCY1;ETS1;ADCY8;NTRK1;BRCA2;NQO1;PDGFB;ADCY2;RARA;HEYL;GSTM4,extra_human_neonatal
7,gsea,Focal adhesion,0.4516507673662637,2.290615552410965,0.0,0.0013285998985692552,0.005,80/177,37.96%,THBS2;COL4A6;MYL10;ITGA8;MYL2;TNC;COL2A1;COL9A1;COL4A3;PDGFRA;LAMA1;LAMB2;PDGFRB;ITGB7;THBS3;FLNC;TNN;IGF1;COL6A2;ITGA11;THBS4;PDGFD;ITGB4;MYLK4;COL1A2;FN1;MYLK3;MYLK2;VWF;LAMC3;COL6A5;LAMA4;COL6A1;CHAD;ITGA7;RAC2;LAMB3;KDR;EGF;MYLK;PARVG;COL1A1;COL4A5;FLT4;ITGA10;FLT1;RELN;ERBB2;PDGFC;CAV1;MYL9;VAV1;SOS2;LAMA5;PIK3CB;MYL7;ITGB6;VTN;ITGA5;SHC3;COL4A4;CAV2;ITGA1;PARVB;ITGA2B;COL4A2;LAMC2;PDGFB;CRK;LAMB1;VAV3;LAMA3;CAV3;LAMA2;THBS1;PPP1R12B;LAMC1;PIK3CD;ITGB5;HGF,extra_human_neonatal
8,gsea,Human papillomavirus infection,0.44206573157341794,2.2850389945571634,0.0,0.0011809776876171155,0.005,84/270,32.24%,THBS2;COL4A6;WNT8A;TBPL2;ITGA8;ATP6V1E2;ATP6V0D2;TNC;COL2A1;COL9A1;WNT8B;COL4A3;WNT2;WNT3A;LAMA1;FZD10;LAMB2;ATP6V1B1;PDGFRB;ITGB7;WNT6;THBS3;TNN;CREB3L4;HES2;CCNA1;CDK6;COL6A2;ITGA11;THBS4;ITGB4;WNT2B;COL1A2;FN1;WNT11;PTGS2;TCF7;VWF;LAMC3;WNT7B;WNT7A;COL6A5;LAMA4;COL6A1;ATP6V1C2;FZD4;WNT10A;CHAD;ITGA7;LFNG;WNT16;LAMB3;EGF;COL1A1;COL4A5;FZD9;RBPJL;ITGA10;RELN;JAG1;WNT9A;CCNA2;FZD2;SOS2;LAMA5;PIK3CB;HEY1;ATP6V0A4;AXIN2;CREB3L3;ITGB6;MTOR;VTN;ITGA5;COL4A4;WNT10B;HEY2;ITGA1;PPP2R5D;ITGA2B;COL4A2;CDK2;LAMC2;FZD1,extra_human_neonatal
9,gsea,Regulation of actin cytoskeleton,0.44883062142706637,2.272438464774401,0.0,0.0012400265719979715,0.006,64/183,31.44%,FGF10;MYL10;FGF23;ITGA8;MYL2;LPAR4;FGF16;PDGFRA;FGF17;CHRM1;FGF5;PDGFRB;ITGB7;CHRM5;LPAR5;FGF6;WAS;ITGAL;ITGA11;FGD3;NCKAP1L;PDGFD;ITGB4;ITGAM;MYLK4;FN1;MYLK3;MYLK2;ITGAX;FGF20;FGFR4;FGF21;ITGA7;RAC2;FGF2;BDKRB1;FGF7;EGF;MYLK;FGF18;ITGAE;FGF22;CHRM2;MYH9;ITGA10;PFN4;PDGFC;MYL9;CXCR4;LPAR1;VAV1;SOS2;FGFR3;PIK3CB;MYL7;FGFR2;ITGB6;ITGA5;CXCL12;ITGAD;ITGA1;WASF1;ITGA2B;FGF1,extra_human_neonatal
