,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5076630653684076,2.491120826019488,0.0,0.0,0.0,120/289,30.72%,COL4A6;FGF23;THBS2;CD19;FGF10;CHRM1;LPAR3;EPO;TNC;EREG;EIF4E1B;COL9A1;COL2A1;FLT3;LPAR4;GNGT1;FGF16;IL2RA;PCK1;FGF5;COL4A3;ITGA11;PDGFRA;COL6A2;IGF2;ITGB7;ITGA8;LPAR5;NTF3;OSM;LAMA1;ANGPT1;IL2RG;IL4;TNN;CSF3;GNB3;IGF1;FGF20;IL2RB;GNG8;THBS4;THBS3;ITGB4;PDGFD;LAMB2;FGF17;LAMC3;IL7R;PKN3;CDK6;GNG11;COL6A5;CREB3L4;EFNA3;VWF;CHAD;LAMA4;PIK3R6;NGF;PDGFRB;FGFR4;EGF;FGF6;SYK;COL6A1;LAMB3;COL1A2;ITGA7;TEK;NGFR;KIT;FGF2;FGF21;PIK3AP1;PIK3CG;FN1;OSMR;EPOR;FGF18;FLT4;GNG10;IL7;TLR4;ERBB2;KDR;GNG13;FLT1;MYB;GNGT2;RELN;CHRM2;COL1A1;FGF7;PDGFC;SOS2;IL6;MTOR;FGFR2;COL4A5;CREB3L3;FGF22;VTN;CSF3R;COL4A4;LAMA5;ITGA10;ITGB6;ITGA5;PIK3CB;ITGA1;LPAR1;ERBB4;PIK3R5;ITGA2B;FGFR3;COL4A2;GNG3;PPP2R5D;FGF1,extra_human_preT2D
1,gsea,Wnt signaling pathway,0.4859902136937274,2.327152769100048,0.0,0.0,0.0,47/128,31.03%,PLCB2;LEF1;NKD1;WNT8B;WNT3A;RSPO1;DKK2;WNT8A;MMP7;FZD10;WNT2;SFRP2;SFRP1;WNT2B;WNT6;WNT11;WNT7A;NOTUM;SOX17;SFRP4;WNT7B;DKK1;CAMK2A;FZD4;WNT16;WNT10A;TCF7;RAC2;DAAM2;LGR5;FZD9;LGR6;RSPO3;VANGL1;PRICKLE4;FZD2;WIF1;TBL1XR1;CER1;WNT9A;AXIN2;WNT10B;FRAT2;SMAD3;RSPO2;FZD1;RNF43,extra_human_preT2D
2,gsea,Th1 and Th2 cell differentiation,0.5508589033619746,2.303220937275124,0.0,0.0005718477478807651,0.001,24/68,27.69%,CD3E;TBX21;IFNG;IL12A;IL2RA;CD3G;IL12RB2;IL2RG;IL4;GATA3;IL2RB;PRKCQ;CD3D;IL5;CD4;RBPJL;STAT4;JAG1;DLL3;LAT;MAF;RUNX3;LCK;CD247,extra_human_preT2D
3,gsea,Pathways in cancer,0.46381168063818806,2.2826296609565566,0.0,0.00042888581091057377,0.001,165/440,31.62%,GLI1;COL4A6;FGF23;PLCB2;FGF10;NKX3-1;ESR2;LEF1;LPAR3;EPO;BIRC7;WNT8B;IFNG;HHIP;MGST2;FLT3;LPAR4;NOS2;IL12A;GNGT1;RXRG;WNT3A;PAX8;FGF16;IL2RA;FGF5;COL4A3;PDGFRA;IGF2;WNT8A;SHH;SPI1;FZD10;WNT2;LPAR5;KIF7;LAMA1;IL12RB2;IL2RG;IL4;IL5RA;WNT2B;BMP4;CTNNA3;WNT6;GNB3;GLI2;IGF1;MMP2;FGF20;IL2RB;MMP9;WNT11;GNG8;DCC;WNT7A;TRAF1;PTGER2;LAMB2;FGF17;PMAIP1;LAMC3;ESR1;RASGRP4;IL7R;AR;RARB;WNT7B;RASGRP3;CDK6;GNG11;IL5;LAMA4;PDGFRB;FGFR4;CAMK2A;EGF;FGF6;LAMB3;FZD4;KIT;FGF2;WNT16;DAPK2;FGF21;FN1;WNT10A;PTGS2;TCF7;SKP2;EPOR;RAC2;FGF18;ALK;FLT4;GLI3;GNG10;IL7;BIRC5;FZD9;ERBB2;GNG13;BDKRB1;GNGT2;STAT4;PTCH2;FGF7;JAG1;PTGER1;SOS2;IL6;FZD2;EDNRB;DLL3;CXCR4;MTOR;PTGER3;RUNX1;IL15;HEY1;FGFR2;CXCL12;COL4A5;PLCG2;TGFBR2;BID;FGF22;WNT9A;CSF3R;AXIN2;CALML4;EGLN3;COL4A4;LAMA5;ADCY7;TGFB1;GSTO2;EDN1;WNT10B;PIK3CB;FRAT2;F2RL3;MLH1;MGST1;LPAR1;SMAD3;ADCY5;MSH2;ITGA2B;FGFR3;IL23R;TRAF5;COL4A2;GNG3;EDNRA;FGF1;IL23A;TRAF2;FZD1;ZBTB16;ADCY1;CDK2;ETS1;BRCA2;ADCY8,extra_human_preT2D
4,gsea,Human papillomavirus infection,0.442145236335176,2.2803560551620086,0.0,0.0003431086487284591,0.001,76/270,27.41%,COL4A6;THBS2;TBPL2;TNC;COL9A1;WNT8B;COL2A1;ATP6V0D2;ATP6V1E2;WNT3A;COL4A3;ITGA11;COL6A2;WNT8A;ITGB7;ITGA8;FZD10;WNT2;ATP6V1B1;LAMA1;CCNA1;WNT2B;TNN;WNT6;WNT11;THBS4;THBS3;ITGB4;WNT7A;LAMB2;LAMC3;WNT7B;CDK6;COL6A5;CREB3L4;HES2;VWF;CHAD;LAMA4;PDGFRB;EGF;COL6A1;LAMB3;COL1A2;ITGA7;FZD4;LFNG;WNT16;FN1;WNT10A;PTGS2;TCF7;FZD9;CCNA2;RELN;RBPJL;COL1A1;JAG1;SOS2;FZD2;ATP6V1C2;MTOR;ATP6V0A4;HEY1;COL4A5;CREB3L3;WNT9A;VTN;AXIN2;COL4A4;LAMA5;ITGA10;ITGB6;ITGA5;WNT10B;PIK3CB,extra_human_preT2D
5,gsea,Ras signaling pathway,0.4614500200212147,2.259254649000742,0.0,0.00028592387394038257,0.001,70/192,31.33%,FGF23;FGF10;PLA2G4D;FLT3;GNGT1;FGF16;FGF5;PDGFRA;IGF2;PLA2G4F;NTF3;ANGPT1;PLA2G2C;GRIN2B;GNB3;IGF1;PLA2G5;FGF20;GNG8;PLA2G12B;PDGFD;FGF17;RAPGEF5;RASGRP4;HTR7;RASGRP3;GNG11;EFNA3;PLA2G4C;NGF;PDGFRB;FGFR4;EGF;FGF6;PLA2G4A;TEK;NGFR;KIT;FGF2;FGF21;RAC2;FGF18;FLT4;GNG10;KDR;GNG13;FLT1;GNGT2;PLCE1;FGF7;PDGFC;SOS2;RASAL1;PLA2G2D;PLD2;FGFR2;PLCG2;LAT;FGF22;CALML4;PLA1A;RASAL3;PIK3CB;GRIN2A;SHC3;BRAP;FGFR3;GNG3;FGF1;ETS1,extra_human_preT2D
6,gsea,Focal adhesion,0.45209644699229873,2.2493096965683343,0.0,0.00024507760623461363,0.001,66/177,30.32%,MYL10;COL4A6;THBS2;MYL2;TNC;COL9A1;COL2A1;COL4A3;ITGA11;PDGFRA;COL6A2;ITGB7;ITGA8;MYLK3;LAMA1;TNN;IGF1;THBS4;THBS3;ITGB4;PDGFD;LAMB2;MYLK2;LAMC3;FLNC;COL6A5;VWF;CHAD;LAMA4;PDGFRB;EGF;COL6A1;LAMB3;COL1A2;ITGA7;MYLK;FN1;MYLK4;RAC2;FLT4;ERBB2;KDR;FLT1;RELN;COL1A1;PDGFC;CAV1;SOS2;MYL7;VAV1;COL4A5;MYL9;VTN;COL4A4;LAMA5;ITGA10;ITGB6;ITGA5;PIK3CB;ITGA1;CAV2;PARVB;PARVG;SHC3;ITGA2B;COL4A2,extra_human_preT2D
7,gsea,Phospholipase D signaling pathway,0.4986941159769152,2.2453952675611704,0.0,0.00021444290545528688,0.001,49/128,32.51%,MS4A2;AVP;PLCB2;LPAR3;GRM6;PLA2G4D;GRM7;LPAR4;PTGFR;GRM2;PDGFRA;PLA2G4F;CXCR1;LPAR5;AVPR2;PDGFD;PLA2G4C;PIK3R6;PDGFRB;EGF;SYK;PLA2G4A;CXCR2;KIT;CYTH4;PIK3CG;GRM1;DGKI;PDGFC;SOS2;MTOR;GRM8;PLD2;SPHK1;PLCG2;GRM3;ADCY7;PIK3CB;GRM4;GRM5;LPAR1;ADCY5;SHC3;PIK3R5;ADCY1;ADCY8;DGKA;ADCY2;AVPR1B,extra_human_preT2D
8,gsea,JAK-STAT signaling pathway,0.49860567704027325,2.214996807299965,0.0,0.000571847747880765,0.003,46/113,32.15%,IL13RA2;EPO;IFNG;IL12A;IFNE;IL2RA;PDGFRA;GFAP;OSM;IL12RB2;IL2RG;IL4;LEPR;IL5RA;IL21;CSF3;IL2RB;IL22RA2;IL7R;IL5;IL10RA;PDGFRB;EGF;LEP;IL10;IL22RA1;OSMR;EPOR;IL20RA;IL7;STAT4;MPL;SOS2;IL6;MTOR;TSLP;IL15;CSF3R;IL21R;PIK3CB;LIF;IL24;IL23R;IL23A;SOCS1;IL17D,extra_human_preT2D
9,gsea,Signaling pathways regulating pluripotency of stem cells,0.49288789310487435,2.2027943260644243,0.0,0.0006862172974569182,0.004,40/116,30.89%,ONECUT1;ESRRB;WNT8B;INHBC;WNT3A;DLX5;NODAL;WNT8A;SOX2;FZD10;WNT2;WNT2B;BMP4;TBX3;WNT6;IGF1;WNT11;WNT7A;LHX5;WNT7B;HESX1;INHBE;FGFR4;FZD4;FGF2;WNT16;WNT10A;FZD9;DUSP9;FZD2;FGFR2;WNT9A;AXIN2;WNT10B;PIK3CB;INHBB;LIF;SMAD3;FGFR3;FZD1,extra_human_preT2D
