,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.4942608741882106,2.404376124237069,0.0,0.0,0.0,111/289,27.36%,THBS2;PCK1;COL4A6;FGF23;CD19;FGF10;COL4A3;LPAR3;EPO;TNC;EREG;COL9A1;EIF4E1B;COL2A1;FLT3;LPAR4;GNGT1;FGF16;IL2RA;CHRM1;ITGB7;IL2RB;COL6A2;ITGA8;PDGFD;IGF1;LPAR5;FGF5;IL4;ITGA11;PDGFRB;LAMA1;IGF2;PDGFRA;TNN;NTF3;THBS3;GNB3;SYK;IL2RG;FGF6;OSM;CSF3;PKN3;FGF17;ANGPT1;LAMB2;FGF20;GNG8;ITGB4;FGF21;IL7R;THBS4;LAMC3;FN1;CREB3L4;PIK3R6;OSMR;GNG11;NGF;COL6A5;LAMA4;COL6A1;PIK3CG;EFNA3;CHAD;KIT;VWF;FGF18;CDK6;NGFR;FGF2;FGFR4;PIK3AP1;TEK;EPOR;ITGA7;ERBB2;EGF;GNG13;GNG10;LAMB3;CHRM2;COL1A2;RELN;FGF7;TLR4;KDR;FLT4;IL7;GNGT2;COL4A5;MYB;FLT1;PDGFC;COL1A1;FGF22;IL6;SOS2;ITGA10;ITGA5;LAMA5;FGFR3;ITGB6;VTN;CSF3R;MTOR;CREB3L3;COL4A4;LPAR1;FGFR2,extra_mouse_Embryonic
1,gsea,JAK-STAT signaling pathway,0.5211556352107478,2.3403167254286803,0.0,0.0,0.0,44/113,27.81%,IL13RA2;EPO;IFNG;IL12A;IFNE;GFAP;IL5;IL2RA;IL2RB;IL21;IL4;PDGFRB;PDGFRA;IL5RA;LEP;IL12RB2;IL2RG;OSM;CSF3;IL22RA1;IL21R;IL22RA2;IL19;IL7R;LEPR;OSMR;IL10RA;IL24;IL10;EPOR;EGF;IL7;MPL;IL20RA;IL15;STAT4;TSLP;IL6;LIF;SOS2;CSF3R;MTOR;IL23R;PIK3CB,extra_mouse_Embryonic
2,gsea,Phospholipase D signaling pathway,0.49144143770986576,2.2763583308026627,0.0,0.001733939738487777,0.003,50/128,32.67%,AVP;MS4A2;PLA2G4F;GRM7;LPAR3;PLA2G4D;AVPR2;PTGFR;LPAR4;PLCB2;GRM6;CXCR1;PDGFD;GRM2;LPAR5;PDGFRB;PDGFRA;PLA2G4C;SYK;PLA2G4E;PIK3R6;PIK3CG;CYTH4;KIT;CXCR2;PLA2G4A;GRM3;EGF;GRM1;DGKI;PDGFC;PLD2;SOS2;GRM8;SPHK1;PLCG2;MTOR;LPAR1;ADCY7;GRM4;PIK3CB;GRM5;SHC3;ADCY5;PIK3R5;DGKA;ADCY1;ADCY8;AVPR1B;ADCY2,extra_mouse_Embryonic
3,gsea,Ras signaling pathway,0.4553979195632736,2.230851148257833,0.0,0.0017339397384877769,0.004,75/192,33.55%,FGF23;FGF10;PLA2G4F;PLA2G4D;FLT3;GNGT1;FGF16;PLA2G2C;PDGFD;IGF1;FGF5;PDGFRB;IGF2;PDGFRA;GRIN2B;PLA2G4C;NTF3;GNB3;PLA2G5;PLA2G4E;FGF6;FGF17;RAPGEF5;ANGPT1;FGF20;GNG8;FGF21;RASGRP4;PLA2G12B;GNG11;NGF;HTR7;EFNA3;RASGRP3;KIT;FGF18;NGFR;FGF2;PLA2G4A;FGFR4;TEK;EGF;RAC2;GNG13;GNG10;FGF7;KDR;FLT4;GNGT2;PLCE1;RASAL3;FLT1;PDGFC;PLA1A;FGF22;RASAL1;PLD2;SOS2;CALML4;FGFR3;PLCG2;PLA2G2D;LAT;FGFR2;PIK3CB;CSF1R;SHC3;GRIN2A;GNG3;BRAP;FGF1;ETS1;NTRK1;RIN1;PDGFB,extra_mouse_Embryonic
4,gsea,Wnt signaling pathway,0.4721043605921065,2.2214161129966414,0.0,0.0020807276861853326,0.006,44/128,28.37%,WNT8A;SFRP2;LEF1;WNT3A;NKD1;WNT8B;PLCB2;MMP7;RSPO1;FZD10;WNT6;SFRP1;WNT2;WNT2B;RSPO2;NOTUM;DKK2;SFRP4;SOX17;DKK1;TCF7;WNT7B;WNT11;WNT7A;WNT16;CAMK2A;DAAM2;RSPO3;WNT10A;RAC2;FZD4;LGR6;FZD9;LGR5;VANGL1;PRICKLE4;FZD2;WIF1;CER1;WNT9A;AXIN2;TBL1XR1;WNT10B;FRAT2,extra_mouse_Embryonic
5,gsea,Pathways in cancer,0.451118855723903,2.214224718666277,0.0,0.001733939738487777,0.006,177/440,33.66%,GLI1;COL4A6;FGF23;FGF10;ESR2;COL4A3;NKX3-1;WNT8A;PAX8;LEF1;NOS2;WNT3A;LPAR3;EPO;BIRC7;RXRG;HHIP;WNT8B;IFNG;FLT3;MGST2;LPAR4;IL12A;GNGT1;PLCB2;IL5;FGF16;IL2RA;SHH;IL2RB;FZD10;MMP2;IGF1;LPAR5;FGF5;IL4;WNT6;PDGFRB;LAMA1;WNT2;IGF2;PDGFRA;IL5RA;TRAF1;WNT2B;GNB3;IL12RB2;KIF7;CTNNA3;BMP4;IL2RG;FGF6;PMAIP1;GLI2;SKP2;FGF17;DCC;AR;LAMB2;FGF20;SPI1;GNG8;FGF21;IL7R;LAMC3;FN1;ESR1;TCF7;WNT7B;RASGRP4;GNG11;PTGER2;WNT11;LAMA4;WNT7A;ALK;RARB;RASGRP3;KIT;FGF18;CDK6;WNT16;CAMK2A;FGF2;MMP9;FGFR4;DAPK2;EPOR;ERBB2;WNT10A;EGF;RAC2;BDKRB1;GNG13;GNG10;LAMB3;PTGS2;FZD4;FGF7;GLI3;FLT4;FZD9;IL7;BIRC5;GNGT2;COL4A5;HEY2;IL15;STAT4;PTCH2;PTGER1;FGF22;IL6;EDNRB;PTGER3;CXCR4;FZD2;SOS2;DLL3;EGLN3;JAG1;TGFBR2;EDN1;LAMA5;CALML4;HEY1;FGFR3;PLCG2;RUNX1;TGFB1;WNT9A;AXIN2;BID;CSF3R;MTOR;COL4A4;IL23R;LPAR1;ADCY7;FGFR2;CXCL12;F2RL3;PIK3CB;MGST1;WNT10B;GSTO2;FRAT2;CSF1R;MLH1;ADCY5;SMAD3;RAD51;ITGA2B;TRAF5;GNG3;EDNRA;COL4A2;TRAF2;MSH2;CDK2;IL23A;FGF1;ZBTB16;FZD1;ADCY1;ETS1;ADCY8;NTRK1;NQO1;ADCY2;LAMB1;BRCA2;HEYL;GSTM4;LAMC2;PDGFB;RARA,extra_mouse_Embryonic
6,gsea,Serotonergic synapse,0.4940580307148076,2.212483861838554,0.0,0.0014862340615609518,0.006,45/87,36.62%,HTR4;PLA2G4F;HTR1F;PLA2G4D;ALOX15;GNGT1;PLCB2;ALOX12;HTR3B;CACNA1S;PLA2G4C;GNB3;HTR6;PLA2G4E;HTR2B;GNG8;TPH1;GNG11;HTR7;GABRB2;PLA2G4A;HTR5A;GNG13;GNG10;PTGS1;HTR3A;PTGS2;GNGT2;SLC6A4;SLC18A2;KCNJ5;CACNA1D;HTR2A;TPH2;KCND2;ADCY5;GNG3;GABRB1;CYP4X1;RAPGEF3;CACNA1F;ALOX12B;GNG7;GNAI1;HTR2C,extra_mouse_Embryonic
7,gsea,Th1 and Th2 cell differentiation,0.5275243335691376,2.21079806812424,0.0,0.0015171972711768048,0.006,24/68,28.56%,IFNG;IL12A;IL5;IL2RA;TBX21;IL2RB;CD3E;CD3G;IL4;GATA3;IL12RB2;IL2RG;PRKCQ;CD3D;CD4;RBPJL;STAT4;DLL3;JAG1;LAT;RUNX3;MAF;LCK;CD247,extra_mouse_Embryonic
8,gsea,Breast cancer,0.4974980795340733,2.18185191552668,0.0,0.0025045796222601226,0.011,50/124,28.37%,FGF23;FGF10;ESR2;WNT8A;LEF1;WNT3A;WNT8B;FGF16;FZD10;IGF1;FGF5;WNT6;WNT2;WNT2B;FGF6;FGF17;FGF20;PGR;FGF21;ESR1;TCF7;WNT7B;TNFSF11;WNT11;WNT7A;KIT;FGF18;CDK6;WNT16;FGF2;ERBB2;WNT10A;EGF;FZD4;FGF7;FLT4;FZD9;HEY2;FGF22;FZD2;SOS2;DLL3;JAG1;HEY1;WNT9A;AXIN2;MTOR;PIK3CB;WNT10B;FRAT2,extra_mouse_Embryonic
9,gsea,Human papillomavirus infection,0.4252343666357018,2.1705127996737876,0.0,0.0022541216600341103,0.011,93/270,35.97%,THBS2;COL4A6;TBPL2;COL4A3;WNT8A;WNT3A;ATP6V1E2;TNC;COL9A1;WNT8B;COL2A1;ATP6V0D2;ITGB7;FZD10;COL6A2;ITGA8;ITGA11;HES2;ATP6V1B1;WNT6;PDGFRB;LAMA1;WNT2;TNN;WNT2B;THBS3;CCNA1;LAMB2;ITGB4;THBS4;LAMC3;FN1;CREB3L4;TCF7;WNT7B;WNT11;COL6A5;LAMA4;WNT7A;COL6A1;CHAD;VWF;CDK6;WNT16;LFNG;ITGA7;WNT10A;EGF;LAMB3;PTGS2;FZD4;COL1A2;RELN;FZD9;ATP6V1C2;RBPJL;COL4A5;HEY2;COL1A1;CCNA2;FZD2;SOS2;ATP6V0A4;JAG1;ITGA10;ITGA5;LAMA5;HEY1;WNT9A;ITGB6;AXIN2;VTN;MTOR;CREB3L3;COL4A4;PIK3CB;WNT10B;ITGA1;ITGA2B;COL4A2;CDK2;FZD1;PPP2R5D;LAMB1;HEYL;LAMC2;HES7;LAMA3;LAMA2;THBS1;MFNG;DLG2;PARD6B,extra_mouse_Embryonic
