,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5067824413361287,2.4879131501081333,0.0,0.0,0.0,112/289,27.54%,FGF10;THBS2;LPAR3;PCK1;EPO;TNC;EREG;EIF4E1B;COL2A1;COL9A1;FLT3;LPAR4;COL4A3;FGF16;COL4A6;FGF23;CD19;GNGT1;ITGA8;IL2RA;FGF5;LPAR5;CHRM1;PDGFRA;ITGB7;LAMA1;OSM;THBS3;IGF2;TNN;IL2RG;GNB3;IL4;FGF6;LAMB2;IL7R;IL2RB;ANGPT1;PDGFRB;CDK6;ITGA11;ITGB4;IGF1;NTF3;THBS4;PIK3R6;CSF3;PKN3;GNG8;PDGFD;COL6A5;FGF20;KIT;EFNA3;LAMA4;LAMC3;FN1;COL6A1;NGFR;CHAD;CREB3L4;FGF17;FGF2;FGF21;NGF;VWF;TEK;ITGA7;COL6A2;FGFR4;OSMR;TLR4;SYK;EGF;PIK3AP1;GNG13;EPOR;COL1A1;GNGT2;FLT4;FGF18;GNG11;IL7;PIK3CG;KDR;COL1A2;LAMB3;MYB;CHRM2;FGF7;FGF22;GNG10;PDGFC;RELN;IL6;ERBB2;FLT1;COL4A5;SOS2;ITGA5;VTN;LAMA5;CREB3L3;CSF3R;COL4A4;FGFR2;MTOR;ERBB4;LPAR1;FGFR3;PIK3CB;ITGB6,extra_mouse_T1D
1,gsea,JAK-STAT signaling pathway,0.521139611479226,2.3344316441974358,0.0,0.0,0.0,43/113,27.48%,IL12A;EPO;IFNG;IFNE;IL13RA2;IL2RA;PDGFRA;GFAP;IL21;OSM;IL5RA;IL2RG;IL4;IL7R;IL12RB2;LEP;IL22RA1;IL2RB;PDGFRB;IL22RA2;CSF3;IL5;IL21R;LEPR;IL10;IL10RA;OSMR;EGF;EPOR;IL15;IL7;MPL;IL23R;IL20RA;IL6;TSLP;STAT4;IL24;SOS2;CSF3R;LIF;MTOR;PIK3CB,extra_mouse_T1D
2,gsea,Ras signaling pathway,0.46823543953567975,2.307845446780417,0.0,0.0,0.0,66/192,27.91%,FGF10;PLA2G4D;FLT3;FGF16;FGF23;GNGT1;FGF5;PDGFRA;GRIN2B;IGF2;GNB3;FGF6;PLA2G5;PLA2G4F;PLA2G2C;ANGPT1;PDGFRB;IGF1;NTF3;GNG8;PDGFD;FGF20;RASGRP4;KIT;EFNA3;PLA2G12B;NGFR;PLA2G4A;RAC2;FGF17;FGF2;RAPGEF5;HTR7;FGF21;NGF;TEK;RASGRP3;FGFR4;EGF;GNG13;PLA2G4C;GNGT2;FLT4;FGF18;GNG11;KDR;PLCE1;FGF7;FGF22;GNG10;PDGFC;PLA2G4E;FLT1;SHC3;SOS2;RASAL1;RASAL3;LAT;PLA2G2D;FGFR2;CALML4;PLD2;FGFR3;PLA1A;PIK3CB;PLCG2,extra_mouse_T1D
3,gsea,Serotonergic synapse,0.5043401580086789,2.2791093581341415,0.0,0.00043549052230422474,0.001,40/87,31.29%,HTR4;CACNA1S;ALOX15;PLA2G4D;HTR3B;GNGT1;ALOX12;HTR1F;PLCB2;GNB3;PLA2G4F;HTR6;HTR2B;GABRB2;GNG8;PLA2G4A;HTR7;TPH1;GNG13;PLA2G4C;PTGS2;GNGT2;GNG11;HTR3A;PTGS1;SLC6A4;SLC18A2;GNG10;HTR5A;PLA2G4E;KCNJ5;HTR2A;KCND2;TPH2;HTR2C;GNG3;ADCY5;CACNA1D;CYP4X1;GABRB1,extra_mouse_T1D
4,gsea,Phospholipase D signaling pathway,0.49417147252328125,2.2568127018869792,0.0,0.0006967848356867597,0.002,52/128,34.22%,AVP;GRM6;LPAR3;GRM7;PLA2G4D;PTGFR;LPAR4;MS4A2;LPAR5;PDGFRA;PLCB2;GRM2;PLA2G4F;PDGFRB;PIK3R6;PDGFD;CXCR1;KIT;CYTH4;PLA2G4A;CXCR2;SYK;EGF;PLA2G4C;PIK3CG;GRM1;DGKI;PDGFC;GRM3;PLA2G4E;SPHK1;SHC3;SOS2;AVPR2;GRM8;ADCY7;MTOR;GRM4;GRM5;LPAR1;PLD2;PIK3CB;PLCG2;ADCY8;PIK3R5;ADCY5;DGKA;ADCY2;AVPR1B;ADCY1;F2R;PDGFB,extra_mouse_T1D
5,gsea,Pathways in cancer,0.45628066421181374,2.250832493438144,0.0,0.0005806540297389664,0.002,182/440,34.84%,FGF10;NKX3-1;LPAR3;IL12A;EPO;NOS2;RXRG;WNT8B;BIRC7;MGST2;HHIP;FLT3;LPAR4;IFNG;COL4A3;FGF16;LEF1;WNT8A;COL4A6;FGF23;GNGT1;PAX8;GLI1;IL2RA;SHH;FZD10;FGF5;LPAR5;PDGFRA;WNT2;LAMA1;WNT6;IL5RA;PLCB2;IGF2;IL2RG;GNB3;IL4;ESR2;MMP2;FGF6;LAMB2;TRAF1;IL7R;KIF7;IL12RB2;CTNNA3;DCC;IL2RB;GLI2;PDGFRB;CDK6;IGF1;AR;SKP2;SPI1;GNG8;WNT11;IL5;PMAIP1;FGF20;BMP4;RASGRP4;KIT;WNT7A;ESR1;MMP9;WNT2B;LAMA4;LAMC3;WNT3A;FN1;TCF7;WNT7B;RARB;RAC2;FGF17;FGF2;FGF21;CAMK2A;PTGER2;WNT16;RASGRP3;FGFR4;BDKRB1;EGF;GNG13;EPOR;PTGS2;GNGT2;IL15;FZD4;WNT10A;FLT4;FGF18;GNG11;IL7;FZD9;ALK;LAMB3;DAPK2;GLI3;BIRC5;CXCR4;PTGER1;FGF7;FGF22;GNG10;IL23R;FZD2;IL6;STAT4;PTCH2;DLL3;ERBB2;WNT9A;JAG1;PTGER3;HEY1;COL4A5;SOS2;LAMA5;EDNRB;RUNX1;BID;CSF3R;TGFBR2;CXCL12;COL4A4;ADCY7;F2RL3;FGFR2;WNT10B;EGLN3;MTOR;CALML4;LPAR1;AXIN2;FGFR3;PIK3CB;PLCG2;MGST1;TGFB1;MLH1;ITGA2B;FRAT2;ADCY8;EDN1;COL4A2;IL23A;GSTO2;ZBTB16;GNG3;SMAD3;ADCY5;ETS1;FZD1;EDNRA;NTRK1;TRAF5;MSH2;TRAF2;FGF1;HEYL;CDK2;BRCA2;RAD51;ADCY2;LAMC2;LAMA3;ADCY1;RASGRP2;F2R;APC2;RARA;LAMA2;PDGFB;NQO1;CSF1R;LAMB1;SMO;IL12RB1,extra_mouse_T1D
6,gsea,Wnt signaling pathway,0.4770628701870742,2.250601353616388,0.0,0.0004977034540619711,0.002,46/128,30.66%,NKD1;WNT8B;RSPO1;LEF1;WNT8A;SFRP2;FZD10;WNT2;WNT6;PLCB2;SFRP1;NOTUM;SOX17;MMP7;WNT11;DKK1;DKK2;WNT7A;WNT2B;WNT3A;SFRP4;TCF7;WNT7B;RAC2;CAMK2A;WNT16;RSPO3;DAAM2;FZD4;WNT10A;FZD9;RSPO2;LGR5;FZD2;WNT9A;VANGL1;WIF1;LGR6;CER1;PRICKLE4;WNT10B;AXIN2;FRAT2;TBL1XR1;SMAD3;FZD1,extra_mouse_T1D
7,gsea,Vascular smooth muscle contraction,0.4795782507857096,2.235729022867046,0.0,0.0006532357834563371,0.003,54/110,34.82%,AVP;CACNA1S;PLA2G4D;ADRA1D;PTGIR;PLCB2;PLA2G5;PLA2G4F;PRKCQ;PLA2G2C;MYLK2;MYLK4;ACTG2;MYLK3;PLA2G12B;KCNMB3;CALCRL;PLA2G4A;CALCB;PLA2G4C;ACTA2;NPPC;NPPA;MYLK;ADM;PLA2G4E;NPPB;MYL6B;NPR1;NPR2;PRKG1;PRKCH;ADCY7;PLA2G2D;PPP1R14A;GUCY1A2;MYL9;CALML4;EDN2;ADCY8;EDN1;ADCY5;CACNA1D;EDNRA;RAMP3;ADRA1B;KCNMB4;ADCY2;AVPR1B;ADCY1;ADRA1A;CACNA1F;PRKCD;PLA2G1B,extra_mouse_T1D
8,gsea,Focal adhesion,0.4489561994662297,2.235313667812101,0.0,0.0005806540297389663,0.003,65/177,29.87%,THBS2;MYL2;TNC;COL2A1;COL9A1;MYL10;COL4A3;COL4A6;ITGA8;PDGFRA;ITGB7;LAMA1;THBS3;TNN;LAMB2;PDGFRB;ITGA11;ITGB4;IGF1;MYLK2;THBS4;MYLK4;PDGFD;COL6A5;MYLK3;FLNC;LAMA4;LAMC3;FN1;COL6A1;CHAD;RAC2;VWF;ITGA7;COL6A2;EGF;COL1A1;FLT4;KDR;COL1A2;MYLK;LAMB3;PARVG;PDGFC;RELN;ERBB2;CAV1;FLT1;SHC3;COL4A5;SOS2;VAV1;ITGA5;VTN;LAMA5;COL4A4;MYL7;MYL9;PIK3CB;ITGB6;ITGA1;PARVB;ITGA2B;ITGA10;COL4A2,extra_mouse_T1D
9,gsea,Human papillomavirus infection,0.4346471810055805,2.2289637579385944,0.0,0.0006967848356867597,0.003,86/270,32.74%,ATP6V1E2;THBS2;TBPL2;TNC;WNT8B;COL2A1;COL9A1;ATP6V0D2;COL4A3;WNT8A;COL4A6;ITGA8;ATP6V1B1;FZD10;ITGB7;WNT2;LAMA1;WNT6;THBS3;TNN;HES2;CCNA1;LAMB2;PDGFRB;CDK6;ITGA11;ITGB4;THBS4;WNT11;COL6A5;WNT7A;WNT2B;LAMA4;LAMC3;WNT3A;FN1;COL6A1;CHAD;CREB3L4;TCF7;WNT7B;LFNG;VWF;WNT16;ITGA7;COL6A2;EGF;COL1A1;PTGS2;FZD4;WNT10A;FZD9;COL1A2;ATP6V1C2;LAMB3;RBPJL;RELN;FZD2;WNT9A;JAG1;CCNA2;ATP6V0A4;HEY1;COL4A5;SOS2;ITGA5;VTN;LAMA5;CREB3L3;COL4A4;WNT10B;MTOR;AXIN2;PIK3CB;ITGB6;ITGA1;ITGA2B;ITGA10;COL4A2;FZD1;HEYL;CDK2;HES7;PPP2R5D;LAMC2;LAMA3,extra_mouse_T1D
10,gsea,Regulation of actin cytoskeleton,0.43861241242443433,2.225793273078637,0.0,0.0006334407597152361,0.003,69/183,34.22%,FGF10;MYL2;LPAR4;MYL10;FGF16;FGF23;ITGA8;FGF5;LPAR5;CHRM1;PDGFRA;ITGB7;CHRM5;FGF6;ITGAL;FGD3;PDGFRB;ITGA11;ITGB4;MYLK2;MYLK4;WAS;PDGFD;MYLK3;ITGAX;FGF20;NCKAP1L;FN1;RAC2;FGF17;FGF2;FGF21;ITGA7;FGFR4;BDKRB1;EGF;ITGAE;FGF18;MYLK;CHRM2;CXCR4;FGF7;PFN4;FGF22;PDGFC;SOS2;VAV1;ITGAM;ITGA5;CXCL12;FGFR2;MYL7;MYL9;LPAR1;FGFR3;ITGAD;PIK3CB;ITGB6;MYH9;ITGA1;ITGA2B;ITGA10;DIAPH3;FGF1;WASF1;VAV3;F2R;APC2;PDGFB,extra_mouse_T1D
11,gsea,Th1 and Th2 cell differentiation,0.5325677347867835,2.2227843290039675,0.0,0.0005806540297389664,0.003,24/68,28.69%,IL12A;TBX21;IFNG;CD3E;IL2RA;CD3G;GATA3;IL2RG;IL4;IL12RB2;PRKCQ;IL2RB;CD3D;IL5;CD4;RBPJL;RUNX3;STAT4;DLL3;JAG1;LAT;MAF;CD247;LCK,extra_mouse_T1D
12,gsea,Melanoma,0.5105655352564821,2.219893311685851,0.0,0.0005359883351436612,0.003,19/61,22.24%,FGF10;FGF16;FGF23;FGF5;PDGFRA;FGF6;PDGFRB;CDK6;IGF1;PDGFD;FGF20;FGF17;FGF2;FGF21;EGF;FGF18;FGF7;FGF22;PDGFC,extra_mouse_T1D
13,gsea,Signaling pathways regulating pluripotency of stem cells,0.496800469512577,2.2096251348367817,0.0,0.000622129317577464,0.004,38/116,27.64%,ONECUT1;INHBC;ESRRB;WNT8B;NODAL;WNT8A;FZD10;WNT2;WNT6;DLX5;LHX5;TBX3;HESX1;IGF1;WNT11;BMP4;WNT7A;WNT2B;WNT3A;SOX2;WNT7B;INHBE;FGF2;WNT16;FGFR4;FZD4;WNT10A;FZD9;DUSP9;FZD2;WNT9A;LIF;FGFR2;WNT10B;AXIN2;FGFR3;PIK3CB;INHBB,extra_mouse_T1D
14,gsea,Glutamatergic synapse,0.5303820616613879,2.20021510091175,0.0,0.0006967848356867597,0.005,48/99,30.69%,GRM6;GRIK1;GRIA4;GRIA1;GRM7;PLA2G4D;SLC17A7;GNGT1;SLC1A7;GRIN2B;SLC17A6;PLCB2;GNB3;GRM2;PLA2G4F;GRIN3A;GNG8;SLC1A2;PLA2G4A;SLC38A1;GRIN3B;SLC1A3;GNG13;PLA2G4C;GNGT2;GNG11;SLC17A8;GRM1;SLC1A6;GNG10;GRM3;PLA2G4E;HOMER2;GRIK4;GRM8;ADCY7;SHANK2;GRM4;GRM5;PLD2;GRIK3;GRIN2D;ADCY8;GRIA3;GNG3;ADCY5;GRIN2A;CACNA1D,extra_mouse_T1D
15,gsea,Sphingolipid metabolism,0.6026861748965837,2.1741277839281996,0.0,0.0009798536751845057,0.008,4/34,5.29%,ENPP7;SPTLC3;CERS3;ACER1,extra_mouse_T1D
16,gsea,Breast cancer,0.496737594415724,2.1700760699821653,0.0,0.0009222152237030643,0.008,54/124,32.27%,FGF10;WNT8B;FGF16;LEF1;WNT8A;FGF23;FZD10;FGF5;WNT2;WNT6;ESR2;FGF6;PGR;CDK6;IGF1;WNT11;FGF20;KIT;WNT7A;ESR1;WNT2B;WNT3A;TCF7;WNT7B;FGF17;FGF2;FGF21;WNT16;EGF;FZD4;WNT10A;FLT4;FGF18;FZD9;FGF7;FGF22;FZD2;DLL3;ERBB2;WNT9A;JAG1;HEY1;SHC3;SOS2;WNT10B;MTOR;AXIN2;PIK3CB;TNFSF11;FRAT2;FZD1;FGF1;HEYL;BRCA2,extra_mouse_T1D
17,gsea,Glycolysis / Gluconeogenesis,0.5414390765752454,2.1689158291255115,0.0,0.0008709810446084495,0.008,16/46,28.68%,PGAM2;LDHC;PCK1;ALDH3A1;ACSS1;GAPDHS;HKDC1;HK2;ADH7;ADH4;FBP2;ALDOB;HK1;GALM;PFKL;PGM1,extra_mouse_T1D
18,gsea,Leukocyte transendothelial migration,0.4686795591842237,2.1684906857602346,0.0,0.0008251399369974785,0.008,35/93,27.91%,MYL2;CLDN14;MYL10;CLDN16;CLDN10;CLDN19;ITK;NCF4;CLDN5;MMP2;ITGAL;CLDN15;CTNNA3;CLDN4;RHOH;NCF1;MMP9;ESAM;CLDN18;RAC2;NCF2;THY1;CLDN8;TXK;CXCR4;CDH5;VCAM1;VAV1;ITGAM;CXCL12;CLDN2;MYL7;MYL9;PIK3CB;PLCG2,extra_mouse_T1D
19,gsea,NF-kappa B signaling pathway,0.4994961485180633,2.159726409321268,0.0,0.0008709810446084497,0.009,29/75,31.71%,CD40LG;BTK;TRAF1;CCL19;PRKCQ;TNFSF14;LBP;CARD11;TLR4;SYK;PTGS2;PLAU;BLNK;CARD10;VCAM1;CARD14;TNFRSF13C;LAT;CXCL12;TNFSF13B;PLCG2;TNFSF11;CD14;LCK;IL1B;IRAK4;TRAF5;CD40;TRAF2,extra_mouse_T1D
20,gsea,Calcium signaling pathway,0.5208592719036528,2.1575582179265136,0.0,0.0008295057567699521,0.009,90/166,34.65%,RYR1;TACR2;HTR4;CACNA1S;NOS2;PTGFR;ADRB3;NTSR1;ADRA1D;ATP2B3;CCKAR;CHRM1;PDGFRA;CHRM5;PLN;P2RX7;PLCZ1;PLCB2;NOS1;GNA15;LHCGR;HTR6;PDGFRB;HTR2B;MYLK2;CCKBR;MYLK4;TNNC2;SLC8A3;MYLK3;HRH1;ATP2A1;PLCD3;HRH2;CD38;TPCN2;HTR7;CAMK2A;P2RX1;TACR1;BDKRB1;RYR3;P2RX3;GRPR;CYSLTR1;P2RX2;TACR3;MYLK;GRM1;CHRM2;PLCE1;P2RX6;CXCR4;PLCD1;SLC25A31;PTGER1;HTR5A;OXTR;ERBB2;SPHK1;PTGER3;EDNRB;ADCY7;ERBB4;PDE1B;CALML4;GRM5;PDE1A;TBXA2R;HTR2A;PLCG2;GRIN2D;ADCY8;CACNA1G;PHKG1;HTR2C;GRIN2A;ADRB1;CACNA1D;EDNRA;ADRA1B;ADCY2;AVPR1B;ADCY1;PLCD4;F2R;GNA14;ADRA1A;SLC8A1;CACNA1F,extra_mouse_T1D
21,gsea,cAMP signaling pathway,0.4472861878863041,2.1549574013675405,0.0,0.0008709810446084497,0.01,84/184,35.06%,HTR4;CACNA1S;GRIA4;FSHR;GRIA1;HHIP;ADCYAP1;ATP2B3;GLI1;TNNI3;HTR1F;CHRM1;GRIN2B;PLN;CGA;SSTR5;HTR6;PPP1R1B;TSHR;CFTR;GRIN3A;CNGA4;CNGA3;AMH;SUCNR1;ATP1A4;CREB3L4;NPY1R;RAC2;CAMK2A;PTGER2;ARAP3;ADCY10;GRIN3B;CNGA1;VIPR2;NPPA;DRD2;GLI3;CHRM2;PLCE1;ADCYAP1R1;ATP1A2;OXTR;SSTR1;CNGB1;NPR1;PTGER3;VAV1;CREB3L3;FXYD1;GHRL;ADCY7;VIP;MYL9;CALML4;PLD2;PIK3CB;PPARA;ACOX3;GIP;EDN2;GRIN2D;ADCY8;EDN1;GRIA3;ADCY5;PDE4C;GRIN2A;ADRB1;CACNA1D;EDNRA;FXYD2;ADCY2;ADCY1;VAV3;ATP1A3;F2R;PDE3A;POMC;ADORA1;SSTR2;CACNA1F;RAPGEF3,extra_mouse_T1D
22,gsea,Rheumatoid arthritis,0.5181253408250678,2.1543168002648403,0.0,0.000833112303538517,0.01,31/57,30.31%,ATP6V1E2;MMP3;IFNG;ATP6V0D2;ATP6V1B1;CD80;ITGAL;CTLA4;ANGPT1;PTH;IL17A;ACP5;CD28;TEK;CCL20;TLR4;CD86;IL15;ATP6V1C2;IL6;ATP6V0A4;FLT1;CXCL12;TNFSF13B;IL1A;CCL2;TNFSF11;CTSK;TGFB1;IL23A;IL1B,extra_mouse_T1D
23,gsea,Chemokine signaling pathway,0.45577446613508005,2.144189762213972,0.0,0.0008709810446084496,0.011,56/139,33.41%,CCR3;CCL17;CCR6;CXCR3;FGR;XCR1;GNGT1;DOCK2;CCR4;PPBP;ITK;PLCB2;GNB3;CCL19;CCL24;CXCR6;CCR7;PIK3R6;NCF1;CCR9;WAS;GNG8;CXCR1;CXCL14;CXCR2;RAC2;CX3CR1;CCL20;GNG13;GNGT2;CXCL9;GNG11;PIK3CG;HCK;CXCR4;GNG10;CCL22;CXCL13;SHC3;SOS2;VAV1;CXCR5;CXCL12;ADCY7;CCR10;PIK3CB;CCL2;CXCL16;ADCY8;PIK3R5;GNG3;ADCY5;ADCY2;ADCY1;VAV3;RASGRP2,extra_mouse_T1D
24,gsea,Cell adhesion molecules (CAMs),0.5949096698032214,2.121152832999805,0.0,0.0011845342206674913,0.015,47/98,26.22%,CD6;CD226;CD40LG;CLDN14;CLDN16;TIGIT;CLDN10;SELL;ITGA8;CD8A;CD80;ITGB7;CLDN19;SELE;CLDN5;CDH3;ITGAL;SELP;CLDN15;CTLA4;VTCN1;SDC1;CLDN4;PDCD1LG2;NTNG2;SELPLG;CADM3;ESAM;CNTN2;CLDN18;LRRC4C;CD28;CD4;ICAM2;CD22;ICOS;CLDN8;CD86;CDH15;CDH5;VCAM1;CD2;NRXN2;ITGAM;CD34;NRXN3;CLDN2,extra_mouse_T1D
25,gsea,Relaxin signaling pathway,0.4406767561746578,2.11446709855137,0.0,0.001205973754073238,0.015,40/111,30.58%,RXFP1;INSL3;RXFP4;NOS2;COL4A3;COL4A6;GNGT1;PLCB2;NOS1;GNB3;MMP2;GNA15;GNG8;MMP9;CREB3L4;GNG13;COL1A1;ACTA2;GNGT2;GNG11;COL1A2;GNG10;SHC3;COL4A5;SOS2;MMP13;CREB3L3;EDNRB;RXFP2;TGFBR2;COL4A4;ADCY7;PIK3CB;TGFB1;ADCY8;EDN1;COL4A2;GNG3;SMAD3;ADCY5,extra_mouse_T1D
26,gsea,Gastric cancer,0.4976709861675263,2.113571317964309,0.0,0.0011613080594779328,0.015,54/126,32.07%,FGF10;RXRG;REG4;WNT8B;FGF16;LEF1;WNT8A;FGF23;SHH;FZD10;FGF5;CDH17;WNT2;WNT6;FGF6;CTNNA3;WNT11;FGF20;WNT7A;WNT2B;WNT3A;TCF7;WNT7B;RARB;FGF17;FGF2;FGF21;WNT16;EGF;FZD4;WNT10A;FGF18;FZD9;FGF7;FGF22;FZD2;ERBB2;WNT9A;SHC3;SOS2;TGFBR2;FGFR2;CDX2;WNT10B;MTOR;AXIN2;PIK3CB;TGFB1;MLH1;FRAT2;SMAD3;FZD1;FGF1;CDK2,extra_mouse_T1D
27,gsea,GABAergic synapse,0.4860684460278624,2.106985138008192,0.0,0.001244258635154928,0.017,37/76,32.97%,GABRA1;CACNA1S;GABRR1;GABRA6;SLC6A12;GNGT1;SLC6A1;GNB3;GABRA2;GABRB2;GABRA5;GNG8;GABRP;GABRQ;SLC6A13;SLC38A1;GAD2;GNG13;GABRR2;GNGT2;GNG11;GNG10;GABRG2;PLCL1;GABRD;GABRA3;ADCY7;SLC6A11;ADCY8;GNG3;ADCY5;CACNA1D;GABRE;GABRB1;ADCY2;ADCY1;GABRG1,extra_mouse_T1D
28,gsea,Transcriptional misregulation in cancer,0.43210298085616705,2.105028680983731,0.0,0.001201353164977172,0.017,50/142,34.69%,HOXA9;TLX1;MMP3;PAX5;PAX3;RXRG;FLT3;PAX8;ITGB7;FLI1;CCNA1;TRAF1;MPO;ERG;WT1;IL2RB;IGF1;SPI1;PAX7;LYL1;MMP9;CEBPE;NGFR;WNT16;ETV4;CD86;PLAU;BCL11B;HMGA2;IL6;FLT1;ETV5;ITGAM;RUNX1;TGFBR2;RUNX2;IL1R2;MAF;HPGD;CD14;PTCRA;GRIA3;ZBTB16;SLC45A3;NTRK1;CD40;EYA1;RARA;CSF1R;NCOR1,extra_mouse_T1D
29,gsea,Synaptic vesicle cycle,0.4662977496368634,2.0936337784931727,0.0020876826722338203,0.001451635074347416,0.019,27/66,31.19%,ATP6V1E2;SLC6A7;SLC17A7;ATP6V0D2;SLC6A12;SLC1A7;ATP6V1B1;SLC6A1;CPLX4;SLC17A6;SLC6A5;CPLX1;UNC13C;SLC1A2;SLC6A13;SLC1A3;ATP6V1C2;SLC17A8;SLC6A4;SLC18A2;SLC1A6;ATP6V0A4;STX1A;SLC6A2;SLC6A11;STX1B;STX2,extra_mouse_T1D
30,gsea,cGMP-PKG signaling pathway,0.4245746472652792,2.0864395691938524,0.0,0.0014048081364652412,0.019,59/141,34.65%,CACNA1S;ADRA2B;ADRB3;KCNJ8;OPRD1;ADRA1D;ADRA2C;ATP2B3;PLN;PLCB2;MYLK2;PIK3R6;MYLK4;SLC8A3;MYLK3;ATP2A1;ATP1A4;KCNMB3;CREB3L4;PDE2A;PRKG2;MYH7;CNGA1;PIK3CG;NPPC;TRPC6;NPPA;MYLK;SLC25A31;ATP1A2;NPPB;CNGB1;NPR1;NPR2;PRKG1;CREB3L3;EDNRB;ADORA3;ADCY7;GUCY1A2;MYL9;CALML4;ADCY8;PIK3R5;ADCY5;ADRB1;CACNA1D;EDNRA;ADRA1B;FXYD2;KCNMB4;ADCY2;ADCY1;ATP1A3;PDE3A;ADORA1;ADRA1A;SLC8A1;CACNA1F,extra_mouse_T1D
31,gsea,Melanogenesis,0.46286314937598505,2.079022689185204,0.0,0.0015786531433528148,0.023,36/84,32.87%,TYRP1;WNT8B;LEF1;WNT8A;FZD10;WNT2;WNT6;PLCB2;WNT11;KIT;WNT7A;WNT2B;WNT3A;CREB3L4;TCF7;WNT7B;CAMK2A;WNT16;TYR;FZD4;WNT10A;FZD9;FZD2;WNT9A;CREB3L3;EDNRB;ADCY7;WNT10B;MC1R;CALML4;ADCY8;EDN1;ADCY5;FZD1;ADCY2;ADCY1,extra_mouse_T1D
32,gsea,Amoebiasis,0.5284844722286093,2.078296120796534,0.0,0.0015836018992880902,0.023,39/72,34.61%,C9;IL12A;NOS2;CTSG;IFNG;COL4A3;COL4A6;C8A;SERPINB13;LAMA1;PLCB2;LAMB2;GNA15;ARG2;LAMA4;LAMC3;FN1;IL10;TLR4;COL1A1;COL1A2;LAMB3;IL6;COL4A5;ITGAM;LAMA5;COL4A4;IL1R2;PIK3CB;CD14;TGFB1;COL4A2;IL1B;LAMC2;LAMA3;ADCY1;GNA14;LAMA2;LAMB1,extra_mouse_T1D
