,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5149055091602129,2.4985815607661714,0.0,0.0,0.0,122/289,30.98%,THBS2;COL4A6;CD19;FGF23;GNGT1;COL4A3;FGF10;CHRM1;FGF5;LPAR3;EPO;TNC;EREG;EIF4E1B;COL9A1;COL2A1;FLT3;LPAR4;IL2RA;CSF3;FGF16;LPAR5;ANGPT1;PDGFRA;IL2RG;OSM;IGF2;ITGA11;PCK1;IL4;ITGB7;ITGA8;TNN;LAMC3;GNG8;LAMA1;FGF20;IGF1;PDGFD;GNB3;FGF21;ITGB4;IL2RB;PIK3CG;COL6A2;THBS4;LAMB3;EGF;SYK;FGF6;PDGFRB;NTF3;CHAD;LAMB2;LAMA4;COL6A5;FGF17;PIK3R6;COL6A1;IL7R;THBS3;CREB3L4;PIK3AP1;NGF;GNG10;OSMR;FN1;VWF;NGFR;FGFR4;FGF2;GNG11;PKN3;TEK;ITGA7;EFNA3;EPOR;FLT1;CDK6;FLT4;KDR;COL1A2;FGF7;MTOR;KIT;RELN;IL7;GNG13;FGF18;CHRM2;MYB;GNGT2;SOS2;TLR4;PDGFC;ITGB6;IL6;FGFR2;COL4A5;COL1A1;CREB3L3;FGF22;CSF3R;LAMA5;COL4A4;VTN;LPAR1;ERBB2;ITGA5;ITGA1;ITGA10;THBS1;ERBB4;GNG3;PIK3CB;ITGA2B;FGF1;PIK3R5;LAMC2;CDK2;SGK1;COL4A2,extra_mouse_aged
1,gsea,JAK-STAT signaling pathway,0.5341144514845073,2.4098365147514036,0.0,0.0,0.0,48/113,31.69%,IL13RA2;IFNE;EPO;IFNG;IL12A;LEPR;IL5;IL2RA;CSF3;IL5RA;PDGFRA;GFAP;IL2RG;OSM;IL4;IL12RB2;IL21;IL2RB;IL22RA2;EGF;IL22RA1;IL10RA;PDGFRB;IL7R;IL10;LEP;OSMR;IL19;EPOR;MTOR;IL7;IL20RA;SOS2;STAT4;IL21R;IL6;TSLP;IL15;CSF3R;MPL;IL24;LIF;SOCS1;PIK3CB;IL17D;IL23R;IL23A;PDGFB,extra_mouse_aged
2,gsea,Wnt signaling pathway,0.5022364352966243,2.4017908673307202,0.0,0.0,0.0,44/128,27.54%,PLCB2;LEF1;NKD1;WNT8B;WNT2B;DKK2;WNT8A;WNT11;FZD10;WNT2;MMP7;WNT3A;SFRP2;RSPO1;WNT6;FZD4;NOTUM;SFRP4;WNT7B;SOX17;CAMK2A;DAAM2;DKK1;SFRP1;WNT7A;WNT10A;WNT16;TCF7;RSPO2;FZD9;RAC2;RSPO3;PRICKLE4;LGR5;AXIN2;FZD2;VANGL1;WIF1;FRAT2;LGR6;WNT9A;CER1;TBL1XR1;WNT10B,extra_mouse_aged
3,gsea,Pathways in cancer,0.4767679107908791,2.3531376510999165,0.0,0.0004340552357253819,0.001,186/440,35.38%,GLI1;COL4A6;FGF23;PAX8;GNGT1;COL4A3;PLCB2;LEF1;FGF10;NKX3-1;FGF5;LPAR3;EPO;NOS2;BIRC7;HHIP;WNT8B;IFNG;MGST2;PTGER2;FLT3;SHH;LPAR4;RXRG;IL12A;SPI1;IL5;WNT2B;ESR2;WNT8A;IL2RA;WNT11;IL5RA;FGF16;LPAR5;PDGFRA;MMP2;IL2RG;IGF2;FZD10;KIF7;WNT2;WNT3A;IL4;MMP9;RASGRP3;LAMC3;BMP4;CTNNA3;GNG8;LAMA1;IL12RB2;FGF20;IGF1;WNT6;GNB3;FZD4;FGF21;GLI2;IL2RB;DCC;ESR1;WNT7B;LAMB3;EGF;PMAIP1;RASGRP4;CAMK2A;AR;FGF6;PDGFRB;TRAF1;RARB;LAMB2;LAMA4;FGF17;IL7R;GNG10;FN1;WNT7A;FGFR4;FGF2;GNG11;WNT10A;WNT16;TCF7;EPOR;CDK6;DAPK2;FLT4;ALK;FGF7;MTOR;GLI3;FZD9;KIT;BIRC5;RAC2;IL7;GNG13;FGF18;SKP2;BDKRB1;GNGT2;SOS2;PTGS2;EDNRB;STAT4;PTGER1;PTCH2;AXIN2;PTGER3;FZD2;IL6;DLL3;JAG1;CXCL12;FGFR2;COL4A5;CXCR4;FRAT2;IL15;CALML4;RUNX1;WNT9A;HEY1;BID;FGF22;MGST1;PLCG2;TGFBR2;CSF3R;LAMA5;HEY2;COL4A4;EGLN3;ADCY7;NQO1;LPAR1;GSTO2;WNT10B;ERBB2;EDN1;MLH1;SMAD3;ADCY5;TGFB1;GNG3;PIK3CB;BRCA2;ITGA2B;FGF1;LAMC2;CDK2;FZD1;TRAF2;COL4A2;MSH2;ZBTB16;IL23R;IL23A;PDGFB;ETS1;CTBP2;ADCY1;F2RL3;CAMK2G;NTRK1;FGFR3;ADCY8;EDNRA;CSF1R;LAMB1;ADCY2;HEYL;LAMA2;TGFB3;TRAF5;POLK;RARA;LAMA3;GSTM4;RAD51;RASGRP2;PIK3R3;F2R,extra_mouse_aged
4,gsea,Th1 and Th2 cell differentiation,0.5574457061957465,2.339508039843867,0.0,0.0003472441885803055,0.001,24/68,28.13%,CD3E;TBX21;IFNG;IL12A;IL5;IL2RA;IL2RG;IL4;IL12RB2;GATA3;IL2RB;CD3G;PRKCQ;CD3D;CD4;RBPJL;STAT4;DLL3;JAG1;LCK;MAF;RUNX3;LAT;CD247,extra_mouse_aged
5,gsea,Focal adhesion,0.46136804844214785,2.337728921605946,0.0,0.00028937015715025456,0.001,69/177,31.79%,THBS2;COL4A6;MYL10;COL4A3;MYL2;TNC;COL9A1;COL2A1;PDGFRA;ITGA11;ITGB7;ITGA8;TNN;LAMC3;LAMA1;IGF1;MYLK3;PDGFD;MYLK;ITGB4;MYLK4;COL6A2;THBS4;LAMB3;EGF;MYLK2;FLNC;PDGFRB;CHAD;LAMB2;LAMA4;COL6A5;COL6A1;THBS3;FN1;VWF;ITGA7;FLT1;FLT4;KDR;COL1A2;RAC2;RELN;SOS2;MYL7;PDGFC;CAV1;ITGB6;COL4A5;COL1A1;MYL9;PARVG;LAMA5;VAV1;COL4A4;VTN;ERBB2;ITGA5;ITGA1;ITGA10;THBS1;PIK3CB;PARVB;ITGA2B;LAMC2;COL4A2;PDGFB;SHC3;CAV2,extra_mouse_aged
6,gsea,Phospholipase D signaling pathway,0.50753102291056,2.332803155001489,0.0,0.0002480315632716468,0.001,55/128,35.79%,AVP;MS4A2;PLA2G4F;PLCB2;GRM2;LPAR3;CXCR1;GRM7;PLA2G4D;PTGFR;LPAR4;GRM6;LPAR5;PDGFRA;PDGFD;AVPR2;PIK3CG;EGF;SYK;PDGFRB;PLA2G4C;PIK3R6;CXCR2;CYTH4;PLA2G4A;PLA2G4E;MTOR;KIT;DGKI;GRM1;SOS2;PDGFC;GRM8;SPHK1;PLCG2;PLD2;ADCY7;LPAR1;GRM4;GRM3;GRM5;ADCY5;PIK3CB;PIK3R5;PDGFB;SHC3;ADCY1;ADCY8;ADCY2;AVPR1B;PIK3R3;FYN;F2R;DGKA;RAPGEF3,extra_mouse_aged
7,gsea,Ras signaling pathway,0.47424601881929984,2.3307847648795867,0.0,0.00021702761786269095,0.001,76/192,33.32%,FGF23;PLA2G4F;GNGT1;FGF10;FGF5;PLA2G4D;FLT3;FGF16;ANGPT1;PDGFRA;IGF2;RASGRP3;GNG8;FGF20;GRIN2B;IGF1;PDGFD;GNB3;FGF21;PLA2G5;PLA2G2C;EGF;RASGRP4;FGF6;HTR7;PDGFRB;NTF3;PLA2G4C;PLA2G12B;FGF17;NGF;PLA2G4A;GNG10;RAPGEF5;PLA2G4E;NGFR;FGFR4;FGF2;GNG11;TEK;EFNA3;FLT1;FLT4;KDR;FGF7;KIT;RAC2;GNG13;FGF18;GNGT2;SOS2;PLCE1;PDGFC;PLA2G2D;FGFR2;CALML4;FGF22;PLCG2;PLD2;RASAL3;RASAL1;BRAP;LAT;PLA1A;GRIN2A;GNG3;PIK3CB;FGF1;PLA2G1B;PDGFB;ETS1;SHC3;NTRK1;FGFR3;CSF1R;RIN1,extra_mouse_aged
8,gsea,Serotonergic synapse,0.5183594154727371,2.3271436921124184,0.0,0.00019291343810016974,0.001,37/87,30.50%,HTR4;PLA2G4F;GNGT1;PLCB2;PLA2G4D;ALOX15;HTR1F;HTR3B;HTR6;ALOX12;GNG8;GNB3;HTR2B;CACNA1S;HTR3A;HTR7;PLA2G4C;TPH1;PLA2G4A;GNG10;PLA2G4E;GNG11;GABRB2;SLC18A2;GNG13;SLC6A4;GNGT2;HTR5A;PTGS2;PTGS1;KCNJ5;TPH2;CACNA1D;KCND2;ADCY5;GNG3;HTR2A,extra_mouse_aged
9,gsea,Vascular smooth muscle contraction,0.5006693555930777,2.317493861672048,0.0,0.00017362209429015274,0.001,53/110,33.97%,AVP;PLA2G4F;PLCB2;PLA2G4D;PTGIR;ADRA1D;ACTG2;MYLK3;MYLK;PLA2G5;PLA2G2C;PRKCQ;MYLK4;ADM;MYLK2;CACNA1S;PLA2G4C;PLA2G12B;CALCB;PLA2G4A;CALCRL;PLA2G4E;KCNMB3;ACTA2;NPR2;NPPC;NPPA;NPR1;MYL6B;PLA2G2D;NPPB;CALML4;PRKG1;PRKCH;MYL9;GUCY1A2;ADCY7;CACNA1D;PPP1R14A;EDN1;ADCY5;CALCA;PLA2G1B;EDN2;ADCY1;RAMP3;ADCY8;EDNRA;PRKCD;ADRA1B;ADCY2;KCNMB4;AVPR1B,extra_mouse_aged
10,gsea,Human papillomavirus infection,0.44548013780899703,2.2870003501183787,0.0,0.00015783826753650252,0.001,84/270,30.98%,THBS2;TBPL2;COL4A6;COL4A3;TNC;COL9A1;WNT8B;COL2A1;ATP6V0D2;ATP6V1E2;WNT2B;WNT8A;WNT11;FZD10;WNT2;ITGA11;CCNA1;WNT3A;ITGB7;ITGA8;TNN;LAMC3;LAMA1;WNT6;ATP6V1B1;FZD4;ITGB4;COL6A2;THBS4;WNT7B;LAMB3;EGF;PDGFRB;CHAD;LAMB2;LAMA4;COL6A5;COL6A1;THBS3;CREB3L4;FN1;VWF;WNT7A;LFNG;WNT10A;ITGA7;WNT16;TCF7;HES2;CDK6;RBPJL;COL1A2;MTOR;FZD9;RELN;SOS2;PTGS2;ATP6V1C2;CCNA2;ITGB6;AXIN2;FZD2;JAG1;COL4A5;WNT9A;ATP6V0A4;HEY1;COL1A1;CREB3L3;LAMA5;HEY2;COL4A4;VTN;WNT10B;ITGA5;ITGA1;ITGA10;THBS1;PIK3CB;ITGA2B;LAMC2;CDK2;FZD1;COL4A2,extra_mouse_aged
11,gsea,Leukocyte transendothelial migration,0.4989721622473191,2.273533658117271,0.0,0.00028937015715025456,0.002,34/93,26.66%,MYL10;ITGAL;CLDN16;MYL2;CLDN18;CLDN14;MMP2;NCF4;ITK;CLDN19;MMP9;CLDN10;CTNNA3;RHOH;NCF1;CLDN5;CLDN4;ESAM;CLDN8;THY1;CLDN15;NCF2;CLDN2;TXK;RAC2;ITGAM;VCAM1;MYL7;CXCL12;CXCR4;CDH5;MYL9;PLCG2;VAV1,extra_mouse_aged
12,gsea,Signaling pathways regulating pluripotency of stem cells,0.505446665295618,2.250710155520779,0.0,0.00040066637143881405,0.003,39/116,30.67%,DLX5;ESRRB;INHBC;ONECUT1;WNT8B;WNT2B;WNT8A;WNT11;SOX2;FZD10;WNT2;WNT3A;NODAL;BMP4;TBX3;IGF1;WNT6;FZD4;LHX5;WNT7B;INHBE;WNT7A;FGFR4;FGF2;WNT10A;WNT16;HESX1;FZD9;DUSP9;AXIN2;FZD2;FGFR2;WNT9A;LIF;WNT10B;SMAD3;INHBB;PIK3CB;FZD1,extra_mouse_aged
