,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.4974047196384909,2.420479939739801,0.0,0.0,0.0,121/289,31.47%,THBS2;COL4A6;FGF23;FGF10;CD19;LPAR3;TNC;EPO;EREG;COL2A1;EIF4E1B;COL9A1;FLT3;LPAR4;COL4A3;FGF16;CHRM1;ITGA8;IL2RA;FGF5;ITGB7;GNGT1;PCK1;LPAR5;SYK;THBS3;IL4;PDGFRA;TNN;COL6A2;PKN3;LAMA1;ITGA11;IGF1;GNB3;IGF2;PIK3R6;IL7R;CSF3;PDGFRB;NTF3;OSM;GNG8;FGF20;ITGB4;LAMB2;CDK6;THBS4;GNG11;FGF6;IL2RG;IL2RB;PDGFD;EFNA3;ANGPT1;KIT;COL6A5;GNG13;LAMA4;FGF21;COL6A1;FGF17;CREB3L4;CHAD;NGFR;FGFR4;NGF;FGF2;VWF;TEK;LAMC3;ITGA7;ERBB2;PIK3CG;PIK3AP1;LAMB3;COL1A1;GNG10;TLR4;EPOR;FGF18;FLT4;EGF;IL7;CHRM2;FN1;GNGT2;MYB;FGF22;SOS2;PDGFC;COL1A2;KDR;FGF7;FLT1;RELN;IL6;OSMR;ITGA10;VTN;LAMA5;CREB3L3;ITGA5;CSF3R;MTOR;FGFR3;COL4A5;COL4A4;FGFR2;LPAR1;ITGB6;ERBB4;ITGA1;PIK3CB;PIK3R5;COL4A2;CDK2;GNG3;FGF1;PPP2R5D;ITGA2B,extra_mouse_chem
1,gsea,JAK-STAT signaling pathway,0.5171054314549518,2.299255053280252,0.0,0.0025631935335200485,0.003,42/113,26.50%,IL13RA2;IL12A;EPO;IFNG;GFAP;IL2RA;IL12RB2;IL21;IFNE;IL4;PDGFRA;LEP;IL7R;CSF3;PDGFRB;IL22RA2;OSM;IL5;IL2RG;IL2RB;IL22RA1;IL5RA;IL21R;LEPR;IL15;IL10RA;IL10;MPL;IL23R;IL24;EPOR;EGF;IL7;IL20RA;SOS2;STAT4;IL6;TSLP;OSMR;CSF3R;MTOR;LIF,extra_mouse_chem
2,gsea,Phospholipase D signaling pathway,0.49104029579698494,2.2527512479833334,0.0,0.0017087956890133656,0.003,53/128,35.14%,AVP;MS4A2;GRM6;LPAR3;GRM7;PLA2G4D;LPAR4;PTGFR;PLCB2;PLA2G4C;LPAR5;PLA2G4F;SYK;GRM2;PDGFRA;AVPR2;CXCR1;PIK3R6;PDGFRB;PDGFD;KIT;CYTH4;GRM3;CXCR2;PLA2G4A;PIK3CG;EGF;GRM1;DGKI;SOS2;PDGFC;SHC3;GRM8;SPHK1;MTOR;PLD2;ADCY7;LPAR1;GRM4;GRM5;PLCG2;PLA2G4E;PIK3CB;PIK3R5;ADCY5;ADCY8;ADCY1;ADCY2;DGKA;AVPR1B;PDGFB;F2R;RAPGEF3,extra_mouse_chem
3,gsea,Wnt signaling pathway,0.4758347474495129,2.229344109810833,0.0,0.0017087956890133656,0.004,44/128,28.37%,WNT8A;NKD1;WNT8B;RSPO1;LEF1;WNT2;WNT3A;SFRP2;FZD10;PLCB2;SFRP1;WNT6;MMP7;NOTUM;WNT2B;SOX17;DKK2;RSPO3;WNT7A;DKK1;WNT11;WNT7B;RAC2;SFRP4;WNT10A;CAMK2A;WNT16;RSPO2;TCF7;FZD9;LGR5;FZD4;DAAM2;WNT9A;LGR6;FZD2;WIF1;VANGL1;PRICKLE4;CER1;WNT10B;AXIN2;SMAD3;FRAT2,extra_mouse_chem
4,gsea,Pathways in cancer,0.447252829060724,2.2185477671217115,0.0,0.002050554826816039,0.006,200/440,38.74%,COL4A6;FGF23;ESR2;FGF10;NKX3-1;GLI1;LPAR3;IL12A;NOS2;WNT8A;BIRC7;EPO;WNT8B;FLT3;MGST2;HHIP;IFNG;LPAR4;COL4A3;FGF16;LEF1;WNT2;WNT3A;IL2RA;PAX8;SHH;FGF5;FZD10;IL12RB2;PLCB2;GNGT1;LPAR5;IL4;TRAF1;PDGFRA;SPI1;LAMA1;WNT6;IGF1;GNB3;PMAIP1;MMP2;GLI2;IGF2;BMP4;CTNNA3;IL7R;PDGFRB;KIF7;WNT2B;GNG8;DCC;FGF20;AR;LAMB2;CDK6;IL5;GNG11;FGF6;ESR1;MMP9;WNT7A;IL2RG;IL2RB;RASGRP4;IL5RA;KIT;WNT11;GNG13;LAMA4;RARB;WNT7B;FGF21;FGF17;RAC2;WNT10A;FGFR4;FGF2;CAMK2A;WNT16;IL15;RXRG;RASGRP3;BDKRB1;LAMC3;ERBB2;PTGER2;SKP2;PTGS2;IL23R;LAMB3;PTGER1;GNG10;DAPK2;TCF7;EPOR;FGF18;FLT4;EGF;FZD9;IL7;FZD4;GLI3;FN1;PTCH2;GNGT2;BIRC5;FGF22;WNT9A;SOS2;STAT4;ALK;FGF7;EDNRB;FZD2;CXCR4;PTGER3;IL6;DLL3;F2RL3;EDN1;HEY1;JAG1;EGLN3;BID;TGFBR2;LAMA5;CALML4;CSF3R;RUNX1;TGFB1;MTOR;FGFR3;COL4A5;COL4A4;ADCY7;FGFR2;WNT10B;LPAR1;CXCL12;AXIN2;SMAD3;FRAT2;PLCG2;MGST1;PIK3CB;ADCY5;MLH1;COL4A2;CDK2;IL23A;EDNRA;TRAF5;ZBTB16;GNG3;FGF1;ETS1;ADCY8;ITGA2B;TRAF2;FZD1;ADCY1;GSTO2;NTRK1;LAMC2;ADCY2;HEYL;NOTCH3;BRCA2;LAMA3;MSH2;NQO1;LAMA2;LAMB1;RASGRP2;PDGFB;F2R;IL12RB1;RARA;SMO;RAD51;TGFB3;GSTM4;HGF;GNG7;APC2;WNT5A;CRK;CSF1R;GNAI1;HEY2;E2F1;CTBP2;MECOM;LAMC1;TGFB2;PIK3CD;CAMK2G;POLK;PIK3R3,extra_mouse_chem
5,gsea,Ras signaling pathway,0.4524608447752264,2.2132337941017077,0.0,0.0019935949705155932,0.007,71/192,31.43%,FGF23;FGF10;PLA2G4D;FLT3;FGF16;PLA2G2C;FGF5;GNGT1;PLA2G4C;PLA2G4F;PDGFRA;IGF1;GNB3;GRIN2B;PLA2G5;IGF2;PDGFRB;NTF3;GNG8;FGF20;GNG11;FGF6;PDGFD;EFNA3;RASGRP4;ANGPT1;KIT;GNG13;PLA2G12B;FGF21;FGF17;RAC2;HTR7;NGFR;RAPGEF5;FGFR4;NGF;FGF2;RASGRP3;TEK;PLA2G4A;GNG10;FGF18;FLT4;EGF;GNGT2;PLCE1;FGF22;SOS2;PDGFC;KDR;FGF7;FLT1;RASAL1;SHC3;PLA2G2D;CALML4;LAT;FGFR3;PLD2;RASAL3;FGFR2;PLA1A;PLCG2;PLA2G4E;PIK3CB;GRIN2A;BRAP;GNG3;FGF1;ETS1,extra_mouse_chem
6,gsea,Signaling pathways regulating pluripotency of stem cells,0.49232423277854,2.2109909982479556,0.0,0.0017087956890133654,0.007,38/116,28.14%,ESRRB;INHBC;WNT8A;ONECUT1;WNT8B;NODAL;WNT2;WNT3A;FZD10;WNT6;IGF1;TBX3;HESX1;DLX5;BMP4;LHX5;WNT2B;WNT7A;SOX2;WNT11;WNT7B;INHBE;WNT10A;FGFR4;FGF2;WNT16;FZD9;FZD4;WNT9A;DUSP9;FZD2;FGFR3;LIF;FGFR2;WNT10B;INHBB;AXIN2;SMAD3,extra_mouse_chem
7,gsea,Th1 and Th2 cell differentiation,0.5355533534097886,2.210554335095443,0.0,0.0014951962278866948,0.007,24/68,28.11%,IL12A;IFNG;CD3E;TBX21;IL2RA;CD3G;IL12RB2;GATA3;IL4;PRKCQ;CD3D;IL5;IL2RG;IL2RB;CD4;RUNX3;RBPJL;STAT4;DLL3;JAG1;LAT;MAF;CD247;LCK,extra_mouse_chem
8,gsea,Glycolysis / Gluconeogenesis,0.5429498939586181,2.1923187952965226,0.0,0.0015189295013452139,0.007,16/46,27.65%,PGAM2;LDHC;ALDH3A1;PCK1;ACSS1;HKDC1;GAPDHS;HK2;ADH7;ALDOB;ADH4;HK1;FBP2;GALM;PGM1;PFKL,extra_mouse_chem
9,gsea,Cell adhesion molecules (CAMs),0.6102878679623762,2.1651166283955448,0.0,0.001537916120112029,0.008,48/98,25.76%,CD40LG;TIGIT;CD6;CLDN16;CD226;CLDN14;CD8A;CLDN10;CD80;ITGA8;ITGB7;ESAM;CLDN19;SELE;SELL;CLDN8;CNTN2;CLDN5;ITGAL;SELPLG;SELP;CTLA4;PDCD1LG2;CDH3;VTCN1;CLDN4;CLDN15;NTNG2;CADM3;CLDN18;LRRC4C;CD28;CD4;ICAM2;CD86;ICOS;CD22;CLDN2;SDC1;CD2;VCAM1;CDH15;NRXN2;CDH5;ITGAM;CD34;MAG;NRXN3,extra_mouse_chem
10,gsea,Transcriptional misregulation in cancer,0.44041522235321906,2.153438224379777,0.0,0.0017087956890133656,0.01,45/142,29.01%,PAX3;PAX5;TLX1;FLT3;HOXA9;MMP3;WT1;PAX8;MPO;ITGB7;TRAF1;SPI1;IGF1;FLI1;CCNA1;LYL1;ERG;MMP9;IL2RB;CEBPE;NGFR;WNT16;RXRG;PAX7;PLAU;CD86;ETV4;HMGA2;BCL11B;FLT1;ETV5;IL6;ITGAM;TGFBR2;RUNX1;RUNX2;MAF;PTCRA;SLC45A3;IL1R2;NCOR1;CD40;CD14;HPGD;GRIA3,extra_mouse_chem
11,gsea,NF-kappa B signaling pathway,0.491596717129936,2.150541844394486,0.00199203187250996,0.0015663960482622517,0.01,29/75,31.52%,CD40LG;BTK;SYK;TRAF1;CCL19;PRKCQ;TNFSF14;PLAU;CARD11;LBP;PTGS2;TLR4;VCAM1;BLNK;CARD10;CARD14;TNFSF13B;TNFRSF13C;LAT;CXCL12;LCK;PLCG2;CD40;CD14;IL1B;TNFSF11;TRAF5;IRAK4;TRAF2,extra_mouse_chem
12,gsea,Focal adhesion,0.43495236876964916,2.150520767074058,0.0,0.0014459040445497708,0.01,74/177,35.02%,MYL10;THBS2;COL4A6;MYL2;TNC;COL2A1;COL9A1;COL4A3;ITGA8;ITGB7;THBS3;PDGFRA;TNN;COL6A2;LAMA1;ITGA11;IGF1;MYLK3;PDGFRB;MYLK2;ITGB4;LAMB2;THBS4;PDGFD;COL6A5;LAMA4;COL6A1;RAC2;CHAD;MYLK4;VWF;LAMC3;ITGA7;ERBB2;LAMB3;COL1A1;MYLK;FLNC;FLT4;EGF;FN1;SOS2;PDGFC;COL1A2;KDR;PARVG;FLT1;RELN;VAV1;SHC3;ITGA10;CAV1;MYL7;VTN;LAMA5;ITGA5;COL4A5;COL4A4;MYL9;ITGB6;ITGA1;PIK3CB;PARVB;COL4A2;ITGA2B;CAV2;LAMC2;LAMA3;LAMA2;VAV3;LAMB1;PDGFB;CAV3;THBS1,extra_mouse_chem
13,gsea,Human papillomavirus infection,0.42141825431201724,2.1496118176358103,0.0,0.0013426251842247872,0.01,89/270,34.08%,THBS2;COL4A6;TBPL2;ATP6V1E2;WNT8A;TNC;ATP6V0D2;COL2A1;WNT8B;COL9A1;COL4A3;WNT2;WNT3A;ITGA8;FZD10;ITGB7;ATP6V1B1;THBS3;TNN;COL6A2;LAMA1;ITGA11;WNT6;CCNA1;PDGFRB;WNT2B;ITGB4;LAMB2;CDK6;THBS4;WNT7A;HES2;WNT11;COL6A5;LAMA4;WNT7B;COL6A1;CREB3L4;CHAD;WNT10A;LFNG;WNT16;VWF;LAMC3;ITGA7;PTGS2;ATP6V1C2;LAMB3;COL1A1;TCF7;EGF;FZD9;FZD4;FN1;RBPJL;CCNA2;WNT9A;SOS2;COL1A2;FZD2;RELN;ITGA10;HEY1;JAG1;ATP6V0A4;VTN;LAMA5;CREB3L3;ITGA5;MTOR;COL4A5;COL4A4;WNT10B;AXIN2;ITGB6;ITGA1;PIK3CB;COL4A2;CDK2;PPP2R5D;ITGA2B;FZD1;LAMC2;HEYL;HES7;NOTCH3;LAMA3;LAMA2;LAMB1,extra_mouse_chem
14,gsea,Breast cancer,0.4950380362588101,2.1471361892626017,0.0,0.0012531168386098013,0.01,55/124,33.30%,FGF23;ESR2;FGF10;WNT8A;WNT8B;FGF16;LEF1;WNT2;WNT3A;FGF5;FZD10;WNT6;IGF1;WNT2B;FGF20;CDK6;PGR;FGF6;ESR1;WNT7A;KIT;WNT11;WNT7B;FGF21;FGF17;WNT10A;FGF2;WNT16;ERBB2;TCF7;FGF18;FLT4;EGF;FZD9;FZD4;FGF22;WNT9A;SOS2;FGF7;FZD2;DLL3;SHC3;HEY1;JAG1;MTOR;WNT10B;AXIN2;FRAT2;PIK3CB;TNFSF11;FGF1;FZD1;HEYL;NOTCH3;BRCA2,extra_mouse_chem
15,gsea,Melanoma,0.5008206165731085,2.144544402729247,0.0,0.0012815967667600243,0.011,19/61,22.90%,FGF23;FGF10;FGF16;FGF5;PDGFRA;IGF1;PDGFRB;FGF20;CDK6;FGF6;PDGFD;FGF21;FGF17;FGF2;FGF18;EGF;FGF22;PDGFC;FGF7,extra_mouse_chem
16,gsea,Regulation of actin cytoskeleton,0.42799145667040017,2.140059535541551,0.0,0.0013067261151278678,0.012,65/183,32.10%,MYL10;FGF23;FGF10;MYL2;LPAR4;FGF16;CHRM1;ITGA8;FGF5;ITGB7;LPAR5;CHRM5;PDGFRA;ITGA11;WAS;FGD3;ITGAL;MYLK3;PDGFRB;FGF20;MYLK2;ITGB4;ITGAX;FGF6;PDGFD;FGF21;FGF17;RAC2;FGFR4;FGF2;MYLK4;BDKRB1;ITGA7;NCKAP1L;ITGAE;MYLK;FGF18;EGF;CHRM2;FN1;PFN4;MYH9;FGF22;SOS2;PDGFC;FGF7;CXCR4;VAV1;ITGA10;ITGAM;MYL7;ITGA5;FGFR3;FGFR2;LPAR1;MYL9;CXCL12;ITGAD;ITGB6;ITGA1;PIK3CB;WASF1;FGF1;ITGA2B;DIAPH3,extra_mouse_chem
17,gsea,Glutamatergic synapse,0.5150379691600903,2.1250125384686815,0.0,0.0012341302198429862,0.012,49/99,32.40%,GRM6;SLC17A7;GRIK1;GRM7;GRIA4;PLA2G4D;GRIA1;PLCB2;SLC1A7;GNGT1;PLA2G4C;PLA2G4F;GRM2;GNB3;SLC17A6;GRIN2B;GNG8;GNG11;GRIN3A;GNG13;SLC1A3;GRM3;SLC1A2;SLC38A1;PLA2G4A;GRIN3B;GNG10;SLC1A6;SLC17A8;GRM1;GNGT2;HOMER2;GRIK4;GRM8;PLD2;ADCY7;GRM4;GRM5;GRIN2D;GRIK3;GRIA3;SHANK2;PLA2G4E;GRIN2A;ADCY5;GNG3;ADCY8;ADCY1;ADCY2,extra_mouse_chem
18,gsea,Vascular smooth muscle contraction,0.45761679448441556,2.1236774363362834,0.0,0.001169175997745987,0.012,54/110,35.88%,AVP;ADRA1D;PLA2G4D;CACNA1S;PLA2G2C;PTGIR;PLCB2;PLA2G4C;PLA2G4F;PLA2G5;ACTG2;PRKCQ;MYLK3;MYLK2;PLA2G12B;CALCRL;MYLK4;KCNMB3;PLA2G4A;CALCB;NPPC;MYLK;ACTA2;ADM;NPPA;NPR1;NPPB;PRKG1;EDN1;NPR2;PLA2G2D;MYL6B;CALML4;PRKCH;ADCY7;GUCY1A2;PPP1R14A;MYL9;PLA2G4E;EDN2;ADCY5;EDNRA;ADCY8;ADCY1;RAMP3;ADRA1B;ADCY2;KCNMB4;AVPR1B;ADRA1A;PRKCD;CACNA1F;PLA2G1B;CACNA1D,extra_mouse_chem
19,gsea,Gastric cancer,0.49874265862941686,2.123475212573753,0.0,0.0011107171978586875,0.012,54/126,31.65%,FGF23;FGF10;WNT8A;WNT8B;REG4;FGF16;LEF1;WNT2;WNT3A;SHH;FGF5;FZD10;WNT6;CTNNA3;WNT2B;FGF20;CDH17;FGF6;WNT7A;WNT11;RARB;WNT7B;FGF21;CDX2;FGF17;WNT10A;FGF2;WNT16;RXRG;ERBB2;TCF7;FGF18;EGF;FZD9;FZD4;FGF22;WNT9A;SOS2;FGF7;FZD2;SHC3;TGFBR2;TGFB1;MTOR;FGFR2;WNT10B;AXIN2;SMAD3;FRAT2;PIK3CB;MLH1;CDK2;FGF1;FZD1,extra_mouse_chem
