,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.4943876708879151,2.3459013860096767,0.0,0.0,0.0,112/289,27.57%,COL4A3;THBS2;COL4A6;CD19;FGF23;FGF10;GNGT1;FGF5;LPAR3;ITGA8;EPO;CHRM1;FGF16;TNC;EREG;EIF4E1B;COL9A1;COL2A1;FLT3;LPAR4;PCK1;OSM;PDGFRA;FGF6;IL2RA;COL6A2;LPAR5;IGF2;THBS3;IL7R;ITGA11;ANGPT1;LAMA1;IL2RG;IGF1;ITGB7;GNG11;TNN;FGF17;IL4;IL2RB;CDK6;SYK;ITGB4;THBS4;LAMC3;PDGFD;NTF3;CSF3;GNB3;CREB3L4;GNG8;PDGFRB;FGF20;VWF;LAMB2;NGF;KIT;FGFR4;FGF21;COL1A2;CHAD;PKN3;COL6A5;FN1;PIK3CG;LAMA4;EGF;TEK;COL6A1;EFNA3;ITGA7;OSMR;FGF2;LAMB3;PIK3AP1;PIK3R6;NGFR;EPOR;GNG13;KDR;FLT4;GNG10;FGF18;IL7;FGF7;TLR4;FLT1;CHRM2;MYB;RELN;GNGT2;COL1A1;PDGFC;LAMA5;SOS2;IL6;LPAR1;FGFR2;CREB3L3;COL4A5;FGFR3;FGF22;MTOR;COL4A4;CSF3R;ITGB6;VTN;PIK3CB;ITGA5;ERBB2;ERBB4,extra_mouse_young
1,gsea,Ras signaling pathway,0.46034039901142937,2.257360700196857,0.0,0.002597578444018443,0.002,77/192,34.49%,FGF23;FGF10;GNGT1;FGF5;PLA2G4F;PLA2G4D;FGF16;FLT3;PDGFRA;FGF6;GRIN2B;IGF2;PLA2G2C;ANGPT1;PLA2G12B;PLA2G4C;IGF1;GNG11;RAPGEF5;FGF17;PDGFD;NTF3;GNB3;PLA2G5;GNG8;PDGFRB;FGF20;NGF;RASGRP3;KIT;FGFR4;RASGRP4;FGF21;HTR7;PLA2G4A;EGF;TEK;EFNA3;FGF2;NGFR;GNG13;KDR;FLT4;GNG10;PLA2G4E;RAC2;FGF18;FGF7;FLT1;GNGT2;PLCE1;RASAL3;RASAL1;PDGFC;SOS2;PLD2;FGFR2;FGFR3;FGF22;LAT;PLCG2;CALML4;PLA2G2D;PLA1A;PIK3CB;GRIN2A;GNG3;BRAP;SHC3;ETS1;FGF1;CSF1R;RIN1;NTRK1;PDGFB;PLA2G1B;RASGRP2,extra_mouse_young
2,gsea,Wnt signaling pathway,0.4724744400261884,2.2427280093644373,0.0,0.0017317189626789623,0.002,47/128,31.49%,LEF1;PLCB2;SFRP2;NKD1;WNT8B;MMP7;RSPO1;WNT11;WNT8A;WNT2;FZD10;SFRP4;WNT6;WNT2B;RSPO2;DKK2;WNT3A;NOTUM;SFRP1;SOX17;FZD4;TCF7;DAAM2;LGR6;DKK1;WNT7A;WNT7B;CAMK2A;WNT16;RSPO3;WNT10A;VANGL1;RAC2;FZD9;PRICKLE4;TBL1XR1;FZD2;LGR5;WIF1;CER1;WNT9A;AXIN2;WNT10B;FRAT2;SMAD3;FZD1;RNF43,extra_mouse_young
3,gsea,Phospholipase D signaling pathway,0.48892444950308744,2.235159364628122,0.0,0.0012987892220092214,0.002,50/128,32.71%,AVP;AVPR2;MS4A2;PLCB2;GRM6;CXCR1;LPAR3;PLA2G4F;GRM7;PLA2G4D;PTGFR;LPAR4;PDGFRA;GRM2;LPAR5;PLA2G4C;SYK;PDGFD;PDGFRB;KIT;PIK3CG;PLA2G4A;EGF;GRM3;CXCR2;CYTH4;PIK3R6;PLA2G4E;GRM1;DGKI;PDGFC;SOS2;PLD2;LPAR1;GRM8;SPHK1;MTOR;PLCG2;ADCY7;PIK3CB;GRM4;GRM5;ADCY5;PIK3R5;SHC3;DGKA;AVPR1B;ADCY8;ADCY1;ADCY2,extra_mouse_young
4,gsea,JAK-STAT signaling pathway,0.511977333044879,2.231727950058657,0.0,0.0010390313776073774,0.002,43/113,27.25%,IL13RA2;GFAP;IFNE;EPO;IFNG;IL12A;OSM;PDGFRA;IL2RA;IL22RA1;IL7R;IL2RG;IL5;IL5RA;IL21;IL4;IL2RB;LEPR;IL12RB2;CSF3;PDGFRB;IL22RA2;IL10RA;IL24;EGF;LEP;OSMR;IL10;EPOR;IL21R;MPL;IL7;IL20RA;IL19;STAT4;SOS2;TSLP;IL6;IL15;MTOR;CSF3R;PIK3CB;LIF,extra_mouse_young
5,gsea,Pathways in cancer,0.4469098685711108,2.1849764781257752,0.0,0.0017317189626789623,0.005,182/440,34.92%,ESR2;COL4A3;GLI1;COL4A6;FGF23;FGF10;LEF1;PLCB2;PAX8;GNGT1;NKX3-1;FGF5;LPAR3;EPO;FGF16;NOS2;BIRC7;HHIP;WNT8B;IFNG;MGST2;FLT3;LPAR4;RXRG;IL12A;PDGFRA;TRAF1;FGF6;IL2RA;KIF7;LPAR5;IGF2;WNT11;SHH;MMP2;SPI1;WNT8A;WNT2;IL7R;LAMA1;FZD10;IL2RG;WNT6;WNT2B;IGF1;GNG11;CTNNA3;IL5;PTGER2;WNT3A;IL5RA;FGF17;IL4;IL2RB;CDK6;LAMC3;IL12RB2;DCC;PMAIP1;GNB3;GLI2;BMP4;GNG8;PDGFRB;FGF20;RARB;MMP9;LAMB2;RASGRP3;AR;KIT;FGFR4;ESR1;SKP2;RASGRP4;PTGS2;FZD4;TCF7;FGF21;FN1;WNT7A;WNT7B;LAMA4;CAMK2A;EGF;FGF2;LAMB3;WNT16;EPOR;GNG13;ALK;DAPK2;WNT10A;FLT4;GLI3;GNG10;RAC2;FGF18;IL7;FGF7;FZD9;BIRC5;GNGT2;JAG1;BDKRB1;STAT4;LAMA5;SOS2;FZD2;IL6;RUNX1;DLL3;LPAR1;PTGER1;IL15;FGFR2;CXCR4;CXCL12;PTGER3;COL4A5;GSTO2;FGFR3;EDNRB;FGF22;PTCH2;HEY1;TGFBR2;MTOR;BID;WNT9A;PLCG2;AXIN2;COL4A4;CSF3R;CALML4;ADCY7;EGLN3;TGFB1;PIK3CB;ERBB2;WNT10B;HEY2;EDN1;MGST1;TRAF5;FRAT2;MLH1;MSH2;SMAD3;ADCY5;F2RL3;ITGA2B;GNG3;EDNRA;COL4A2;IL23R;TRAF2;IL23A;FZD1;ZBTB16;RAD51;ETS1;LAMC2;BRCA2;ADCY8;FGF1;CDK2;CSF1R;NQO1;ADCY1;ADCY2;RARA;HEYL;LAMB1;NTRK1;PDGFB;LAMA3;POLK;RASGRP2;LAMA2;F2R;CRK,extra_mouse_young
6,gsea,Cell adhesion molecules (CAMs),0.6040803113088645,2.1790711905438602,0.0,0.0014843305394391104,0.005,49/98,26.68%,CLDN19;SELE;SELL;CD40LG;CLDN10;CD8A;CD6;ITGA8;TIGIT;CD226;CLDN14;ITGAL;CLDN16;CDH3;CD28;SELPLG;CNTN2;ITGB7;ESAM;CLDN18;CD80;SDC1;CLDN8;CTLA4;SELP;CLDN5;CLDN4;CD22;VTCN1;NTNG2;ICAM2;CLDN15;CADM3;ITGAM;CD4;CD86;ICOS;LRRC4C;NRXN2;PDCD1LG2;CD2;CLDN2;CDH15;VCAM1;NTNG1;CDH5;CD34;NRXN3;CD40,extra_mouse_young
7,gsea,Th1 and Th2 cell differentiation,0.5237156676346694,2.145451388440199,0.0,0.001731718962678962,0.006,24/68,28.20%,TBX21;CD3E;IFNG;IL12A;IL2RA;IL2RG;CD3G;IL5;IL4;IL2RB;IL12RB2;GATA3;PRKCQ;CD3D;CD4;RBPJL;JAG1;STAT4;DLL3;LAT;RUNX3;MAF;LCK;CD247,extra_mouse_young
8,gsea,Breast cancer,0.49208380202601854,2.1342826525009504,0.0,0.0019241321807544024,0.007,50/124,28.89%,ESR2;FGF23;FGF10;LEF1;FGF5;FGF16;WNT8B;FGF6;WNT11;WNT8A;WNT2;FZD10;WNT6;WNT2B;PGR;IGF1;WNT3A;FGF17;CDK6;FGF20;KIT;ESR1;FZD4;TCF7;FGF21;WNT7A;WNT7B;EGF;FGF2;WNT16;WNT10A;FLT4;FGF18;FGF7;FZD9;TNFSF11;JAG1;SOS2;FZD2;DLL3;FGF22;HEY1;MTOR;WNT9A;AXIN2;PIK3CB;ERBB2;WNT10B;HEY2;FRAT2,extra_mouse_young
9,gsea,Vascular smooth muscle contraction,0.4573102512020477,2.129864279814805,0.0,0.0022512346514826508,0.009,54/110,35.60%,AVP;ADRA1D;PLCB2;PLA2G4F;PLA2G4D;PTGIR;ACTG2;PLA2G2C;PLA2G12B;CACNA1S;PLA2G4C;MYLK3;PLA2G5;PRKCQ;KCNMB3;MYLK2;MYLK4;CALCB;PLA2G4A;ADM;CALCRL;MYLK;ACTA2;PLA2G4E;NPPA;NPR1;NPPC;NPR2;MYL6B;PRKCH;NPPB;MYL9;GUCY1A2;CALML4;ADCY7;PLA2G2D;PRKG1;PPP1R14A;CACNA1D;EDN2;EDN1;ADCY5;EDNRA;AVPR1B;ADCY8;RAMP3;ADCY1;ADRA1B;ADCY2;KCNMB4;PLA2G1B;ADRA1A;CACNA1F;PRKCD,extra_mouse_young
