,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5069035947369049,2.515239932852662,0.0,0.0,0.0,124/289,32.52%,COL4A3;THBS2;COL4A6;FGF23;CD19;FGF10;TNC;COL9A1;EPO;EREG;FLT3;EIF4E1B;GNGT1;COL2A1;LPAR4;LPAR3;CHRM1;FGF16;ITGB7;IL2RA;FGF5;ANGPT1;IGF2;FGF6;ITGA11;ITGA8;LAMB2;PKN3;IL4;OSMR;NTF3;LPAR5;TNN;IL2RG;GNB3;IL7R;CSF3;LAMA1;LAMC3;PIK3R6;FGF20;COL6A2;IGF1;FGF21;THBS4;COL1A1;PCK1;OSM;GNG8;PDGFRA;PDGFD;ITGB4;PDGFRB;FN1;LAMA4;GNG13;COL6A5;EFNA3;COL6A1;NGFR;TLR4;FGF2;CHAD;RELN;TEK;ERBB2;ITGA7;IL2RB;VWF;FGF7;KDR;PIK3AP1;CREB3L4;EGF;EPOR;FGF17;FGF18;FLT4;NGF;LAMB3;PIK3CG;IL7;GNGT2;THBS3;MYB;ITGA10;GNG11;CDK6;COL4A5;CHRM2;KIT;FGFR3;PDGFC;FGF22;FGFR4;FLT1;GNG10;COL1A2;IL6;VTN;SYK;SOS2;ITGA5;CSF3R;CREB3L3;ITGB6;COL4A4;LAMA5;FGFR2;ITGA1;ERBB4;CSF1R;PIK3R5;COL4A2;LAMB1;LPAR1;MTOR;PIK3CB;ITGA2B;CDK2;GNG3;THBS1;FGF1;PDGFB,random_human_seed_43
1,gsea,JAK-STAT signaling pathway,0.5470704596567857,2.475751231391037,0.0,0.0,0.0,48/113,31.35%,IL13RA2;IL5;IL12A;EPO;IFNG;IL19;IL21R;IL5RA;IL2RA;IFNE;IL22RA1;GFAP;IL4;OSMR;IL21;IL2RG;IL24;IL7R;CSF3;IL23R;IL12RB2;IL15;IL10RA;LEPR;LEP;IL22RA2;OSM;MPL;PDGFRA;PDGFRB;IL10;IL2RB;EGF;EPOR;IL20RA;IL7;STAT4;LIF;IL6;TSLP;SOS2;CSF3R;IL20RB;SOCS1;MTOR;IL17D;IL23A;PIK3CB,random_human_seed_43
2,gsea,Serotonergic synapse,0.5270356388627591,2.3826931295592426,0.0,0.0,0.0,43/87,35.07%,HTR4;PLCB2;ALOX12;CACNA1S;ALOX15;PLA2G4E;GNGT1;PLA2G4D;PLA2G4F;GABRB2;HTR1F;TPH1;HTR3B;GNB3;HTR6;HTR2B;HTR3A;GNG8;HTR2C;HTR5A;GNG13;HTR7;HTR2A;PLA2G4A;PTGS1;GNGT2;SLC6A4;GNG11;PTGS2;SLC18A2;GNG10;PLA2G4C;KCNJ5;TPH2;ADCY5;KCND2;CYP4X1;GNG3;GABRB1;CACNA1D;RAPGEF3;ALOX12B;CACNA1F,random_human_seed_43
3,gsea,Wnt signaling pathway,0.4944311186350707,2.3824764507193006,0.0,0.0,0.0,43/128,27.80%,LEF1;PLCB2;WNT8B;NKD1;WNT8A;WNT3A;RSPO1;SFRP1;WNT2B;FZD10;SFRP2;WNT11;RSPO2;MMP7;DKK2;WNT7A;NOTUM;DAAM2;WNT6;SOX17;RSPO3;WNT2;DKK1;SFRP4;FZD4;WNT16;TCF7;RAC2;CAMK2A;LGR5;WNT7B;WNT9A;FZD9;WNT10A;LGR6;PRICKLE4;FZD2;WIF1;AXIN2;VANGL1;FRAT2;CER1;WNT10B,random_human_seed_43
4,gsea,Pathways in cancer,0.4707334403594424,2.363870191767702,0.0,0.00035465771983458764,0.001,175/440,33.75%,NKX3-1;ESR2;COL4A3;COL4A6;FGF23;LEF1;FGF10;GLI1;IL5;PLCB2;IL12A;NOS2;PAX8;RXRG;EPO;BIRC7;IFNG;HHIP;FLT3;GNGT1;LPAR4;WNT8B;MGST2;LPAR3;WNT8A;WNT3A;IL5RA;MMP2;FGF16;IL2RA;FGF5;WNT2B;SHH;IGF2;FZD10;FGF6;SPI1;LAMB2;WNT11;IL4;BMP4;LPAR5;IL2RG;WNT7A;GNB3;TRAF1;IL7R;LAMA1;LAMC3;IL23R;GLI2;IL12RB2;IL15;FGF20;IGF1;KIF7;SKP2;FGF21;WNT6;CTNNA3;PTGER2;AR;DCC;WNT2;ESR1;GNG8;RASGRP4;PDGFRA;PDGFRB;RASGRP3;FN1;LAMA4;BDKRB1;GNG13;MMP9;FZD4;DAPK2;WNT16;FGF2;TCF7;RAC2;CAMK2A;ERBB2;WNT7B;IL2RB;FGF7;RARB;PMAIP1;EGF;GLI3;EPOR;FGF17;FGF18;FLT4;PTGER1;F2RL3;ALK;WNT9A;FZD9;HEY2;LAMB3;EGLN3;IL7;GNGT2;GNG11;BIRC5;CDK6;COL4A5;KIT;WNT10A;FGFR3;PTGS2;STAT4;FGF22;FGFR4;CXCR4;GNG10;FZD2;IL6;EDN1;DLL3;HEY1;PTGER3;EDNRB;AXIN2;SOS2;PTCH2;RUNX1;CSF3R;NQO1;NOTCH3;TGFBR2;CALML4;COL4A4;FRAT2;JAG1;WNT10B;ADCY7;LAMA5;PLCG2;FGFR2;MGST1;CXCL12;CSF1R;BID;TGFB1;ADCY5;SMAD3;COL4A2;LAMB1;LPAR1;ADCY8;GSTO2;MTOR;IL23A;ZBTB16;EDNRA;PIK3CB;ITGA2B;CDK2;ETS1;ADCY1;GNG3;RAD51;FGF1;FZD1;HEYL;PDGFB;ADCY2;GSTM4;MLH1;CAMK2G;BRCA2;RASGRP2;LAMA3,random_human_seed_43
5,gsea,Phospholipase D signaling pathway,0.49919689440272835,2.3497561696002944,0.0,0.0005910961997243127,0.002,53/128,34.68%,AVP;MS4A2;GRM7;PLCB2;PTGFR;PLA2G4E;LPAR4;PLA2G4D;GRM6;LPAR3;PLA2G4F;AVPR2;GRM2;CXCR1;LPAR5;PIK3R6;GRM3;PDGFRA;PDGFD;PDGFRB;CYTH4;CXCR2;PLA2G4A;EGF;GRM1;PIK3CG;DGKI;KIT;PDGFC;SHC3;PLA2G4C;PLD2;GRM8;SPHK1;SYK;SOS2;ADCY7;PLCG2;GRM4;GRM5;PIK3R5;ADCY5;LPAR1;ADCY8;MTOR;PIK3CB;ADCY1;PDGFB;ADCY2;DGKA;AVPR1B;RAPGEF3;F2R,random_human_seed_43
6,gsea,Synaptic vesicle cycle,0.5179626453529906,2.346330460336849,0.002044989775051125,0.0005066538854779823,0.002,25/66,23.70%,SLC6A12;SLC6A7;SLC6A1;SLC17A7;ATP6V0D2;ATP6V1E2;SLC1A7;SLC6A5;ATP6V1B1;SLC17A6;ATP6V1C2;UNC13C;CPLX4;CPLX1;SLC6A13;SLC1A2;SLC1A6;SLC6A2;SLC1A3;SLC6A11;SLC17A8;STX1A;SLC6A4;STX2;SLC18A2,random_human_seed_43
7,gsea,Vascular smooth muscle contraction,0.49874382079845603,2.346168502899485,0.0,0.0004433221497932345,0.002,54/110,35.13%,KCNMB3;AVP;ADRA1D;PLCB2;CACNA1S;PLA2G4E;PLA2G4D;PLA2G4F;PTGIR;ACTG2;MYLK3;PLA2G5;PRKCQ;MYLK2;ADM;MYLK4;CALCRL;NPPC;PLA2G12B;CALCB;PRKCH;PLA2G4A;MYLK;PLA2G2C;ACTA2;NPPA;MYL6B;EDN1;NPPB;GUCY1A2;PLA2G4C;PLA2G2D;PRKG1;CALML4;NPR2;NPR1;ADCY7;PPP1R14A;MYL9;ADCY5;ADCY8;EDNRA;ADCY1;RAMP3;ADRA1B;ADCY2;EDN2;CACNA1D;KCNMB4;AVPR1B;ADRA1A;PLA2G1B;CACNA1F;PRKCD,random_human_seed_43
8,gsea,Ras signaling pathway,0.47021965073322913,2.336338608539573,0.0,0.0005910961997243128,0.003,77/192,34.54%,FGF23;FGF10;PLA2G4E;FLT3;GNGT1;PLA2G4D;PLA2G4F;FGF16;FGF5;ANGPT1;IGF2;FGF6;NTF3;GNB3;PLA2G5;FGF20;IGF1;GRIN2B;FGF21;PLA1A;GNG8;RASGRP4;PDGFRA;PDGFD;PDGFRB;RASGRP3;GNG13;EFNA3;HTR7;NGFR;PLA2G12B;FGF2;RAC2;PLA2G4A;TEK;RAPGEF5;FGF7;KDR;EGF;FGF17;PLA2G2C;FGF18;FLT4;NGF;RASAL1;GNGT2;GNG11;PLCE1;KIT;FGFR3;PDGFC;FGF22;FGFR4;FLT1;SHC3;GNG10;PLA2G4C;PLD2;PLA2G2D;SOS2;CALML4;PLCG2;LAT;FGFR2;GRIN2A;CSF1R;RASAL3;BRAP;PIK3CB;ETS1;GNG3;FGF1;PDGFB;RIN1;RASGRP2;NTRK1;PLA2G1B,random_human_seed_43
9,gsea,Human papillomavirus infection,0.4473429076352437,2.330528857259735,0.0,0.0005319865797518814,0.003,100/270,37.15%,COL4A3;THBS2;COL4A6;TBPL2;TNC;COL9A1;ATP6V0D2;COL2A1;WNT8B;ATP6V1E2;HES2;WNT8A;WNT3A;ITGB7;WNT2B;FZD10;ITGA11;ITGA8;LAMB2;WNT11;TNN;ATP6V1B1;WNT7A;CCNA1;LAMA1;LAMC3;ATP6V1C2;COL6A2;WNT6;THBS4;COL1A1;WNT2;ITGB4;PDGFRB;FN1;LAMA4;COL6A5;COL6A1;FZD4;LFNG;WNT16;TCF7;CHAD;RELN;ITGA7;WNT7B;VWF;CREB3L4;EGF;WNT9A;FZD9;HEY2;LAMB3;RBPJL;THBS3;ITGA10;CDK6;COL4A5;WNT10A;CCNA2;PTGS2;COL1A2;FZD2;HEY1;VTN;AXIN2;SOS2;ITGA5;ATP6V0A4;CREB3L3;NOTCH3;ITGB6;COL4A4;JAG1;WNT10B;LAMA5;ITGA1;COL4A2;LAMB1;MTOR;PIK3CB;ITGA2B;CDK2;THBS1;FZD1;HEYL;DLG2;LAMA3;PARD6B;HES7;APC2;LAMA2;LAMC2;MFNG;E2F1;PIK3CD;WNT5A;STAT2;LAMC1;PPP2R5D,random_human_seed_43
