,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5427958616736088,2.7116232142286454,0.0,0.0,0.0,104/289,25.69%,THBS2;COL4A3;COL4A6;FGF23;CD19;FGF10;COL9A1;TNC;GNGT1;LPAR3;EIF4E1B;EPO;FLT3;COL2A1;EREG;LPAR4;CHRM1;FGF16;FGF5;PCK1;ITGA8;IL2RA;COL6A2;OSM;ITGA11;IGF2;PDGFRA;ITGB7;FGF6;LPAR5;ANGPT1;CSF3;IL4;LAMA1;IL2RG;PKN3;PIK3R6;IL7R;TNN;NTF3;GNB3;PDGFRB;LAMB2;LAMC3;FGF20;IGF1;FGF21;GNG13;GNG8;OSMR;COL1A1;THBS4;PDGFD;SYK;ITGB4;FN1;FGF17;CDK6;IL2RB;CREB3L4;EFNA3;GNG11;COL6A5;LAMA4;PIK3AP1;NGFR;TEK;THBS3;FGF7;COL6A1;NGF;KIT;FGFR4;FGF2;CHAD;KDR;PIK3CG;VWF;LAMB3;COL4A5;ITGA7;FGF18;EGF;TLR4;COL1A2;FGF22;EPOR;RELN;GNG10;FLT4;ERBB2;GNGT2;IL7;CHRM2;FLT1;MYB;ITGA10;SOS2;PDGFC;ITGA5;CREB3L3;FGFR3;ITGB6;IL6,random_mouse_seed_43
1,gsea,JAK-STAT signaling pathway,0.5697806053581081,2.555428978095304,0.0,0.0,0.0,43/113,27.91%,IL13RA2;IFNG;EPO;IL12A;IL21R;IFNE;IL5;GFAP;IL2RA;IL22RA1;IL12RB2;OSM;PDGFRA;IL5RA;IL23R;IL21;IL15;CSF3;IL4;IL2RG;IL19;LEP;IL7R;PDGFRB;IL22RA2;LEPR;IL10RA;OSMR;MPL;IL2RB;IL24;IL10;EGF;EPOR;LIF;IL7;IL20RA;STAT4;SOS2;IL6;TSLP;MTOR;CSF3R,random_mouse_seed_43
2,gsea,Focal adhesion,0.49988537121679094,2.5490391619373063,0.0,0.0,0.0,61/177,28.01%,MYL10;THBS2;COL4A3;COL4A6;COL9A1;TNC;MYL2;COL2A1;ITGA8;COL6A2;ITGA11;PDGFRA;ITGB7;LAMA1;TNN;FLNC;MYLK4;MYLK3;PDGFRB;LAMB2;LAMC3;IGF1;CAV3;COL1A1;THBS4;PDGFD;ITGB4;FN1;MYLK2;RAC2;PARVG;COL6A5;LAMA4;MYLK;THBS3;COL6A1;CHAD;KDR;VWF;LAMB3;COL4A5;ITGA7;EGF;COL1A2;RELN;FLT4;ERBB2;FLT1;SHC3;ITGA10;SOS2;PDGFC;ITGA5;MYL7;CAV1;VAV1;ITGB6;VTN;MYL9;LAMA5;COL4A4,random_mouse_seed_43
3,gsea,Serotonergic synapse,0.5636454790009838,2.5408950298249215,0.0,0.0,0.0,32/87,24.25%,HTR4;ALOX12;GNGT1;ALOX15;PLA2G4F;PLA2G4D;CACNA1S;PLCB2;GABRB2;HTR3B;HTR1F;HTR6;PLA2G4E;GNB3;TPH1;PLA2G4C;GNG13;GNG8;HTR2B;HTR2C;HTR2A;HTR3A;HTR5A;GNG11;HTR7;PLA2G4A;PTGS1;PTGS2;GNG10;GNGT2;SLC6A4;SLC18A2,random_mouse_seed_43
4,gsea,Ras signaling pathway,0.5034944771870992,2.5355873712681496,0.0,0.0,0.0,65/192,28.26%,FGF23;FGF10;GNGT1;PLA2G4F;FLT3;PLA2G4D;FGF16;FGF5;IGF2;PDGFRA;PLA2G2C;FGF6;ANGPT1;PLA2G4E;NTF3;GNB3;GRIN2B;PDGFRB;PLA2G5;FGF20;IGF1;FGF21;PLA2G4C;GNG13;GNG8;RASGRP3;PDGFD;FGF17;PLA2G12B;RASGRP4;RAPGEF5;EFNA3;RAC2;GNG11;HTR7;NGFR;TEK;FGF7;NGF;KIT;FGFR4;FGF2;PLA2G4A;KDR;FGF18;EGF;PLA1A;FGF22;GNG10;FLT4;GNGT2;FLT1;SHC3;PLCE1;SOS2;PDGFC;FGFR3;PLD2;RASAL1;RASAL3;PLCG2;PLA2G2D;LAT;CALML4;FGFR2,random_mouse_seed_43
5,gsea,Wnt signaling pathway,0.5165266191067079,2.5306714856660113,0.0,0.0,0.0,43/128,28.94%,WNT8A;NKD1;WNT8B;LEF1;PLCB2;SFRP2;WNT3A;RSPO1;FZD10;WNT2;SFRP1;WNT2B;DKK2;RSPO3;MMP7;WNT7A;WNT11;NOTUM;TCF7;WNT6;DAAM2;SOX17;RSPO2;FZD4;DKK1;RAC2;WNT7B;SFRP4;CAMK2A;LGR5;WNT16;WNT10A;LGR6;FZD9;WNT9A;PRICKLE4;VANGL1;AXIN2;FZD2;WIF1;CER1;FRAT2;WNT10B,random_mouse_seed_43
6,gsea,Human papillomavirus infection,0.4767133395564252,2.5292284975877,0.0,0.0,0.0,87/270,32.98%,THBS2;COL4A3;COL4A6;TBPL2;COL9A1;WNT8A;TNC;COL2A1;WNT8B;ATP6V1E2;ATP6V0D2;HES2;WNT3A;ITGA8;FZD10;WNT2;COL6A2;ITGA11;WNT2B;ATP6V1C2;ITGB7;CCNA1;ATP6V1B1;LAMA1;WNT7A;WNT11;TNN;PDGFRB;TCF7;LAMB2;LAMC3;WNT6;COL1A1;THBS4;ITGB4;FN1;FZD4;CDK6;CREB3L4;COL6A5;LAMA4;WNT7B;THBS3;COL6A1;CHAD;LFNG;VWF;LAMB3;WNT16;WNT10A;COL4A5;ITGA7;PTGS2;EGF;RBPJL;COL1A2;RELN;FZD9;WNT9A;CCNA2;HEY2;ITGA10;SOS2;ITGA5;CREB3L3;ITGB6;AXIN2;FZD2;HEY1;JAG1;VTN;MTOR;LAMA5;ATP6V0A4;COL4A4;WNT10B;NOTCH3;ITGA1;PIK3CB;ITGA2B;CDK2;COL4A2;LAMC2;FZD1;THBS1;LAMB1;DLG2,random_mouse_seed_43
7,gsea,Pathways in cancer,0.4942555686176721,2.510478136664553,0.0,0.0,0.0,170/440,32.93%,COL4A3;COL4A6;FGF23;GLI1;FGF10;PAX8;WNT8A;RXRG;ESR2;IFNG;GNGT1;NOS2;LPAR3;BIRC7;EPO;FLT3;IL12A;MGST2;LPAR4;HHIP;WNT8B;LEF1;FGF16;PLCB2;WNT3A;FGF5;IL5;IL2RA;FZD10;MMP2;NKX3-1;WNT2;SHH;IL12RB2;SPI1;IGF2;PDGFRA;WNT2B;IL5RA;FGF6;IL23R;LPAR5;IL15;IL4;LAMA1;WNT7A;IL2RG;TRAF1;WNT11;IL7R;PTGER2;GNB3;MMP9;PDGFRB;BMP4;PMAIP1;KIF7;TCF7;LAMB2;LAMC3;WNT6;FGF20;GLI2;IGF1;SKP2;FGF21;GNG13;GNG8;CTNNA3;RASGRP3;FN1;FGF17;ESR1;AR;DCC;FZD4;CDK6;IL2RB;RASGRP4;RAC2;GNG11;LAMA4;WNT7B;BDKRB1;FGF7;KIT;FGFR4;RARB;FGF2;DAPK2;CAMK2A;ALK;LAMB3;WNT16;WNT10A;PTGER1;COL4A5;FGF18;PTGS2;EGF;FGF22;EPOR;F2RL3;GLI3;GNG10;FLT4;ERBB2;GNGT2;IL7;FZD9;WNT9A;BIRC5;PTCH2;CXCR4;HEY2;STAT4;SOS2;EDNRB;FGFR3;PTGER3;AXIN2;IL6;FZD2;DLL3;HEY1;EGLN3;PLCG2;JAG1;CXCL12;TGFBR2;MTOR;BID;EDN1;LAMA5;RUNX1;CSF3R;LPAR1;COL4A4;FRAT2;CALML4;FGFR2;MGST1;ADCY7;NQO1;WNT10B;ADCY8;NOTCH3;TGFB1;GSTO2;PIK3CB;SMAD3;CSF1R;ADCY5;MLH1;ITGA2B;FGF1;CDK2;COL4A2;LAMC2;ADCY1;GNG3;RAD51;IL23A;EDNRA;BRCA2;ZBTB16;FZD1;GSTM4;ETS1;LAMB1,random_mouse_seed_43
8,gsea,Regulation of actin cytoskeleton,0.48079906740345774,2.501223309500954,0.0,0.0,0.0,64/183,31.75%,MYL10;FGF23;FGF10;MYL2;LPAR4;CHRM1;FGF16;FGF5;ITGA8;ITGAL;ITGA11;PDGFRA;CHRM5;ITGB7;FGF6;LPAR5;WAS;MYLK4;MYLK3;PDGFRB;FGD3;ITGAM;NCKAP1L;FGF20;FGF21;PDGFD;ITGB4;ITGAX;FN1;FGF17;MYLK2;RAC2;MYLK;BDKRB1;FGF7;FGFR4;FGF2;ITGA7;FGF18;EGF;PFN4;ITGAE;FGF22;CHRM2;CXCR4;ITGA10;SOS2;PDGFC;ITGA5;MYL7;FGFR3;VAV1;ITGB6;CXCL12;MYL9;LPAR1;MYH9;FGFR2;ITGAD;ITGA1;PIK3CB;ITGA2B;WASF1;FGF1,random_mouse_seed_43
9,gsea,Phospholipase D signaling pathway,0.522700454484663,2.479267589573835,0.0,0.0,0.0,50/128,33.80%,MS4A2;AVP;GRM7;PLA2G4F;LPAR3;PTGFR;PLA2G4D;LPAR4;GRM6;PLCB2;GRM2;AVPR2;PDGFRA;CXCR1;LPAR5;PIK3R6;PLA2G4E;PDGFRB;PLA2G4C;PDGFD;SYK;GRM3;KIT;CYTH4;PLA2G4A;PIK3CG;CXCR2;EGF;GRM1;DGKI;SHC3;SOS2;PDGFC;PLD2;GRM8;SPHK1;PLCG2;MTOR;LPAR1;ADCY7;GRM4;ADCY8;GRM5;PIK3CB;ADCY5;PIK3R5;ADCY1;AVPR1B;PDGFB;ADCY2,random_mouse_seed_43
