,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5358277211058375,2.6594559421890946,0.0,0.0,0.0,96/289,23.31%,COL4A3;COL4A6;FGF23;THBS2;CD19;GNGT1;CHRM1;FGF10;OSMR;FGF16;LPAR3;TNC;FLT3;EREG;COL2A1;COL9A1;EIF4E1B;LPAR4;EPO;COL6A2;FGF5;ITGA8;IL2RA;LAMC3;ANGPT1;ITGA11;ITGB7;IGF2;FGF6;OSM;PKN3;PCK1;NTF3;FN1;LPAR5;PDGFRA;CSF3;IL7R;IL4;IL2RG;PIK3R6;LAMA1;LAMB2;FGF7;COL1A1;PDGFRB;THBS3;TNN;GNB3;IGF1;FGF21;GNG13;FGF20;IL2RB;KDR;GNG8;PDGFD;SYK;CDK6;COL4A5;THBS4;ITGB4;GNG11;FGF17;PIK3CG;EFNA3;CREB3L4;COL6A5;VWF;LAMA4;PIK3AP1;ITGA10;LAMB3;COL6A1;NGF;ERBB2;CHAD;NGFR;EGF;RELN;FGFR4;COL1A2;FGF2;EPOR;KIT;ITGA7;TEK;FLT1;FGF18;GNG10;TLR4;FGFR3;FGF22;CHRM2;IL7;FLT4,train_adata_baseline
1,gsea,JAK-STAT signaling pathway,0.5842410269309738,2.5954153005266516,0.0,0.0,0.0,44/113,28.62%,IL13RA2;IL5;IL19;IL21R;OSMR;GFAP;IL12A;IFNG;EPO;IFNE;IL5RA;IL23R;IL2RA;IL15;IL22RA1;IL10RA;OSM;IL12RB2;IL24;LEPR;LEP;IL21;PDGFRA;CSF3;IL7R;IL4;IL2RG;PDGFRB;IL2RB;MPL;IL22RA2;EGF;LIF;EPOR;IL10;IL20RA;IL7;STAT4;SOS2;IL6;TSLP;MTOR;IL20RB;CSF3R,train_adata_baseline
2,gsea,Serotonergic synapse,0.5631816353444882,2.5253273397672023,0.0,0.0,0.0,32/87,25.29%,HTR4;PLA2G4F;PLCB2;PLA2G4E;GNGT1;GABRB2;ALOX12;ALOX15;PLA2G4D;HTR1F;HTR2C;HTR5A;TPH1;CACNA1S;HTR3B;HTR2A;HTR3A;PLA2G4C;HTR6;GNB3;GNG13;GNG8;HTR2B;GNG11;HTR7;PLA2G4A;PTGS2;PTGS1;GNG10;GNGT2;SLC6A4;SLC18A2,train_adata_baseline
3,gsea,Human papillomavirus infection,0.47210573941064055,2.507888158108405,0.0,0.0,0.0,102/270,37.77%,COL4A3;COL4A6;THBS2;TBPL2;HES2;WNT8A;TNC;ATP6V1E2;ATP6V0D2;COL2A1;WNT8B;COL9A1;COL6A2;WNT2B;ITGA8;LAMC3;ITGA11;WNT3A;ITGB7;ATP6V1C2;WNT11;FZD10;WNT2;FN1;ATP6V1B1;CCNA1;WNT7A;TCF7;LAMA1;LAMB2;COL1A1;PDGFRB;THBS3;TNN;WNT6;CDK6;COL4A5;THBS4;FZD4;ITGB4;NOTCH3;CREB3L4;HEY2;WNT7B;COL6A5;VWF;LAMA4;ITGA10;LAMB3;COL6A1;CHAD;EGF;RELN;LFNG;WNT16;COL1A2;ITGA7;PTGS2;WNT10A;RBPJL;WNT9A;FZD9;CCNA2;AXIN2;ITGB6;SOS2;JAG1;FZD2;MTOR;HEY1;VTN;ITGA5;LAMA5;ATP6V0A4;CREB3L3;COL4A4;ITGA1;WNT10B;DLG2;PIK3CB;LAMB1;ITGA2B;CDK2;THBS1;COL4A2;FZD1;LAMC2;STAT2;HEYL;PARD6B;WNT5A;PPP2R5D;LAMA3;HES7;E2F1;LAMA2;LAMC1;PIK3CD;MFNG;ISG15;ITGB5;PIK3R3,train_adata_baseline
4,gsea,Ras signaling pathway,0.4989736596659519,2.4832891278058407,0.0,0.0,0.0,67/192,29.19%,FGF23;PLA2G4F;PLA2G4E;GNGT1;FGF10;FGF16;FLT3;PLA2G4D;PLA1A;FGF5;ANGPT1;IGF2;FGF6;PLA2G2C;NTF3;PDGFRA;GRIN2B;PLA2G4C;FGF7;PDGFRB;GNB3;IGF1;FGF21;GNG13;FGF20;RASGRP3;PLA2G5;KDR;GNG8;PDGFD;PLA2G12B;RAPGEF5;GNG11;FGF17;EFNA3;HTR7;RASGRP4;RAC2;NGF;PLA2G4A;NGFR;EGF;FGFR4;FGF2;KIT;TEK;FLT1;FGF18;GNG10;FGFR3;FGF22;FLT4;RASAL1;SHC3;GNGT2;PLCG2;PLCE1;PDGFC;PLD2;SOS2;PLA2G2D;RASAL3;CALML4;LAT;FGFR2;CSF1R;GRIN2A,train_adata_baseline
5,gsea,Wnt signaling pathway,0.5073725599061182,2.482771470601202,0.0,0.0,0.0,44/128,29.96%,LEF1;PLCB2;SFRP2;WNT8A;NKD1;WNT8B;SFRP1;RSPO1;WNT2B;WNT3A;MMP7;SFRP4;WNT11;FZD10;DAAM2;RSPO2;WNT2;RSPO3;DKK2;WNT7A;TCF7;WNT6;NOTUM;FZD4;SOX17;DKK1;WNT7B;RAC2;LGR5;CAMK2A;WNT16;WNT10A;LGR6;WNT9A;FZD9;PRICKLE4;VANGL1;AXIN2;FZD2;WIF1;FRAT2;TBL1XR1;CER1;WNT10B,train_adata_baseline
6,gsea,Pathways in cancer,0.48489901797175367,2.4703320996304603,0.0,0.0,0.0,179/440,34.83%,COL4A3;GLI1;COL4A6;FGF23;IL5;PAX8;LEF1;PLCB2;GNGT1;MMP2;NKX3-1;FGF10;WNT8A;IL12A;FGF16;LPAR3;NOS2;BIRC7;FLT3;RXRG;IFNG;WNT8B;LPAR4;MGST2;HHIP;EPO;FGF5;WNT2B;IL5RA;IL23R;IL2RA;LAMC3;SPI1;WNT3A;IL15;ESR2;IGF2;FGF6;SHH;WNT11;FZD10;IL12RB2;PTGER2;TRAF1;WNT2;FN1;LPAR5;WNT7A;PDGFRA;TCF7;IL7R;IL4;IL2RG;KIF7;BMP4;SKP2;LAMA1;LAMB2;FGF7;PDGFRB;GNB3;WNT6;IGF1;FGF21;GNG13;FGF20;RASGRP3;GLI2;IL2RB;CTNNA3;GNG8;PMAIP1;CDK6;COL4A5;MMP9;FZD4;AR;GNG11;DCC;FGF17;ALK;RARB;NOTCH3;ESR1;HEY2;RASGRP4;WNT7B;BDKRB1;LAMA4;RAC2;LAMB3;DAPK2;ERBB2;CAMK2A;EGF;FGFR4;WNT16;FGF2;EPOR;KIT;PTGS2;WNT10A;PTGER1;F2RL3;GLI3;FGF18;WNT9A;GNG10;FGFR3;FGF22;IL7;FLT4;FZD9;BIRC5;PTCH2;GNGT2;PLCG2;STAT4;AXIN2;EDNRB;EDN1;PTGER3;CXCR4;SOS2;JAG1;IL6;NQO1;FZD2;DLL3;EGLN3;MGST1;RUNX1;MTOR;CXCL12;HEY1;BID;CALML4;FRAT2;TGFBR2;LAMA5;CSF3R;FGFR2;COL4A4;CSF1R;GSTO2;GSTM4;ADCY7;WNT10B;SMAD3;TGFB1;LPAR1;ADCY5;MLH1;PIK3CB;LAMB1;PDGFB;ITGA2B;EDNRA;RAD51;ADCY1;CDK2;FGF1;COL4A2;ZBTB16;IL23A;FZD1;MSH2;GNG3;CAMK2G;TRAF2;ETS1;ADCY8;ADCY2;BRCA2;TRAF5;LAMC2;STAT2;NTRK1;HEYL,train_adata_baseline
7,gsea,Focal adhesion,0.4851007316056581,2.452005627506604,0.0,0.0,0.0,70/177,32.73%,COL4A3;COL4A6;THBS2;MYL10;CAV3;TNC;MYL2;COL2A1;COL9A1;COL6A2;ITGA8;LAMC3;ITGA11;ITGB7;FLNC;PARVG;FN1;MYLK3;PDGFRA;MYLK4;LAMA1;LAMB2;COL1A1;PDGFRB;THBS3;TNN;IGF1;KDR;PDGFD;COL4A5;THBS4;ITGB4;MYLK2;MYLK;COL6A5;VWF;LAMA4;RAC2;ITGA10;LAMB3;COL6A1;ERBB2;CHAD;EGF;RELN;COL1A2;ITGA7;FLT1;FLT4;SHC3;MYL7;ITGB6;PDGFC;CAV1;VAV1;SOS2;MYL9;VTN;ITGA5;LAMA5;COL4A4;ITGA1;PIK3CB;LAMB1;PDGFB;ITGA2B;CAV2;PARVB;THBS1;COL4A2,train_adata_baseline
8,gsea,Phospholipase D signaling pathway,0.5127043261388313,2.4292744602852974,0.0,0.0,0.0,51/128,34.16%,MS4A2;AVP;PLA2G4F;PLCB2;PLA2G4E;GRM7;LPAR3;PTGFR;PLA2G4D;LPAR4;GRM6;CXCR1;GRM2;AVPR2;LPAR5;PDGFRA;PIK3R6;PLA2G4C;PDGFRB;PDGFD;SYK;GRM3;PIK3CG;PLA2G4A;CYTH4;EGF;CXCR2;KIT;GRM1;SHC3;DGKI;PLCG2;PDGFC;PLD2;GRM8;SOS2;MTOR;SPHK1;ADCY7;GRM5;GRM4;LPAR1;ADCY5;PIK3CB;PIK3R5;PDGFB;ADCY1;AVPR1B;ADCY8;ADCY2;DGKA,train_adata_baseline
9,gsea,Signaling pathways regulating pluripotency of stem cells,0.5159633940691833,2.4050644932419094,0.0,0.0,0.0,33/116,25.04%,NODAL;DLX5;ONECUT1;WNT8A;ESRRB;INHBC;WNT8B;WNT2B;SOX2;WNT3A;WNT11;FZD10;WNT2;WNT7A;BMP4;HESX1;TBX3;WNT6;IGF1;LHX5;FZD4;WNT7B;INHBE;LIF;FGFR4;WNT16;FGF2;WNT10A;WNT9A;FGFR3;FZD9;DUSP9;AXIN2,train_adata_baseline
