,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5435469233367063,2.706662529543996,0.0,0.0,0.0,103/289,25.11%,COL4A6;FGF23;COL4A3;CD19;THBS2;GNGT1;COL6A2;CHRM1;LPAR3;TNC;FGF10;COL2A1;EREG;FLT3;EIF4E1B;LPAR4;EPO;FGF5;LAMC3;ITGB7;IL2RA;COL9A1;ITGA11;FGF16;ANGPT1;IGF2;FGF6;ITGA8;OSM;CSF3;NTF3;PDGFRA;LPAR5;IL7R;IL4;PIK3R6;IL2RG;TNN;PKN3;LAMA1;GNB3;IL2RB;FGF20;FGF21;LAMB2;PCK1;OSMR;GNG8;ITGB4;IGF1;COL1A1;PDGFRB;THBS4;EFNA3;GNG13;SYK;PDGFD;FGF7;TEK;LAMA4;COL6A5;CDK6;TLR4;COL6A1;KIT;NGFR;FGF17;FGF2;KDR;EGF;PIK3CG;CHAD;PIK3AP1;LAMB3;ERBB2;THBS3;CREB3L4;FN1;ITGA7;VWF;FGFR4;RELN;NGF;GNG11;FGF18;EPOR;GNGT2;FLT4;FGF22;IL7;COL4A5;GNG10;ITGA5;CHRM2;FLT1;COL1A2;MYB;FGFR3;SOS2;PDGFC;CREB3L3;IL6;ITGB6,embedding_top100_mouse
1,gsea,Serotonergic synapse,0.5766283041248041,2.6363437656388014,0.0,0.0,0.0,33/87,24.15%,HTR4;PLA2G4F;GNGT1;PLA2G4E;ALOX15;CACNA1S;ALOX12;PLA2G4D;PLCB2;GABRB2;HTR3B;HTR6;TPH1;HTR1F;GNB3;PLA2G4C;HTR3A;GNG8;HTR2A;HTR2B;GNG13;HTR7;HTR5A;HTR2C;PLA2G4A;PTGS1;GNG11;GNGT2;GNG10;PTGS2;KCNJ5;SLC6A4;SLC18A2,embedding_top100_mouse
2,gsea,JAK-STAT signaling pathway,0.584970814157093,2.636066550752458,0.0,0.0,0.0,44/113,27.94%,IL13RA2;IL19;IL21R;IL5;IL12A;EPO;IFNG;IL2RA;IFNE;IL22RA1;LEPR;IL10RA;OSM;IL12RB2;CSF3;IL5RA;IL21;PDGFRA;IL7R;IL15;IL4;IL2RG;GFAP;IL22RA2;IL23R;IL2RB;IL24;LEP;OSMR;PDGFRB;MPL;EGF;IL10;EPOR;IL7;IL20RA;SOS2;STAT4;IL6;LIF;MTOR;TSLP;SOCS1;CSF3R,embedding_top100_mouse
3,gsea,Wnt signaling pathway,0.5134243568397591,2.5414806250137834,0.0,0.0,0.0,45/128,30.12%,LEF1;NKD1;WNT8A;WNT3A;WNT8B;DKK2;PLCB2;WNT11;SFRP2;RSPO1;MMP7;SFRP1;WNT2B;FZD10;NOTUM;WNT2;RSPO2;FZD4;DAAM2;WNT7A;RSPO3;SFRP4;WNT6;SOX17;DKK1;RAC2;TCF7;LGR5;WNT7B;CAMK2A;WNT16;WNT10A;PRICKLE4;LGR6;FZD9;WNT9A;FZD2;AXIN2;WIF1;FRAT2;CER1;VANGL1;WNT10B;TBL1XR1;SMAD3,embedding_top100_mouse
4,gsea,Focal adhesion,0.4960969773617976,2.523960247586173,0.0,0.0,0.0,75/177,35.39%,COL4A6;MYL10;COL4A3;THBS2;COL6A2;MYL2;TNC;COL2A1;LAMC3;ITGB7;COL9A1;ITGA11;PARVG;ITGA8;MYLK3;PDGFRA;TNN;LAMA1;LAMB2;MYLK4;ITGB4;IGF1;COL1A1;PDGFRB;MYLK2;THBS4;PDGFD;MYLK;CAV3;RAC2;FLNC;LAMA4;COL6A5;COL6A1;KDR;EGF;CHAD;LAMB3;ERBB2;THBS3;FN1;ITGA7;VWF;RELN;FLT4;VAV1;SHC3;COL4A5;ITGA5;FLT1;COL1A2;MYL7;SOS2;PDGFC;ITGB6;ITGA10;VTN;COL4A4;CAV1;LAMA5;ITGA1;THBS1;PARVB;ITGA2B;LAMB1;COL4A2;MYL9;CAV2;PIK3CB;LAMA3;LAMC2;PDGFB;PIK3CD;VAV3;LAMA2,embedding_top100_mouse
5,gsea,Human papillomavirus infection,0.4734113623828591,2.5194398960735827,0.0,0.0,0.0,96/270,35.94%,COL4A6;COL4A3;THBS2;HES2;TBPL2;COL6A2;TNC;WNT8A;WNT3A;COL2A1;WNT8B;LAMC3;ATP6V0D2;ATP6V1E2;ITGB7;COL9A1;ITGA11;WNT11;WNT2B;FZD10;CCNA1;ITGA8;WNT2;FZD4;WNT7A;ATP6V1B1;TNN;LAMA1;ATP6V1C2;LAMB2;WNT6;ITGB4;COL1A1;PDGFRB;THBS4;TCF7;LAMA4;COL6A5;CDK6;COL6A1;EGF;WNT7B;LFNG;WNT16;CHAD;LAMB3;THBS3;CREB3L4;FN1;ITGA7;VWF;RELN;WNT10A;RBPJL;CCNA2;HEY2;FZD9;HEY1;COL4A5;PTGS2;ITGA5;COL1A2;WNT9A;SOS2;CREB3L3;ITGB6;FZD2;ITGA10;VTN;AXIN2;MTOR;COL4A4;ATP6V0A4;LAMA5;WNT10B;ITGA1;JAG1;THBS1;DLG2;CDK2;ITGA2B;LAMB1;COL4A2;FZD1;PIK3CB;PARD6B;LAMA3;HEYL;LAMC2;PIK3CD;STAT2;APC2;E2F1;LAMA2;NOTCH3;HES7,embedding_top100_mouse
6,gsea,Ras signaling pathway,0.5012664136095546,2.5177507922153533,0.0,0.0,0.0,67/192,29.52%,FGF23;PLA2G4F;GNGT1;PLA2G4E;FGF10;FLT3;PLA2G4D;FGF5;FGF16;ANGPT1;IGF2;FGF6;NTF3;PDGFRA;RASGRP3;PLA2G5;GNB3;PLA2G4C;FGF20;FGF21;PLA2G2C;GNG8;IGF1;PDGFRB;GRIN2B;EFNA3;GNG13;PDGFD;HTR7;FGF7;RAC2;RASGRP4;PLA2G12B;TEK;KIT;NGFR;FGF17;FGF2;KDR;EGF;PLA2G4A;RAPGEF5;FGFR4;NGF;PLA1A;GNG11;FGF18;GNGT2;FLT4;FGF22;SHC3;GNG10;FLT1;FGFR3;PLCE1;RASAL1;SOS2;PDGFC;PLD2;PLCG2;GRIN2A;PLA2G2D;BRAP;LAT;CALML4;FGFR2;CSF1R,embedding_top100_mouse
7,gsea,Pathways in cancer,0.4888812532959726,2.4818107889392533,0.0,0.0,0.0,181/440,34.99%,GLI1;COL4A6;FGF23;COL4A3;PAX8;MMP2;GNGT1;LEF1;RXRG;PTGER2;LPAR3;NKX3-1;BIRC7;IL5;WNT8A;IL12A;WNT3A;FGF10;FLT3;LPAR4;WNT8B;HHIP;MGST2;EPO;FGF5;IFNG;LAMC3;NOS2;IL2RA;PLCB2;FGF16;WNT11;SHH;WNT2B;SPI1;IGF2;FZD10;FGF6;IL12RB2;WNT2;IL5RA;PDGFRA;LPAR5;KIF7;ESR2;BMP4;IL7R;IL15;IL4;IL2RG;RASGRP3;FZD4;MMP9;WNT7A;LAMA1;GNB3;TRAF1;GLI2;IL23R;IL2RB;FGF20;FGF21;LAMB2;ESR1;GNG8;WNT6;IGF1;PMAIP1;CTNNA3;PDGFRB;AR;DCC;GNG13;DAPK2;FGF7;RAC2;RASGRP4;TCF7;LAMA4;CDK6;BDKRB1;KIT;FGF17;RARB;FGF2;EGF;WNT7B;CAMK2A;WNT16;LAMB3;ERBB2;FN1;GLI3;SKP2;FGFR4;PTGER1;GNG11;FGF18;EPOR;WNT10A;GNGT2;BIRC5;FLT4;ALK;FGF22;HEY2;FZD9;IL7;HEY1;COL4A5;F2RL3;GNG10;PTGS2;CXCR4;WNT9A;NQO1;FGFR3;EDNRB;SOS2;STAT4;PTCH2;IL6;PTGER3;FZD2;DLL3;AXIN2;ADCY8;EGLN3;EDN1;MTOR;PLCG2;COL4A4;FRAT2;TGFBR2;RUNX1;CSF3R;BID;LAMA5;CALML4;ADCY7;WNT10B;LPAR1;FGFR2;CSF1R;MGST1;TGFB1;JAG1;SMAD3;CXCL12;ADCY5;GSTO2;CDK2;ITGA2B;IL12RB1;LAMB1;GNG3;FGF1;COL4A2;EDNRA;IL23A;ADCY1;ZBTB16;ETS1;FZD1;PIK3CB;RAD51;ADCY2;MLH1;LAMA3;HEYL;BRCA2;GSTM4;CAMK2G;RASGRP2;SMO;LAMC2;PDGFB;NTRK1;PIK3CD;STAT2;APC2,embedding_top100_mouse
8,gsea,Phospholipase D signaling pathway,0.5287965849193124,2.480752130842883,0.0,0.0,0.0,56/128,36.57%,MS4A2;PLA2G4F;AVP;GRM3;PLA2G4E;LPAR3;PTGFR;LPAR4;PLA2G4D;GRM6;GRM7;CXCR1;GRM2;PLCB2;PDGFRA;LPAR5;PIK3R6;AVPR2;PLA2G4C;PDGFRB;SYK;PDGFD;CYTH4;KIT;EGF;PIK3CG;PLA2G4A;CXCR2;SHC3;GRM1;DGKI;SOS2;PDGFC;GRM8;PLD2;ADCY8;SPHK1;MTOR;PLCG2;ADCY7;LPAR1;GRM4;GRM5;PIK3R5;ADCY5;ADCY1;PIK3CB;ADCY2;PDGFB;PIK3CD;RAPGEF3;AVPR1B;DGKA;F2R;INSR;AGPAT4,embedding_top100_mouse
9,gsea,Regulation of actin cytoskeleton,0.48106701812796315,2.4724247592593223,0.0,0.0,0.0,75/183,36.20%,MYL10;FGF23;ITGAL;CHRM1;MYL2;FGF10;LPAR4;FGF5;ITGB7;ITGA11;FGF16;FGF6;ITGA8;MYLK3;CHRM5;PDGFRA;LPAR5;WAS;NCKAP1L;FGF20;FGF21;FGD3;ITGAX;MYLK4;ITGAM;ITGB4;PDGFRB;MYLK2;PDGFD;MYLK;FGF7;RAC2;BDKRB1;FGF17;FGF2;EGF;FN1;ITGA7;PFN4;ITGAE;FGFR4;FGF18;VAV1;FGF22;CXCR4;ITGA5;CHRM2;FGFR3;MYL7;SOS2;PDGFC;ITGB6;ITGA10;LPAR1;FGFR2;ITGAD;ITGA1;CXCL12;DIAPH3;ITGA2B;FGF1;MYH9;MYL9;PIK3CB;WASF1;PDGFB;PIK3CD;APC2;FGD1;VAV3;GSN;F2R;VAV2;TIAM1;GIT1,embedding_top100_mouse
