,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5925684875451895,2.9973885900612816,0.0,0.0,0.0,99/289,23.91%,COL4A6;THBS2;FGF23;COL9A1;CD19;GNGT1;FGF10;TNC;EPO;FGF5;FGF16;EIF4E1B;COL4A3;LPAR3;LPAR4;EREG;COL2A1;FLT3;CHRM1;ITGA8;LAMC3;OSM;ANGPT1;ITGB7;OSMR;PDGFRA;PKN3;IL2RA;COL6A2;IL2RG;FGF6;ITGA11;IL4;LAMB2;PCK1;TNN;IGF2;LPAR5;CSF3;LAMA1;IL7R;GNB3;PIK3R6;GNG13;FGF7;NTF3;FN1;PDGFD;FGF17;COL1A1;KDR;FGF21;IL2RB;THBS4;PDGFRB;GNG8;IGF1;COL4A5;FGF20;ITGB4;CDK6;SYK;GNG11;CREB3L4;EFNA3;ERBB2;NGFR;PIK3CG;LAMA4;VWF;COL6A1;COL6A5;THBS3;NGF;FGF2;FGFR3;EGF;FGFR4;ITGA7;PIK3AP1;COL1A2;CHAD;LAMB3;KIT;RELN;TLR4;TEK;ITGA10;FGF18;EPOR;FLT4;FGF22;GNGT2;PDGFC;IL7;FLT1;MYB;GNG10;CHRM2,embedding_top50_human
1,gsea,Human papillomavirus infection,0.5356111916609088,2.897833964206126,0.0,0.0,0.0,74/270,26.94%,COL4A6;THBS2;WNT8A;COL9A1;HES2;TBPL2;TNC;COL4A3;ATP6V1E2;WNT8B;ATP6V0D2;COL2A1;ITGA8;LAMC3;ITGB7;FZD10;ATP6V1C2;WNT11;WNT3A;WNT2;COL6A2;ITGA11;WNT2B;ATP6V1B1;LAMB2;TCF7;WNT7A;TNN;LAMA1;CCNA1;FN1;FZD4;COL1A1;WNT6;THBS4;PDGFRB;COL4A5;ITGB4;CDK6;CREB3L4;HEY2;LFNG;NOTCH3;LAMA4;VWF;COL6A1;COL6A5;THBS3;WNT16;WNT7B;PTGS2;EGF;ITGA7;COL1A2;CHAD;LAMB3;WNT9A;RELN;ITGA10;WNT10A;FZD9;RBPJL;CCNA2;CREB3L3;VTN;ITGB6;FZD2;SOS2;AXIN2;MTOR;HEY1;JAG1;ATP6V0A4;ITGA5,embedding_top50_human
2,gsea,JAK-STAT signaling pathway,0.6431823455941081,2.87210799722191,0.0,0.0,0.0,31/113,15.06%,IL13RA2;IL19;IL12A;IL21R;EPO;IFNG;IFNE;IL23R;OSM;GFAP;IL5RA;OSMR;PDGFRA;IL15;IL5;IL2RA;IL2RG;LEPR;IL12RB2;MPL;IL4;IL24;IL21;LEP;CSF3;IL7R;IL22RA1;IL10RA;IL2RB;IL22RA2;PDGFRB,embedding_top50_human
3,gsea,Wnt signaling pathway,0.5697270131646984,2.8409342089524614,0.0,0.0,0.0,40/128,26.22%,WNT8A;LEF1;WNT8B;NKD1;PLCB2;SFRP2;RSPO1;FZD10;WNT11;DAAM2;SFRP1;WNT3A;WNT2;SFRP4;DKK2;WNT2B;RSPO3;TCF7;WNT7A;RSPO2;MMP7;NOTUM;FZD4;WNT6;SOX17;LGR6;DKK1;RAC2;WNT16;WNT7B;LGR5;WNT9A;CAMK2A;WNT10A;FZD9;VANGL1;PRICKLE4;WIF1;FZD2;AXIN2,embedding_top50_human
4,gsea,Ras signaling pathway,0.5538779765709783,2.793920127998039,0.0,0.0,0.0,59/192,25.19%,FGF23;PLA2G4D;GNGT1;FGF10;FGF5;FGF16;PLA2G4E;FLT3;PLA2G4F;ANGPT1;PDGFRA;FGF6;PLA1A;PLA2G5;IGF2;GNB3;GRIN2B;GNG13;PLA2G2C;FGF7;RASGRP3;PLA2G12B;NTF3;PDGFD;FGF17;KDR;FGF21;PDGFRB;GNG8;IGF1;FGF20;PLA2G4C;RAPGEF5;GNG11;EFNA3;RASGRP4;NGFR;RAC2;PLA2G4A;NGF;FGF2;FGFR3;HTR7;EGF;FGFR4;KIT;TEK;FGF18;FLT4;FGF22;GNGT2;PDGFC;FLT1;GNG10;PLCE1;PLD2;SHC3;RASAL1;PLCG2,embedding_top50_human
5,gsea,Pathways in cancer,0.5414392408844556,2.792028353446729,0.0,0.0,0.0,148/440,29.73%,GLI1;COL4A6;FGF23;WNT8A;NKX3-1;LEF1;GNGT1;IL12A;FGF10;MMP2;PAX8;BIRC7;EPO;FGF5;FGF16;IFNG;COL4A3;NOS2;MGST2;LPAR3;LPAR4;WNT8B;RXRG;FLT3;HHIP;PLCB2;IL23R;LAMC3;ESR2;SHH;IL5RA;SPI1;FZD10;PDGFRA;WNT11;IL15;IL5;WNT3A;IL2RA;WNT2;IL2RG;TRAF1;PTGER2;FGF6;IL12RB2;IL4;WNT2B;LAMB2;TCF7;WNT7A;MMP9;IGF2;LPAR5;SKP2;LAMA1;IL7R;GNB3;KIF7;GNG13;FGF7;RASGRP3;BMP4;FN1;PMAIP1;FZD4;FGF17;WNT6;FGF21;IL2RB;PDGFRB;GNG8;GLI2;IGF1;CTNNA3;COL4A5;FGF20;AR;ESR1;RARB;DCC;CDK6;BDKRB1;GNG11;RASGRP4;ERBB2;HEY2;NOTCH3;LAMA4;ALK;RAC2;WNT16;WNT7B;FGF2;PTGS2;FGFR3;EGF;PTGER1;FGFR4;DAPK2;LAMB3;KIT;WNT9A;CAMK2A;F2RL3;WNT10A;FGF18;EPOR;FZD9;FLT4;FGF22;GNGT2;GLI3;EGLN3;IL7;CXCR4;EDN1;GNG10;PTCH2;BIRC5;STAT4;IL6;PLCG2;FZD2;SOS2;DLL3;AXIN2;MTOR;PTGER3;EDNRB;HEY1;JAG1;BID;CSF3R;RUNX1;TGFBR2;CXCL12;GSTO2;ADCY7;CALML4;WNT10B;NQO1;COL4A4;LPAR1;FRAT2;FGFR2;RAD51;CSF1R;LAMA5,embedding_top50_human
6,gsea,Serotonergic synapse,0.6213742174448786,2.782088331908595,0.0,0.0,0.0,28/87,20.35%,HTR4;GABRB2;PLA2G4D;GNGT1;ALOX12;ALOX15;PLA2G4E;CACNA1S;PLA2G4F;PLCB2;HTR2C;HTR3B;HTR1F;TPH1;HTR5A;GNB3;GNG13;HTR6;HTR3A;GNG8;HTR2B;PLA2G4C;GNG11;HTR2A;PLA2G4A;PTGS2;HTR7;PTGS1,embedding_top50_human
7,gsea,Focal adhesion,0.5429905561570723,2.779588125115787,0.0,0.0,0.0,58/177,26.94%,COL4A6;THBS2;COL9A1;MYL10;TNC;COL4A3;MYL2;COL2A1;CAV3;ITGA8;LAMC3;ITGB7;PDGFRA;PARVG;FLNC;COL6A2;ITGA11;LAMB2;TNN;LAMA1;FN1;MYLK3;PDGFD;COL1A1;KDR;THBS4;PDGFRB;IGF1;COL4A5;MYLK2;MYLK4;ITGB4;ERBB2;LAMA4;VWF;MYLK;COL6A1;COL6A5;THBS3;RAC2;EGF;ITGA7;COL1A2;CHAD;LAMB3;RELN;ITGA10;FLT4;PDGFC;FLT1;VAV1;SHC3;VTN;ITGB6;MYL7;SOS2;CAV1;ITGA5,embedding_top50_human
8,gsea,Regulation of actin cytoskeleton,0.5265822318421611,2.7576324324414876,0.0,0.0,0.0,59/183,29.58%,FGF23;MYL10;FGF10;FGF5;FGF16;MYL2;LPAR4;CHRM1;ITGA8;ITGAL;ITGB7;PDGFRA;NCKAP1L;FGF6;ITGA11;CHRM5;WAS;LPAR5;ITGAM;FGF7;ITGAX;FN1;MYLK3;PDGFD;FGD3;FGF17;FGF21;PDGFRB;FGF20;MYLK2;MYLK4;ITGB4;BDKRB1;MYLK;RAC2;FGF2;FGFR3;EGF;FGFR4;ITGA7;ITGA10;ITGAE;PFN4;FGF18;FGF22;PDGFC;CXCR4;VAV1;CHRM2;ITGB6;MYL7;SOS2;ITGA5;MYL9;MYH9;CXCL12;LPAR1;ITGAD;FGFR2,embedding_top50_human
9,gsea,Signaling pathways regulating pluripotency of stem cells,0.5774179774250316,2.7189205782603167,0.0,0.0,0.0,30/116,22.05%,WNT8A;ONECUT1;NODAL;INHBC;ESRRB;WNT8B;DLX5;FZD10;WNT11;WNT3A;WNT2;SOX2;WNT2B;WNT7A;HESX1;BMP4;TBX3;FZD4;WNT6;LHX5;IGF1;INHBE;WNT16;WNT7B;FGF2;FGFR3;FGFR4;WNT9A;WNT10A;FZD9,embedding_top50_human
