,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5662034984770414,2.8160705071828005,0.0,0.0,0.0,113/289,27.98%,THBS2;FGF23;COL4A6;CD19;LPAR3;TNC;EPO;EREG;EIF4E1B;COL9A1;COL2A1;FLT3;LPAR4;FGF16;FGF10;GNGT1;CHRM1;FGF5;ITGB7;ITGA8;IL2RA;PCK1;LPAR5;PDGFRA;OSM;COL4A3;IL4;LAMB2;TNN;GNB3;CSF3;PKN3;GNG8;NTF3;ITGA11;IL2RG;THBS4;IGF2;IL2RB;LAMA1;FGF20;ITGB4;PIK3R6;CDK6;THBS3;PDGFD;IGF1;IL7R;PDGFRB;LAMC3;EFNA3;PIK3CG;COL6A5;GNG13;LAMA4;GNG11;COL6A2;FGF6;COL6A1;CREB3L4;CHAD;SYK;LAMB3;NGFR;ANGPT1;FGF17;VWF;FGF2;ITGA7;KIT;FGFR4;TEK;FGF21;ERBB2;NGF;EGF;FGF18;FN1;PIK3AP1;COL1A2;KDR;FGF7;COL1A1;TLR4;IL7;FLT4;OSMR;EPOR;GNG10;GNGT2;MYB;CHRM2;ITGA10;FLT1;FGF22;COL4A5;PDGFC;FGFR3;RELN;IL6;SOS2;CREB3L3;LPAR1;VTN;LAMA5;CSF3R;FGFR2;ITGA5;COL4A4;MTOR;ITGB6;ERBB4;PIK3CB,extra_human_preT2D
1,gsea,Human papillomavirus infection,0.496420030105523,2.6442240372960475,0.0,0.0,0.0,76/270,27.98%,TBPL2;THBS2;COL4A6;TNC;COL9A1;WNT8B;ATP6V0D2;COL2A1;ATP6V1E2;WNT8A;WNT2;ITGB7;ITGA8;FZD10;ATP6V1B1;WNT3A;COL4A3;HES2;LAMB2;TNN;CCNA1;ITGA11;THBS4;WNT6;WNT7A;LAMA1;ITGB4;CDK6;THBS3;WNT2B;TCF7;PDGFRB;WNT11;WNT7B;LAMC3;COL6A5;LAMA4;COL6A2;FZD4;COL6A1;CREB3L4;CHAD;LAMB3;LFNG;VWF;ITGA7;WNT16;WNT10A;ATP6V1C2;EGF;FN1;PTGS2;COL1A2;COL1A1;FZD9;WNT9A;ITGA10;RBPJL;CCNA2;COL4A5;RELN;JAG1;FZD2;SOS2;HEY1;ATP6V0A4;CREB3L3;VTN;LAMA5;ITGA5;AXIN2;COL4A4;MTOR;WNT10B;ITGB6;PIK3CB,extra_human_preT2D
2,gsea,Wnt signaling pathway,0.5354051995665416,2.608181555777687,0.0,0.0,0.0,45/128,29.16%,NKD1;WNT8B;WNT8A;LEF1;RSPO1;SFRP2;WNT2;FZD10;WNT3A;SFRP1;PLCB2;NOTUM;WNT6;WNT7A;SOX17;MMP7;WNT2B;SFRP4;TCF7;DKK1;DKK2;WNT11;WNT7B;FZD4;RSPO3;CAMK2A;DAAM2;RAC2;WNT16;WNT10A;LGR6;LGR5;FZD9;WNT9A;VANGL1;RSPO2;FZD2;WIF1;TBL1XR1;PRICKLE4;CER1;AXIN2;WNT10B;FRAT2;SMAD3,extra_human_preT2D
3,gsea,Signaling pathways regulating pluripotency of stem cells,0.5654275856874897,2.600823818500964,0.0,0.0,0.0,39/116,29.16%,ESRRB;WNT8B;INHBC;ONECUT1;NODAL;WNT8A;WNT2;FZD10;DLX5;WNT3A;TBX3;HESX1;LHX5;WNT6;WNT7A;BMP4;IGF1;WNT2B;WNT11;WNT7B;SOX2;FZD4;INHBE;FGF2;WNT16;FGFR4;WNT10A;FZD9;WNT9A;FGFR3;DUSP9;FZD2;FGFR2;LIF;AXIN2;WNT10B;PIK3CB;INHBB;SMAD3,extra_human_preT2D
4,gsea,Pathways in cancer,0.5118055883236831,2.589202495250352,0.0,0.0,0.0,169/440,32.87%,NKX3-1;FGF23;COL4A6;LPAR3;EPO;BIRC7;WNT8B;IFNG;HHIP;MGST2;FLT3;LPAR4;IL12A;NOS2;RXRG;FGF16;FGF10;GNGT1;WNT8A;GLI1;LEF1;WNT2;FGF5;IL2RA;PAX8;FZD10;SHH;IL12RB2;LPAR5;PDGFRA;WNT3A;IL5RA;ESR2;COL4A3;PLCB2;IL4;LAMB2;GNB3;MMP9;TRAF1;KIF7;GNG8;CTNNA3;MMP2;GLI2;IL2RG;WNT6;IGF2;IL5;DCC;IL2RB;WNT7A;LAMA1;FGF20;CDK6;PMAIP1;PTGER2;BMP4;SPI1;AR;RASGRP3;ESR1;IGF1;WNT2B;IL7R;TCF7;RASGRP4;PDGFRB;WNT11;WNT7B;LAMC3;GNG13;LAMA4;GNG11;FZD4;FGF6;LAMB3;CAMK2A;RARB;RAC2;FGF17;FGF2;KIT;WNT16;FGFR4;SKP2;WNT10A;FGF21;ERBB2;IL15;EGF;BDKRB1;FGF18;FN1;PTGS2;FGF7;IL7;FLT4;PTGER1;DAPK2;ALK;FZD9;PTCH2;EPOR;GNG10;BIRC5;GNGT2;WNT9A;IL23R;GLI3;FGF22;COL4A5;STAT4;FGFR3;JAG1;CXCR4;EDNRB;IL6;FZD2;PTGER3;BID;DLL3;F2RL3;SOS2;EDN1;HEY1;RUNX1;EGLN3;TGFBR2;LPAR1;LAMA5;CSF3R;CXCL12;FGFR2;PLCG2;AXIN2;COL4A4;CALML4;ADCY7;MTOR;WNT10B;PIK3CB;TGFB1;GSTO2;TRAF5;FRAT2;MGST1;MLH1;SMAD3;ADCY5;COL4A2;EDNRA;ITGA2B;FGF1;IL23A;ZBTB16;GNG3;CDK2;RAD51;FZD1;MSH2;ADCY1;ETS1;ADCY8;LAMC2;TRAF2;NTRK1;BRCA2;ADCY2,extra_human_preT2D
5,gsea,Ras signaling pathway,0.5128112957661327,2.559866896958861,0.0,0.0,0.0,66/192,27.98%,FGF23;PLA2G4D;FLT3;FGF16;FGF10;GNGT1;FGF5;PDGFRA;PLA2G4F;GNB3;PLA2G5;GNG8;NTF3;PLA2G2C;IGF2;FGF20;GRIN2B;RASGRP3;PDGFD;IGF1;PLA2G12B;RASGRP4;PDGFRB;EFNA3;GNG13;PLA2G4C;GNG11;FGF6;HTR7;NGFR;ANGPT1;RAC2;FGF17;FGF2;KIT;FGFR4;TEK;FGF21;PLA2G4A;NGF;EGF;FGF18;KDR;FGF7;RAPGEF5;FLT4;GNG10;GNGT2;FLT1;PLCE1;FGF22;PLA1A;PDGFC;FGFR3;RASAL3;SOS2;SHC3;LAT;PLA2G2D;RASAL1;FGFR2;PLCG2;CALML4;PLD2;PLA2G4E;PIK3CB,extra_human_preT2D
6,gsea,Phospholipase D signaling pathway,0.5506855972463716,2.5351210030596536,0.0,0.0,0.0,43/128,28.40%,AVP;LPAR3;PLA2G4D;GRM7;LPAR4;GRM6;PTGFR;MS4A2;CXCR1;GRM2;LPAR5;PDGFRA;PLCB2;PLA2G4F;PIK3R6;PDGFD;PDGFRB;PIK3CG;AVPR2;PLA2G4C;SYK;CYTH4;CXCR2;KIT;PLA2G4A;GRM3;EGF;GRM1;DGKI;PDGFC;SOS2;SHC3;GRM8;SPHK1;LPAR1;PLCG2;ADCY7;MTOR;PLD2;PLA2G4E;PIK3CB;GRM5;GRM4,extra_human_preT2D
7,gsea,JAK-STAT signaling pathway,0.5670078465562642,2.534939578391666,0.0,0.0,0.0,43/113,27.98%,EPO;IFNG;IL12A;IL13RA2;IFNE;GFAP;IL2RA;IL12RB2;PDGFRA;OSM;IL5RA;IL21;IL4;CSF3;LEPR;IL2RG;IL5;IL2RB;LEP;IL22RA2;IL7R;PDGFRB;IL10;MPL;IL22RA1;IL10RA;IL15;EGF;IL7;OSMR;IL21R;IL20RA;EPOR;IL23R;STAT4;IL24;IL6;TSLP;SOS2;CSF3R;LIF;MTOR;PIK3CB,extra_human_preT2D
8,gsea,Regulation of actin cytoskeleton,0.4915012946280885,2.5340922049254253,0.0,0.0,0.0,60/183,28.53%,FGF23;MYL2;LPAR4;FGF16;MYL10;FGF10;CHRM1;FGF5;ITGB7;ITGA8;CHRM5;LPAR5;PDGFRA;WAS;FGD3;ITGA11;FGF20;ITGB4;MYLK2;MYLK3;ITGAL;PDGFD;ITGAX;PDGFRB;FGF6;NCKAP1L;RAC2;FGF17;FGF2;ITGA7;MYLK;FGFR4;FGF21;EGF;BDKRB1;FGF18;FN1;MYLK4;ITGAE;FGF7;CHRM2;ITGA10;FGF22;PDGFC;FGFR3;PFN4;CXCR4;ITGAM;VAV1;SOS2;MYH9;MYL7;LPAR1;CXCL12;FGFR2;ITGA5;MYL9;ITGB6;PIK3CB;ITGAD,extra_human_preT2D
9,gsea,Focal adhesion,0.49903687413889136,2.5337451609325816,0.0,0.0,0.0,61/177,27.98%,THBS2;COL4A6;MYL2;TNC;COL9A1;COL2A1;MYL10;ITGB7;ITGA8;PDGFRA;COL4A3;LAMB2;TNN;ITGA11;THBS4;LAMA1;ITGB4;MYLK2;MYLK3;THBS3;PDGFD;IGF1;PDGFRB;LAMC3;COL6A5;LAMA4;COL6A2;COL6A1;CHAD;LAMB3;RAC2;VWF;ITGA7;MYLK;ERBB2;EGF;FLNC;FN1;MYLK4;COL1A2;KDR;COL1A1;FLT4;ITGA10;FLT1;COL4A5;PDGFC;RELN;PARVG;VAV1;CAV1;SOS2;SHC3;MYL7;VTN;LAMA5;ITGA5;COL4A4;MYL9;ITGB6;PIK3CB,extra_human_preT2D
