,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5348419242450461,2.6437414334073157,0.0,0.001827446090340335,0.001,124/289,32.53%,THBS2;COL4A6;FGF23;CD19;CHRM1;FGF10;COL4A3;GNGT1;ITGB7;LPAR3;TNC;EPO;EREG;FLT3;EIF4E1B;COL9A1;COL2A1;LPAR4;FGF16;FGF5;IL2RA;ITGA8;PCK1;COL6A2;ITGA11;IGF2;LAMB2;PDGFRA;OSM;ANGPT1;LAMC3;LAMA1;LPAR5;CSF3;IL2RG;IL2RB;NTF3;CDK6;OSMR;IL4;FGF21;FGF17;TNN;PDGFD;PKN3;PIK3R6;IGF1;SYK;GNB3;THBS3;GNG8;FGF20;ITGB4;THBS4;PDGFRB;GNG13;IL7R;GNG11;CREB3L4;KDR;FN1;EGF;KIT;NGF;COL6A5;EFNA3;FGFR4;FGF7;LAMB3;LAMA4;PIK3AP1;VWF;COL1A2;COL6A1;PIK3CG;CHAD;COL1A1;NGFR;ITGA7;FGF2;TEK;EPOR;GNG10;FLT1;COL4A5;FGF6;FGF18;TLR4;RELN;ERBB2;FLT4;IL7;FGF22;CHRM2;SOS2;GNGT2;MYB;PDGFC;MTOR;ITGA10;IL6;ITGB6;ITGA5;LAMA5;FGFR2;VTN;CSF3R;CREB3L3;COL4A4;LPAR1;ITGA1;ERBB4;FGF1;LAMC2;ITGA2B;THBS1;FGFR3;PIK3R5;PIK3CB;PDGFB;PPP2R5D;COL4A2;GNG3;CDK2,extra_mouse_Embryonic
1,gsea,Ras signaling pathway,0.508633812035674,2.5300061918177588,0.0,0.0009137230451701675,0.001,65/192,27.42%,FGF23;FGF10;PLA2G4F;GNGT1;PLA2G4D;FLT3;PLA2G2C;FGF16;FGF5;IGF2;PDGFRA;ANGPT1;NTF3;FGF21;FGF17;PDGFD;RAPGEF5;PLA2G4C;IGF1;GNB3;GNG8;PLA2G5;FGF20;GRIN2B;RASGRP3;PLA2G12B;PDGFRB;PLA2G4E;GNG13;GNG11;HTR7;KDR;EGF;RASGRP4;KIT;NGF;EFNA3;FGFR4;FGF7;PLA2G4A;NGFR;RAC2;FGF2;TEK;GNG10;FLT1;FGF6;FGF18;FLT4;FGF22;PLA1A;SOS2;PLCG2;GNGT2;PLCE1;PDGFC;PLD2;SHC3;PLA2G2D;RASAL1;RASAL3;BRAP;LAT;FGFR2;CALML4,extra_mouse_Embryonic
2,gsea,Focal adhesion,0.4888792149303304,2.5071672585486615,0.0,0.0006091486967801117,0.001,70/177,32.25%,MYL10;THBS2;COL4A6;COL4A3;ITGB7;MYL2;TNC;COL9A1;COL2A1;ITGA8;COL6A2;ITGA11;LAMB2;PDGFRA;FLNC;LAMC3;LAMA1;MYLK3;TNN;PDGFD;IGF1;THBS3;ITGB4;THBS4;PDGFRB;MYLK4;MYLK2;KDR;FN1;MYLK;EGF;COL6A5;LAMB3;LAMA4;VWF;PARVG;COL1A2;COL6A1;CHAD;COL1A1;RAC2;ITGA7;FLT1;COL4A5;RELN;ERBB2;FLT4;SOS2;MYL7;PDGFC;CAV1;ITGA10;SHC3;ITGB6;VAV1;MYL9;ITGA5;LAMA5;VTN;COL4A4;CAV3;ITGA1;CAV2;LAMC2;PARVB;ITGA2B;THBS1;PIK3CB;PDGFB;COL4A2,extra_mouse_Embryonic
3,gsea,JAK-STAT signaling pathway,0.5538894153082613,2.4925622103690714,0.0,0.00045686152258508374,0.001,43/113,28.24%,IL13RA2;GFAP;IL5;EPO;IFNG;IFNE;IL12A;IL2RA;IL12RB2;PDGFRA;OSM;IL5RA;LEPR;IL21R;CSF3;IL2RG;IL2RB;OSMR;IL4;IL21;IL10RA;IL22RA2;PDGFRB;LEP;IL7R;IL15;IL19;EGF;IL10;IL23R;EPOR;MPL;IL22RA1;IL20RA;IL7;SOS2;STAT4;MTOR;IL6;TSLP;LIF;CSF3R;IL24,extra_mouse_Embryonic
4,gsea,Wnt signaling pathway,0.5149411758323681,2.484715973520813,0.0,0.000365489218068067,0.001,43/128,27.84%,PLCB2;LEF1;WNT3A;WNT8A;NKD1;WNT8B;WNT2;WNT2B;SFRP2;SFRP4;MMP7;FZD10;DKK2;SFRP1;RSPO1;WNT11;WNT7A;WNT6;NOTUM;FZD4;SOX17;DAAM2;WNT7B;RSPO3;DKK1;TCF7;CAMK2A;WNT10A;LGR5;RAC2;WNT16;LGR6;FZD9;WNT9A;PRICKLE4;VANGL1;AXIN2;FZD2;TBL1XR1;WIF1;CER1;FRAT2;RSPO2,extra_mouse_Embryonic
5,gsea,Human papillomavirus infection,0.4673775208374916,2.4641369038759544,0.0,0.00030457434839005585,0.001,100/270,37.25%,THBS2;COL4A6;COL4A3;TBPL2;WNT3A;WNT8A;ITGB7;TNC;ATP6V0D2;COL9A1;WNT8B;COL2A1;WNT2;ATP6V1E2;WNT2B;ITGA8;COL6A2;ITGA11;LAMB2;FZD10;LAMC3;LAMA1;HES2;CDK6;CCNA1;WNT11;WNT7A;TNN;WNT6;ATP6V1B1;THBS3;ATP6V1C2;ITGB4;THBS4;PDGFRB;FZD4;CREB3L4;WNT7B;FN1;EGF;TCF7;COL6A5;LAMB3;LAMA4;VWF;COL1A2;COL6A1;CHAD;COL1A1;WNT10A;LFNG;ITGA7;WNT16;PTGS2;COL4A5;RELN;RBPJL;FZD9;CCNA2;SOS2;WNT9A;AXIN2;MTOR;ITGA10;HEY2;FZD2;ITGB6;ATP6V0A4;HEY1;ITGA5;LAMA5;JAG1;VTN;CREB3L3;COL4A4;WNT10B;ITGA1;LAMC2;ITGA2B;THBS1;PIK3CB;PPP2R5D;COL4A2;CDK2;FZD1;LAMB1;PARD6B;DLG2;HEYL;HES7;E2F1;LAMA3;ITGB5;PIK3R3;LAMA2;LAMC1;MFNG;NOTCH3;STAT2;PIK3CD,extra_mouse_Embryonic
6,gsea,Serotonergic synapse,0.5368951252751776,2.44170983052307,0.0,0.00026106372719147643,0.001,40/87,33.65%,HTR4;PLCB2;PLA2G4F;GNGT1;CACNA1S;ALOX15;PLA2G4D;ALOX12;HTR3B;GABRB2;HTR1F;TPH1;HTR6;PLA2G4C;GNB3;GNG8;HTR3A;PLA2G4E;GNG13;GNG11;HTR2B;HTR5A;HTR7;PLA2G4A;PTGS2;GNG10;PTGS1;GNGT2;SLC6A4;SLC18A2;HTR2C;TPH2;KCNJ5;CACNA1D;ADCY5;KCND2;GNG3;HTR2A;CYP4X1;GABRB1,extra_mouse_Embryonic
7,gsea,Phospholipase D signaling pathway,0.5182597399105939,2.431573788054571,0.0,0.00022843076129254187,0.001,50/128,33.98%,MS4A2;PLCB2;AVP;PLA2G4F;AVPR2;LPAR3;GRM7;PLA2G4D;LPAR4;PTGFR;GRM6;GRM2;CXCR1;PDGFRA;LPAR5;PDGFD;PIK3R6;PLA2G4C;SYK;PDGFRB;PLA2G4E;EGF;KIT;PLA2G4A;PIK3CG;CYTH4;CXCR2;GRM1;SOS2;PLCG2;DGKI;PDGFC;MTOR;PLD2;SHC3;GRM3;GRM8;SPHK1;ADCY7;GRM4;LPAR1;GRM5;ADCY5;PIK3R5;PIK3CB;PDGFB;ADCY1;AVPR1B;ADCY8;ADCY2,extra_mouse_Embryonic
8,gsea,Pathways in cancer,0.48586506496220916,2.4226094920445527,0.0,0.00020304956559337055,0.001,176/440,34.15%,GLI1;COL4A6;FGF23;PLCB2;LEF1;FGF10;COL4A3;PAX8;NKX3-1;GNGT1;WNT3A;WNT8A;IL5;ESR2;LPAR3;NOS2;BIRC7;EPO;FLT3;IFNG;WNT8B;HHIP;MGST2;LPAR4;RXRG;IL12A;MMP2;FGF16;WNT2;FGF5;IL2RA;WNT2B;SHH;IGF2;IL12RB2;LAMB2;PDGFRA;FZD10;IL5RA;SPI1;LAMC3;LAMA1;LPAR5;PTGER2;IL2RG;IL2RB;KIF7;PMAIP1;CDK6;WNT11;BMP4;IL4;FGF21;WNT7A;FGF17;WNT6;IGF1;GNB3;CTNNA3;GNG8;GLI2;FGF20;TRAF1;RASGRP3;MMP9;PDGFRB;DCC;GNG13;IL7R;GNG11;AR;FZD4;IL15;ESR1;RARB;WNT7B;SKP2;FN1;EGF;RASGRP4;KIT;TCF7;FGFR4;FGF7;LAMB3;LAMA4;CAMK2A;DAPK2;WNT10A;ALK;RAC2;WNT16;FGF2;PTGS2;BDKRB1;PTGER1;IL23R;EPOR;GNG10;COL4A5;FGF6;FGF18;GLI3;ERBB2;FLT4;IL7;FZD9;FGF22;BIRC5;SOS2;F2RL3;WNT9A;PLCG2;GNGT2;PTCH2;STAT4;EDNRB;AXIN2;MTOR;IL6;CXCR4;PTGER3;HEY2;FZD2;DLL3;RUNX1;HEY1;EGLN3;TGFBR2;BID;TGFB1;LAMA5;GSTO2;FGFR2;EDN1;CXCL12;JAG1;CALML4;FRAT2;MGST1;CSF3R;COL4A4;ADCY7;NQO1;WNT10B;LPAR1;SMAD3;ADCY5;FGF1;LAMC2;MLH1;ITGA2B;FGFR3;PIK3CB;PDGFB;ADCY1;COL4A2;GNG3;CDK2;MSH2;CAMK2G;FZD1;IL23A;BRCA2;ZBTB16;TRAF2;LAMB1;ETS1;ADCY8;TRAF5;EDNRA;CSF1R;ADCY2;CTBP2;NTRK1;RARA,extra_mouse_Embryonic
9,gsea,Regulation of actin cytoskeleton,0.4730735368695987,2.4113925893596315,0.0,0.0001827446090340335,0.001,65/183,32.15%,MYL10;FGF23;CHRM1;FGF10;ITGB7;MYL2;LPAR4;FGF16;FGF5;ITGA8;ITGA11;PDGFRA;ITGAL;WAS;LPAR5;CHRM5;NCKAP1L;MYLK3;FGF21;FGF17;PDGFD;FGD3;FGF20;ITGB4;PDGFRB;MYLK4;ITGAX;MYLK2;FN1;MYLK;EGF;FGFR4;FGF7;RAC2;ITGA7;FGF2;BDKRB1;FGF6;ITGAE;FGF18;PFN4;FGF22;CHRM2;SOS2;MYL7;PDGFC;MYH9;ITGA10;CXCR4;ITGB6;ITGAM;VAV1;MYL9;ITGA5;FGFR2;CXCL12;LPAR1;ITGA1;ITGAD;FGF1;ITGA2B;FGFR3;PIK3CB;PDGFB;WASF1,extra_mouse_Embryonic
