,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5032297950890311,2.4466862169378567,0.0,0.0017468681150223525,0.001,121/289,31.12%,COL4A6;THBS2;FGF23;CD19;COL4A3;FGF10;LPAR3;EPO;TNC;EREG;EIF4E1B;COL2A1;COL9A1;FLT3;LPAR4;FGF5;GNGT1;IL2RA;CHRM1;OSM;FGF6;PDGFRA;CSF3;LPAR5;ITGB7;PCK1;FGF16;ITGA8;ITGA11;IL4;NTF3;TNN;GNB3;IL2RG;LAMA1;IGF2;IL7R;SYK;FGF20;ANGPT1;LAMC3;IGF1;LAMB2;GNG8;THBS4;PIK3R6;ITGB4;THBS3;FGF21;CDK6;LAMA4;PDGFRB;COL6A1;FGF17;CHAD;EFNA3;NGFR;COL6A5;FGF2;COL6A2;PIK3CG;PDGFD;CREB3L4;EGF;TEK;GNG11;NGF;VWF;ITGA7;KIT;PIK3AP1;FGFR4;LAMB3;COL1A2;FLT4;EPOR;PKN3;IL7;MYB;CHRM2;TLR4;GNG13;GNGT2;OSMR;IL2RB;COL1A1;FN1;GNG10;KDR;PDGFC;FLT1;IL6;RELN;FGF18;FGF7;FGF22;CREB3L3;VTN;MTOR;CSF3R;SOS2;LAMA5;ITGA5;COL4A4;COL4A5;FGFR2;ITGB6;LPAR1;ITGA1;PIK3CB;ITGA2B;ERBB2;ERBB4;PIK3R5;CSF1R;COL4A2;FGFR3;GNG3;NTRK1;FGF1;CDK2,extra_mouse_T1D
1,gsea,Wnt signaling pathway,0.4892787298968864,2.3673535478669656,0.0,0.0017468681150223525,0.001,47/128,30.77%,PLCB2;NKD1;WNT8B;LEF1;WNT8A;FZD10;WNT3A;RSPO1;WNT11;WNT2B;SFRP2;WNT2;RSPO2;WNT6;NOTUM;MMP7;SOX17;DKK2;FZD4;DKK1;SFRP1;WNT7A;WNT7B;CAMK2A;WNT16;TCF7;SFRP4;RAC2;DAAM2;FZD9;WNT10A;RSPO3;LGR5;VANGL1;FZD2;PRICKLE4;LGR6;WIF1;CER1;WNT10B;WNT9A;FRAT2;AXIN2;TBL1XR1;SMAD3;FZD1;RNF43,extra_mouse_T1D
2,gsea,Ras signaling pathway,0.4793066449550324,2.3671767710123857,0.0,0.0011645787433482353,0.001,73/192,30.91%,FGF23;FGF10;PLA2G4D;FLT3;FGF5;GNGT1;PLA2G4F;FGF6;PDGFRA;FGF16;PLA2G2C;NTF3;GNB3;PLA2G5;IGF2;PLA2G4C;FGF20;ANGPT1;RASGRP3;IGF1;GRIN2B;GNG8;PLA2G4E;RASGRP4;FGF21;HTR7;PDGFRB;PLA2G12B;FGF17;EFNA3;NGFR;FGF2;PLA2G4A;PDGFD;EGF;TEK;GNG11;NGF;KIT;FGFR4;FLT4;RAC2;RAPGEF5;GNG13;PLCE1;GNGT2;GNG10;KDR;PDGFC;FLT1;RASAL1;FGF18;FGF7;PLA2G2D;FGF22;SHC3;SOS2;LAT;PLD2;CALML4;FGFR2;RASAL3;PIK3CB;GRIN2A;PLCG2;CSF1R;FGFR3;PLA1A;GNG3;ETS1;NTRK1;BRAP;FGF1,extra_mouse_T1D
3,gsea,JAK-STAT signaling pathway,0.5350415087000604,2.357931672966596,0.0,0.0008734340575111762,0.001,41/113,25.01%,IL13RA2;EPO;IFNG;IL12A;IL2RA;IFNE;OSM;IL5RA;PDGFRA;CSF3;IL22RA1;IL5;IL4;GFAP;IL2RG;LEPR;IL7R;IL12RB2;IL21;IL22RA2;IL19;PDGFRB;LEP;IL21R;IL10;IL10RA;EGF;EPOR;IL7;IL20RA;OSMR;IL2RB;MPL;STAT4;IL6;IL15;TSLP;MTOR;IL23R;CSF3R;SOS2,extra_mouse_T1D
4,gsea,Phospholipase D signaling pathway,0.5026664548395886,2.313615940478227,0.0,0.0006987472460089412,0.001,53/128,34.76%,MS4A2;AVP;PLCB2;GRM6;LPAR3;GRM7;PLA2G4D;LPAR4;PTGFR;PLA2G4F;GRM2;PDGFRA;LPAR5;CXCR1;PLA2G4C;SYK;PIK3R6;PLA2G4E;PDGFRB;CYTH4;CXCR2;PLA2G4A;PIK3CG;PDGFD;EGF;KIT;GRM1;DGKI;PDGFC;SPHK1;GRM8;SHC3;MTOR;SOS2;PLD2;ADCY7;GRM3;AVPR2;GRM4;GRM5;LPAR1;PIK3CB;PLCG2;PIK3R5;ADCY5;ADCY8;ADCY1;ADCY2;DGKA;AVPR1B;F2R;PDGFB;RAPGEF3,extra_mouse_T1D
5,gsea,Pathways in cancer,0.4688873352571604,2.3108903301196926,0.0,0.0005822893716741176,0.001,173/440,32.66%,COL4A6;GLI1;FGF23;COL4A3;PLCB2;FGF10;PAX8;ESR2;LPAR3;EPO;NOS2;BIRC7;WNT8B;HHIP;FLT3;MGST2;IFNG;LPAR4;FGF5;IL12A;GNGT1;RXRG;NKX3-1;LEF1;IL2RA;WNT8A;SHH;FZD10;WNT3A;SPI1;IL5RA;FGF6;PDGFRA;LPAR5;IL5;MMP2;FGF16;PTGER2;WNT11;IL4;WNT2B;GNB3;IL2RG;GLI2;LAMA1;WNT2;IGF2;IL7R;WNT6;BMP4;FGF20;CTNNA3;LAMC3;KIF7;RASGRP3;IGF1;DCC;LAMB2;GNG8;IL12RB2;MMP9;RASGRP4;AR;ESR1;TRAF1;FZD4;FGF21;CDK6;PMAIP1;LAMA4;PDGFRB;WNT7A;FGF17;WNT7B;CAMK2A;FGF2;WNT16;EGF;GNG11;KIT;RARB;TCF7;FGFR4;PTGS2;LAMB3;DAPK2;FLT4;RAC2;EPOR;FZD9;GLI3;ALK;WNT10A;IL7;BIRC5;GNG13;GNGT2;IL2RB;BDKRB1;FN1;SKP2;GNG10;STAT4;PTCH2;HEY2;FZD2;IL6;DLL3;PTGER3;IL15;EDNRB;FGF18;HEY1;CXCR4;PTGER1;JAG1;FGF7;FGF22;MTOR;IL23R;CSF3R;SOS2;TGFBR2;LAMA5;RUNX1;COL4A4;ADCY7;CALML4;WNT10B;F2RL3;WNT9A;CXCL12;COL4A5;FGFR2;BID;FRAT2;AXIN2;LPAR1;PIK3CB;ITGA2B;TGFB1;ERBB2;MLH1;PLCG2;GSTO2;MGST1;TRAF2;CSF1R;COL4A2;SMAD3;ADCY5;IL23A;TRAF5;EGLN3;FGFR3;ZBTB16;FZD1;ADCY8;GNG3;ETS1;NTRK1;FGF1;CDK2;EDN1;EDNRA;RAD51;ADCY1;BRCA2;HEYL;ADCY2;NQO1;LAMC2;MSH2,extra_mouse_T1D
6,gsea,Human papillomavirus infection,0.4387893182314944,2.2795002994280296,0.0,0.0004991051757206722,0.001,93/270,35.14%,COL4A6;THBS2;TBPL2;COL4A3;TNC;WNT8B;COL2A1;COL9A1;ATP6V0D2;WNT8A;ATP6V1E2;FZD10;WNT3A;ITGB7;ITGA8;WNT11;ITGA11;WNT2B;HES2;TNN;LAMA1;WNT2;ATP6V1B1;WNT6;LAMC3;CCNA1;LAMB2;THBS4;ITGB4;THBS3;FZD4;CDK6;LAMA4;PDGFRB;WNT7A;COL6A1;CHAD;WNT7B;LFNG;COL6A5;COL6A2;WNT16;CREB3L4;EGF;VWF;ITGA7;TCF7;PTGS2;LAMB3;COL1A2;FZD9;WNT10A;ATP6V1C2;COL1A1;FN1;CCNA2;RBPJL;HEY2;FZD2;RELN;HEY1;ATP6V0A4;JAG1;CREB3L3;VTN;MTOR;SOS2;LAMA5;ITGA5;COL4A4;WNT10B;WNT9A;COL4A5;ITGB6;AXIN2;ITGA1;PIK3CB;ITGA2B;COL4A2;FZD1;CDK2;HEYL;PPP2R5D;LAMC2;ITGA10;LAMA3;HES7;LAMB1;LAMA2;THBS1;MFNG;NOTCH3;APC2,extra_mouse_T1D
7,gsea,Focal adhesion,0.4530396476334239,2.276326490491358,0.0,0.0004367170287555881,0.001,74/177,34.58%,COL4A6;THBS2;MYL10;COL4A3;MYL2;TNC;COL2A1;COL9A1;PDGFRA;ITGB7;ITGA8;ITGA11;TNN;LAMA1;MYLK3;LAMC3;IGF1;LAMB2;MYLK2;THBS4;ITGB4;THBS3;LAMA4;PDGFRB;MYLK4;COL6A1;MYLK;CHAD;COL6A5;COL6A2;PDGFD;EGF;VWF;ITGA7;LAMB3;COL1A2;FLT4;RAC2;FLNC;COL1A1;FN1;PARVG;KDR;PDGFC;FLT1;RELN;MYL7;VTN;SHC3;MYL9;SOS2;CAV1;LAMA5;ITGA5;COL4A4;COL4A5;ITGB6;VAV1;ITGA1;PIK3CB;ITGA2B;ERBB2;PARVB;COL4A2;CAV2;CAV3;LAMC2;ITGA10;LAMA3;VAV3;LAMB1;LAMA2;THBS1;PDGFB,extra_mouse_T1D
8,gsea,Serotonergic synapse,0.5007739705071974,2.2652171478984644,0.0,0.0003881929144494117,0.001,43/87,34.97%,HTR4;PLCB2;ALOX15;PLA2G4D;GNGT1;PLA2G4F;HTR3B;ALOX12;HTR6;CACNA1S;GNB3;PLA2G4C;GNG8;HTR2B;PLA2G4E;HTR1F;HTR7;HTR3A;PLA2G4A;GNG11;GABRB2;PTGS2;SLC6A4;GNG13;SLC18A2;GNGT2;TPH1;GNG10;PTGS1;KCNJ5;CACNA1D;TPH2;HTR5A;KCND2;HTR2A;ADCY5;GNG3;CYP4X1;GABRB1;ALOX12B;CACNA1F;RAPGEF3;HTR2C,extra_mouse_T1D
9,gsea,Vascular smooth muscle contraction,0.4828023350049952,2.2610301077380943,0.0,0.0003493736230044706,0.001,53/110,34.68%,AVP;PLCB2;PLA2G4D;ADRA1D;PTGIR;PLA2G4F;PLA2G2C;CACNA1S;PLA2G5;MYLK3;PLA2G4C;PRKCQ;ACTG2;MYLK2;PLA2G4E;KCNMB3;MYLK4;CALCRL;MYLK;PLA2G12B;PLA2G4A;CALCB;ADM;ACTA2;NPPA;NPPC;NPPB;NPR1;PLA2G2D;NPR2;MYL9;ADCY7;CALML4;PRKG1;CACNA1D;PPP1R14A;MYL6B;PRKCH;EDN2;GUCY1A2;ADCY5;ADCY8;EDN1;EDNRA;RAMP3;ADCY1;ADRA1B;ADCY2;KCNMB4;AVPR1B;ADRA1A;CACNA1F;PLA2G1B,extra_mouse_T1D
