,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5000535526201655,2.42731801282611,0.0,0.0,0.0,110/289,27.08%,COL4A6;FGF23;THBS2;CD19;CHRM1;TNC;FGF10;LPAR3;FLT3;EREG;EIF4E1B;COL9A1;COL2A1;LPAR4;EPO;COL4A3;PCK1;IL2RA;FGF16;ITGB7;GNGT1;ANGPT1;COL6A2;FGF5;ITGA11;IL4;IGF2;LPAR5;ITGA8;GNB3;CSF3;LAMB2;IL2RB;NTF3;TNN;PDGFRA;IL2RG;IGF1;FGF20;PKN3;GNG8;LAMA1;OSM;PIK3R6;PDGFRB;THBS3;FGF21;SYK;THBS4;CDK6;ITGB4;PIK3CG;LAMA4;PDGFD;COL6A1;KIT;IL7R;LAMC3;COL6A5;NGFR;EFNA3;GNG11;EGF;CHAD;GNG13;FGF17;FGF2;NGF;CREB3L4;TEK;LAMB3;ITGA7;PIK3AP1;OSMR;FGF6;FGFR4;VWF;FGF18;TLR4;ERBB2;FLT4;COL1A2;FN1;EPOR;GNG10;IL7;CHRM2;GNGT2;MYB;SOS2;KDR;FGF7;ITGA10;RELN;FGF22;FLT1;PDGFC;IL6;COL1A1;COL4A5;MTOR;CREB3L3;VTN;ITGA5;LAMA5;CSF3R;LPAR1;FGFR2;COL4A4;ITGB6,extra_mouse_aged
1,gsea,Wnt signaling pathway,0.4776287387880303,2.29083240450887,0.0,0.001747560247678909,0.002,45/128,29.02%,LEF1;WNT8A;NKD1;WNT8B;PLCB2;WNT3A;RSPO1;FZD10;WNT2;SFRP1;DKK2;MMP7;WNT2B;SFRP2;SFRP4;WNT11;NOTUM;WNT6;WNT7A;SOX17;DKK1;WNT7B;CAMK2A;RAC2;WNT16;WNT10A;TCF7;RSPO3;FZD4;DAAM2;LGR5;FZD9;WNT9A;LGR6;FZD2;VANGL1;WIF1;PRICKLE4;RSPO2;CER1;AXIN2;WNT10B;FRAT2;TBL1XR1;SMAD3,extra_mouse_aged
2,gsea,JAK-STAT signaling pathway,0.5185947291286828,2.288307917075514,0.0,0.0011650401651192729,0.002,42/113,26.47%,IL13RA2;IL12A;IFNG;EPO;IL2RA;IL5RA;GFAP;IFNE;IL12RB2;IL4;IL5;IL21;CSF3;IL2RB;PDGFRA;IL2RG;OSM;LEP;LEPR;PDGFRB;IL22RA2;IL7R;EGF;IL10;IL10RA;OSMR;IL15;IL22RA1;EPOR;IL7;SOS2;MPL;IL20RA;STAT4;IL6;TSLP;IL23R;MTOR;IL21R;IL24;CSF3R;LIF,extra_mouse_aged
3,gsea,Th1 and Th2 cell differentiation,0.5394262089413538,2.2610501227755018,0.0,0.0013106701857591816,0.003,24/68,28.09%,IL12A;IFNG;CD3E;IL2RA;CD3G;TBX21;IL12RB2;IL4;IL5;IL2RB;GATA3;PRKCQ;IL2RG;CD3D;CD4;RBPJL;STAT4;RUNX3;DLL3;JAG1;LAT;MAF;CD247;LCK,extra_mouse_aged
4,gsea,Pathways in cancer,0.4533697156429525,2.2433426199459605,0.0,0.0010485361486073455,0.003,181/440,35.02%,COL4A6;FGF23;GLI1;LEF1;ESR2;NKX3-1;WNT8A;NOS2;IL12A;BIRC7;FGF10;LPAR3;RXRG;FLT3;WNT8B;IFNG;HHIP;MGST2;LPAR4;EPO;COL4A3;PLCB2;IL2RA;IL5RA;FGF16;PAX8;SHH;WNT3A;FZD10;GNGT1;WNT2;FGF5;IL12RB2;IL4;IGF2;LPAR5;IL5;BMP4;GNB3;WNT2B;LAMB2;IL2RB;SPI1;PDGFRA;GLI2;WNT11;IL2RG;IGF1;KIF7;FGF20;MMP2;GNG8;LAMA1;PMAIP1;WNT6;CTNNA3;WNT7A;AR;PDGFRB;TRAF1;DCC;PTGER2;FGF21;ESR1;MMP9;CDK6;RASGRP4;WNT7B;LAMA4;RASGRP3;KIT;IL7R;LAMC3;CAMK2A;GNG11;EGF;GNG13;FGF17;FGF2;RAC2;WNT16;BDKRB1;WNT10A;DAPK2;TCF7;LAMB3;FZD4;RARB;FGF6;FGFR4;FGF18;SKP2;ERBB2;FLT4;IL15;GLI3;PTGER1;FZD9;FN1;EPOR;GNG10;IL7;PTGS2;WNT9A;GNGT2;BIRC5;SOS2;ALK;FGF7;FGF22;PTCH2;STAT4;CXCR4;EDNRB;FZD2;IL6;DLL3;IL23R;PTGER3;COL4A5;MTOR;HEY1;BID;EDN1;JAG1;EGLN3;LAMA5;RUNX1;CSF3R;LPAR1;TGFBR2;FGFR2;CALML4;COL4A4;PLCG2;ADCY7;AXIN2;WNT10B;F2RL3;FRAT2;MGST1;CXCL12;FGFR3;PIK3CB;SMAD3;GSTO2;TGFB1;MLH1;LAMC2;GNG3;ADCY5;COL4A2;CDK2;TRAF2;TRAF5;IL23A;MSH2;ZBTB16;FZD1;ETS1;ADCY8;ITGA2B;EDNRA;NTRK1;FGF1;BRCA2;NQO1;HEYL;ADCY2;ADCY1;RARA;RAD51;PDGFB;LAMA2;LAMA3;RASGRP2;LAMB1;TGFB3;CRK;F2R;GSTM4,extra_mouse_aged
5,gsea,Phospholipase D signaling pathway,0.4872429828553583,2.242182469279397,0.0,0.0008737801238394545,0.003,51/128,33.94%,MS4A2;AVP;GRM7;LPAR3;PLA2G4D;PTGFR;LPAR4;GRM6;PLCB2;PLA2G4F;CXCR1;GRM2;LPAR5;PDGFRA;AVPR2;PIK3R6;PDGFRB;SYK;PLA2G4C;PIK3CG;PDGFD;CYTH4;KIT;EGF;CXCR2;PLA2G4A;GRM1;DGKI;SOS2;PDGFC;GRM3;MTOR;SPHK1;GRM8;LPAR1;SHC3;PLCG2;PLD2;ADCY7;GRM5;GRM4;PLA2G4E;PIK3CB;PIK3R5;ADCY5;ADCY8;ADCY2;ADCY1;DGKA;PDGFB;AVPR1B,extra_mouse_aged
6,gsea,Ras signaling pathway,0.45202459719454813,2.2340537032882115,0.0,0.0007489543918623896,0.003,72/192,31.94%,FGF23;FGF10;PLA2G4D;FLT3;FGF16;PLA2G4F;PLA2G2C;GNGT1;ANGPT1;FGF5;IGF2;GNB3;NTF3;PLA2G5;PDGFRA;IGF1;FGF20;GNG8;GRIN2B;PDGFRB;FGF21;PLA2G4C;RASGRP4;HTR7;PDGFD;RASGRP3;KIT;NGFR;EFNA3;RAPGEF5;GNG11;EGF;GNG13;FGF17;FGF2;RAC2;PLA2G12B;NGF;TEK;PLA2G4A;FGF6;FGFR4;FGF18;FLT4;GNG10;GNGT2;SOS2;PLCE1;KDR;FGF7;FGF22;FLT1;PDGFC;PLA2G2D;RASAL3;RASAL1;PLA1A;LAT;FGFR2;CALML4;SHC3;PLCG2;PLD2;FGFR3;PLA2G4E;PIK3CB;GRIN2A;BRAP;GNG3;ETS1;NTRK1;FGF1,extra_mouse_aged
7,gsea,Focal adhesion,0.44445830447769785,2.2173239260848576,0.0,0.0006553350928795908,0.003,74/177,34.91%,MYL10;COL4A6;THBS2;TNC;COL9A1;COL2A1;MYL2;COL4A3;ITGB7;COL6A2;ITGA11;ITGA8;MYLK3;LAMB2;TNN;PDGFRA;IGF1;LAMA1;MYLK2;PDGFRB;THBS3;THBS4;ITGB4;LAMA4;PDGFD;MYLK4;COL6A1;MYLK;LAMC3;COL6A5;EGF;CHAD;RAC2;LAMB3;FLNC;ITGA7;VWF;ERBB2;FLT4;COL1A2;FN1;SOS2;KDR;ITGA10;RELN;FLT1;PDGFC;COL1A1;VAV1;PARVG;CAV1;COL4A5;VTN;ITGA5;LAMA5;MYL7;SHC3;COL4A4;MYL9;ITGB6;PIK3CB;ITGA1;PARVB;LAMC2;COL4A2;ITGA2B;CAV2;THBS1;PDGFB;LAMA2;VAV3;LAMA3;LAMB1;CRK,extra_mouse_aged
8,gsea,Signaling pathways regulating pluripotency of stem cells,0.49348921257665224,2.2149270085294552,0.0,0.0007766934434128486,0.004,39/116,29.02%,INHBC;NODAL;WNT8A;ESRRB;WNT8B;ONECUT1;WNT3A;FZD10;WNT2;DLX5;BMP4;WNT2B;SOX2;TBX3;WNT11;LHX5;IGF1;WNT6;WNT7A;INHBE;WNT7B;HESX1;FGF2;WNT16;WNT10A;FZD4;FGFR4;FZD9;WNT9A;DUSP9;FZD2;FGFR2;LIF;AXIN2;WNT10B;INHBB;FGFR3;PIK3CB;SMAD3,extra_mouse_aged
9,gsea,Vascular smooth muscle contraction,0.47733544846857295,2.2115175264589504,0.0,0.0006990240990715637,0.004,55/110,35.50%,ADRA1D;AVP;PLA2G4D;PTGIR;PLCB2;PLA2G4F;PLA2G2C;CACNA1S;ACTG2;MYLK3;PLA2G5;PRKCQ;MYLK2;KCNMB3;PLA2G4C;CALCRL;MYLK4;MYLK;ADM;PLA2G12B;NPPC;CALCB;PLA2G4A;ACTA2;NPPA;NPR2;PRKCH;NPR1;NPPB;PLA2G2D;MYL6B;PRKG1;EDN1;CALML4;MYL9;ADCY7;PPP1R14A;GUCY1A2;PLA2G4E;CACNA1D;ADCY5;EDN2;ADCY8;EDNRA;RAMP3;ADRA1B;CALCA;PLA2G1B;ADCY2;ADCY1;KCNMB4;AVPR1B;PRKCD;ADRA1A;CACNA1F,extra_mouse_aged
10,gsea,Breast cancer,0.5002831135698441,2.1957628480105567,0.0,0.0007943455671267769,0.004,48/124,27.51%,FGF23;LEF1;ESR2;WNT8A;FGF10;WNT8B;FGF16;WNT3A;FZD10;WNT2;FGF5;WNT2B;WNT11;IGF1;FGF20;WNT6;WNT7A;FGF21;ESR1;CDK6;PGR;WNT7B;KIT;EGF;FGF17;FGF2;WNT16;WNT10A;TCF7;FZD4;FGF6;FGF18;ERBB2;FLT4;FZD9;WNT9A;SOS2;FGF7;FGF22;FZD2;DLL3;MTOR;HEY1;JAG1;SHC3;AXIN2;WNT10B;FRAT2,extra_mouse_aged
11,gsea,Human papillomavirus infection,0.4271632586578024,2.183040225161842,0.0,0.0007281501031995456,0.004,91/270,34.96%,COL4A6;THBS2;TBPL2;WNT8A;TNC;ATP6V0D2;WNT8B;COL9A1;COL2A1;ATP6V1E2;COL4A3;ITGB7;WNT3A;FZD10;WNT2;COL6A2;ITGA11;ITGA8;WNT2B;LAMB2;TNN;ATP6V1B1;WNT11;LAMA1;CCNA1;WNT6;WNT7A;PDGFRB;THBS3;THBS4;CDK6;ITGB4;WNT7B;LAMA4;COL6A1;LAMC3;COL6A5;EGF;LFNG;CHAD;ATP6V1C2;WNT16;WNT10A;CREB3L4;TCF7;LAMB3;FZD4;HES2;ITGA7;VWF;COL1A2;FZD9;FN1;PTGS2;WNT9A;RBPJL;SOS2;ITGA10;RELN;CCNA2;FZD2;COL1A1;COL4A5;MTOR;HEY1;JAG1;CREB3L3;VTN;ATP6V0A4;ITGA5;LAMA5;COL4A4;ITGB6;AXIN2;WNT10B;PIK3CB;ITGA1;LAMC2;COL4A2;CDK2;FZD1;ITGA2B;THBS1;PPP2R5D;HEYL;PARD6B;LAMA2;LAMA3;LAMB1;HES7;MFNG,extra_mouse_aged
12,gsea,Serotonergic synapse,0.4898151736181648,2.179280435464607,0.0,0.0008065662681594965,0.005,45/87,37.12%,HTR4;ALOX15;PLA2G4D;PLCB2;ALOX12;PLA2G4F;CACNA1S;GNGT1;HTR3B;GNB3;HTR6;GABRB2;GNG8;HTR2B;PLA2G4C;HTR7;HTR1F;HTR3A;GNG11;GNG13;TPH1;PLA2G4A;PTGS1;GNG10;PTGS2;SLC6A4;GNGT2;SLC18A2;HTR5A;KCNJ5;TPH2;PLA2G4E;CACNA1D;KCND2;GNG3;ADCY5;CYP4X1;HTR2A;GABRB1;ALOX12B;CACNA1F;RAPGEF3;HTR2C;SLC18A1;GNG7,extra_mouse_aged
13,gsea,Regulation of actin cytoskeleton,0.43548794020694337,2.1767594729179565,0.0,0.0007489543918623896,0.005,61/183,28.93%,MYL10;FGF23;CHRM1;FGF10;MYL2;LPAR4;FGF16;ITGB7;ITGAL;FGF5;CHRM5;ITGA11;LPAR5;ITGA8;MYLK3;FGD3;PDGFRA;WAS;FGF20;MYLK2;PDGFRB;FGF21;ITGB4;ITGAX;PDGFD;MYLK4;MYLK;NCKAP1L;EGF;FGF17;FGF2;RAC2;BDKRB1;PFN4;ITGA7;ITGAE;FGF6;FGFR4;FGF18;FN1;CHRM2;SOS2;FGF7;ITGAM;ITGA10;FGF22;PDGFC;CXCR4;VAV1;MYH9;ITGA5;MYL7;LPAR1;FGFR2;MYL9;ITGB6;CXCL12;FGFR3;ITGAD;PIK3CB;ITGA1,extra_mouse_aged
14,gsea,Cell adhesion molecules (CAMs),0.6061966904212248,2.162785177933828,0.0,0.0009320321320954183,0.007,47/98,25.44%,CD8A;TIGIT;CD40LG;CLDN16;CD226;CLDN14;CD6;ITGB7;CD80;ITGAL;CLDN10;CNTN2;ITGA8;SELE;CLDN19;SELL;CLDN5;SELP;CTLA4;CLDN18;ESAM;SELPLG;VTCN1;CDH3;CLDN4;NTNG2;CD28;SDC1;CADM3;CLDN15;PDCD1LG2;CLDN8;CD4;LRRC4C;ICOS;CD86;ICAM2;CD22;CD2;ITGAM;VCAM1;CDH15;NRXN3;CLDN2;NRXN2;CDH5;CD34,extra_mouse_aged
15,gsea,NF-kappa B signaling pathway,0.49648649051638805,2.1612129536198372,0.0,0.0008737801238394545,0.007,29/75,30.75%,CD40LG;BTK;CCL19;PRKCQ;TRAF1;SYK;TNFSF14;CARD11;PLAU;TLR4;LBP;PTGS2;BLNK;CARD10;VCAM1;CARD14;LAT;TNFRSF13C;CD14;PLCG2;CD40;TNFSF13B;CXCL12;LCK;IRAK4;IL1B;TNFSF11;TRAF2;TRAF5,extra_mouse_aged
16,gsea,Glutamatergic synapse,0.5177400901299913,2.1524422375601904,0.0,0.0010279766162817113,0.009,48/99,31.19%,SLC17A7;GRIK1;GRM7;PLA2G4D;GRIA1;GRIA4;GRM6;PLCB2;PLA2G4F;GRM2;GNGT1;SLC1A7;GNB3;SLC17A6;GNG8;GRIN2B;GRIN3A;PLA2G4C;GNG11;SLC38A1;GNG13;SLC1A2;GRIN3B;SLC1A3;PLA2G4A;SLC17A8;SLC1A6;GRM1;GNG10;GNGT2;HOMER2;GRIK4;GRM3;GRM8;PLD2;ADCY7;GRM5;GRM4;PLA2G4E;CACNA1D;SHANK2;GRIN2D;GRIN2A;GRIA3;GRIK3;GNG3;ADCY5;ADCY8,extra_mouse_aged
