,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.47259097282825896,2.256926248950685,0.0,0.0016225251246616825,0.001,117/289,30.13%,FGF10;THBS2;COL4A6;FGF23;CD19;LPAR3;TNC;COL2A1;EREG;EPO;FLT3;EIF4E1B;COL9A1;LPAR4;COL4A3;ITGA8;CHRM1;ITGB7;FGF16;IL2RA;COL6A2;GNGT1;LAMA1;FGF6;THBS3;IGF1;LPAR5;IL4;IL2RB;PDGFRB;ITGA11;PKN3;TNN;SYK;PCK1;FGF5;IGF2;GNB3;PDGFRA;LAMB2;FGF17;PDGFD;PIK3R6;ERBB2;FGF20;THBS4;NTF3;IL7R;GNG11;CSF3;ITGB4;CREB3L4;EFNA3;IL2RG;GNG8;COL6A5;OSM;ANGPT1;LAMA4;FGF21;COL6A1;NGF;NGFR;CDK6;CHAD;FGF2;KIT;TEK;VWF;FGFR4;GNG13;COL1A1;ITGA7;FN1;PIK3AP1;TLR4;LAMC3;EPOR;CHRM2;FLT4;FGF18;GNG10;FGFR3;PIK3CG;GNGT2;MYB;IL7;FGF22;LAMB3;EGF;PDGFC;RELN;COL1A2;SOS2;IL6;ITGA10;KDR;FGF7;ITGA5;OSMR;FLT1;VTN;CSF3R;CREB3L3;COL4A4;LAMA5;COL4A5;ERBB4;LPAR1;FGFR2;MTOR;ITGA1;PIK3CB;PIK3R5;CDK2;COL4A2;ITGB6,extra_mouse_chem
1,gsea,JAK-STAT signaling pathway,0.49599914378959,2.1801636284535086,0.0,0.0016225251246616825,0.002,46/113,30.34%,IL13RA2;IL12A;EPO;IFNG;GFAP;IL2RA;IFNE;IL21;IL12RB2;IL4;LEP;IL2RB;PDGFRB;IL22RA1;PDGFRA;IL22RA2;IL21R;IL5;IL5RA;IL7R;CSF3;IL24;IL2RG;OSM;IL15;IL10;IL10RA;LEPR;MPL;EPOR;IL23R;IL7;IL20RA;EGF;STAT4;SOS2;TSLP;IL6;OSMR;IL19;CSF3R;LIF;MTOR;PIK3CB;IL20RB;IL23A,extra_mouse_chem
2,gsea,Phospholipase D signaling pathway,0.4748762797623433,2.1415950986478323,0.0,0.002704208541102804,0.005,49/128,31.82%,AVP;MS4A2;GRM6;GRM7;LPAR3;PLA2G4D;LPAR4;PTGFR;PLCB2;PLA2G4F;AVPR2;PLA2G4C;LPAR5;PDGFRB;SYK;GRM2;PDGFRA;CXCR1;PDGFD;PIK3R6;GRM3;CYTH4;CXCR2;KIT;PLA2G4A;PLA2G4E;GRM1;PIK3CG;DGKI;EGF;PDGFC;SOS2;GRM8;SPHK1;SHC3;PLD2;ADCY7;LPAR1;GRM5;GRM4;MTOR;PIK3CB;PLCG2;ADCY5;PIK3R5;DGKA;ADCY8;ADCY1;ADCY2,extra_mouse_chem
3,gsea,Th1 and Th2 cell differentiation,0.513950635081012,2.115500751293253,0.0,0.003650681530488786,0.008,24/68,28.17%,IL12A;IFNG;TBX21;CD3G;IL2RA;CD3E;IL12RB2;IL4;IL2RB;GATA3;PRKCQ;IL5;CD3D;IL2RG;CD4;RBPJL;RUNX3;STAT4;DLL3;JAG1;MAF;LAT;CD247;LCK,extra_mouse_chem
4,gsea,Breast cancer,0.4870303482611795,2.099230415341089,0.0,0.0032450502493233647,0.009,51/124,28.99%,FGF10;ESR2;FGF23;WNT3A;WNT8B;WNT8A;LEF1;FGF16;FZD10;WNT2;FGF6;WNT6;IGF1;FGF5;FGF17;ERBB2;WNT2B;FGF20;PGR;ESR1;WNT7A;FGF21;WNT7B;CDK6;WNT16;FGF2;WNT11;KIT;WNT10A;TCF7;FLT4;FZD9;FGF18;FGF22;EGF;TNFSF11;SOS2;WNT9A;FZD4;FZD2;DLL3;HEY1;FGF7;SHC3;JAG1;WNT10B;FRAT2;MTOR;HEY2;PIK3CB;AXIN2,extra_mouse_chem
5,gsea,Cell adhesion molecules (CAMs),0.5918928290115838,2.0901028043908156,0.0,0.0029746293952130844,0.01,48/98,26.35%,CD6;CD40LG;TIGIT;CD226;CLDN14;CLDN16;CD8A;CD80;CLDN10;ITGA8;ITGB7;CLDN19;SELL;ESAM;SELE;CLDN8;CLDN5;CNTN2;CDH3;ITGAL;CLDN15;SELP;CTLA4;VTCN1;PDCD1LG2;CLDN4;CD28;NTNG2;SELPLG;CADM3;LRRC4C;CLDN18;CD4;ICOS;ICAM2;CD86;CLDN2;ITGAM;SDC1;CD22;VCAM1;CD2;NRXN2;CDH15;CDH5;CD34;NRXN3;MAG,extra_mouse_chem
6,gsea,Signaling pathways regulating pluripotency of stem cells,0.4691105314991383,2.083147974827964,0.0,0.0030132609458002673,0.011,39/116,28.99%,WNT3A;ONECUT1;ESRRB;INHBC;WNT8B;WNT8A;NODAL;FZD10;WNT2;WNT6;IGF1;TBX3;BMP4;LHX5;DLX5;HESX1;WNT2B;SOX2;WNT7A;INHBE;WNT7B;WNT16;FGF2;WNT11;FGFR4;WNT10A;FZD9;FGFR3;DUSP9;WNT9A;FZD4;FZD2;LIF;WNT10B;INHBB;FGFR2;SMAD3;PIK3CB;AXIN2,extra_mouse_chem
7,gsea,Pathways in cancer,0.43107691885611993,2.0831108323944565,0.0,0.0026366033275752342,0.011,186/440,36.08%,FGF10;COL4A6;ESR2;FGF23;WNT3A;NKX3-1;GLI1;LPAR3;IL12A;NOS2;BIRC7;EPO;FLT3;WNT8B;HHIP;LPAR4;MGST2;IFNG;WNT8A;COL4A3;LEF1;PAX8;FGF16;IL2RA;FZD10;WNT2;SHH;PLCB2;GNGT1;LAMA1;FGF6;WNT6;IGF1;IL12RB2;LPAR5;IL4;IL2RB;TRAF1;PDGFRB;FGF5;IGF2;GNB3;PMAIP1;PDGFRA;LAMB2;BMP4;MMP2;GLI2;CTNNA3;FGF17;IL5;ERBB2;IL5RA;WNT2B;FGF20;AR;DCC;IL7R;RXRG;ESR1;GNG11;WNT7A;KIF7;SPI1;IL2RG;RASGRP4;GNG8;LAMA4;FGF21;WNT7B;IL15;RARB;CDK6;WNT16;FGF2;WNT11;BDKRB1;RAC2;KIT;FGFR4;WNT10A;CAMK2A;MMP9;GNG13;FN1;DAPK2;SKP2;PTGS2;LAMC3;EPOR;RASGRP3;TCF7;FLT4;FZD9;FGF18;IL23R;PTGER2;GNG10;FGFR3;GLI3;PTGER1;GNGT2;IL7;FGF22;LAMB3;EGF;BIRC5;ALK;STAT4;SOS2;PTGER3;PTCH2;EDN1;WNT9A;CXCR4;EDNRB;FZD4;FZD2;F2RL3;IL6;DLL3;EGLN3;HEY1;FGF7;TGFBR2;JAG1;CSF3R;BID;RUNX1;CALML4;ADCY7;COL4A4;LAMA5;COL4A5;WNT10B;LPAR1;TGFB1;FGFR2;FRAT2;SMAD3;MTOR;HEY2;PIK3CB;CXCL12;AXIN2;PLCG2;ADCY5;MGST1;CDK2;COL4A2;IL23A;EDNRA;ZBTB16;FGF1;ADCY8;TRAF5;ETS1;GNG3;ADCY1;RAD51;ITGA2B;MLH1;FZD1;ADCY2;NTRK1;TRAF2;HEYL;LAMA3;GSTO2;LAMA2;CSF1R;LAMC2;MSH2;RASGRP2;CRK;F2R;LAMB1;BRCA2;IL12RB1;SMO;NQO1;HGF;GNG7;PDGFB;APC2;TGFB3,extra_mouse_chem
8,gsea,Ras signaling pathway,0.43059192091910636,2.081471589453032,0.0,0.002343647402289097,0.011,73/192,32.27%,FGF10;FGF23;PLA2G4D;FLT3;FGF16;PLA2G2C;GRIN2B;PLA2G4F;GNGT1;FGF6;IGF1;PLA2G4C;PDGFRB;FGF5;IGF2;GNB3;PDGFRA;PLA2G5;RAPGEF5;FGF17;PDGFD;FGF20;NTF3;GNG11;EFNA3;RASGRP4;GNG8;PLA2G12B;ANGPT1;FGF21;NGF;NGFR;HTR7;FGF2;RAC2;KIT;TEK;FGFR4;PLA2G4A;GNG13;PLA2G4E;RASGRP3;FLT4;FGF18;GNG10;FGFR3;GNGT2;FGF22;PLCE1;EGF;PDGFC;SOS2;RASAL1;KDR;FGF7;SHC3;PLD2;FLT1;PLA2G2D;CALML4;LAT;RASAL3;FGFR2;PIK3CB;GRIN2A;PLCG2;PLA1A;FGF1;ETS1;GNG3;BRAP;NTRK1;RIN1,extra_mouse_chem
9,gsea,Wnt signaling pathway,0.44783704795422863,2.076632365650975,0.0,0.0022715351745263555,0.012,47/128,31.62%,WNT3A;RSPO1;NKD1;WNT8B;WNT8A;LEF1;SFRP2;FZD10;WNT2;SFRP1;PLCB2;WNT6;MMP7;NOTUM;DKK2;WNT2B;SOX17;WNT7A;RSPO2;DKK1;RSPO3;WNT7B;SFRP4;WNT16;WNT11;RAC2;WNT10A;CAMK2A;TCF7;LGR6;LGR5;FZD9;WNT9A;FZD4;FZD2;DAAM2;WIF1;PRICKLE4;VANGL1;CER1;WNT10B;FRAT2;SMAD3;AXIN2;TBL1XR1;RNF43;FZD1,extra_mouse_chem
