,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.534464922062869,2.6987593109661994,0.0,0.0,0.0,112/289,28.04%,THBS2;CD19;COL4A6;GNGT1;TNC;FGF23;CHRM1;COL2A1;FLT3;EREG;LPAR3;EIF4E1B;EPO;LPAR4;COL9A1;FGF5;FGF10;ITGB7;FGF16;IL2RA;IGF2;ANGPT1;COL4A3;LPAR5;ITGA8;CSF3;NTF3;LAMC3;IL4;ITGA11;PKN3;IL2RG;PIK3R6;GNB3;TNN;FGF21;OSM;FGF20;LAMA1;GNG8;IL7R;IGF1;ITGB4;COL6A2;OSMR;THBS4;PDGFRA;PDGFRB;PCK1;LAMB2;LAMA4;COL6A5;NGFR;GNG13;COL1A1;COL6A1;FGF6;KIT;EFNA3;CHAD;FGF2;EGF;PIK3AP1;CDK6;TLR4;ITGA7;PDGFD;ERBB2;LAMB3;FGF18;FGFR4;VWF;EPOR;TEK;GNGT2;FLT4;GNG10;FGF17;IL7;FGF7;CREB3L4;IL2RB;CHRM2;MYB;SYK;RELN;SOS2;PIK3CG;FN1;THBS3;NGF;GNG11;KDR;FLT1;FGF22;PDGFC;IL6;ITGA5;COL1A2;VTN;ITGA10;MTOR;COL4A5;CSF3R;COL4A4;ITGB6;FGFR3;CREB3L3;FGFR2;LAMA5;LPAR1;ERBB4,random_mouse_seed_43
1,gsea,Synaptic vesicle cycle,0.551768100663539,2.552557607248975,0.0,0.0,0.0,24/66,22.32%,SLC6A12;SLC6A7;SLC17A7;SLC6A1;ATP6V1E2;ATP6V0D2;SLC1A7;SLC6A5;ATP6V1B1;ATP6V1C2;UNC13C;SLC17A6;CPLX1;CPLX4;SLC1A2;SLC6A2;SLC6A13;SLC1A6;SLC6A11;SLC17A8;SLC1A3;SLC6A4;SLC18A2;STX1A,random_mouse_seed_43
2,gsea,JAK-STAT signaling pathway,0.5614436496466289,2.54422273201627,0.0,0.0,0.0,42/113,26.45%,IL13RA2;IFNG;EPO;IL21R;IL12A;IL2RA;IL19;IFNE;IL21;CSF3;IL23R;LEPR;IL5;IL4;IL2RG;IL12RB2;OSM;IL10RA;IL22RA2;LEP;IL7R;IL5RA;IL15;OSMR;PDGFRA;PDGFRB;GFAP;MPL;EGF;IL10;IL22RA1;EPOR;IL7;IL20RA;IL2RB;SOS2;STAT4;IL6;TSLP;LIF;MTOR;CSF3R,random_mouse_seed_43
3,gsea,Wnt signaling pathway,0.5172340272331075,2.528826072424014,0.0,0.0,0.0,43/128,27.70%,LEF1;WNT8A;NKD1;WNT8B;PLCB2;SFRP1;RSPO1;WNT11;WNT3A;MMP7;WNT2B;FZD10;DKK2;WNT2;SFRP2;FZD4;SOX17;WNT6;WNT7A;DAAM2;DKK1;NOTUM;RSPO3;RAC2;CAMK2A;WNT16;WNT7B;LGR5;WNT10A;TCF7;FZD9;WNT9A;SFRP4;FZD2;WIF1;AXIN2;PRICKLE4;LGR6;FRAT2;CER1;VANGL1;WNT10B;RSPO2,random_mouse_seed_43
4,gsea,Serotonergic synapse,0.5526560854242574,2.528484041377674,0.0,0.0,0.0,30/87,22.18%,HTR4;ALOX12;GNGT1;ALOX15;PLA2G4D;PLCB2;PLA2G4E;PLA2G4F;CACNA1S;HTR3B;HTR6;GNB3;GNG8;HTR2B;HTR2C;GABRB2;HTR3A;TPH1;HTR7;GNG13;PLA2G4A;HTR1F;GNGT2;GNG10;PLA2G4C;SLC6A4;PTGS2;PTGS1;GNG11;SLC18A2,random_mouse_seed_43
5,gsea,Human papillomavirus infection,0.47740622673716887,2.5270282108608275,0.0,0.0,0.0,77/270,27.95%,THBS2;COL4A6;TBPL2;WNT8A;TNC;ATP6V1E2;COL2A1;ATP6V0D2;WNT8B;COL9A1;ITGB7;HES2;WNT11;WNT3A;COL4A3;WNT2B;FZD10;ITGA8;LAMC3;ITGA11;ATP6V1B1;CCNA1;ATP6V1C2;TNN;WNT2;LAMA1;FZD4;WNT6;ITGB4;WNT7A;COL6A2;THBS4;PDGFRB;LAMB2;LAMA4;COL6A5;COL1A1;COL6A1;CHAD;LFNG;EGF;WNT16;CDK6;WNT7B;ITGA7;LAMB3;VWF;HEY2;WNT10A;RBPJL;TCF7;FZD9;WNT9A;CREB3L4;CCNA2;RELN;PTGS2;SOS2;FN1;THBS3;FZD2;ITGA5;HEY1;AXIN2;COL1A2;VTN;ATP6V0A4;NOTCH3;ITGA10;JAG1;MTOR;COL4A5;COL4A4;ITGB6;CREB3L3;WNT10B;LAMA5,random_mouse_seed_43
6,gsea,Ras signaling pathway,0.5035146683047986,2.5000683498137284,0.0,0.0,0.0,66/192,27.82%,GNGT1;FGF23;FLT3;PLA2G4D;FGF5;PLA2G4E;FGF10;FGF16;PLA2G4F;IGF2;ANGPT1;NTF3;GNB3;FGF21;PLA2G5;FGF20;RASGRP3;GNG8;IGF1;RASGRP4;PDGFRA;PDGFRB;HTR7;GRIN2B;RAC2;NGFR;GNG13;FGF6;KIT;PLA2G2C;EFNA3;FGF2;EGF;PLA2G4A;PLA2G12B;PDGFD;FGF18;FGFR4;TEK;GNGT2;FLT4;GNG10;FGF17;FGF7;PLA2G4C;SHC3;SOS2;PLCE1;NGF;GNG11;KDR;FLT1;FGF22;PDGFC;RAPGEF5;PLA1A;BRAP;PLA2G2D;LAT;PLCG2;FGFR3;RASAL1;FGFR2;CALML4;RASAL3;PLD2,random_mouse_seed_43
7,gsea,Focal adhesion,0.4875662521996274,2.4780075596833977,0.0,0.0,0.0,81/177,37.30%,THBS2;COL4A6;TNC;COL2A1;COL9A1;MYL2;MYL10;ITGB7;COL4A3;PARVG;ITGA8;LAMC3;ITGA11;TNN;CAV3;MYLK3;LAMA1;MYLK2;IGF1;ITGB4;COL6A2;MYLK;THBS4;PDGFRA;PDGFRB;LAMB2;RAC2;LAMA4;COL6A5;COL1A1;COL6A1;CHAD;EGF;MYLK4;ITGA7;PDGFD;ERBB2;LAMB3;VWF;FLT4;FLNC;RELN;SHC3;SOS2;FN1;THBS3;KDR;FLT1;PDGFC;MYL7;VAV1;ITGA5;COL1A2;VTN;ITGA10;COL4A5;COL4A4;ITGB6;CAV1;LAMA5;ITGA1;PARVB;ITGA2B;MYL9;COL4A2;THBS1;PIK3CB;LAMB1;LAMC2;CAV2;PDGFB;LAMA3;VAV3;HGF;LAMA2;ITGB5;PIK3CD;LAMC1;FYN;VAV2;PIK3R3,random_mouse_seed_43
8,gsea,Th1 and Th2 cell differentiation,0.5836338043325443,2.4604188972908947,0.0,0.0,0.0,25/68,27.86%,CD3E;IFNG;IL12A;CD3G;IL2RA;TBX21;IL5;IL4;IL2RG;IL12RB2;GATA3;PRKCQ;CD4;CD3D;RUNX3;RBPJL;IL2RB;STAT4;DLL3;NOTCH3;JAG1;LAT;MAF;CD247;LCK,random_mouse_seed_43
9,gsea,Pathways in cancer,0.4912509733097584,2.449868702241236,0.0,0.0,0.0,165/440,31.72%,PAX8;COL4A6;GLI1;LEF1;WNT8A;RXRG;GNGT1;IFNG;FGF23;BIRC7;FLT3;LPAR3;WNT8B;HHIP;MGST2;EPO;LPAR4;PLCB2;IL12A;FGF5;FGF10;MMP2;FGF16;IL2RA;NOS2;WNT11;SHH;WNT3A;IGF2;COL4A3;PTGER2;WNT2B;SPI1;FZD10;LPAR5;IL23R;IL5;LAMC3;IL4;IL2RG;IL12RB2;MMP9;GNB3;FGF21;ESR2;GLI2;WNT2;FGF20;KIF7;LAMA1;RASGRP3;GNG8;IL7R;FZD4;AR;CTNNA3;TRAF1;WNT6;IGF1;ESR1;IL5RA;DCC;IL15;WNT7A;RASGRP4;PDGFRA;PDGFRB;BMP4;BDKRB1;LAMB2;RAC2;LAMA4;GNG13;FGF6;KIT;FGF2;EGF;CAMK2A;WNT16;CDK6;WNT7B;NKX3-1;PMAIP1;ERBB2;LAMB3;FGF18;FGFR4;PTGER1;HEY2;WNT10A;DAPK2;EPOR;RARB;GNGT2;FLT4;GNG10;TCF7;FGF17;IL7;GLI3;FZD9;BIRC5;WNT9A;FGF7;IL2RB;PTGS2;SOS2;F2RL3;FN1;GNG11;FGF22;CXCR4;EDNRB;STAT4;PTCH2;FZD2;IL6;DLL3;HEY1;SKP2;AXIN2;ALK;PTGER3;EGLN3;NOTCH3;TGFBR2;JAG1;MTOR;BID;COL4A5;RUNX1;CSF3R;COL4A4;PLCG2;FGFR3;NQO1;EDN1;FGFR2;FRAT2;CALML4;WNT10B;ADCY7;CXCL12;LAMA5;LPAR1;TGFB1;ADCY8;MGST1;BRCA2;ADCY5;ITGA2B;SMAD3;GNG3;FGF1;COL4A2;CDK2;CSF1R;IL23A;MLH1;ADCY1;FZD1;ETS1;ZBTB16;EDNRA;PIK3CB,random_mouse_seed_43
