,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5692267488548155,2.917756672939836,0.0,0.0,0.0,103/289,25.93%,THBS4;COL4A3;COL4A6;COL9A1;FGF23;THBS2;FGF10;CD19;NTF3;TNC;EPO;EIF4E1B;LPAR3;LPAR4;CHRM2;GNGT1;EREG;COL2A1;LAMA4;FLT3;LAMA1;PIK3R6;FGF5;ITGA8;FGF16;CHRM1;IL2RA;ITGB7;OSM;FGF6;IL2RG;COL6A2;PDGFRA;CSF3;ITGA11;PKN3;COL1A1;FGF17;TNN;IL4;IGF2;PDGFC;ANGPT1;LPAR5;IL7R;GNB3;EPOR;OSMR;LAMC3;EFNA3;KIT;VTN;FGF18;PIK3AP1;PDGFD;TEK;GNG11;COL1A2;CREB3L3;ITGB4;ERBB2;NGFR;TLR4;LAMB2;FGF20;ERBB4;GNG13;GNG8;PDGFRB;FGF2;CREB3L4;FGF21;CDK6;IGF1;SYK;FGFR3;HGF;FN1;VWF;FGF7;LAMA2;COL6A5;IL2RB;GNGT2;IL7;COL6A1;MYB;PCK1;CHAD;ITGB6;ITGA7;ITGA5;FLT4;COL4A5;NGF;FGFR4;EGF;THBS3;KDR;PIK3CG;FGF22;SOS2;RELN,combination
1,gsea,Serotonergic synapse,0.6208326337735267,2.829036909713713,0.0,0.0,0.0,37/87,26.06%,PLA2G4D;HTR4;CACNA1S;GABRB2;ALOX12;PLA2G4E;ALOX15;GNGT1;HTR2B;HTR7;HTR2C;PLA2G4F;HTR3B;HTR3A;PLCB2;HTR2A;PLA2G4A;ADCY5;GNB3;TPH1;HTR1F;HTR6;GNG11;KCND2;PTGS2;HTR5A;GNG13;GNG8;PLA2G4C;GNGT2;GABRB1;KCNJ3;RAPGEF3;PTGS1;KCNJ5;SLC18A2;SLC6A4,combination
2,gsea,Adrenergic signaling in cardiomyocytes,0.5653489356563454,2.8220656618596105,0.0,0.0,0.0,34/126,18.67%,ADRA1D;CACNA1S;MYL2;TNNT2;AGTR2;PIK3R6;ATP2B3;CACNG8;ADCY8;CACNG1;KCNE1;CACNG6;SCN5A;SCN4B;PLCB2;TNNI3;ATP1A4;CACNG7;SCN7A;ADRB1;PLN;CACNG5;ADCY5;MYL3;RYR2;ADRA1B;ATP1A2;ADCY1;MYH7;ADRA1A;CACNG2;CREB3L3;MYH6;CREB3L4,combination
3,gsea,Phospholipase D signaling pathway,0.6095035756141708,2.8115005002284748,0.0,0.0,0.0,44/128,26.37%,GRM7;PLA2G4D;PLA2G4E;AVP;MS4A2;DGKI;LPAR3;PTGFR;LPAR4;GRM5;PIK3R6;AVPR2;GRM6;PLA2G4F;GRM2;ADCY8;CXCR1;SHC3;PLCB2;GRM8;PDGFRA;PLA2G4A;ADCY5;PDGFC;LPAR5;AVPR1B;ADCY1;KIT;GRM3;PDGFD;PDGFRB;CYTH4;PLD2;SYK;PLA2G4C;AVPR1A;ADCY2;RAPGEF3;CXCR2;EGF;PIK3CG;ADCY7;SOS2;GRM1,combination
4,gsea,Human papillomavirus infection,0.5210497224491724,2.8093098024553345,0.0,0.0,0.0,83/270,30.62%,THBS4;COL4A3;COL4A6;COL9A1;HES2;THBS2;WNT16;WNT8A;TBPL2;TNC;WNT8B;ATP6V0D2;COL2A1;LAMA4;WNT6;LAMA1;ATP6V1E2;CCNA1;ATP6V1B1;ITGA8;WNT7A;FZD10;ITGB7;ATP6V1C2;COL6A2;WNT3A;WNT2;ITGA11;COL1A1;WNT2B;TNN;WNT7B;WNT11;LAMC3;VTN;WNT10A;COL1A2;CREB3L3;PTGS2;ITGB4;TCF7;WNT9A;LAMB2;NOTCH3;PDGFRB;FZD4;CREB3L4;CDK6;FN1;VWF;LAMA2;COL6A5;HEY2;COL6A1;LFNG;CHAD;ITGB6;ITGA7;ITGA5;COL4A5;EGF;HEY1;THBS3;FZD9;CCNA2;SOS2;RELN;RBPJL;LAMB3;FZD2;WNT5A;COL4A4;THBS1;LAMB1;COL4A2;WNT10B;ITGA10;AXIN2;DLG2;ATP6V0A4;RPS6KB2;ITGA2B;LAMA5,combination
5,gsea,cGMP-PKG signaling pathway,0.5509462691259108,2.803480168669661,0.0,0.0,0.0,50/141,29.16%,KCNMB3;PDE2A;ADRA1D;CACNA1S;KCNJ8;OPRD1;ATP2A1;ADRA2B;MYLK2;PIK3R6;ATP2B3;ADCY8;PLCB2;ADRA2C;SLC8A3;ADRB3;ATP1A4;TRPC6;ADRB1;NPPA;PLN;ADCY5;MYLK4;NPPB;ADRA1B;MYLK3;ATP1A2;ADCY1;MYH7;ADRA1A;CNGA1;KCNMB4;CREB3L3;PRKG2;CREB3L4;NPPC;MYLK;ADCY2;PRKG1;SLC25A31;PIK3CG;ADCY7;MYL9;CALML4;CNGB1;ATP1A3;EDNRA;PDE3A;EDNRB;NPR2,combination
6,gsea,Focal adhesion,0.5456172038042444,2.777378266497734,0.0,0.0,0.0,67/177,30.62%,THBS4;COL4A3;COL4A6;COL9A1;THBS2;MYL2;TNC;COL2A1;LAMA4;MYLK2;MYL10;LAMA1;ITGA8;CAV3;PARVG;SHC3;ITGB7;COL6A2;PDGFRA;ITGA11;COL1A1;TNN;PDGFC;MYLK4;MYLK3;LAMC3;VTN;CAV1;PDGFD;COL1A2;ITGB4;FLNC;ERBB2;LAMB2;PDGFRB;IGF1;RAC2;VAV1;HGF;FN1;VWF;MYLK;LAMA2;COL6A5;COL6A1;CHAD;ITGB6;ITGA7;ITGA5;FLT4;COL4A5;EGF;THBS3;KDR;MYL9;SOS2;RELN;LAMB3;CAV2;MYL7;COL4A4;THBS1;LAMB1;COL4A2;ITGA10;ITGA2B;LAMA5,combination
7,gsea,cAMP signaling pathway,0.5544141842826835,2.776303160645685,0.0,0.0,0.0,75/184,28.99%,GLI1;HTR4;CACNA1S;GRIA1;TSHR;SSTR5;GRIA4;ADCYAP1;GIP;CHRM2;HHIP;PPP1R1B;ATP2B3;FSHR;CHRM1;ADCY8;TNNI3;ATP1A4;CGA;CFTR;ADRB1;NPPA;PLN;ADCY5;RYR2;CNGA3;GRIN3A;ATP1A2;HTR1F;ADCY1;HTR6;CNGA1;PTGER2;CNGA4;DRD2;CREB3L3;GRIN2B;ADCYAP1R1;ARAP3;PTGER3;CREB3L4;AMH;SSTR2;PLD2;RAC2;VAV1;ADCY10;PLCE1;ADCY2;GRIN2A;SUCNR1;CAMK2A;SSTR1;GRIA3;OXTR;RAPGEF3;NPY1R;EDN3;GHRL;GRIN2D;GRIN3B;VIPR2;FXYD1;ADCY7;MYL9;GLI3;VIP;TIAM1;CALML4;CNGB1;ATP1A3;EDNRA;EDN1;PDE3A;PDE4B,combination
8,gsea,Transcriptional misregulation in cancer,0.5683695654155547,2.772853465806282,0.0,0.0,0.0,41/142,26.21%,PAX5;WNT16;WT1;PAX3;RXRG;ZBTB16;BCL11B;TLX1;HOXA9;FLT3;CCNA1;PAX8;MPO;MMP3;ITGB7;SPI1;PAX7;TRAF1;SLC45A3;FLI1;MMP9;PLAU;CEBPE;ITGAM;NGFR;ERG;IGF1;ETV4;RUNX2;CD86;IL2RB;CD14;LYL1;CD40;GRIA3;MAF;HPGD;HMGA2;TGFBR2;PTCRA;ETV5,combination
9,gsea,Chemokine signaling pathway,0.5606749596227273,2.7545709460300625,0.0,0.0,0.0,45/139,25.86%,CCL20;CCR9;CCR6;CCR3;CXCR3;GNGT1;CCL17;FGR;PIK3R6;PPBP;ADCY8;XCR1;CXCR1;DOCK2;ITK;SHC3;CCR4;PLCB2;CCL19;CXCL14;CCL22;CXCR6;HCK;ADCY5;WAS;CX3CR1;GNB3;CXCL9;ADCY1;CCL24;GNG11;GNG13;GNG8;CCR7;RAC2;VAV1;ADCY2;GNGT2;CXCR4;NCF1;CXCR2;CXCL13;PIK3CG;ADCY7;SOS2,combination
