,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5853661643236396,2.9698184774539422,0.0,0.0,0.0,101/289,24.42%,COL4A6;COL4A3;FGF23;THBS4;NTF3;COL9A1;FGF16;THBS2;CD19;FGF10;GNGT1;TNC;EPO;FGF5;EIF4E1B;LPAR3;CHRM2;LPAR4;EREG;COL2A1;FLT3;LAMA4;PIK3R6;LAMA1;ITGA8;CHRM1;OSMR;OSM;COL1A1;PDGFRA;LAMC3;PKN3;COL6A2;FGF6;ANGPT1;ITGB7;IL2RA;IL2RG;LAMB2;CSF3;ITGA11;PDGFD;GNG11;IL4;IL7R;FGF17;COL1A2;IGF2;IL2RB;EPOR;PDGFC;LPAR5;GNB3;TNN;FGFR3;FN1;KIT;GNG13;FGF7;FGF18;VTN;PIK3AP1;PCK1;ERBB4;VWF;SYK;CDK6;GNG8;EFNA3;PDGFRB;ERBB2;ITGB6;ITGB4;NGFR;COL4A5;CREB3L4;FGF21;FGF20;KDR;IGF1;HGF;FGF2;CREB3L3;TEK;PIK3CG;COL6A5;LAMA2;IL7;TLR4;GNGT2;NGF;THBS3;COL6A1;MYB;EGF;ITGA7;CHAD;FLT4;LAMB3;RELN;FGFR4,embedding_top70_human
1,gsea,JAK-STAT signaling pathway,0.6288561864329795,2.8676024946761562,0.0,0.0,0.0,33/113,18.32%,IL5RA;IL13RA2;IL19;GFAP;IL22RA2;IL12A;IL21R;EPO;IFNG;IFNE;IL5;IL23R;OSMR;OSM;IL24;PDGFRA;MPL;IL15;IL12RB2;IL2RA;IL22RA1;IL2RG;CSF3;LEPR;IL4;IL7R;STAT4;IL21;IL2RB;LEP;EPOR;IL10RA;PDGFRB,embedding_top70_human
2,gsea,Phospholipase D signaling pathway,0.6153771873307181,2.8588817071232127,0.0,0.0,0.0,41/128,23.86%,GRM7;AVP;MS4A2;GRM3;LPAR3;PLA2G4E;GRM5;PLA2G4F;LPAR4;DGKI;PTGFR;GRM6;PIK3R6;PLCB2;PLA2G4D;CXCR1;GRM2;AVPR2;PDGFRA;GRM8;SHC3;ADCY8;PDGFD;AVPR1B;ADCY5;PLA2G4A;PDGFC;LPAR5;AVPR1A;ADCY1;KIT;PLA2G4C;SYK;PDGFRB;PLD2;CYTH4;ADCY2;PIK3CG;EGF;RAPGEF3;CXCR2,embedding_top70_human
3,gsea,Focal adhesion,0.5591260777314147,2.828684565629771,0.0,0.0,0.0,56/177,24.09%,COL4A6;COL4A3;THBS4;COL9A1;THBS2;TNC;MYL10;MYL2;COL2A1;MYLK2;LAMA4;LAMA1;CAV3;ITGA8;COL1A1;PDGFRA;LAMC3;COL6A2;FLNC;PARVG;ITGB7;SHC3;LAMB2;ITGA11;PDGFD;COL1A2;PDGFC;CAV1;MYLK4;TNN;MYLK3;FN1;VTN;VWF;PDGFRB;ERBB2;ITGB6;ITGB4;COL4A5;KDR;IGF1;MYLK;HGF;RAC2;COL6A5;LAMA2;MYL9;THBS3;COL6A1;EGF;ITGA7;CHAD;VAV1;FLT4;LAMB3;RELN,embedding_top70_human
4,gsea,Serotonergic synapse,0.6215763247268702,2.817003426839765,0.0,0.0,0.0,34/87,23.52%,HTR4;GABRB2;HTR7;GNGT1;ALOX12;ALOX15;PLA2G4E;PLA2G4F;HTR2B;PLCB2;PLA2G4D;HTR2C;HTR3A;HTR3B;CACNA1S;HTR1F;TPH1;HTR5A;GNG11;KCND2;ADCY5;PLA2G4A;GNB3;GNG13;HTR6;PLA2G4C;GNG8;PTGS2;HTR2A;GNGT2;PTGS1;RAPGEF3;KCNJ3;GABRB1,embedding_top70_human
5,gsea,Chemokine signaling pathway,0.572291212960004,2.808881702201081,0.0,0.0,0.0,43/139,23.86%,CCL20;PPBP;CCR9;CCR6;CCR3;GNGT1;FGR;CXCR3;CCL17;PIK3R6;PLCB2;CXCR1;CCR4;ITK;XCR1;DOCK2;CCL19;WAS;HCK;SHC3;CX3CR1;ADCY8;CXCR6;GNG11;ADCY5;CCL22;CXCL14;GNB3;CXCL9;ADCY1;GNG13;CCL24;GNG8;NCF1;CCR7;RAC2;ADCY2;PIK3CG;GNGT2;CXCL13;VAV1;CXCR4;CXCR2,embedding_top70_human
6,gsea,cGMP-PKG signaling pathway,0.550321527903877,2.7789210061007754,0.0,0.0,0.0,55/141,32.11%,PDE2A;ADRA1D;KCNMB3;OPRD1;KCNJ8;ATP2A1;ADRA2B;MYLK2;PIK3R6;PLCB2;ATP2B3;ADRB3;CACNA1S;TRPC6;ATP1A4;SLC8A3;ADRA2C;ADRB1;PLN;ADCY8;ADCY5;MYLK4;NPPB;MYLK3;ADRA1B;MYH7;ADCY1;ADRA1A;KCNMB4;PRKG2;NPPA;CNGA1;ATP1A2;CREB3L4;NPPC;MYLK;CREB3L3;ADCY2;PIK3CG;PRKG1;MYL9;SLC25A31;ADCY7;CALML4;NPR2;EDNRA;GUCY1A2;CNGB1;EDNRB;ATP1A3;NPR1;PDE3A;CREB5;ADORA3;FXYD2,embedding_top70_human
7,gsea,Human papillomavirus infection,0.5201859022292264,2.778901315695654,0.0,0.0,0.0,84/270,31.62%,COL4A6;COL4A3;THBS4;COL9A1;TBPL2;ATP6V1B1;WNT16;WNT6;HES2;THBS2;TNC;ATP6V1E2;ATP6V0D2;CCNA1;WNT8B;COL2A1;LAMA4;LAMA1;WNT8A;ITGA8;WNT7A;COL1A1;LAMC3;WNT11;COL6A2;WNT2;ATP6V1C2;FZD10;ITGB7;WNT2B;LAMB2;ITGA11;WNT3A;WNT7B;TCF7;COL1A2;TNN;WNT10A;FN1;WNT9A;HEY2;VTN;FZD4;VWF;CDK6;PDGFRB;ITGB6;ITGB4;COL4A5;CREB3L4;PTGS2;CREB3L3;NOTCH3;COL6A5;LAMA2;LFNG;THBS3;COL6A1;EGF;ITGA7;CHAD;LAMB3;RELN;FZD9;CCNA2;HEY1;ITGA10;FZD2;RBPJL;ITGA5;SOS2;AXIN2;THBS1;COL4A4;COL4A2;MTOR;LAMA5;WNT10B;ITGA2B;DLG2;JAG1;ATP6V0A4;LAMB1;CREB5,embedding_top70_human
8,gsea,Vascular smooth muscle contraction,0.5915805857066359,2.77706243927597,0.0,0.0,0.0,48/110,28.23%,AVP;ADRA1D;KCNMB3;ACTG2;PLA2G4E;PLA2G4F;MYLK2;PLCB2;PLA2G4D;PLA2G12B;CACNA1S;PTGIR;ADCY8;PLA2G5;AVPR1B;ADCY5;PLA2G4A;PLA2G2C;MYLK4;NPPB;AVPR1A;MYLK3;ADRA1B;PRKCH;ADCY1;PLA2G4C;ADM;ADRA1A;KCNMB4;PRKCQ;NPPA;NPPC;MYLK;CALCRL;ADCY2;PRKG1;CALCB;MYL9;ACTA2;MYL6B;EDN3;ADCY7;CALML4;PLA2G2D;NPR2;EDNRA;GUCY1A2;PPP1R14A,embedding_top70_human
9,gsea,Wnt signaling pathway,0.5802936026553612,2.775277625925505,0.0,0.0,0.0,36/128,22.03%,WNT16;WNT6;MMP7;LEF1;WNT8B;NKD1;WNT8A;PLCB2;SFRP2;SFRP4;WNT7A;SFRP1;RSPO1;RSPO2;WNT11;WNT2;FZD10;RSPO3;WNT2B;DAAM2;WNT3A;DKK2;WNT7B;TCF7;WNT10A;LGR5;WNT9A;NOTUM;FZD4;CER1;SOX17;LGR6;WIF1;DKK1;RAC2;CAMK2A,embedding_top70_human
