,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,Phospholipase D signaling pathway,0.6239644024833244,2.860170604941449,0.0,0.0,0.0,38/128,21.57%,AVP;GRM5;PTGFR;LPAR4;PLA2G4D;DGKI;PLA2G4E;GRM6;GRM7;LPAR3;PIK3R6;GRM2;SHC3;ADCY8;MS4A2;GRM8;CXCR1;ADCY5;LPAR5;ADCY1;AVPR2;PDGFC;PLCB2;PLA2G4A;ADCY2;AVPR1A;GRM3;CYTH4;PLA2G4F;CXCR2;RAPGEF3;PDGFRB;PLD2;PDGFRA;AVPR1B;ADCY7;GRM1;PDGFD,extra_human_chem
1,gsea,Chemokine signaling pathway,0.578050427914752,2.804648818578029,0.0,0.0,0.0,40/139,20.68%,CCR9;CCR6;CCR3;CXCR3;FGR;CCL17;PIK3R6;GNGT1;XCR1;SHC3;CCL20;ADCY8;CXCR6;PPBP;CCL22;GNB3;CXCR1;ADCY5;HCK;CXCL14;CCL24;ADCY1;PLCB2;CCR7;DOCK2;CCL19;ADCY2;CX3CR1;WAS;CCR4;GNGT2;GNG8;RAC2;CXCL9;ITK;CXCR2;VAV1;CXCR4;ADCY7;NCF1,extra_human_chem
2,gsea,Signaling pathways regulating pluripotency of stem cells,0.597521702479449,2.7688764554252665,0.0,0.0,0.0,30/116,19.50%,WNT16;NODAL;ESRRB;INHBC;WNT8B;WNT8A;ONECUT1;DLX5;FZD10;WNT6;WNT11;WNT7A;LHX5;TBX3;BMP4;SOX2;WNT3A;FGF2;INHBE;DUSP9;IGF1;HESX1;WNT7B;WNT9A;WNT2B;WNT10A;WNT2;INHBB;FZD9;FGFR3,extra_human_chem
3,gsea,Transcriptional misregulation in cancer,0.5629238638852886,2.762974267648288,0.0,0.0,0.0,43/142,28.53%,PAX5;WNT16;RXRG;BCL11B;FLT3;ZBTB16;WT1;PAX3;TLX1;HOXA9;PAX8;MPO;CCNA1;MMP3;ITGB7;FLI1;SPI1;NGFR;PLAU;RUNX2;SLC45A3;CEBPE;IGF1;CD86;ETV4;ITGAM;TRAF1;ERG;MAF;MMP9;TGFBR2;HPGD;LYL1;IL2RB;CD14;PAX7;IL6;HMGA2;GRIA3;PTCRA;CSF1R;CD40;FLT1,extra_human_chem
4,gsea,PI3K-Akt signaling pathway,0.5564687942317442,2.7354583434049253,0.0,0.0,0.0,117/289,29.61%,TNC;COL9A1;EREG;LAMA4;LPAR4;COL2A1;EIF4E1B;FLT3;EPO;LPAR3;THBS2;CHRM1;NTF3;FGF10;COL1A1;PIK3R6;THBS4;GNGT1;CHRM2;CD19;FGF6;IL2RA;LAMA1;FGF5;FGF16;COL4A6;FGF23;CSF3;IL4;GNB3;ITGB7;LPAR5;ITGA8;IL7R;TNN;ANGPT1;EPOR;LAMB2;PDGFC;VTN;LAMC3;FGF20;FGF18;NGFR;FGF2;HGF;TEK;IGF1;FGF21;ITGA11;ERBB2;EFNA3;COL6A1;COL4A3;MYB;PKN3;GNGT2;COL6A2;PIK3AP1;OSM;COL6A5;GNG8;TLR4;IL2RG;ITGB4;LAMA2;ERBB4;CREB3L3;IGF2;CHAD;ITGA7;FLT4;IL7;FGFR3;PDGFRB;PDGFRA;VWF;PDGFD;GNG13;IL2RB;FGF17;OSMR;KIT;COL4A2;RELN;COL4A4;IL6;ITGA5;LAMB3;CREB3L4;GNG11;ITGB6;COL1A2;PIK3CG;FGF7;CDK6;EPHA2;CSF3R;FGF22;CSF1R;GNG10;FN1;F2R;NGF;COL4A5;PCK1;SYK;KDR;CREB5;FLT1;ITGA1;ITGA2B;LAMA5;EGF;LAMB1;PIK3R5;ITGA10,extra_human_chem
5,gsea,Serotonergic synapse,0.6066696214112912,2.7151810981090794,0.0,0.0,0.0,40/87,27.94%,ALOX12;PLA2G4D;HTR2B;PLA2G4E;ALOX15;GABRB2;HTR7;HTR2C;GNGT1;HTR3A;HTR4;CACNA1S;GNB3;HTR2A;ADCY5;HTR3B;PLCB2;HTR6;PLA2G4A;PLA2G4F;GNGT2;GNG8;GABRB1;RAPGEF3;TPH1;KCND2;PTGS1;SLC6A4;HTR1F;KCNJ3;SLC18A2;GNG13;PTGS2;GNG11;CYP4X1;HTR5A;KCNJ5;GNG10;PLA2G4C;TPH2,extra_human_chem
6,gsea,Pathways in cancer,0.538155453949839,2.6941704845542844,0.0,0.0,0.0,166/440,31.54%,WNT16;BIRC7;NOS2;IFNG;WNT8B;RXRG;LAMA4;HHIP;LPAR4;MGST2;NKX3-1;FLT3;IL12A;ZBTB16;EPO;SHH;LPAR3;IL5RA;FGF10;LEF1;WNT8A;DCC;GNGT1;PAX8;GLI2;CTNNA3;FZD10;FGF6;IL2RA;LAMA1;FGF5;WNT6;MMP2;FGF16;COL4A6;FGF23;IL15;ADCY8;STAT4;IL23R;IL4;GNB3;IL5;WNT11;ADCY5;GLI1;LPAR5;WNT7A;IL7R;ADCY1;BMP4;EPOR;PTGER2;LAMB2;PLCB2;SPI1;WNT3A;LAMC3;FGF20;FGF18;AR;FGF2;HEY2;RASGRP3;ADCY2;HGF;RASGRP4;IGF1;FGF21;IL12RB2;ERBB2;ESR1;COL4A3;BDKRB1;PTGER3;GNGT2;WNT7B;GNG8;TRAF1;WNT9A;IL2RG;LAMA2;WNT2B;WNT10A;RAC2;DAPK2;IGF2;WNT2;RARB;CAMK2A;NOTCH3;EGLN3;FLT4;IL7;FZD9;FGFR3;MMP9;PDGFRB;CXCR4;PDGFRA;ADCY7;KIF7;F2RL3;TGFBR2;ESR2;CALML4;GLI3;FZD2;DLL3;HEY1;GNG13;IL2RB;SMO;FRAT2;BIRC5;FGF17;TCF7;FZD4;KIT;PMAIP1;COL4A2;COL4A4;IL6;LAMB3;PTGS2;GNG11;EDNRA;FGF7;PTGER1;CDK6;BMP2;EDN1;WNT10B;CSF3R;TGFB2;FGF22;ETS1;CSF1R;GNG10;FN1;F2R;COL4A5;MGST1;SKP2;EDNRB;IL23A;ITGA2B;TGFB1;LAMA5;ALK;EGF;LAMB1;RUNX1;SMAD3;RASGRP1;FGFR2;FGFR4;WNT5A;RASGRP2;CDK2;GNG3;FZD1;AXIN2;MECOM;HEYL;RAD51,extra_human_chem
7,gsea,cAMP signaling pathway,0.5549939663941378,2.6926625807590527,0.0,0.0,0.0,79/184,29.39%,TSHR;HHIP;GRIA1;PPP1R1B;SSTR5;ADCYAP1;CHRM1;GRIA4;GIP;CHRM2;HTR4;CACNA1S;ADCY8;ATP1A4;CGA;ATP2B3;ADCY5;TNNI3;GLI1;ADCY1;FSHR;PTGER2;NPPA;RYR2;CNGA1;GRIN3A;HTR6;CNGA3;PLCE1;ADCYAP1R1;ADCY2;ADRB1;SSTR2;PLN;AMH;PTGER3;SSTR1;ARAP3;ADCY10;RAC2;CREB3L3;CAMK2A;DRD2;GHRL;CFTR;GRIN3B;CNGA4;RAPGEF3;GRIN2B;VAV1;NPY1R;GRIN2A;FXYD1;ATP1A2;PLD2;EDN3;HTR1F;SUCNR1;ADCY7;CALML4;GLI3;VIP;CREB3L4;EDNRA;CNGB1;EDN1;GHSR;GRIA3;PPARA;MYL9;F2R;VAV3;GRIN2D;FXYD2;CREB5;OXTR;PDE3A;VIPR2;ATP1A3,extra_human_chem
8,gsea,Human papillomavirus infection,0.5090370906909053,2.6889341481983267,0.0,0.0,0.0,84/270,31.51%,WNT16;TNC;TBPL2;ATP6V0D2;COL9A1;WNT8B;LAMA4;COL2A1;ATP6V1E2;THBS2;WNT8A;COL1A1;THBS4;FZD10;LAMA1;ATP6V1B1;WNT6;COL4A6;HES2;CCNA1;WNT11;ITGB7;ITGA8;WNT7A;ATP6V1C2;TNN;LAMB2;VTN;WNT3A;LAMC3;HEY2;ITGA11;COL6A1;COL4A3;WNT7B;COL6A2;COL6A5;LFNG;WNT9A;ITGB4;LAMA2;WNT2B;WNT10A;CREB3L3;WNT2;CHAD;NOTCH3;ITGA7;FZD9;PDGFRB;VWF;CCNA2;FZD2;HEY1;TCF7;FZD4;COL4A2;RELN;COL4A4;ITGA5;LAMB3;RBPJL;CREB3L4;PTGS2;ITGB6;COL1A2;CDK6;WNT10B;FN1;COL4A5;ATP6V0A4;CREB5;ITGA1;ITGA2B;LAMA5;EGF;LAMB1;ITGA10;THBS1;WNT5A;CDK2;FZD1;AXIN2;HEYL,extra_human_chem
9,gsea,JAK-STAT signaling pathway,0.5994677548635718,2.6821064378566004,0.0,0.0,0.0,37/113,23.57%,IFNG;IL12A;EPO;IL19;IL5RA;IL22RA2;IL21R;IL22RA1;IL24;IL2RA;IL15;STAT4;IL23R;IFNE;CSF3;IL4;IL5;IL21;IL7R;IL13RA2;EPOR;LEPR;IL10RA;LEP;IL12RB2;OSM;IL2RG;MPL;IL10;IL7;PDGFRB;PDGFRA;IL2RB;IL20RA;GFAP;TSLP;OSMR,extra_human_chem
