,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,Glutamatergic synapse,0.5710567653521293,2.4009163049543547,0.0,0.0017158790305283479,0.001,47/99,25.28%,PLA2G4F;PLCB2;GRM2;GNGT1;GRIK1;SLC17A7;GRIA4;GRM7;PLA2G4D;GRIA1;GRM6;GRM5;GRM8;SLC1A7;SLC17A6;ADCY5;GRIN3A;PLA2G4C;ADCY1;GRIN2B;GRIK4;GNB3;ADCY8;PLA2G4A;GNG8;PLA2G4E;GNG11;SLC1A3;ADCY2;GRIN2A;SLC38A1;SLC1A6;KCNJ3;PLD2;GRM3;HOMER2;SLC1A2;GNGT2;GNG10;GRIN3B;GRIK2;ADCY7;GNG13;GRIA3;SLC17A8;GRM1;SHANK2,extra_mouse_Embryonic
1,gsea,Vascular smooth muscle contraction,0.5273474517637012,2.3906531578590324,0.0,0.0008579395152641739,0.001,51/110,29.56%,PLA2G4F;ADRA1D;ACTG2;AVP;PLCB2;PTGIR;PLA2G4D;MYLK2;CACNA1S;PLA2G2C;ADCY5;PLA2G4C;ADCY1;KCNMB3;MYLK3;NPPB;ADRA1A;ADCY8;ADRA1B;NPPA;PLA2G5;PLA2G4A;PRKCQ;KCNMB4;PLA2G4E;CALCB;AVPR1A;AVPR1B;ADCY2;PLA2G12B;CALCRL;MYLK;ADM;ACTA2;MYLK4;MYL9;EDN3;NPPC;CALML4;ADCY7;EDNRA;NPR2;PLA2G2D;MYL6B;PRKCH;PRKG1;PPP1R14A;GUCY1A2;NPR1;EDN1;EDN2,extra_mouse_Embryonic
2,gsea,Phospholipase D signaling pathway,0.5301132694695764,2.3892739077113716,0.0,0.0005719596768427826,0.001,52/128,31.22%,PLA2G4F;AVP;MS4A2;PLCB2;CXCR1;GRM2;GRM7;LPAR3;PDGFD;PLA2G4D;DGKI;LPAR4;PTGFR;GRM6;AVPR2;GRM5;GRM8;ADCY5;LPAR5;PDGFRB;PLA2G4C;ADCY1;SYK;PIK3R6;ADCY8;PDGFRA;PLA2G4A;KIT;PDGFC;PIK3CG;PLA2G4E;AVPR1A;AVPR1B;ADCY2;CYTH4;PLD2;GRM3;CXCR2;RAPGEF3;EGF;ADCY7;GRM1;SOS2;SHC3;SPHK1;PIK3CB;MTOR;PLCG2;LPAR1;F2R;GRM4;DGKA,extra_mouse_Embryonic
3,gsea,PI3K-Akt signaling pathway,0.4801544523866288,2.3461719943644264,0.0,0.00042896975763208697,0.001,127/289,32.82%,THBS2;COL4A6;COL4A3;FGF23;PCK1;CD19;CHRM2;NTF3;GNGT1;FGF10;LPAR3;TNC;PDGFD;EREG;EIF4E1B;COL9A1;LAMA4;COL2A1;FLT3;EPO;LPAR4;CHRM1;COL6A2;THBS4;IL2RA;LAMA1;ITGB7;ITGA11;CSF3;LAMC3;FGF5;FGF16;ANGPT1;EPOR;IGF2;IL2RB;IL4;FGF18;THBS3;LPAR5;PDGFRB;IGF1;ITGA8;SYK;TNN;PIK3R6;GNB3;OSM;IL2RG;FGF6;PDGFRA;PIK3AP1;KIT;PDGFC;FGF20;GNG8;ITGB4;PKN3;PIK3CG;FGF17;FGF21;GNG11;LAMB2;IL7R;CREB3L4;LAMA2;EFNA3;FGF2;NGFR;TEK;COL6A5;VTN;VWF;ITGB6;NGF;CHAD;OSMR;IL7;COL1A2;COL6A1;MYB;FN1;GNGT2;ERBB2;GNG10;CDK6;ITGA7;LAMB3;CREB3L3;ERBB4;TLR4;EGF;FLT4;FGFR4;FGF7;GNG13;KDR;COL1A1;FLT1;RELN;FGFR3;LAMA5;EPHA2;FGF22;ITGA2B;SOS2;ITGA5;COL4A4;COL4A5;IL6;ITGA10;CREB5;COL4A2;HGF;PIK3CB;CSF1R;MTOR;CSF3R;LPAR1;F2R;FGFR2;LAMB1;ITGA1;GNG3;THBS1;CDK2;SGK1,extra_mouse_Embryonic
4,gsea,Serotonergic synapse,0.5156737017078404,2.296037504624074,0.0,0.0006863516122113391,0.002,41/87,31.90%,PLA2G4F;HTR4;PLCB2;HTR7;GNGT1;PLA2G4D;HTR2B;ALOX15;HTR1F;ALOX12;CACNA1S;HTR3B;ADCY5;PLA2G4C;HTR6;GNB3;PLA2G4A;GNG8;KCND2;PLA2G4E;GNG11;KCNJ3;TPH1;HTR3A;GABRB2;GNGT2;GNG10;GABRB1;RAPGEF3;PTGS2;SLC18A2;GNG13;PTGS1;SLC6A4;HTR5A;HTR2A;CYP4X1;TPH2;KCNJ5;CACNA1D;GNG3,extra_mouse_Embryonic
5,gsea,Calcium signaling pathway,0.5483964161673633,2.249608489101893,0.0,0.0011439193536855652,0.004,76/166,25.19%,ADRA1D;HTR4;CHRM2;PLCB2;RYR1;HTR7;TACR2;CCKBR;NOS2;ATP2A1;MYLK2;HTR2B;PTGFR;CHRM1;ADRB3;NTSR1;GRM5;P2RX2;ATP2B3;CACNA1S;CHRM5;SLC8A3;CCKAR;PLCZ1;PDGFRB;ADCY1;CYSLTR1;MYLK3;HTR6;P2RX7;ADRA1A;ADCY8;ADRA1B;ADRB1;PDGFRA;CACNA1E;PLN;P2RX1;PTGER3;LHCGR;GNA15;P2RX6;HRH2;AVPR1A;AVPR1B;NOS1;ADCY2;PLCD1;TACR1;GRIN2A;PLCE1;HRH1;MYLK;CAMK2A;TNNC2;PLCD3;RYR3;OXTR;MYLK4;GRPR;CD38;ERBB2;ERBB4;TPCN2;CACNA1G;PDE1B;CALML4;BDKRB1;P2RX3;ADCY7;CXCR4;TACR3;EDNRA;SLC25A31;HTR5A;GRM1,extra_mouse_Embryonic
6,gsea,Pathways in cancer,0.45476629646640077,2.2404276334035758,0.0,0.0012256278789488197,0.005,167/440,31.41%,GLI1;COL4A6;COL4A3;FGF23;IL5;PAX8;PLCB2;SHH;NKX3-1;WNT3A;GNGT1;FGF10;WNT8A;WNT16;LEF1;CTNNA3;WNT6;NOS2;LPAR3;ZBTB16;BIRC7;HHIP;WNT8B;LAMA4;IFNG;FLT3;MGST2;EPO;WNT2B;LPAR4;MMP2;RXRG;GLI2;DCC;IL12A;IL2RA;BMP4;LAMA1;ESR2;IL5RA;LAMC3;FZD10;FGF5;FGF16;WNT7B;EPOR;STAT4;IGF2;IL2RB;ADCY5;IL4;PTGER2;FGF18;SPI1;LPAR5;RASGRP3;PDGFRB;IGF1;ADCY1;GNB3;WNT11;WNT2;ADCY8;TRAF1;IL2RG;FGF6;PDGFRA;WNT7A;KIF7;SKP2;KIT;IL12RB2;PMAIP1;FGF20;GNG8;ESR1;PTGER3;WNT10A;RARB;FGF17;FGF21;GNG11;AR;LAMB2;IL7R;LAMA2;ADCY2;TCF7;MMP9;FGF2;DAPK2;RASGRP4;CAMK2A;IL7;FN1;FZD4;GNGT2;ERBB2;GNG10;CDK6;LAMB3;PTGS2;RAC2;ALK;EGLN3;TGFB2;EGF;FLT4;CALML4;BDKRB1;TGFBR2;FGFR4;FGF7;ADCY7;FZD9;GNG13;GLI3;CXCR4;FRAT2;HEY2;EDNRA;BIRC5;MGST1;FGFR3;LAMA5;TGFB1;FZD2;DLL3;FGF22;PTGER1;HEY1;ITGA2B;BMP2;WNT9A;SOS2;PTCH2;IL15;EDNRB;COL4A4;SMO;COL4A5;IL6;JAG1;BID;COL4A2;TRAF5;AXIN2;HGF;EDN1;PIK3CB;CSF1R;RUNX1;SMAD3;WNT10B;MTOR;RAD51;F2RL3;PLCG2;CSF3R;IL23R;LPAR1;ETS1;F2R;FGFR2;CXCL12;GSTO2;LAMB1,extra_mouse_Embryonic
7,gsea,Ras signaling pathway,0.4509318365835993,2.216354890285889,0.0,0.0015013941517123043,0.007,72/192,30.78%,PLA2G4F;FGF23;NTF3;HTR7;GNGT1;FGF10;PDGFD;PLA2G4D;FLT3;FGF5;FGF16;ANGPT1;PLA2G2C;IGF2;FGF18;RASGRP3;PDGFRB;PLA2G4C;IGF1;GRIN2B;GNB3;PLA2G5;FGF6;PDGFRA;PLA2G4A;KIT;PDGFC;FGF20;GNG8;PLA2G4E;FGF17;FGF21;GNG11;EFNA3;PLA2G12B;FGF2;NGFR;RAPGEF5;GRIN2A;RASGRP4;TEK;PLCE1;NGF;PLD2;GNGT2;GNG10;RAC2;EGF;FLT4;CALML4;FGFR4;FGF7;GNG13;RASAL3;KDR;RASAL1;FLT1;FGFR3;LAT;PLA2G2D;EPHA2;FGF22;SOS2;PLA1A;SHC3;HGF;PIK3CB;CSF1R;PLCG2;RIN1;ETS1;FGFR2,extra_mouse_Embryonic
8,gsea,Wnt signaling pathway,0.47319107225327556,2.2150513446766897,0.0,0.001334572579299826,0.007,45/128,30.09%,MMP7;PLCB2;SFRP2;WNT3A;WNT8A;WNT16;LEF1;WNT6;NKD1;WNT8B;WNT2B;FZD10;WNT7B;DKK2;RSPO1;SFRP1;WNT11;WNT2;WNT7A;CER1;NOTUM;WNT10A;RSPO2;SOX17;DKK1;TCF7;CAMK2A;WIF1;SFRP4;DAAM2;FZD4;LGR5;RSPO3;RAC2;FZD9;FRAT2;LGR6;PRICKLE4;VANGL1;FZD2;WNT9A;AXIN2;SMAD3;WNT10B;TBL1XR1,extra_mouse_Embryonic
9,gsea,Salivary secretion,0.557225308198227,2.2042519779040384,0.0,0.0013727032244226782,0.008,28/61,28.45%,MUC5B;ADRA1D;PLCB2;AQP5;ATP1A4;ADRB3;BST1;ATP2B3;ADCY5;ADCY1;ADRA1A;ADCY8;ADRA1B;LPO;ADRB1;BEST2;NOS1;ADCY2;RYR3;CAMP;CD38;KCNN4;PRKG2;CALML4;ADCY7;PRKG1;ATP1A2;GUCY1A2,extra_mouse_Embryonic
