,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5182791921467461,2.5947388307536077,0.0,0.0,0.0,114/289,28.41%,COL4A3;THBS2;COL4A6;FGF23;CD19;PCK1;NTF3;CHRM1;FGF10;CHRM2;TNC;GNGT1;EREG;FLT3;EIF4E1B;COL9A1;COL2A1;LAMA4;EPO;LPAR4;LPAR3;ANGPT1;ITGB7;IL2RA;THBS4;LAMA1;ITGA11;FGF5;FGF16;IGF2;PIK3R6;LAMC3;ITGA8;FGF6;CSF3;EPOR;LAMB2;IL7R;LPAR5;KIT;IL4;IL2RG;PDGFD;GNB3;TNN;IL2RB;COL1A1;COL6A2;FGF20;OSM;FGFR3;PDGFRA;PDGFC;PKN3;THBS3;FGF18;EFNA3;PDGFRB;PIK3AP1;GNG8;ITGB4;IGF1;CDK6;VTN;FGF21;NGFR;COL6A5;FGF2;TEK;LAMA2;GNGT2;FN1;VWF;OSMR;CREB3L4;IL7;COL6A1;MYB;GNG13;CHAD;TLR4;FGF17;CREB3L3;COL1A2;SYK;GNG11;ITGB6;PIK3CG;ITGA7;HGF;NGF;ERBB4;FLT4;EGF;ERBB2;FGF22;FGF7;LAMB3;KDR;FGFR4;GNG10;FLT1;RELN;SOS2;EPHA2;LAMA5;ITGA2B;ITGA5;COL4A5;ITGA10;COL4A4;IL6;COL4A2;CREB5,extra_mouse_T1D
1,gsea,Vascular smooth muscle contraction,0.5562919306769647,2.57036061356537,0.0,0.0,0.0,48/110,27.32%,ADRA1D;PLA2G4F;AVP;PLCB2;ACTG2;PTGIR;CACNA1S;MYLK2;PLA2G4D;KCNMB3;MYLK3;ADCY5;ADCY8;NPPB;ADRA1A;ADCY1;ADRA1B;PLA2G4E;PLA2G4A;PLA2G5;ADM;KCNMB4;PRKCQ;NPPA;PLA2G12B;PLA2G2C;AVPR1B;CALCRL;ADCY2;MYLK;MYLK4;ACTA2;CALCB;NPPC;PLA2G4C;EDN3;PRKG1;MYL9;ADCY7;AVPR1A;CALML4;PRKCH;PLA2G2D;EDN1;PPP1R14A;EDNRA;NPR2;MYL6B,extra_mouse_T1D
2,gsea,Serotonergic synapse,0.5568412491782065,2.505481927102581,0.0,0.0,0.0,36/87,25.30%,HTR4;PLA2G4F;PLCB2;HTR7;GNGT1;CACNA1S;ALOX15;HTR2B;PLA2G4D;ALOX12;HTR1F;HTR3B;ADCY5;GABRB2;GNB3;PLA2G4E;PLA2G4A;HTR6;HTR3A;GNG8;KCND2;GNGT2;TPH1;GNG13;KCNJ3;PTGS2;PLA2G4C;GNG11;GABRB1;PTGS1;RAPGEF3;HTR2A;SLC18A2;SLC6A4;HTR5A;GNG10,extra_mouse_T1D
3,gsea,Phospholipase D signaling pathway,0.5510173246873309,2.49792767178751,0.0,0.0,0.0,43/128,24.64%,PLA2G4F;MS4A2;AVP;PLCB2;GRM2;GRM6;DGKI;GRM7;PTGFR;PLA2G4D;LPAR4;LPAR3;GRM5;GRM8;PIK3R6;CXCR1;ADCY5;ADCY8;LPAR5;KIT;PDGFD;ADCY1;PLA2G4E;PLA2G4A;PDGFRA;PDGFC;PDGFRB;CYTH4;AVPR1B;ADCY2;SHC3;PLD2;SYK;PLA2G4C;CXCR2;PIK3CG;RAPGEF3;EGF;AVPR2;GRM3;ADCY7;AVPR1A;GRM1,extra_mouse_T1D
4,gsea,Ras signaling pathway,0.49394639332127027,2.4794702901506014,0.0,0.0,0.0,66/192,27.04%,PLA2G4F;FGF23;NTF3;HTR7;FGF10;GNGT1;FLT3;PLA2G4D;ANGPT1;FGF5;FGF16;IGF2;FGF6;KIT;PDGFD;GNB3;PLA2G4E;PLA2G4A;PLA2G5;FGF20;FGFR3;PDGFRA;PDGFC;RASGRP3;FGF18;EFNA3;PDGFRB;GNG8;GRIN2B;PLA2G12B;PLA2G2C;IGF1;FGF21;NGFR;FGF2;PLCE1;RASGRP4;TEK;GRIN2A;GNGT2;SHC3;RAC2;GNG13;FGF17;PLD2;PLA2G4C;GNG11;HGF;NGF;FLT4;RASAL1;EGF;RAPGEF5;FGF22;FGF7;KDR;FGFR4;CALML4;PLA1A;PLA2G2D;GNG10;LAT;FLT1;SOS2;EPHA2;RASAL3,extra_mouse_T1D
5,gsea,Focal adhesion,0.48971980986100727,2.444428299998984,0.0,0.0,0.0,72/177,32.83%,MYL10;COL4A3;THBS2;COL4A6;TNC;MYL2;MYLK2;COL9A1;COL2A1;LAMA4;ITGB7;THBS4;LAMA1;ITGA11;LAMC3;ITGA8;MYLK3;LAMB2;PDGFD;TNN;COL1A1;COL6A2;PDGFRA;PDGFC;THBS3;PDGFRB;ITGB4;IGF1;VTN;COL6A5;CAV1;FLNC;LAMA2;MYLK;MYLK4;FN1;SHC3;VWF;RAC2;COL6A1;CHAD;COL1A2;PARVG;VAV1;ITGB6;ITGA7;HGF;FLT4;EGF;ERBB2;MYL9;LAMB3;KDR;FLT1;RELN;SOS2;LAMA5;MYL7;ITGA2B;ITGA5;COL4A5;ITGA10;COL4A4;COL4A2;CAV2;THBS1;VAV3;ITGA1;LAMB1;PARVB;PIK3CB;CAV3,extra_mouse_T1D
6,gsea,JAK-STAT signaling pathway,0.5256817141490943,2.435288198312086,0.0,0.0,0.0,49/113,33.85%,IL13RA2;IL5;IL5RA;IL12A;EPO;IFNG;IL22RA2;IL2RA;IFNE;IL22RA1;GFAP;CSF3;STAT4;IL21;EPOR;IL7R;IL4;IL2RG;IL21R;IL10RA;IL24;LEPR;IL2RB;IL12RB2;LEP;OSM;PDGFRA;PDGFRB;MPL;IL19;OSMR;IL7;IL15;IL10;EGF;TSLP;IL23R;LIF;IL20RA;SOS2;IL6;MTOR;CSF3R;IL20RB;IL23A;PIK3CB;SOCS1;IL17D;IL11,extra_mouse_T1D
7,gsea,Human papillomavirus infection,0.46222116866946944,2.4279815843028447,0.0,0.0,0.0,81/270,29.42%,COL4A3;THBS2;COL4A6;TBPL2;WNT16;ATP6V1E2;TNC;ATP6V0D2;WNT8B;COL9A1;COL2A1;LAMA4;WNT6;ITGB7;WNT8A;THBS4;LAMA1;WNT2B;ATP6V1B1;ITGA11;CCNA1;WNT7A;FZD10;HES2;LAMC3;ITGA8;WNT3A;LAMB2;WNT11;WNT7B;TNN;COL1A1;COL6A2;WNT2;THBS3;PDGFRB;ITGB4;CDK6;VTN;COL6A5;WNT10A;LAMA2;FN1;VWF;CREB3L4;COL6A1;CHAD;CREB3L3;COL1A2;TCF7;PTGS2;LFNG;ITGB6;FZD4;ITGA7;ATP6V1C2;WNT9A;EGF;FZD9;LAMB3;CCNA2;HEY2;RBPJL;HEY1;FZD2;RELN;SOS2;LAMA5;ITGA2B;ITGA5;COL4A5;ITGA10;COL4A4;COL4A2;CREB5;AXIN2;JAG1;ATP6V0A4;WNT10B;THBS1;MTOR,extra_mouse_T1D
8,gsea,Glutamatergic synapse,0.5851318446980502,2.426691228480565,0.0,0.0,0.0,46/99,25.30%,PLA2G4F;PLCB2;GRM2;GRIK1;SLC17A7;GRM6;GNGT1;GRIA1;GRM7;PLA2G4D;GRIA4;GRM5;GRM8;SLC1A7;SLC17A6;ADCY5;ADCY8;ADCY1;GNB3;PLA2G4E;PLA2G4A;GRIN3A;GNG8;GRIN2B;GRIK4;ADCY2;GRIN2A;GNGT2;GNG13;PLD2;SLC1A3;SLC1A2;KCNJ3;SLC1A6;PLA2G4C;GNG11;SLC38A1;HOMER2;GRIK2;GRIN3B;GRIA3;GRM3;ADCY7;GRM1;SLC17A8;GNG10,extra_mouse_T1D
9,gsea,Pathways in cancer,0.48158142694096345,2.410956996304187,0.0,0.0,0.0,164/440,31.62%,COL4A3;GLI1;COL4A6;FGF23;PAX8;PLCB2;NKX3-1;IL5;SHH;IL5RA;FGF10;LEF1;WNT16;MMP2;ZBTB16;RXRG;BIRC7;GNGT1;NOS2;IL12A;WNT8B;FLT3;LAMA4;HHIP;MGST2;EPO;IFNG;LPAR4;WNT6;LPAR3;ESR2;GLI2;CTNNA3;DCC;BMP4;WNT8A;IL2RA;LAMA1;WNT2B;FGF5;FGF16;IGF2;WNT7A;FZD10;LAMC3;SPI1;FGF6;WNT3A;STAT4;EPOR;ADCY5;ADCY8;LAMB2;IL7R;LPAR5;KIT;WNT11;IL4;WNT7B;IL2RG;PTGER2;ADCY1;GNB3;TRAF1;IL2RB;IL12RB2;SKP2;FGF20;WNT2;FGFR3;PDGFRA;KIF7;RASGRP3;RARB;FGF18;PDGFRB;GNG8;PTGER3;IGF1;CDK6;MMP9;FGF21;AR;ESR1;FGF2;ADCY2;WNT10A;RASGRP4;DAPK2;LAMA2;PMAIP1;GNGT2;FN1;CAMK2A;RAC2;IL7;GNG13;FGF17;IL15;BDKRB1;TCF7;PTGS2;GNG11;FZD4;HGF;FLT4;CXCR4;WNT9A;EGF;ERBB2;GLI3;FGF22;FZD9;TGFB2;FGF7;ADCY7;LAMB3;TGFBR2;FGFR4;CALML4;HEY2;FRAT2;EGLN3;PTGER1;IL23R;MGST1;GNG10;ALK;BIRC5;EDN1;HEY1;FZD2;DLL3;SMO;SOS2;EDNRA;LAMA5;ITGA2B;COL4A5;F2RL3;COL4A4;BMP2;IL6;COL4A2;EDNRB;BID;AXIN2;JAG1;WNT10B;PTCH2;MTOR;TGFB1;CSF3R;RUNX1;ETS1;F2R;PLCG2;SMAD3;LPAR1;FGFR2;CXCL12;LAMB1;IL23A;CSF1R,extra_mouse_T1D
