,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,Phospholipase D signaling pathway,0.5505563699844738,2.4954734657390842,0.0,0.0,0.0,44/128,25.14%,AVP;MS4A2;GRM2;PLA2G4F;PLCB2;LPAR3;GRM6;GRM7;PLA2G4D;CXCR1;DGKI;PTGFR;LPAR4;GRM8;GRM5;PDGFD;LPAR5;ADCY5;ADCY1;PDGFRA;KIT;PIK3R6;PLA2G4A;PDGFC;ADCY8;PIK3CG;EGF;CYTH4;AVPR1B;ADCY2;AVPR2;PLA2G4E;SYK;PDGFRB;PLA2G4C;CXCR2;RAPGEF3;SOS2;ADCY7;GRM3;PLD2;MTOR;GRM1;AVPR1A,extra_mouse_aged
1,gsea,PI3K-Akt signaling pathway,0.506186507028258,2.4614318360239604,0.0,0.0,0.0,122/289,30.68%,THBS2;COL4A6;CD19;FGF23;CHRM1;GNGT1;FGF10;LPAR3;ANGPT1;EPO;THBS4;TNC;EREG;EIF4E1B;COL9A1;COL2A1;LAMA4;FLT3;CHRM2;LPAR4;FGF16;LAMA1;CSF3;IL2RA;ITGA11;FGF5;IGF2;COL4A3;ITGB7;PDGFD;IL2RG;LPAR5;EPOR;NTF3;ITGA8;IL4;GNG8;LAMC3;PDGFRA;PCK1;TNN;LAMB2;FGF21;KIT;FGF20;PIK3R6;GNB3;IL7R;ITGB4;OSM;CDK6;EFNA3;PIK3AP1;PDGFC;THBS3;IGF1;PIK3CG;COL1A1;EGF;ITGB6;TEK;LAMA2;COL6A5;FGF6;FGF18;PKN3;FGF2;FN1;COL1A2;NGFR;LAMB3;IL2RB;IL7;COL6A2;VWF;SYK;CHAD;PDGFRB;CREB3L4;VTN;CREB3L3;GNG13;COL6A1;ITGA7;MYB;GNG11;GNG10;FGF17;GNGT2;NGF;ERBB4;FLT4;SOS2;FGFR4;TLR4;OSMR;FLT1;MTOR;FGFR3;THBS1;EPHA2;FGF7;KDR;FGF22;LAMA5;ITGA2B;RELN;COL4A4;ITGA10;CREB5;IL6;COL4A5;COL4A2;ITGA5;ERBB2;SGK1;HGF;LPAR1;FGFR2;CSF3R;LAMC2;F2R,extra_mouse_aged
2,gsea,Vascular smooth muscle contraction,0.5394248068617712,2.4585562969924197,0.0,0.0,0.0,56/110,33.17%,AVP;PLA2G4F;PLCB2;PTGIR;PLA2G4D;MYLK2;CACNA1S;ADRA1D;ADCY5;ADM;ADCY1;ACTG2;MYLK;MYLK3;NPPB;PLA2G4A;ADRA1A;PLA2G2C;ADRA1B;PLA2G5;NPPA;PRKCQ;KCNMB4;ADCY8;PLA2G12B;AVPR1B;ADCY2;ACTA2;CALCRL;PRKG1;PLA2G4E;CALCB;PLA2G4C;MYLK4;KCNMB3;EDN3;MYL9;NPPC;PLA2G2D;CALML4;NPR2;ADCY7;AVPR1A;NPR1;PPP1R14A;PRKCH;EDNRA;MYL6B;CACNA1D;CALCA;GUCY1A2;EDN1;EDN2;PLA2G1B;PRKCD;RAMP3,extra_mouse_aged
3,gsea,Glutamatergic synapse,0.5835314335801002,2.3962615619869014,0.0,0.0004412999843409683,0.001,46/99,24.99%,GRM2;PLA2G4F;GNGT1;SLC17A7;GRIA4;PLCB2;GRIK1;GRM6;GRM7;PLA2G4D;GRIA1;GRM8;SLC1A7;GRM5;ADCY5;GRIN3A;ADCY1;GNG8;GRIK4;SLC17A6;PLA2G4A;GNB3;GRIN2B;ADCY8;ADCY2;SLC38A1;GRIN2A;PLA2G4E;SLC1A6;PLA2G4C;KCNJ3;GNG13;GNG11;SLC1A3;SLC1A2;GNG10;GNGT2;GRIA3;GRIN3B;HOMER2;GRIK2;SLC17A8;ADCY7;GRM3;PLD2;GRM1,extra_mouse_aged
4,gsea,Salivary secretion,0.6069639153233887,2.391016089214531,0.0,0.00035303998747277464,0.001,27/61,23.20%,MUC5B;ADRB3;AQP5;PLCB2;ATP1A4;ATP2B3;BST1;ADRA1D;ADCY5;ADRB1;ADCY1;PRKG2;LPO;NOS1;ADRA1A;ADRA1B;KCNN4;ADCY8;RYR3;ADCY2;PRKG1;BEST2;CD38;CAMP;CALML4;ADCY7;ATP1A2,extra_mouse_aged
5,gsea,JAK-STAT signaling pathway,0.5275855513693973,2.373538402861987,0.0,0.00029419998956064554,0.001,40/113,24.98%,IL5RA;IL13RA2;IL22RA2;IFNE;EPO;IL5;IL12A;IFNG;LEPR;CSF3;IL2RA;GFAP;IL2RG;STAT4;EPOR;IL4;PDGFRA;IL21;IL12RB2;IL7R;OSM;EGF;IL22RA1;IL10RA;LEP;IL24;IL2RB;IL7;PDGFRB;IL19;IL10;IL15;MPL;SOS2;TSLP;IL21R;OSMR;IL20RA;MTOR;LIF,extra_mouse_aged
6,gsea,Serotonergic synapse,0.5335155344627831,2.3691473132028347,0.0,0.00025217141962341044,0.001,39/87,29.06%,HTR4;HTR7;PLA2G4F;GNGT1;HTR1F;PLCB2;PLA2G4D;ALOX15;HTR2B;CACNA1S;ADCY5;HTR3B;ALOX12;GNG8;HTR6;PLA2G4A;GNB3;HTR3A;KCND2;PLA2G4E;PLA2G4C;KCNJ3;GNG13;GNG11;GNG10;GNGT2;GABRB2;TPH1;GABRB1;SLC18A2;RAPGEF3;PTGS2;SLC6A4;PTGS1;HTR5A;HTR2A;TPH2;CYP4X1;CACNA1D,extra_mouse_aged
7,gsea,Wnt signaling pathway,0.4994922967490809,2.35966359592506,0.0,0.00022064999217048415,0.001,43/128,28.47%,MMP7;LEF1;SFRP2;PLCB2;WNT6;WNT16;NKD1;WNT8B;WNT8A;DKK2;RSPO1;WNT11;WNT7A;WNT7B;WNT3A;WNT2B;FZD10;WNT2;SFRP4;WNT10A;CER1;SFRP1;NOTUM;TCF7;CAMK2A;SOX17;FZD4;WNT9A;WIF1;DKK1;LGR5;DAAM2;RAC2;RSPO3;RSPO2;FRAT2;FZD9;PRICKLE4;FZD2;VANGL1;AXIN2;SMAD3;LGR6,extra_mouse_aged
8,gsea,Pathways in cancer,0.47704724739526416,2.34542348885859,0.0,0.00019613332637376368,0.001,174/440,32.94%,GLI1;COL4A6;PAX8;FGF23;IL5RA;SHH;LEF1;GNGT1;NKX3-1;FGF10;CTNNA3;PLCB2;LPAR3;DCC;WNT6;WNT16;ZBTB16;EPO;IL5;BIRC7;IL12A;HHIP;NOS2;GLI2;WNT8B;LAMA4;IFNG;FLT3;MGST2;PTGER2;RXRG;LPAR4;FGF16;BMP4;WNT8A;LAMA1;IL2RA;FGF5;IGF2;SPI1;ESR2;MMP2;COL4A3;WNT11;WNT7A;WNT7B;WNT3A;RASGRP3;WNT2B;FZD10;IL2RG;KIF7;LPAR5;ADCY5;STAT4;EPOR;ADCY1;WNT2;IL4;GNG8;LAMC3;PDGFRA;LAMB2;FGF21;IL12RB2;KIT;FGF20;MMP9;GNB3;IL7R;TRAF1;WNT10A;CDK6;ESR1;SKP2;IGF1;ADCY8;TCF7;PMAIP1;EGF;PTGER3;CAMK2A;LAMA2;AR;FGF6;FGF18;ADCY2;FGF2;FN1;RASGRP4;FZD4;RARB;WNT9A;LAMB3;IL2RB;IL7;PDGFRB;DAPK2;GNG13;GNG11;GNG10;FGF17;GNGT2;RAC2;IL15;FLT4;TGFB2;FRAT2;PTGER1;SOS2;FGFR4;PTGS2;CALML4;ALK;BDKRB1;ADCY7;FZD9;TGFBR2;EGLN3;GLI3;CXCR4;MGST1;MTOR;FGFR3;BIRC5;BID;FGF7;FZD2;PTCH2;DLL3;EDNRB;HEY2;HEY1;FGF22;LAMA5;ITGA2B;BMP2;EDNRA;JAG1;COL4A4;AXIN2;IL6;SMO;COL4A5;SMAD3;COL4A2;RUNX1;ERBB2;WNT10B;TGFB1;HGF;LPAR1;FGFR2;CXCL12;CSF3R;ETS1;LAMC2;F2R;EDN1;IL23R;GSTO2;F2RL3;GNG3;IL23A;FZD1;NQO1;CTBP2;TRAF5;CDK2;MLH1;LAMB1;BRCA2;FGF1;CSF1R,extra_mouse_aged
9,gsea,Transcriptional misregulation in cancer,0.48043878600625034,2.327807847506838,0.0,0.00017651999373638732,0.001,39/142,24.17%,MMP3;PAX8;PAX5;PAX3;HOXA9;TLX1;WNT16;ZBTB16;FLT3;BCL11B;RXRG;CCNA1;SPI1;ITGB7;FLI1;PLAU;MMP9;WT1;TRAF1;IGF1;PAX7;CEBPE;ERG;MPO;CD86;NGFR;LYL1;RUNX2;IL2RB;ITGAM;CD14;MAF;GRIA3;HPGD;ETV5;TGFBR2;ETV4;FLT1;HMGA2,extra_mouse_aged
