,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,Phospholipase D signaling pathway,0.5293606322079824,2.386454956871828,0.0,0.0,0.0,42/128,24.80%,AVP;MS4A2;GRM7;LPAR3;PLA2G4D;LPAR4;DGKI;PTGFR;GRM6;GRM5;GRM2;PLA2G4C;PIK3R6;SYK;GRM8;PLCB2;PLA2G4F;LPAR5;CXCR1;ADCY5;KIT;ADCY8;AVPR2;ADCY1;PDGFRA;GRM3;PLA2G4A;PDGFC;PDGFD;PDGFRB;CYTH4;ADCY2;SHC3;PLD2;AVPR1B;PIK3CG;CXCR2;RAPGEF3;ADCY7;EGF;SOS2;GRM1,extra_mouse_chem
1,gsea,PI3K-Akt signaling pathway,0.4794268875167236,2.335978722405563,0.0,0.0,0.0,131/289,34.46%,COL4A6;FGF23;THBS2;CD19;CHRM2;LPAR3;TNC;COL2A1;EREG;FLT3;COL9A1;EIF4E1B;LAMA4;LPAR4;EPO;FGF10;CHRM1;NTF3;THBS4;FGF16;PIK3R6;LAMA1;IL2RA;COL4A3;SYK;ITGA8;PCK1;FGF5;GNGT1;ITGB7;LPAR5;THBS3;KIT;IL4;CSF3;COL6A2;GNG11;GNB3;TNN;PKN3;PDGFRA;ITGA11;EPOR;IGF1;PDGFC;EFNA3;PDGFD;GNG8;ITGB4;IL7R;PDGFRB;PIK3AP1;FGF18;FGF20;IL2RB;OSM;CDK6;IGF2;LAMA2;ERBB2;LAMB2;VTN;NGFR;FGF2;GNG13;FGF21;IL2RG;COL6A5;TEK;COL1A1;VWF;CREB3L4;FGF17;IL7;NGF;COL6A1;FGFR3;CHAD;MYB;GNGT2;PIK3CG;CREB3L3;FGF6;TLR4;FGFR4;ANGPT1;ITGA7;ERBB4;COL1A2;FLT4;GNG10;LAMC3;LAMB3;HGF;ITGB6;FGF22;EGF;SOS2;FN1;ITGA10;EPHA2;FGF7;LAMA5;KDR;FLT1;OSMR;COL4A4;ITGA5;IL6;RELN;COL4A2;ITGA2B;COL4A5;MTOR;LPAR1;CSF3R;F2R;FGFR2;PIK3CB;ITGA1;CDK2;SGK1;GNG3;THBS1;LAMB1;CREB5;PPP2R5D;PIK3R5;GYS2;LAMC2;FGF1,extra_mouse_chem
2,gsea,Glutamatergic synapse,0.5614657929139321,2.2978496601686578,0.0,0.0,0.0,45/99,24.80%,SLC17A7;GRIK1;GRM7;PLA2G4D;GRIA1;GRM6;GRIA4;GRM5;GRM2;PLA2G4C;GRM8;GNGT1;PLCB2;SLC1A7;PLA2G4F;ADCY5;SLC17A6;ADCY8;GNG11;GNB3;ADCY1;GRM3;PLA2G4A;GRIK4;GNG8;GRIN3A;GRIN2B;SLC1A3;ADCY2;GNG13;SLC38A1;KCNJ3;GRIN2A;PLD2;GRIA3;GNGT2;SLC1A6;SLC1A2;GRIN3B;GNG10;GRIK2;HOMER2;ADCY7;SLC17A8;GRM1,extra_mouse_chem
3,gsea,Vascular smooth muscle contraction,0.5039273055109103,2.2744835200381632,0.0,0.0,0.0,49/110,29.36%,AVP;ADRA1D;PLA2G4D;MYLK2;PTGIR;PLA2G4C;CACNA1S;PLA2G2C;PLCB2;PLA2G4F;ADCY5;ADCY8;NPPB;ADCY1;NPPA;ADRA1B;ADRA1A;ACTG2;PLA2G5;PLA2G4A;PRKCQ;KCNMB4;MYLK3;ADCY2;PLA2G12B;CALCRL;ACTA2;KCNMB3;PRKG1;AVPR1B;NPPC;MYLK;MYLK4;CALCB;EDN3;MYL9;ADCY7;ADM;CALML4;NPR1;PLA2G2D;EDNRA;PPP1R14A;NPR2;PRKCH;EDN1;MYL6B;EDN2;GUCY1A2,extra_mouse_chem
4,gsea,Th1 and Th2 cell differentiation,0.5286808278101216,2.2393765437646387,0.0,0.0010144455920428983,0.003,23/68,27.19%,IL12A;IFNG;CD3D;CD3E;IL2RA;CD3G;GATA3;TBX21;IL12RB2;STAT4;IL4;PRKCQ;IL5;IL2RB;IL2RG;CD4;MAF;RUNX3;RBPJL;LAT;LCK;DLL3;JAG1,extra_mouse_chem
5,gsea,Serotonergic synapse,0.5062829281907912,2.228100946620332,0.0,0.0011271617689365535,0.004,41/87,32.61%,HTR4;PLA2G4D;HTR2B;HTR7;ALOX15;ALOX12;PLA2G4C;HTR3B;CACNA1S;GABRB2;GNGT1;PLCB2;PLA2G4F;ADCY5;GNG11;GNB3;HTR6;PLA2G4A;GNG8;HTR3A;GNG13;KCND2;PTGS2;KCNJ3;GNGT2;GABRB1;HTR1F;GNG10;RAPGEF3;PTGS1;SLC18A2;TPH1;SLC6A4;HTR2C;HTR2A;HTR5A;KCNJ5;TPH2;CYP4X1;PLA2G4E;GNG3,extra_mouse_chem
6,gsea,Calcium signaling pathway,0.5489229149984557,2.226975374115246,0.0,0.0009661386590884744,0.004,82/166,28.59%,HTR4;ADRA1D;RYR1;CHRM2;TACR2;NOS2;CCKBR;ATP2A1;HTR2B;MYLK2;HTR7;PTGFR;CHRM1;GRM5;CACNA1S;ADRB3;CYSLTR1;NTSR1;PLCB2;CHRM5;ATP2B3;PLCZ1;LHCGR;ADCY8;P2RX7;ADCY1;CCKAR;ADRA1B;ADRA1A;PDGFRA;HTR6;CACNA1E;OXTR;HRH1;MYLK3;P2RX1;PLCD3;ADRB1;PLN;PTGER3;PDGFRB;HRH2;ERBB2;ADCY2;P2RX6;GRPR;TNNC2;PLCE1;NOS1;GNA15;CAMK2A;SLC8A3;GRIN2A;TPCN2;AVPR1B;BDKRB1;CD38;MYLK;PTGER1;MYLK4;RYR3;ERBB4;CACNA1G;PDE1B;P2RX2;P2RX3;TACR3;CXCR4;ADCY7;CALML4;SLC25A31;GRM1;CACNA1H;PLCD1;EDNRA;EDNRB;TACR1;PDE1A;HTR2C;HTR2A;HTR5A;SPHK1,extra_mouse_chem
7,gsea,Pathways in cancer,0.45129500541219764,2.2059025087729034,0.0,0.001268056990053623,0.006,200/440,39.19%,COL4A6;FGF23;GLI1;SHH;NKX3-1;WNT8A;WNT16;NOS2;IL12A;LPAR3;ZBTB16;BIRC7;ESR2;FLT3;WNT8B;LAMA4;IFNG;HHIP;MGST2;LPAR4;EPO;FGF10;WNT6;GLI2;CTNNA3;LEF1;DCC;FGF16;LAMA1;IL2RA;WNT3A;WNT2;COL4A3;PAX8;BMP4;FZD10;FGF5;GNGT1;IL12RB2;PLCB2;STAT4;WNT7B;LPAR5;ADCY5;KIT;IL4;WNT10A;ADCY8;GNG11;RARB;IL5RA;TRAF1;WNT7A;SPI1;GNB3;ADCY1;PMAIP1;PDGFRA;EPOR;IGF1;MMP2;GNG8;IL5;MMP9;PTGER3;IL7R;ESR1;PDGFRB;KIF7;FGF18;FGF20;IL2RB;AR;CDK6;IGF2;LAMA2;ERBB2;LAMB2;WNT2B;ADCY2;FGF2;GNG13;FGF21;IL2RG;RAC2;RASGRP4;PTGS2;CAMK2A;FGF17;RASGRP3;IL15;IL7;SKP2;FGFR3;DAPK2;WNT11;GNGT2;BDKRB1;RXRG;FGF6;FGFR4;PTGER1;WNT9A;PTGER2;TGFB2;EGLN3;IL23R;TCF7;FLT4;GNG10;LAMC3;LAMB3;HGF;FZD9;CXCR4;ADCY7;TGFBR2;FGF22;CALML4;EGF;SOS2;GLI3;FZD4;F2RL3;FN1;PTCH2;FZD2;FRAT2;BIRC5;FGF7;HEY1;EDNRA;DLL3;LAMA5;BID;SMO;TGFB1;EDNRB;ALK;MGST1;JAG1;COL4A4;BMP2;SMAD3;IL6;EDN1;COL4A2;ITGA2B;COL4A5;TRAF5;WNT10B;RUNX1;MTOR;LPAR1;CSF3R;ETS1;F2R;AXIN2;FGFR2;PIK3CB;CXCL12;IL23A;CDK2;PLCG2;GNG3;MLH1;FZD1;LAMB1;GNAI1;TRAF2;MSH2;LAMC2;FGF1;RASGRP2;BRCA2;GSTO2;HEYL;MECOM;NTRK1;RAD51;EPAS1;LAMA3;NOTCH2;NOTCH3;GNG7;TGFB3;APC2;IL12RB1;WNT5A;CTBP2;PIK3CD;RARA;HEY2;CSF1R;CRK;PDGFB;LAMC1;NQO1;F2;FZD6,extra_mouse_chem
8,gsea,Cell adhesion molecules (CAMs),0.6248606662183356,2.203556716011835,0.0,0.0013150220637593124,0.007,54/98,27.23%,TIGIT;CLDN16;CD6;CD40LG;CD8A;ICOS;CD226;CLDN4;CLDN14;CLDN10;CD80;LRRC4C;ITGA8;CD2;ITGB7;ESAM;CNTN2;CLDN8;CLDN19;SELL;CLDN5;SELPLG;SELE;SELP;CLDN15;CTLA4;PDCD1LG2;VTCN1;CDH3;CDH15;ITGAL;CLDN9;NTNG2;CADM3;CD28;CD86;NCAM2;NRXN2;CLDN18;NTNG1;CLDN2;CD4;VCAM1;ICAM2;SDC1;CD22;NRXN3;ITGAM;CDH5;VCAN;NLGN1;MAG;CD34;LRRC4B,extra_mouse_chem
9,gsea,Ras signaling pathway,0.4449228262344928,2.1773749920673136,0.0,0.0016907426534048303,0.01,72/192,32.61%,FGF23;FLT3;PLA2G4D;FGF10;HTR7;NTF3;FGF16;PLA2G4C;PLA2G2C;FGF5;GNGT1;PLA2G4F;KIT;GNG11;GNB3;PDGFRA;IGF1;PLA2G5;PLA2G4A;PDGFC;EFNA3;PDGFD;GNG8;GRIN2B;PDGFRB;FGF18;FGF20;IGF2;PLA2G12B;NGFR;FGF2;GNG13;FGF21;RAC2;TEK;PLCE1;SHC3;RASGRP4;FGF17;RASGRP3;GRIN2A;PLD2;NGF;FGFR3;RAPGEF5;GNGT2;FGF6;FGFR4;ANGPT1;FLT4;GNG10;HGF;FGF22;CALML4;EGF;SOS2;PLA2G2D;LAT;EPHA2;FGF7;KDR;RASAL1;FLT1;RASAL3;PLA1A;ETS1;RIN1;FGFR2;PIK3CB;PLA2G4E;PLCG2;GNG3,extra_mouse_chem
