,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,JAK-STAT signaling pathway,0.5798714046090759,2.664168029814937,0.0,0.0,0.0,33/113,16.48%,IL13RA2;IL19;IL5RA;IL5;IL21R;OSMR;IL22RA2;IL12A;IFNG;EPO;GFAP;IFNE;IL24;IL23R;IL2RA;IL15;EPOR;IL10RA;CSF3;OSM;IL22RA1;IL2RB;STAT4;IL12RB2;LEPR;IL7R;LEP;IL2RG;IL21;IL4;PDGFRA;MPL;PDGFRB,train_adata_baseline
1,gsea,PI3K-Akt signaling pathway,0.5308861710917032,2.66225702583962,0.0,0.0,0.0,104/289,25.29%,COL4A3;COL4A6;FGF23;THBS2;CD19;NTF3;CHRM2;GNGT1;FGF10;CHRM1;OSMR;TNC;LPAR3;THBS4;FLT3;EREG;COL2A1;COL9A1;EIF4E1B;LAMA4;LPAR4;EPO;FGF16;COL6A2;PIK3R6;LAMA1;COL1A1;FGF5;ITGB7;IL2RA;ANGPT1;ITGA11;ITGA8;IGF2;LAMC3;PCK1;EPOR;FGF6;PKN3;CSF3;OSM;LAMB2;IL2RB;FGFR3;IL7R;THBS3;IL2RG;PDGFD;SYK;LPAR5;KIT;FN1;IL4;PDGFRA;GNG11;CDK6;FGF7;PDGFRB;COL1A2;TNN;PIK3AP1;GNG13;GNB3;VWF;FGF21;FGF18;GNG8;IGF1;EFNA3;FGF20;ERBB2;ITGB4;COL4A5;PDGFC;ITGB6;FGF17;KDR;PIK3CG;CREB3L4;VTN;ITGA10;COL6A5;TEK;NGFR;HGF;FGF2;LAMA2;NGF;IL7;ERBB4;LAMB3;CHAD;COL6A1;ITGA7;MYB;EGF;GNGT2;FGFR4;TLR4;CREB3L3;FGF22;RELN;FLT1;FLT4,train_adata_baseline
2,gsea,Vascular smooth muscle contraction,0.5616933364349957,2.569627144198866,0.0,0.0,0.0,46/110,26.72%,ACTG2;ADRA1D;AVP;PLA2G4F;PLA2G4E;PLCB2;CACNA1S;KCNMB3;MYLK2;PLA2G4D;PTGIR;PLA2G4C;AVPR1A;PLA2G2C;PRKCH;PLA2G12B;ADCY5;AVPR1B;MYLK3;ADCY1;ADCY8;PLA2G4A;MYLK4;NPPB;ADRA1A;ADRA1B;PLA2G5;PRKCQ;KCNMB4;NPPA;MYLK;NPPC;CALCRL;ADM;CALCB;ADCY2;MYL9;ACTA2;PRKG1;MYL6B;EDN3;GUCY1A2;NPR2;CALML4;ADCY7;PLA2G2D,train_adata_baseline
3,gsea,Phospholipase D signaling pathway,0.5576137693051129,2.562842559951282,0.0,0.0,0.0,44/128,27.53%,MS4A2;AVP;PLA2G4F;PLA2G4E;PLCB2;GRM7;LPAR3;GRM5;PTGFR;DGKI;PLA2G4D;LPAR4;GRM6;GRM2;PIK3R6;CXCR1;GRM3;GRM8;PLA2G4C;AVPR2;AVPR1A;SHC3;ADCY5;AVPR1B;PDGFD;SYK;LPAR5;KIT;ADCY1;ADCY8;PLA2G4A;PDGFRA;PDGFRB;PDGFC;PIK3CG;ADCY2;CYTH4;PLD2;EGF;CXCR2;RAPGEF3;ADCY7;GRM1;PLCG2,train_adata_baseline
4,gsea,Serotonergic synapse,0.5727703961377717,2.5425938629646407,0.0,0.0,0.0,37/87,27.12%,HTR4;PLA2G4F;HTR7;PLA2G4E;PLCB2;CACNA1S;GNGT1;GABRB2;HTR3A;ALOX12;HTR2B;ALOX15;PLA2G4D;HTR1F;HTR2C;TPH1;HTR5A;HTR3B;PLA2G4C;KCND2;ADCY5;HTR2A;PLA2G4A;GNG11;HTR6;GNG13;GNB3;GNG8;PTGS2;KCNJ3;GNGT2;RAPGEF3;GABRB1;PTGS1;GNG10;SLC18A2;SLC6A4,train_adata_baseline
5,gsea,Focal adhesion,0.4977539193690995,2.493112346842553,0.0,0.0,0.0,68/177,30.93%,COL4A3;MYL10;COL4A6;THBS2;CAV3;TNC;THBS4;MYL2;MYLK2;COL2A1;COL9A1;LAMA4;COL6A2;LAMA1;COL1A1;ITGB7;ITGA11;FLNC;ITGA8;LAMC3;PARVG;SHC3;LAMB2;THBS3;PDGFD;MYLK3;FN1;PDGFRA;CAV1;MYLK4;PDGFRB;COL1A2;TNN;VWF;IGF1;ERBB2;ITGB4;COL4A5;PDGFC;ITGB6;KDR;MYLK;VTN;ITGA10;COL6A5;RAC2;HGF;MYL9;LAMA2;LAMB3;CHAD;COL6A1;ITGA7;EGF;RELN;FLT1;VAV1;FLT4;CAV2;MYL7;LAMA5;ITGA2B;SOS2;COL4A4;ITGA5;THBS1;COL4A2;LAMB1,train_adata_baseline
6,gsea,Wnt signaling pathway,0.5199317444210216,2.486194779438043,0.0,0.0,0.0,41/128,27.62%,MMP7;LEF1;SFRP1;PLCB2;WNT16;WNT8A;WNT6;SFRP2;NKD1;WNT8B;RSPO1;WNT7A;WNT2B;WNT3A;RSPO2;WNT11;SFRP4;FZD10;DAAM2;WNT7B;RSPO3;DKK2;WNT2;TCF7;LGR5;WNT10A;NOTUM;WNT9A;CER1;FZD4;SOX17;RAC2;CAMK2A;DKK1;WIF1;LGR6;FRAT2;PRICKLE4;FZD9;VANGL1;AXIN2,train_adata_baseline
7,gsea,Ras signaling pathway,0.4983469635166433,2.482071750870735,0.0,0.0,0.0,65/192,27.59%,FGF23;PLA1A;PLA2G4F;HTR7;NTF3;PLA2G4E;GNGT1;FGF10;FLT3;PLA2G4D;FGF16;FGF5;ANGPT1;IGF2;PLA2G4C;FGF6;PLA2G2C;SHC3;FGFR3;PLA2G12B;PDGFD;KIT;PLA2G4A;GRIN2B;PDGFRA;GNG11;RASGRP3;FGF7;PDGFRB;GNG13;GNB3;FGF21;FGF18;GNG8;PLA2G5;IGF1;EFNA3;FGF20;PDGFC;FGF17;KDR;GRIN2A;RAPGEF5;RAC2;TEK;PLD2;NGFR;HGF;FGF2;NGF;PLCE1;RASGRP4;EGF;RASAL1;GNGT2;FGFR4;FGF22;FLT1;FLT4;GNG10;CALML4;PLA2G2D;LAT;PLCG2;RASAL3,train_adata_baseline
8,gsea,Inflammatory mediator regulation of TRP channels,0.5805442240518333,2.43042693350973,0.0,0.0,0.0,29/81,21.77%,TRPM8;PLA2G4F;P2RY2;PLA2G4E;PLCB2;ASIC3;ASIC4;ALOX12;HTR2B;PLA2G4D;HTR2C;PLA2G4C;HRH1;PTGER2;TRPV3;PRKCH;TRPV4;ADCY5;HTR2A;ADCY1;ADCY8;PLA2G4A;TRPA1;IGF1;PRKCQ;ADCY2;NGF;CAMK2A;BDKRB1,train_adata_baseline
9,gsea,Pathways in cancer,0.48464269023517453,2.4288422825152804,0.0,0.0,0.0,171/440,33.69%,COL4A3;GLI1;COL4A6;FGF23;IL5RA;PAX8;IL5;LEF1;PLCB2;GNGT1;MMP2;NKX3-1;SHH;FGF10;WNT16;WNT8A;WNT6;IL12A;ZBTB16;NOS2;BIRC7;LPAR3;RXRG;FLT3;WNT8B;IFNG;LAMA4;LPAR4;MGST2;HHIP;EPO;CTNNA3;FGF16;DCC;LAMA1;WNT7A;WNT2B;GLI2;WNT3A;FGF5;IL23R;IL2RA;BMP4;ESR2;SPI1;IGF2;WNT11;LAMC3;IL15;PTGER2;RARB;SKP2;EPOR;FGF6;FZD10;TRAF1;WNT7B;LAMB2;IL2RB;STAT4;IL12RB2;FGFR3;ADCY5;WNT2;IL7R;IL2RG;HEY2;TCF7;LPAR5;KIT;ADCY1;ADCY8;FN1;IL4;PDGFRA;GNG11;CDK6;RASGRP3;FGF7;PDGFRB;KIF7;WNT10A;GNG13;GNB3;FGF21;FGF18;GNG8;MMP9;IGF1;PMAIP1;FGF20;ERBB2;COL4A5;FGF17;PTGER3;ESR1;WNT9A;PTGS2;FZD4;AR;DAPK2;ALK;NOTCH3;RAC2;ADCY2;HGF;FGF2;LAMA2;CAMK2A;BDKRB1;RASGRP4;IL7;F2RL3;LAMB3;PTGER1;EGF;GNGT2;FGFR4;FGF22;MGST1;EGLN3;TGFB2;FLT4;GLI3;GNG10;FRAT2;CALML4;TGFBR2;FZD9;CXCR4;ADCY7;BIRC5;PLCG2;AXIN2;EDNRA;PTCH2;LAMA5;FZD2;ITGA2B;HEY1;DLL3;JAG1;SMO;EDNRB;BID;SOS2;COL4A4;RUNX1;BMP2;EDN1;IL6;SMAD3;COL4A2;MTOR;LAMB1;CSF1R;TGFB1;NQO1;CXCL12;GSTO2;WNT10B;FGFR2;CSF3R;ETS1;F2R;PIK3CB;GSTM4;TRAF5;WNT5A;MLH1;RAD51,train_adata_baseline
