,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.571259417905089,2.9091371585106516,0.0,0.0,0.0,99/289,24.44%,ITGA8;FGF16;FGF10;LAMA1;OSM;THBS4;FGF5;NTF3;PIK3R6;PDGFRA;ANGPT1;LPAR3;CHRM2;CD19;TNC;EPO;EIF4E1B;COL2A1;LAMA4;FLT3;EREG;GNGT1;LPAR4;LAMC3;THBS2;FGF23;COL4A6;CHRM1;IL2RG;COL1A1;ITGB7;FGF6;PDGFD;FGFR3;COL6A2;CSF3;COL4A3;IL7R;IL2RA;PCK1;LAMB2;PKN3;ITGA11;LPAR5;IGF2;EPOR;FGF17;TNN;IL4;GNB3;PDGFC;COL1A2;GNG11;PIK3AP1;COL9A1;FGF18;GNG8;ITGB4;EFNA3;ERBB4;FGF21;VTN;OSMR;PDGFRB;KIT;NGFR;FGF20;TLR4;FGF7;ERBB2;FGF2;IGF1;HGF;TEK;CREB3L3;GNG13;COL6A5;ITGB6;LAMA2;VWF;GNGT2;SYK;IL7;FN1;CREB3L4;COL6A1;MYB;COL4A5;CHAD;KDR;ITGA7;EGF;IL2RB;FLT4;PIK3CG;CDK6;RELN;NGF;ITGA5,combination
1,gsea,Serotonergic synapse,0.6151894578873807,2.834354793227189,0.0,0.0,0.0,34/87,23.02%,PLA2G4D;HTR3B;ALOX12;HTR2A;HTR7;PLA2G4E;HTR2B;GNGT1;HTR4;ALOX15;GABRB2;CACNA1S;HTR2C;PLA2G4F;HTR1F;HTR3A;PLA2G4A;KCND2;TPH1;ADCY5;PLCB2;HTR6;GNB3;GNG11;PLA2G4C;HTR5A;GNG8;GNG13;PTGS1;GNGT2;PTGS2;RAPGEF3;KCNJ3;GABRB1,combination
2,gsea,JAK-STAT signaling pathway,0.6093133399680798,2.7947638079478625,0.0,0.0,0.0,32/113,18.37%,IL24;IL21R;OSM;IL19;IFNE;IL5RA;IFNG;PDGFRA;EPO;IL12A;IL22RA2;IL22RA1;IL13RA2;IL12RB2;IL2RG;IL15;MPL;LEPR;IL23R;CSF3;IL7R;GFAP;IL2RA;IL5;IL21;STAT4;EPOR;IL4;LEP;IL10RA;OSMR;PDGFRB,combination
3,gsea,Phospholipase D signaling pathway,0.6082409361676195,2.7844414687747996,0.0,0.0,0.0,41/128,23.56%,PLA2G4D;CXCR1;AVPR2;AVP;PIK3R6;PLA2G4E;GRM2;GRM6;PDGFRA;GRM3;LPAR3;PTGFR;GRM5;DGKI;LPAR4;MS4A2;GRM7;PDGFD;GRM8;PLA2G4F;SHC3;AVPR1B;PLA2G4A;ADCY5;LPAR5;ADCY8;PLCB2;PDGFC;ADCY1;PLA2G4C;PDGFRB;KIT;CYTH4;AVPR1A;PLD2;ADCY2;SYK;RAPGEF3;EGF;CXCR2;PIK3CG,combination
4,gsea,Chemokine signaling pathway,0.5673574271350376,2.7724879337128225,0.0,0.0,0.0,43/139,23.56%,CXCR1;CCR4;ITK;FGR;PIK3R6;CCR3;CCR6;CCL17;CCL20;GNGT1;CXCR3;CCR9;XCR1;DOCK2;CCL19;WAS;CXCL14;PPBP;SHC3;HCK;CX3CR1;CXCR6;ADCY5;ADCY8;PLCB2;GNB3;ADCY1;GNG11;CXCL9;GNG8;CCL24;CCR7;RAC2;NCF1;GNG13;ADCY2;GNGT2;CCL22;CXCR4;VAV1;CXCL13;CXCR2;PIK3CG,combination
5,gsea,Wnt signaling pathway,0.5786371701950132,2.768875317526693,0.0,0.0,0.0,35/128,21.45%,SFRP2;LEF1;RSPO2;WNT6;MMP7;WNT8A;WNT16;WNT2;WNT8B;NKD1;RSPO1;WNT11;WNT3A;WNT7A;SFRP1;RSPO3;FZD10;WNT7B;DAAM2;DKK2;TCF7;WNT10A;LGR5;WNT2B;PLCB2;FZD4;NOTUM;CER1;SOX17;SFRP4;RAC2;WNT9A;WIF1;DKK1;CAMK2A,combination
6,gsea,Adrenergic signaling in cardiomyocytes,0.548951185506225,2.759394939564267,0.0,0.0,0.0,38/126,23.71%,MYH6;TNNT2;CACNG8;ATP2B3;KCNE1;PIK3R6;AGTR2;MYL2;ATP1A4;TNNI3;SCN5A;ADRB1;ADRA1D;CACNG5;PLN;SCN4B;CACNA1S;SCN7A;CACNG1;CACNG7;ADCY5;MYL3;ADCY8;PLCB2;ADCY1;ADRA1B;ATP1A2;ADRA1A;CACNG6;CACNG2;MYH7;CREB3L3;ADCY2;CREB3L4;CAMK2A;RAPGEF3;PIK3CG;RYR2,combination
7,gsea,Transcriptional misregulation in cancer,0.5600556198740271,2.7542346326711704,0.0,0.0,0.0,40/142,25.91%,MPO;PAX8;CCNA1;TLX1;HOXA9;WNT16;RXRG;PAX3;ZBTB16;BCL11B;FLT3;WT1;PAX5;MMP3;ITGB7;MMP9;PAX7;SPI1;TRAF1;FLI1;PLAU;CEBPE;NGFR;ERG;ITGAM;IGF1;ETV4;LYL1;RUNX2;CD86;SLC45A3;CD14;GRIA3;MAF;IL2RB;CD40;HPGD;PTCRA;TGFBR2;HMGA2,combination
8,gsea,Ras signaling pathway,0.5431644755519925,2.7438300350075497,0.0,0.0,0.0,64/192,27.50%,PLA2G4D;FGF16;FGF10;FGF5;NTF3;HTR7;PLA2G4E;PDGFRA;ANGPT1;PLA2G12B;FLT3;GNGT1;FGF23;FGF6;PDGFD;FGFR3;PLA2G4F;SHC3;RASGRP3;PLA2G4A;IGF2;FGF17;PLA2G5;GNB3;PDGFC;GNG11;PLA2G4C;FGF18;GNG8;EFNA3;FGF21;PDGFRB;KIT;NGFR;FGF20;GRIN2B;FGF7;FGF2;RAC2;IGF1;HGF;PLD2;TEK;GRIN2A;PLCE1;GNG13;RASGRP4;GNGT2;PLA2G2C;KDR;RASAL1;EGF;FLT4;PLA1A;NGF;RAPGEF5;FGF22;PLA2G2D;CALML4;TIAM1;FGFR4;EPHA2;SOS2;LAT,combination
9,gsea,Proteoglycans in cancer,0.5195606684604934,2.7310208040177177,0.0,0.0,0.0,55/176,27.32%,LUM;HOXD10;WNT6;MMP2;WNT8A;SHH;WNT16;WNT2;WNT8B;WNT11;COL1A1;DCN;HPSE2;WNT3A;WNT7A;MMP9;FZD10;WNT7B;GPC3;IGF2;WNT10A;WNT2B;CAV1;FZD4;PLAU;CAV3;COL1A2;ERBB4;TWIST1;VTN;ESR1;TLR4;ERBB2;FGF2;IGF1;HGF;WNT9A;HCLS1;FLNC;PLCE1;IHH;FN1;CAMK2A;KDR;SDC1;FZD9;ITGA5;TGFB2;THBS1;SMO;TIMP3;FZD2;TIAM1;HSPG2;SOS2,combination
10,gsea,Focal adhesion,0.5333837898707336,2.7272748427401305,0.0,0.0,0.0,69/177,31.87%,ITGA8;LAMA1;THBS4;PDGFRA;TNC;COL2A1;MYL2;LAMA4;MYLK2;LAMC3;THBS2;COL4A6;COL1A1;ITGB7;PARVG;PDGFD;COL6A2;MYL10;COL4A3;SHC3;LAMB2;MYLK4;ITGA11;TNN;CAV1;PDGFC;CAV3;COL1A2;MYLK3;COL9A1;ITGB4;VTN;MYLK;PDGFRB;ERBB2;RAC2;IGF1;HGF;FLNC;COL6A5;ITGB6;LAMA2;VWF;FN1;COL6A1;COL4A5;CHAD;VAV1;KDR;ITGA7;EGF;FLT4;RELN;ITGA5;THBS1;LAMB3;MYL7;SOS2;MYL9;COL4A4;CAV2;COL4A2;LAMB1;FLT1;ITGA2B;LAMA5;THBS3;VAV3;ITGA1,combination
11,gsea,cAMP signaling pathway,0.5476699723204241,2.7191937704470357,0.0,0.0,0.0,74/184,28.86%,FSHR;ATP2B3;GRIA1;TSHR;GRIA4;CHRM2;PPP1R1B;HHIP;ADCYAP1;ATP1A4;SSTR5;HTR4;TNNI3;CHRM1;ADRB1;CGA;GLI1;PLN;CACNA1S;PTGER2;CNGA3;HTR1F;GIP;GRIN3A;CFTR;SSTR2;ADCY5;ARAP3;ADCY8;HTR6;ADCY1;ATP1A2;AMH;CNGA4;DRD2;NPPA;PTGER3;ADCYAP1R1;ADCY10;GRIN2B;RAC2;CNGA1;PLD2;CREB3L3;GRIN2A;PLCE1;SUCNR1;ADCY2;CREB3L4;CAMK2A;SSTR1;GRIA3;VAV1;RAPGEF3;GRIN2D;EDN3;OXTR;NPY1R;GHRL;RYR2;GRIN3B;FXYD1;GLI3;ADCY7;VIPR2;VIP;CALML4;TIAM1;CNGB1;MYL9;EDNRA;PDE3A;ATP1A3;PDE4C,combination
12,gsea,cGMP-PKG signaling pathway,0.5394355324401933,2.7159218898821478,0.0,0.0,0.0,49/141,28.39%,PDE2A;ATP2B3;PIK3R6;KCNJ8;KCNMB3;ADRA2B;MYLK2;ATP2A1;ATP1A4;OPRD1;ADRB3;ADRB1;ADRA1D;ADRA2C;SLC8A3;PLN;CACNA1S;PRKG2;ADCY5;MYLK4;ADCY8;PLCB2;NPPB;ADCY1;ADRA1B;TRPC6;ATP1A2;MYLK3;ADRA1A;NPPC;KCNMB4;MYH7;NPPA;MYLK;CNGA1;CREB3L3;ADCY2;PRKG1;CREB3L4;SLC25A31;PIK3CG;ADCY7;CALML4;CNGB1;MYL9;EDNRA;PDE3A;EDNRB;ATP1A3,combination
