,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,Phospholipase D signaling pathway,0.5678862625814521,2.5884357919291823,0.0,0.0,0.0,43/128,25.77%,GRM3;MS4A2;AVPR2;AVP;PDGFD;GRM7;PTGFR;DGKI;LPAR4;PLA2G4D;GRM5;LPAR3;GRM6;PLA2G4C;PIK3R6;PLCB2;PLA2G4E;PDGFRA;PLA2G4F;CXCR1;SYK;KIT;GRM8;GRM2;SHC3;ADCY5;PDGFRB;PLA2G4A;LPAR5;ADCY1;AVPR1B;PDGFC;CYTH4;ADCY8;PLD2;AVPR1A;ADCY2;RAPGEF3;CXCR2;PIK3CG;EGF;ADCY7;GRM1,embedding_top30_mouse
1,gsea,PI3K-Akt signaling pathway,0.5129325045411147,2.5612646595199116,0.0,0.0,0.0,117/289,30.13%,COL4A3;FGF23;CHRM2;COL4A6;THBS2;COL9A1;CD19;FGF10;THBS4;FGF16;PDGFD;TNC;COL2A1;LAMA4;LPAR4;EREG;FLT3;EIF4E1B;EPO;LPAR3;LAMA1;PIK3R6;ITGA8;NTF3;ITGB7;PKN3;GNGT1;LAMB2;PDGFRA;COL6A2;CHRM1;IL2RA;SYK;KIT;OSM;FGF5;FGF6;GNG11;PCK1;COL1A1;GNG13;FGF18;ITGA11;CDK6;IGF2;PDGFRB;CSF3;FGF17;IL7R;LPAR5;IL4;COL1A2;THBS3;OSMR;GNB3;IL2RB;TNN;PIK3AP1;PDGFC;FGF21;ANGPT1;ITGB4;IL2RG;GNG8;IGF1;EPOR;ERBB2;VTN;EFNA3;CREB3L4;FN1;NGFR;VWF;LAMC3;HGF;LAMA2;FGF20;FGF2;TLR4;TEK;ERBB4;FGF22;COL6A5;IL7;NGF;KDR;COL6A1;MYB;GNGT2;ITGB6;CHAD;CREB3L3;ITGA7;LAMB3;FGFR4;PIK3CG;FGF7;FLT4;ITGA10;COL4A5;EGF;LAMA5;ITGA5;RELN;GNG10;FLT1;CREB5;ITGA2B;EPHA2;FGFR3;COL4A4;SOS2;IL6;MTOR;COL4A2;LPAR1;THBS1,embedding_top30_mouse
2,gsea,Serotonergic synapse,0.5647313306631452,2.559680299435524,0.0,0.0,0.0,37/87,26.72%,ALOX12;HTR4;GABRB2;CACNA1S;HTR2B;PLA2G4D;HTR7;PLA2G4C;HTR1F;PLCB2;PLA2G4E;HTR3B;HTR2C;GNGT1;ALOX15;HTR2A;PLA2G4F;GNG11;GNG13;ADCY5;HTR3A;PLA2G4A;HTR6;GNB3;KCND2;GNG8;PTGS2;TPH1;KCNJ3;GNGT2;GABRB1;RAPGEF3;HTR5A;PTGS1;SLC18A2;SLC6A4;GNG10,embedding_top30_mouse
3,gsea,Glutamatergic synapse,0.5960272811148661,2.490503811575868,0.0,0.0,0.0,51/99,28.58%,GRM3;GRIK1;GRM7;PLA2G4D;GRM5;GRM6;GRIA4;SLC17A7;PLA2G4C;PLCB2;PLA2G4E;GNGT1;PLA2G4F;SLC1A7;GRM8;GRIA1;SLC17A6;GRM2;GNG11;GNG13;SLC1A3;ADCY5;GRIK4;GRIN2B;PLA2G4A;GNB3;ADCY1;GRIN3A;ADCY8;GNG8;PLD2;SLC38A1;ADCY2;GRIK2;KCNJ3;GRIN2A;SLC1A2;SLC1A6;GNGT2;GRIN3B;HOMER2;GRIA3;SLC1A1;ADCY7;GRM1;GNG10;SLC17A8;GRIN2D;SHANK2;HOMER3;GRIK3,embedding_top30_mouse
4,gsea,Focal adhesion,0.4952343581727784,2.4708034882357834,0.0,0.0,0.0,67/177,30.13%,MYL10;COL4A3;COL4A6;THBS2;COL9A1;THBS4;PDGFD;TNC;COL2A1;MYLK2;LAMA4;MYL2;LAMA1;ITGA8;ITGB7;FLNC;LAMB2;PDGFRA;COL6A2;CAV3;PARVG;SHC3;COL1A1;ITGA11;PDGFRB;COL1A2;THBS3;TNN;PDGFC;CAV1;RAC2;ITGB4;MYLK3;IGF1;ERBB2;VTN;FN1;MYLK4;VWF;LAMC3;HGF;LAMA2;COL6A5;KDR;COL6A1;ITGB6;MYLK;CHAD;ITGA7;LAMB3;MYL9;FLT4;ITGA10;COL4A5;EGF;LAMA5;ITGA5;RELN;CAV2;FLT1;ITGA2B;VAV1;MYL7;COL4A4;SOS2;COL4A2;THBS1,embedding_top30_mouse
5,gsea,Vascular smooth muscle contraction,0.5418393719856969,2.466367609778365,0.0,0.0,0.0,47/110,28.46%,ADRA1D;KCNMB3;AVP;CACNA1S;ACTG2;MYLK2;PLA2G4D;PLA2G4C;PLCB2;PLA2G4E;PLA2G2C;PLA2G12B;PLA2G4F;PTGIR;ADCY5;PLA2G5;PRKCQ;NPPB;PLA2G4A;ADRA1B;ADCY1;KCNMB4;ADRA1A;AVPR1B;NPPA;ADCY8;MYLK3;MYLK4;AVPR1A;NPPC;ACTA2;ADCY2;CALCB;CALCRL;ADM;PRKG1;MYLK;MYL9;EDN3;PRKCH;ADCY7;PLA2G2D;CALML4;NPR2;EDNRA;PPP1R14A;MYL6B,embedding_top30_mouse
6,gsea,JAK-STAT signaling pathway,0.5411825379028395,2.4537808978582993,0.0,0.0,0.0,43/113,29.34%,IL21R;IL13RA2;IL19;GFAP;IL23R;IL24;IFNG;EPO;IL12A;IL22RA2;IL15;IL12RB2;IL5;IFNE;IL5RA;PDGFRA;IL2RA;OSM;IL21;LEP;STAT4;PDGFRB;CSF3;IL22RA1;IL7R;MPL;IL4;OSMR;IL2RB;IL2RG;EPOR;LEPR;IL7;IL10RA;IL10;EGF;TSLP;LIF;IL20RB;IL20RA;SOS2;IL6;MTOR,embedding_top30_mouse
7,gsea,Wnt signaling pathway,0.5095062063671632,2.4359719736071535,0.0,0.0,0.0,45/128,31.18%,WNT8A;LEF1;WNT6;WNT16;MMP7;SFRP1;NKD1;WNT8B;RSPO2;RSPO1;SFRP4;WNT7A;RSPO3;PLCB2;SFRP2;WNT2;FZD10;WNT3A;WNT7B;CER1;LGR5;WNT10A;WNT11;WNT9A;RAC2;NOTUM;WNT2B;DKK2;SOX17;TCF7;DKK1;WIF1;DAAM2;CAMK2A;LGR6;FZD4;FZD9;FRAT2;FZD2;VANGL1;PRICKLE4;WNT5A;SMAD3;WNT10B;AXIN2,embedding_top30_mouse
8,gsea,Pathways in cancer,0.48024695754760865,2.4114218593704497,0.0,0.0,0.0,173/440,33.73%,ESR2;COL4A3;WNT8A;FGF23;LEF1;NKX3-1;SHH;COL4A6;RXRG;FGF10;GLI1;WNT6;FGF16;WNT16;IL23R;IFNG;BIRC7;NOS2;LAMA4;LPAR4;FLT3;ZBTB16;MGST2;HHIP;WNT8B;EPO;IL12A;LPAR3;CTNNA3;LAMA1;DCC;IL15;WNT7A;PLCB2;IL12RB2;PAX8;WNT2;IL5;GLI2;GNGT1;IL5RA;TRAF1;LAMB2;PDGFRA;FZD10;IL2RA;PMAIP1;KIT;FGF5;WNT3A;FGF6;BMP4;GNG11;KIF7;RARB;GNG13;STAT4;FGF18;MMP2;CDK6;IGF2;ADCY5;PDGFRB;FGF17;SKP2;IL7R;WNT7B;LPAR5;IL4;GNB3;IL2RB;ADCY1;WNT10A;PTGER3;SPI1;FGF21;WNT11;PTGER2;MMP9;WNT9A;RAC2;IL2RG;BDKRB1;WNT2B;ADCY8;GNG8;IGF1;EPOR;ERBB2;ESR1;FN1;AR;LAMC3;HGF;LAMA2;RASGRP3;FGF20;PTGS2;FGF2;TCF7;DAPK2;ADCY2;F2RL3;NOTCH3;FGF22;ALK;IL7;PTGER1;RASGRP4;CAMK2A;EGLN3;GNGT2;LAMB3;FGFR4;FZD4;FGF7;FLT4;COL4A5;HEY2;FZD9;HEY1;EGF;TGFB2;LAMA5;ADCY7;TGFBR2;SMO;CXCR4;GLI3;GNG10;FRAT2;CALML4;BIRC5;FZD2;MGST1;DLL3;EDNRA;ITGA2B;EDNRB;PTCH2;WNT5A;FGFR3;COL4A4;SOS2;IL6;MTOR;BMP2;BID;COL4A2;LPAR1;TGFB1;SMAD3;WNT10B;JAG1;CSF1R;AXIN2;CSF3R;RAD51;F2R;GSTO2;PLCG2;ETS1;EDN1;RASGRP2;RUNX1;CDK2;IL23A;FGFR2;LAMC2;LAMB1;CXCL12;TRAF5;GNG3,embedding_top30_mouse
9,gsea,Leukocyte transendothelial migration,0.513708422687373,2.406019995816458,0.0,0.0,0.0,35/93,28.31%,CLDN4;MYL10;CLDN16;CLDN14;MYL2;CTNNA3;CLDN10;CLDN19;ITK;NCF4;CLDN15;CLDN9;ITGAL;CLDN8;MMP2;CLDN18;RHOH;THY1;ITGAM;MMP9;RAC2;ESAM;NCF1;CLDN5;NCF2;CLDN2;CLDN11;TXK;RAPGEF3;VCAM1;MYL9;CXCR4;CDH5;VAV1;MYL7,embedding_top30_mouse
10,gsea,Ras signaling pathway,0.48239999932746647,2.4035235763078537,0.0,0.0,0.0,77/192,34.74%,FGF23;FGF10;FGF16;PDGFD;FLT3;PLA2G4D;HTR7;PLA2G4C;PLA2G4E;NTF3;PLA2G2C;GNGT1;PLA2G12B;PDGFRA;PLA2G4F;KIT;FGF5;FGF6;SHC3;GNG11;GNG13;FGF18;IGF2;PDGFRB;PLA2G5;GRIN2B;FGF17;PLA2G4A;GNB3;PDGFC;FGF21;ANGPT1;RAC2;GNG8;IGF1;EFNA3;PLD2;NGFR;HGF;RASGRP3;FGF20;RAPGEF5;FGF2;TEK;PLCE1;FGF22;NGF;RASGRP4;KDR;GRIN2A;GNGT2;FGFR4;PLA1A;FGF7;FLT4;RASAL1;EGF;PLA2G2D;GNG10;CALML4;LAT;FLT1;RASAL3;EPHA2;FGFR3;SOS2;CSF1R;TIAM1;RIN1;PLCG2;ETS1;RASGRP2;FGFR2;GNG3;PIK3CB;FGF1;BRAP,embedding_top30_mouse
11,gsea,cAMP signaling pathway,0.4936054663149146,2.402183965727486,0.0,0.0,0.0,82/184,32.45%,CHRM2;HTR4;TSHR;GLI1;CACNA1S;ADCYAP1;HHIP;PPP1R1B;SSTR5;GRIA4;HTR1F;FSHR;TNNI3;AMH;ATP2B3;CHRM1;GRIA1;RYR2;CFTR;CNGA1;ADCY5;GRIN2B;ARAP3;HTR6;ADRB1;ADCY1;GIP;PTGER3;GRIN3A;NPY1R;OXTR;NPPA;CGA;PTGER2;RAC2;ADCY8;ATP1A4;PLN;VIPR2;CREB3L4;ATP1A2;PLD2;CNGA4;SSTR2;CNGA3;ADCYAP1R1;SUCNR1;ADCY2;PLCE1;CAMK2A;DRD2;ADCY10;GRIN2A;SSTR1;RAPGEF3;CREB3L3;MYL9;GRIN3B;GHRL;VIP;EDN3;GRIA3;FXYD1;ADCY7;GLI3;ATP1A3;CALML4;GRIN2D;EDNRA;CREB5;VAV1;CNGB1;NPR1;GHSR;TIAM1;PPARA;PDE3A;F2R;ACOX3;FXYD2;VAV3;EDN1,embedding_top30_mouse
12,gsea,Calcium signaling pathway,0.5937250382868493,2.3926671285575525,0.0,0.0,0.0,85/166,28.16%,ADRA1D;CHRM2;HTR4;TACR2;RYR1;CACNA1S;PTGFR;HTR2B;CCKBR;ATP2A1;NOS2;MYLK2;GRM5;HTR7;HRH1;PLCB2;LHCGR;CCKAR;NTSR1;HTR2C;CYSLTR1;PDGFRA;ATP2B3;HTR2A;CHRM1;GRPR;TACR1;RYR2;CHRM5;ADRB3;CACNA1G;GNA15;PDGFRB;PDE1A;PLCZ1;TNNC2;HTR6;ADRA1B;ADRB1;PTAFR;P2RX7;ADCY1;ADRA1A;PTGER3;AVPR1B;CACNA1E;OXTR;P2RX1;BDKRB1;ADCY8;MYLK3;ERBB2;P2RX2;SLC8A3;PLN;MYLK4;AVPR1A;HRH2;TACR3;PLCD3;NOS1;CACNA1H;ADCY2;ERBB4;PLCE1;P2RX6;PTGER1;CAMK2A;GRIN2A;CD38;MYLK;PLCD1;SLC25A31;HTR5A;RYR3;PDE1B;TPCN2;P2RX3;ADCY7;GRM1;CXCR4;CALML4;GRIN2D;EDNRA;EDNRB,embedding_top30_mouse
13,gsea,GABAergic synapse,0.548058416107627,2.3894432657187794,0.0,0.0,0.0,34/76,26.72%,GABRA1;SLC6A12;GABRR1;GABRB2;CACNA1S;GABRA6;SLC6A1;GNGT1;GNG11;GABRA3;GNG13;ADCY5;GABRA2;GABRQ;SLC6A13;GNB3;GABRG2;ADCY1;GABRA5;ADCY8;GNG8;GAD2;GABRG1;SLC6A11;GABRG3;SLC38A1;ADCY2;GABRP;GNGT2;GABRB1;PLCL1;GABRR2;ADCY7;GNG10,embedding_top30_mouse
14,gsea,Inflammatory mediator regulation of TRP channels,0.5694203322366449,2.377820708159925,0.0,0.00023709205170320647,0.002,28/81,21.18%,TRPM8;ALOX12;ASIC3;ASIC4;HTR2B;PLA2G4D;HRH1;PLA2G4C;PLCB2;PLA2G4E;P2RY2;HTR2C;HTR2A;PLA2G4F;TRPA1;ADCY5;PRKCQ;TRPV3;TRPV4;PLA2G4A;ADCY1;PTGER2;BDKRB1;ADCY8;IGF1;ADCY2;NGF;CAMK2A,embedding_top30_mouse
