,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.4808627951755953,2.3705530598869493,0.0,0.0,0.0,116/289,29.64%,LAMA1;FGF10;COL4A3;GNGT1;THBS2;THBS4;CHRM2;COL4A6;LPAR3;ITGA8;FGF23;CD19;EPO;FGF5;EREG;EIF4E1B;COL2A1;TNC;COL9A1;LAMA4;FLT3;LPAR4;PDGFD;FGF16;NTF3;FN1;OSMR;IL2RG;EPOR;PCK1;PIK3AP1;OSM;IL2RB;LPAR5;CHRM1;IL2RA;LAMC3;PDGFRA;VWF;COL1A2;ITGB4;TNN;LAMB2;IGF1;FGF6;ITGB7;PDGFRB;GNG11;CSF3;PIK3R6;IL4;PKN3;CREB3L4;IGF2;THBS3;GNB3;FGF17;KIT;ITGA11;NGF;IL7R;ANGPT1;PDGFC;EFNA3;FGF18;CDK6;GNG8;SYK;FGF7;ITGB6;TEK;FGF20;LAMA2;KDR;COL6A5;FGF2;FGFR4;NGFR;PIK3CG;CHAD;ERBB2;ITGA7;GNG13;COL6A2;VTN;COL4A5;IL7;LAMB3;COL6A1;MYB;GNGT2;FGFR3;CREB3L3;ERBB4;EGF;FLT4;TLR4;ITGA10;COL1A1;FGF21;FLT1;FGF22;RELN;GNG10;EPHA2;LAMA5;ITGA2B;HGF;COL4A4;PIK3CB;IL6;FGFR2;LPAR1;SOS2;COL4A2;ITGA5,extra_human_chem
1,gsea,Vascular smooth muscle contraction,0.5112291395072336,2.3435737618275834,0.0,0.0,0.0,49/110,28.31%,AVP;ACTG2;PLA2G4D;MYLK2;AVPR1B;PLA2G4F;PLA2G12B;PLA2G4A;ADRA1D;CACNA1S;ADCY5;PTGIR;ADCY1;MYLK4;PLCB2;PLA2G2C;NPPB;KCNMB3;ADCY8;PLA2G4C;ADRA1B;ADRA1A;PLA2G5;NPPA;PRKCQ;KCNMB4;MYL9;CALCB;ADCY2;ACTA2;MYLK3;MYL6B;MYLK;CALCRL;PRKCH;GUCY1A2;EDN3;NPR2;ADM;PRKG1;ADCY7;CALML4;NPPC;NPR1;PLA2G2D;PPP1R14A;EDNRA;EDN2;PLA2G4E,extra_human_chem
2,gsea,Glutamatergic synapse,0.5493448857200598,2.3182497660374852,0.0,0.0,0.0,48/99,28.31%,GNGT1;GRIA4;GRIK1;GRM7;GRM8;SLC17A6;GRM6;SLC17A7;PLA2G4D;GRIA1;SLC1A7;GRIN3A;PLA2G4F;GRM5;PLA2G4A;GRIN2B;ADCY5;GRM2;ADCY1;GNG11;PLCB2;PLD2;SLC1A3;GNB3;ADCY8;PLA2G4C;GNG8;GRIK4;SLC38A1;GRM3;ADCY2;KCNJ3;GNG13;SLC1A6;GRIA3;GNGT2;SLC1A2;GRIN3B;GRIN2A;GRIK2;ADCY7;SLC17A8;HOMER2;SHANK2;GNG10;GRM1;SLC1A1;PLA2G4E,extra_human_chem
3,gsea,Phospholipase D signaling pathway,0.5010228908735876,2.2788952964994027,0.0,0.0012921828278513454,0.003,50/128,31.66%,AVP;GRM7;GRM8;LPAR3;GRM6;PLA2G4D;DGKI;LPAR4;PDGFD;PTGFR;AVPR2;AVPR1B;MS4A2;PLA2G4F;GRM5;CXCR1;PLA2G4A;ADCY5;GRM2;LPAR5;PDGFRA;PDGFRB;ADCY1;PIK3R6;PLCB2;PLD2;ADCY8;PLA2G4C;KIT;PDGFC;SYK;GRM3;ADCY2;CYTH4;PIK3CG;CXCR2;EGF;RAPGEF3;ADCY7;SHC3;GRM1;PLCG2;PLA2G4E;PIK3CB;LPAR1;SOS2;SPHK1;DGKA;F2R;MTOR,extra_human_chem
4,gsea,Serotonergic synapse,0.49698362311482286,2.2433311095369572,0.0,0.002067492524562153,0.006,42/87,33.47%,HTR1F;GNGT1;HTR4;HTR3B;HTR7;PLA2G4D;HTR2B;ALOX15;PLA2G4F;ALOX12;TPH1;PLA2G4A;CACNA1S;ADCY5;HTR6;GNG11;PLCB2;GNB3;PLA2G4C;KCND2;HTR5A;PTGS2;GNG8;GABRB2;HTR3A;KCNJ3;GNG13;GNGT2;GABRB1;RAPGEF3;PTGS1;SLC18A2;SLC6A4;GNG10;HTR2A;PLA2G4E;CYP4X1;TPH2;KCNJ5;GNG3;HTR2C;CACNA1D,extra_human_chem
5,gsea,Ras signaling pathway,0.45045833958688253,2.226548853148638,0.0,0.0028715173952252124,0.009,69/192,29.36%,FGF10;GNGT1;FGF23;HTR7;FGF5;PLA2G4D;FLT3;PDGFD;FGF16;NTF3;PLA2G4F;PLA2G12B;PLA2G4A;GRIN2B;PDGFRA;IGF1;FGF6;PDGFRB;GNG11;PLA2G2C;PLD2;IGF2;GNB3;PLA2G4C;FGF17;KIT;PLA2G5;RAPGEF5;NGF;ANGPT1;PDGFC;EFNA3;FGF18;GNG8;FGF7;RASGRP3;TEK;FGF20;KDR;FGF2;FGFR4;NGFR;PLCE1;RASGRP4;GNG13;PLA1A;RAC2;GNGT2;FGFR3;EGF;FLT4;GRIN2A;FGF21;FLT1;SHC3;CALML4;FGF22;GNG10;LAT;EPHA2;RASAL3;PLA2G2D;PLCG2;RASAL1;HGF;PLA2G4E;PIK3CB;FGFR2;SOS2,extra_human_chem
6,gsea,Cell adhesion molecules (CAMs),0.6169789808202596,2.211725264898035,0.0,0.002953560749374504,0.01,48/98,22.41%,SELL;CD6;CLDN19;CD40LG;SELE;ITGA8;ICOS;CLDN14;CD226;CLDN4;CLDN16;CLDN10;CDH3;TIGIT;CD8A;CD80;ITGAL;SDC1;CLDN15;CNTN2;ITGB7;CD28;CD22;LRRC4C;CLDN5;SELPLG;CTLA4;SELP;CD2;NTNG1;ESAM;CLDN8;NCAM2;CDH15;VTCN1;NRXN2;VCAN;CADM3;NTNG2;PDCD1LG2;ICAM2;CD86;CD4;CLDN2;CLDN9;CLDN18;ITGAM;VCAM1,extra_human_chem
7,gsea,Focal adhesion,0.4442463824208289,2.2045173747678914,0.0,0.002584365655702691,0.01,66/177,29.64%,LAMA1;COL4A3;THBS2;THBS4;COL4A6;ITGA8;MYL2;MYL10;COL2A1;TNC;COL9A1;LAMA4;MYLK2;PDGFD;CAV1;FN1;FLNC;LAMC3;PDGFRA;VWF;COL1A2;ITGB4;TNN;LAMB2;IGF1;ITGB7;PDGFRB;MYLK4;THBS3;ITGA11;PDGFC;ITGB6;MYL9;LAMA2;KDR;COL6A5;CAV2;MYLK3;CHAD;ERBB2;ITGA7;MYLK;COL6A2;VTN;COL4A5;LAMB3;COL6A1;RAC2;EGF;FLT4;ITGA10;COL1A1;FLT1;SHC3;VAV1;RELN;PARVG;LAMA5;ITGA2B;HGF;MYL7;COL4A4;PIK3CB;SOS2;COL4A2;ITGA5,extra_human_chem
8,gsea,Pathways in cancer,0.4458239656149665,2.1914198258551356,0.0,0.0030629518882402266,0.013,189/440,36.90%,ESR2;LAMA1;WNT6;FGF10;COL4A3;CTNNA3;GNGT1;NKX3-1;PAX8;DCC;SHH;COL4A6;LPAR3;WNT16;FGF23;ZBTB16;EPO;FGF5;NOS2;BIRC7;LAMA4;HHIP;IFNG;WNT8B;MGST2;FLT3;LPAR4;IL12A;GLI1;MMP2;WNT8A;RXRG;RARB;FGF16;IL5;FN1;SKP2;WNT7B;IL5RA;GLI2;IL2RG;EPOR;WNT3A;TRAF1;LEF1;ADCY5;FZD10;IL2RB;STAT4;LPAR5;IL2RA;TCF7;LAMC3;PDGFRA;WNT2;IL12RB2;LAMB2;IGF1;FGF6;PDGFRB;KIF7;ADCY1;GNG11;IL4;PLCB2;SPI1;BMP4;IGF2;PTGER3;WNT10A;GNB3;ADCY8;WNT2B;FGF17;KIT;WNT11;PMAIP1;PTGS2;IL7R;FGF18;CDK6;GNG8;ESR1;ALK;FGF7;RASGRP3;WNT7A;PTGER2;FGF20;AR;CAMK2A;LAMA2;MMP9;FGF2;ADCY2;FGFR4;ERBB2;RASGRP4;GNG13;FZD4;COL4A5;IL7;LAMB3;MGST1;RAC2;GNGT2;FGFR3;TGFB2;EGF;FLT4;FGF21;WNT9A;BDKRB1;TGFBR2;ADCY7;DAPK2;EGLN3;CALML4;FZD9;FGF22;IL15;CXCR4;JAG1;GNG10;PTGER1;BIRC5;FRAT2;PTCH2;LAMA5;AXIN2;FZD2;DLL3;PLCG2;ITGA2B;GLI3;HEY1;IL23R;BID;EDNRA;HGF;SMO;TRAF5;COL4A4;TGFB1;BMP2;PIK3CB;GSTO2;IL6;F2RL3;FGFR2;EDNRB;LPAR1;SOS2;COL4A2;RUNX1;EDN1;CXCL12;SMAD3;WNT10B;CSF3R;ETS1;MLH1;F2R;MTOR;MSH2;RAD51;LAMB1;TRAF2;GNG3;IL23A;FZD1;BRCA2;CDK2;FGF1;LAMC2;RASGRP2;CSF1R;HEY2;CTBP2;PDGFB;HEYL;MECOM;GNAI1;EPAS1;NQO1;PIK3CD;LAMC1;RARA;NTRK1,extra_human_chem
9,gsea,Th1 and Th2 cell differentiation,0.5232604211374029,2.179512382004529,0.0,0.003101238786843229,0.015,23/68,27.21%,TBX21;CD3D;IFNG;IL12A;CD3E;IL5;IL2RG;GATA3;IL2RB;STAT4;IL2RA;IL12RB2;IL4;CD3G;PRKCQ;CD4;RBPJL;MAF;JAG1;LCK;LAT;RUNX3;DLL3,extra_human_chem
