,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5795449752279397,2.9219383489433373,0.0,0.0,0.0,100/289,22.79%,COL4A3;GNGT1;CHRM2;THBS2;TNC;FLT3;EREG;EIF4E1B;LPAR3;COL9A1;LAMA4;COL2A1;LPAR4;EPO;FGF23;COL4A6;PIK3R6;CD19;FGF16;NTF3;THBS4;FGF5;OSMR;FGF10;ITGB7;OSM;CHRM1;LAMA1;ITGA8;IL2RA;PDGFD;PDGFRA;CSF3;IL2RG;PCK1;LPAR5;EPOR;LAMB2;FGF7;PKN3;IL4;IL2RB;PIK3AP1;GNB3;FGF18;KDR;TNN;GNG8;LAMC3;ITGB4;PDGFC;KIT;ITGB6;CDK6;IGF2;GNG13;THBS3;ITGA11;EFNA3;VWF;PIK3CG;FGF20;VTN;IGF1;NGFR;FGF2;TEK;IL7R;FGF6;GNG11;PDGFRB;SYK;FN1;LAMA2;COL6A5;COL1A2;LAMB3;IL7;ERBB2;ERBB4;COL6A2;CHAD;FGF21;COL4A5;CREB3L4;COL6A1;ITGA7;MYB;HGF;ANGPT1;GNGT2;TLR4;CREB3L3;FGFR4;NGF;EGF;COL1A1;FGF22;FGF17;ITGA10,extra_human_preT2D
1,gsea,Phospholipase D signaling pathway,0.6043816165832454,2.795813336612715,0.0,0.0,0.0,40/128,22.58%,AVP;DGKI;LPAR3;PLA2G4D;PTGFR;LPAR4;GRM7;GRM5;GRM6;PIK3R6;PLA2G4E;MS4A2;GRM2;CXCR1;GRM8;PDGFD;PDGFRA;PLA2G4F;LPAR5;ADCY5;ADCY8;SHC3;PLA2G4A;ADCY1;AVPR1A;PDGFC;KIT;PLCB2;AVPR1B;PIK3CG;CYTH4;PLA2G4C;ADCY2;PDGFRB;SYK;AVPR2;PLD2;GRM3;CXCR2;EGF,extra_human_preT2D
2,gsea,Human papillomavirus infection,0.5105254612509204,2.7438232339562196,0.0,0.0,0.0,78/270,29.81%,COL4A3;TBPL2;THBS2;WNT16;TNC;ATP6V0D2;WNT8A;WNT8B;COL9A1;LAMA4;COL2A1;ATP6V1E2;CCNA1;COL4A6;HES2;THBS4;ATP6V1B1;WNT6;ITGB7;WNT7B;FZD10;LAMA1;ITGA8;ATP6V1C2;WNT2;LAMB2;WNT3A;WNT7A;WNT10A;TNN;LAMC3;TCF7;ITGB4;WNT11;FZD4;ITGB6;CDK6;THBS3;ITGA11;VWF;HEY2;WNT2B;VTN;PDGFRB;FN1;LAMA2;COL6A5;COL1A2;LAMB3;COL6A2;CHAD;COL4A5;CREB3L4;COL6A1;ITGA7;WNT9A;PTGS2;CREB3L3;LFNG;EGF;COL1A1;ITGA10;NOTCH3;RBPJL;FZD9;RELN;CCNA2;LAMA5;AXIN2;JAG1;FZD2;CREB5;HEY1;ITGA2B;ITGA5;COL4A4;SOS2;COL4A2,extra_human_preT2D
3,gsea,Chemokine signaling pathway,0.5603190658120013,2.734243608485293,0.0,0.0,0.0,45/139,25.72%,CCR9;GNGT1;CCR6;CCR3;CXCR3;FGR;CCL17;PIK3R6;CCL20;CXCR1;HCK;XCR1;WAS;PPBP;CCR4;DOCK2;CXCR6;ADCY5;ITK;ADCY8;SHC3;CX3CR1;ADCY1;GNB3;GNG8;CXCL14;NCF1;CCL19;CCL24;PLCB2;CCL22;GNG13;PIK3CG;CCR7;RAC2;GNG11;ADCY2;CXCL13;GNGT2;CXCR2;CXCL9;VAV1;ADCY7;CXCR4;GNG10,extra_human_preT2D
4,gsea,Serotonergic synapse,0.6028304008558435,2.7261968908713747,0.0,0.0,0.0,36/87,25.72%,GNGT1;HTR7;HTR4;PLA2G4D;ALOX15;HTR2B;ALOX12;GABRB2;PLA2G4E;TPH1;HTR1F;HTR3A;HTR3B;CACNA1S;PLA2G4F;ADCY5;KCND2;HTR2C;PLA2G4A;HTR6;GNB3;HTR5A;GNG8;PLCB2;GNG13;PLA2G4C;GNG11;KCNJ3;PTGS2;GNGT2;GABRB1;PTGS1;RAPGEF3;SLC18A2;SLC6A4;GNG10,extra_human_preT2D
5,gsea,Focal adhesion,0.5405773723773187,2.7239835808968187,0.0,0.0,0.0,57/177,23.78%,COL4A3;THBS2;TNC;COL9A1;MYLK2;LAMA4;COL2A1;MYL2;COL4A6;THBS4;ITGB7;MYL10;LAMA1;ITGA8;PDGFD;PDGFRA;PARVG;LAMB2;SHC3;CAV3;KDR;TNN;LAMC3;ITGB4;CAV1;PDGFC;FLNC;ITGB6;THBS3;ITGA11;VWF;VTN;RAC2;MYLK;IGF1;PDGFRB;FN1;LAMA2;MYLK3;COL6A5;MYLK4;COL1A2;LAMB3;ERBB2;COL6A2;CHAD;COL4A5;COL6A1;ITGA7;HGF;EGF;COL1A1;ITGA10;MYL9;FLT4;VAV1;FLT1,extra_human_preT2D
6,gsea,Transcriptional misregulation in cancer,0.5489803564674617,2.70863610739806,0.0,0.0,0.0,38/142,25.01%,PAX5;PAX3;WNT16;TLX1;ZBTB16;HOXA9;FLT3;RXRG;BCL11B;WT1;CCNA1;PAX8;MPO;ITGB7;MMP3;FLI1;MMP9;PLAU;IL2RB;TRAF1;CEBPE;SPI1;ITGAM;LYL1;IGF1;PAX7;NGFR;ERG;RUNX2;ETV4;CD86;HPGD;SLC45A3;MAF;GRIA3;FLT1;HMGA2;TGFBR2,extra_human_preT2D
7,gsea,Pathways in cancer,0.5307505068724829,2.6935867803831086,0.0,0.0,0.0,157/440,30.07%,SHH;COL4A3;NKX3-1;GNGT1;WNT16;NOS2;BIRC7;ZBTB16;IL12A;WNT8A;FLT3;WNT8B;LPAR3;IFNG;RXRG;LAMA4;HHIP;MGST2;LPAR4;EPO;CTNNA3;FGF23;COL4A6;DCC;IL5RA;PAX8;FGF16;FGF5;FGF10;MMP2;GLI2;WNT6;LEF1;GLI1;WNT7B;FZD10;IL23R;LAMA1;IL2RA;PDGFRA;RARB;IL2RG;IL5;WNT2;STAT4;LPAR5;ADCY5;EPOR;LAMB2;ADCY8;MMP9;IL12RB2;WNT3A;FGF7;WNT7A;IL4;ADCY1;BMP4;ESR2;WNT10A;IL2RB;GNB3;KIF7;FGF18;GNG8;LAMC3;TCF7;RASGRP3;SKP2;TRAF1;WNT11;KIT;PLCB2;PTGER2;FZD4;CDK6;ESR1;IGF2;SPI1;GNG13;PMAIP1;AR;HEY2;FGF20;PTGER3;WNT2B;RAC2;IGF1;CAMK2A;FGF2;IL7R;FGF6;GNG11;ADCY2;IL15;PDGFRB;FN1;LAMA2;LAMB3;RASGRP4;BDKRB1;IL7;ERBB2;FGF21;COL4A5;PTGER1;ALK;WNT9A;PTGS2;HGF;GNGT2;FGFR4;EGF;FGF22;FGF17;MGST1;TGFB2;FLT4;EGLN3;NOTCH3;F2RL3;DAPK2;FGFR3;FZD9;ADCY7;TGFBR2;CXCR4;PLCG2;GNG10;CALML4;PTCH2;FRAT2;BIRC5;LAMA5;AXIN2;BID;JAG1;FZD2;DLL3;HEY1;SMO;EDNRA;ITGA2B;GLI3;EDNRB;COL4A4;BMP2;TGFB1;IL6;EDN1;SOS2;COL4A2;SMAD3;LPAR1;FGFR2;RUNX1;GSTO2,extra_human_preT2D
8,gsea,Vascular smooth muscle contraction,0.5778026922927002,2.6689917517255686,0.0,0.0,0.0,52/110,29.86%,AVP;MYLK2;PLA2G4D;KCNMB3;PLA2G4E;ACTG2;ADRA1D;CACNA1S;PLA2G4F;ADCY5;ADCY8;PTGIR;PLA2G4A;ADCY1;NPPB;ADRA1B;ADRA1A;PLA2G5;AVPR1A;PRKCQ;KCNMB4;PLA2G12B;PLCB2;PLA2G2C;NPPA;AVPR1B;MYLK;PLA2G4C;CALCB;ADCY2;CALCRL;MYLK3;MYLK4;ACTA2;PRKCH;NPPC;PRKG1;MYL6B;MYL9;NPR2;EDN3;GUCY1A2;ADCY7;ADM;CALML4;PLA2G2D;NPR1;EDNRA;PPP1R14A;EDN1;CACNA1D;EDN2,extra_human_preT2D
9,gsea,cGMP-PKG signaling pathway,0.5299872768668508,2.665441560480565,0.0,0.0,0.0,53/141,30.15%,ADRA2B;MYLK2;ATP2A1;KCNMB3;KCNJ8;OPRD1;PIK3R6;ADRB3;PDE2A;ATP2B3;TRPC6;ADRA2C;ADRA1D;ADRB1;SLC8A3;ATP1A4;CACNA1S;PLN;ADCY5;ADCY8;ADCY1;NPPB;ADRA1B;ADRA1A;KCNMB4;PLCB2;NPPA;CNGA1;PIK3CG;MYLK;ADCY2;MYLK3;MYLK4;PRKG2;CREB3L4;NPPC;PRKG1;CREB3L3;MYH7;MYL9;NPR2;ATP1A2;GUCY1A2;ADCY7;SLC25A31;CALML4;NPR1;CREB5;EDNRA;EDNRB;CACNA1D;CNGB1;ADORA3,extra_human_preT2D
10,gsea,Ras signaling pathway,0.5335923809196937,2.6559138911822955,0.0,0.0,0.0,65/192,26.95%,GNGT1;HTR7;FLT3;PLA2G4D;FGF23;FGF16;NTF3;PLA2G4E;FGF5;FGF10;PDGFD;PDGFRA;PLA2G4F;SHC3;FGF7;PLA2G4A;GNB3;FGF18;KDR;GNG8;RASGRP3;PLA2G5;PDGFC;KIT;PLA2G12B;PLA2G2C;IGF2;GNG13;PLA1A;EFNA3;FGF20;GRIN2B;RAC2;IGF1;NGFR;FGF2;TEK;PLA2G4C;FGF6;GNG11;PDGFRB;PLCE1;RASGRP4;FGF21;HGF;ANGPT1;GNGT2;PLD2;FGFR4;NGF;EGF;FGF22;FGF17;FLT4;RAPGEF5;GRIN2A;FLT1;FGFR3;LAT;PLCG2;GNG10;CALML4;RASAL3;PLA2G2D;EPHA2,extra_human_preT2D
11,gsea,JAK-STAT signaling pathway,0.5786355307560437,2.6552786710512994,0.0,0.0,0.0,38/113,25.73%,IL12A;IFNG;EPO;IFNE;IL22RA2;IL5RA;IL21R;IL13RA2;OSMR;IL19;OSM;IL23R;IL2RA;PDGFRA;GFAP;CSF3;IL2RG;IL5;STAT4;EPOR;IL12RB2;IL21;IL4;IL2RB;LEP;LEPR;IL7R;IL10RA;IL15;PDGFRB;IL22RA1;IL7;MPL;EGF;IL10;TSLP;LIF;IL20RA,extra_human_preT2D
12,gsea,Wnt signaling pathway,0.5534636147662385,2.63065685805381,0.0,0.0,0.0,42/128,27.60%,WNT16;WNT8A;NKD1;WNT8B;SFRP2;WNT6;DAAM2;LEF1;RSPO1;WNT7B;FZD10;MMP7;SFRP1;WNT2;WNT3A;WNT7A;WNT10A;TCF7;WNT11;PLCB2;NOTUM;FZD4;SFRP4;CER1;SOX17;RSPO3;WNT2B;RAC2;CAMK2A;LGR5;DKK1;DKK2;WIF1;WNT9A;LGR6;FZD9;RSPO2;FRAT2;VANGL1;AXIN2;TBL1XR1;FZD2,extra_human_preT2D
13,gsea,cAMP signaling pathway,0.5318417030930083,2.6242382520438543,0.0,0.0,0.0,82/184,32.14%,TSHR;CHRM2;HTR4;SSTR5;GRIA4;HHIP;GRIA1;PPP1R1B;ADCYAP1;ATP2B3;GIP;CHRM1;CGA;GLI1;HTR1F;TNNI3;ADRB1;ARAP3;GRIN3A;ATP1A4;CACNA1S;PLN;ADCY5;ADCY8;AMH;CNGA3;ADCY1;HTR6;CNGA4;FSHR;OXTR;CFTR;PTGER2;SUCNR1;NPPA;CNGA1;PTGER3;GRIN2B;RAC2;RYR2;CAMK2A;ADCY2;PLCE1;ADCYAP1R1;CREB3L4;DRD2;ADCY10;SSTR2;PLD2;SSTR1;CREB3L3;NPY1R;MYL9;GRIN3B;GHRL;GRIN2A;GRIA3;VAV1;ATP1A2;EDN3;RAPGEF3;VIPR2;ADCY7;FXYD1;CALML4;NPR1;VIP;CREB5;EDNRA;GLI3;EDN1;CACNA1D;EDN2;CNGB1;GHSR;PPARA;GRIN2D;PIK3CB;F2R;FXYD2;ATP1A3;ACOX3,extra_human_preT2D
14,gsea,Oxytocin signaling pathway,0.5441505103997593,2.6179378098388972,0.0,0.0,0.0,44/127,25.78%,RYR1;MYLK2;PLA2G4D;PRKAG3;PIK3R6;CACNG6;PLA2G4E;CACNG8;CACNG1;CACNG7;CACNA1S;PLA2G4F;ADCY5;ADCY8;KCNJ14;CACNG5;PLA2G4A;ADCY1;OXTR;CACNG2;PLCB2;KCNJ2;CAMKK2;NPPA;PIK3CG;RYR3;MYLK;RYR2;CAMK2A;PLA2G4C;ADCY2;MYLK3;MYLK4;KCNJ4;KCNJ3;PTGS2;MYL6B;CD38;MYL9;NPR2;GUCY1A2;ADCY7;CACNG3;CALML4,extra_human_preT2D
15,gsea,GABAergic synapse,0.5910881803963125,2.6108091034359373,0.0,0.0,0.0,34/76,25.91%,GNGT1;SLC6A12;GABRR1;GABRA6;GABRB2;GABRA1;GAD2;CACNA1S;SLC6A1;ADCY5;ADCY8;ADCY1;GABRG1;GABRA3;GABRG2;GNB3;GNG8;GABRQ;PLCL1;GNG13;GABRA5;GNG11;ADCY2;GABRP;SLC6A13;GABRA2;GABRG3;GNGT2;SLC38A1;GABRB1;GABRR2;ADCY7;GNG10;SLC6A11,extra_human_preT2D
16,gsea,Glutamatergic synapse,0.6144585766426243,2.6048033637774153,0.0,0.0,0.0,45/99,25.72%,GNGT1;SLC17A7;GRIK1;GRIA4;PLA2G4D;GRIA1;GRM7;GRM5;GRM6;PLA2G4E;GRM2;SLC1A7;SLC17A6;GRM8;GRIN3A;PLA2G4F;ADCY5;ADCY8;PLA2G4A;ADCY1;GNB3;GNG8;PLCB2;GNG13;GRIK4;GRIN2B;PLA2G4C;GNG11;ADCY2;KCNJ3;SLC1A6;GNGT2;PLD2;SLC38A1;GRM3;SLC1A2;SLC1A3;GRIN3B;GRIK2;GRIN2A;GRIA3;ADCY7;SLC17A8;HOMER2;GNG10,extra_human_preT2D
17,gsea,Cushing syndrome,0.5323522245016956,2.6017746389980787,0.0,0.0,0.0,35/131,21.86%,WNT16;WNT8A;WNT8B;WNT6;LEF1;WNT7B;FZD10;PDE11A;CACNA1S;WNT2;MRAP;ADCY5;ADCY8;WNT3A;CRH;WNT7A;ADCY1;CYP17A1;WNT10A;TCF7;WNT11;PLCB2;FZD4;CDK6;KCNK2;WNT2B;CACNA1G;CAMK2A;ADCY2;CRHR2;KCNA4;CREB3L4;WNT9A;CACNA1H;CREB3L3,extra_human_preT2D
18,gsea,Th1 and Th2 cell differentiation,0.6045502609397949,2.596123511480268,0.0,0.0,0.0,24/68,27.73%,IL12A;IFNG;CD3D;TBX21;CD3E;GATA3;IL2RA;IL2RG;IL5;STAT4;CD3G;IL12RB2;IL4;IL2RB;PRKCQ;CD4;RUNX3;MAF;NOTCH3;RBPJL;LAT;LCK;JAG1;DLL3,extra_human_preT2D
19,gsea,Circadian entrainment,0.5755499026650939,2.584300183140782,0.0,0.0,0.0,34/82,25.78%,RYR1;GNGT1;GRIA4;GRIA1;ADCYAP1;MTNR1B;ADCY5;ADCY8;ADCY1;GNB3;GNG8;NOS1;PLCB2;GNG13;RYR3;CACNA1G;GRIN2B;RYR2;CAMK2A;GNG11;ADCY2;ADCYAP1R1;PRKG2;KCNJ3;ADCY10;PRKG1;GNGT2;CACNA1H;GRIN2A;GRIA3;GUCY1A2;ADCY7;GNG10;CALML4,extra_human_preT2D
20,gsea,Adrenergic signaling in cardiomyocytes,0.5206539456291689,2.5841296983325313,0.0,0.0,0.0,46/126,29.56%,AGTR2;MYL2;PIK3R6;CACNG6;ATP2B3;CACNG8;CACNG1;KCNE1;ADRA1D;SCN7A;TNNI3;ADRB1;CACNG7;ATP1A4;CACNA1S;PLN;ADCY5;MYL3;ADCY8;CACNG5;ADCY1;TNNT2;ADRA1B;SCN4B;ADRA1A;CACNG2;PLCB2;PIK3CG;RYR2;CAMK2A;ADCY2;SCN5A;MYH6;CREB3L4;CREB3L3;MYH7;ATP1A2;RAPGEF3;ADCY7;CACNG3;CALML4;CREB5;CACNB2;ACTC1;CACNA2D3;CACNA1D,extra_human_preT2D
21,gsea,Melanoma,0.5807563374449621,2.566597233074034,0.0,0.0,0.0,20/61,22.75%,FGF23;FGF16;FGF5;FGF10;PDGFD;PDGFRA;FGF7;FGF18;PDGFC;CDK6;FGF20;IGF1;FGF2;FGF6;PDGFRB;FGF21;HGF;EGF;FGF22;FGF17,extra_human_preT2D
22,gsea,Relaxin signaling pathway,0.5238857685419762,2.564562072245994,0.0,0.0,0.0,41/111,29.85%,COL4A3;INSL3;GNGT1;NOS2;RXFP4;COL4A6;MMP2;RXFP1;ADCY5;ADCY8;MMP9;SHC3;ADCY1;GNB3;GNG8;NOS1;PLCB2;GNG13;GNG11;ADCY2;GNA15;COL1A2;ACTA2;COL4A5;CREB3L4;GNGT2;CREB3L3;COL1A1;ADCY7;TGFBR2;GNG10;MMP13;CREB5;EDNRB;COL4A4;TGFB1;EDN1;RXFP2;SOS2;COL4A2;SMAD3,extra_human_preT2D
