,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5248730116611195,2.637394581722571,0.0,0.0,0.0,116/289,30.02%,PCK1;COL4A6;FGF23;THBS2;CD19;CHRM1;NTF3;FGF10;CHRM2;LPAR3;LAMA1;EPO;TNC;THBS4;FLT3;EREG;COL9A1;EIF4E1B;COL2A1;LAMA4;LPAR4;ITGB7;GNGT1;FGF16;SYK;PIK3R6;ITGA8;COL4A3;FGF5;IL2RA;COL6A2;PDGFRA;COL1A1;LAMB2;GNG11;ITGA11;CSF3;OSM;PDGFD;IGF2;EPOR;KIT;ANGPT1;LPAR5;THBS3;CDK6;COL1A2;IL7R;FGF17;GNG8;FGF21;IL4;IL2RG;PKN3;TNN;GNB3;PIK3AP1;EFNA3;ITGB4;IL2RB;IGF1;GNG13;PDGFC;LAMC3;CREB3L4;VWF;FGF20;OSMR;FGF18;COL6A5;NGF;VTN;TEK;FGF6;FN1;PDGFRB;LAMA2;FGF2;NGFR;IL7;LAMB3;PIK3CG;FGFR4;EGF;CHAD;ITGA7;GNG10;ITGB6;COL6A1;MYB;HGF;GNGT2;CREB3L3;KDR;TLR4;FGF7;ERBB4;FLT4;FGF22;SOS2;FLT1;COL4A5;ERBB2;RELN;EPHA2;LAMA5;MTOR;THBS1;ITGA2B;CREB5;ITGA5;COL4A4;ITGA10;IL6;FGFR3;COL4A2,extra_mouse_Embryonic
1,gsea,Vascular smooth muscle contraction,0.5539365863363436,2.5487268730932375,0.0,0.0,0.0,51/110,31.46%,ADRA1D;AVP;PLCB2;PLA2G4D;MYLK2;PLA2G4C;PLA2G4F;PLA2G2C;PTGIR;CACNA1S;KCNMB3;ACTG2;ADCY5;PLA2G12B;ADCY1;PLA2G4A;ADCY8;MYLK3;NPPB;AVPR1B;NPPA;ADRA1B;ADRA1A;PLA2G5;NPPC;PRKCQ;KCNMB4;MYLK;ADM;ADCY2;CALCRL;PLA2G4E;CALCB;PRKG1;MYLK4;MYL9;ACTA2;EDN3;NPR1;ADCY7;CALML4;PLA2G2D;NPR2;MYL6B;PRKCH;GUCY1A2;PPP1R14A;EDNRA;AVPR1A;EDN2;EDN1,extra_mouse_Embryonic
2,gsea,Phospholipase D signaling pathway,0.5529879347885814,2.537913308072012,0.0,0.0,0.0,45/128,27.75%,MS4A2;AVP;PLCB2;AVPR2;GRM7;LPAR3;GRM2;GRM6;DGKI;PLA2G4D;PTGFR;LPAR4;PLA2G4C;GRM5;PLA2G4F;SYK;PIK3R6;GRM8;PDGFRA;CXCR1;ADCY5;PDGFD;KIT;LPAR5;ADCY1;PLA2G4A;ADCY8;AVPR1B;SHC3;PDGFC;CYTH4;ADCY2;PLA2G4E;PDGFRB;PIK3CG;PLD2;EGF;CXCR2;RAPGEF3;SOS2;ADCY7;GRM1;PLCG2;GRM3;MTOR,extra_mouse_Embryonic
3,gsea,JAK-STAT signaling pathway,0.5411266786704327,2.5155810925667637,0.0,0.0,0.0,39/113,25.26%,IL13RA2;IL5RA;GFAP;IL5;IL22RA2;IL12A;EPO;IFNG;IFNE;IL12RB2;IL2RA;PDGFRA;CSF3;OSM;STAT4;EPOR;IL7R;IL15;IL21R;IL21;IL4;IL2RG;LEPR;IL2RB;OSMR;LEP;IL10RA;IL22RA1;PDGFRB;IL7;EGF;MPL;IL19;IL23R;IL10;IL24;SOS2;IL20RA;TSLP,extra_mouse_Embryonic
4,gsea,Wnt signaling pathway,0.5241460886131852,2.5143983553464984,0.0,0.0,0.0,43/128,27.90%,MMP7;LEF1;PLCB2;WNT6;WNT8A;WNT16;WNT7A;NKD1;WNT8B;WNT3A;WNT2;SFRP2;WNT7B;SFRP1;FZD10;RSPO1;SFRP4;DKK2;WNT10A;WNT2B;LGR5;WNT11;CER1;NOTUM;SOX17;RSPO3;WNT9A;RAC2;CAMK2A;DKK1;WIF1;TCF7;FZD4;LGR6;DAAM2;RSPO2;FZD9;FRAT2;PRICKLE4;VANGL1;TBL1XR1;FZD2;AXIN2,extra_mouse_Embryonic
5,gsea,Ras signaling pathway,0.5037153793447056,2.5090106540235686,0.0,0.0,0.0,66/192,27.73%,FGF23;HTR7;NTF3;FGF10;FLT3;PLA2G4D;PLA2G4C;GNGT1;FGF16;PLA2G4F;PLA2G2C;FGF5;PDGFRA;GNG11;PDGFD;PLA2G12B;IGF2;KIT;ANGPT1;PLA2G4A;FGF17;GNG8;FGF21;RAPGEF5;GNB3;EFNA3;SHC3;IGF1;RASGRP3;PLA2G5;GNG13;PDGFC;FGF20;FGF18;GRIN2B;NGF;TEK;FGF6;PLA2G4E;PDGFRB;FGF2;NGFR;GRIN2A;RAC2;PLCE1;RASGRP4;PLD2;FGFR4;EGF;GNG10;HGF;GNGT2;KDR;FGF7;FLT4;FGF22;SOS2;FLT1;CALML4;PLA2G2D;LAT;EPHA2;RASAL3;PLA1A;PLCG2;RASAL1,extra_mouse_Embryonic
6,gsea,Serotonergic synapse,0.5521062436123959,2.506085079130042,0.0,0.0,0.0,39/87,30.27%,HTR4;HTR7;PLCB2;HTR2B;ALOX15;PLA2G4D;PLA2G4C;GNGT1;ALOX12;PLA2G4F;CACNA1S;HTR3A;HTR3B;GABRB2;GNG11;HTR1F;ADCY5;PLA2G4A;GNG8;HTR6;GNB3;GNG13;TPH1;PTGS2;KCND2;PLA2G4E;HTR5A;GNG10;KCNJ3;GNGT2;GABRB1;RAPGEF3;SLC18A2;PTGS1;SLC6A4;HTR2A;HTR2C;TPH2;CYP4X1,extra_mouse_Embryonic
7,gsea,Human papillomavirus infection,0.4664622313911225,2.4898976495989142,0.0,0.0,0.0,80/270,30.02%,COL4A6;THBS2;TBPL2;WNT6;WNT8A;WNT16;WNT7A;LAMA1;TNC;ATP6V0D2;THBS4;COL9A1;COL2A1;LAMA4;WNT8B;ITGB7;WNT3A;ATP6V1E2;WNT2;ITGA8;COL4A3;ATP6V1B1;CCNA1;WNT7B;COL6A2;COL1A1;LAMB2;ITGA11;FZD10;THBS3;WNT10A;WNT2B;CDK6;COL1A2;HES2;WNT11;TNN;ATP6V1C2;ITGB4;LAMC3;CREB3L4;VWF;PTGS2;WNT9A;COL6A5;VTN;FN1;PDGFRB;LAMA2;TCF7;LAMB3;FZD4;EGF;CHAD;ITGA7;ITGB6;COL6A1;CREB3L3;LFNG;CCNA2;SOS2;FZD9;COL4A5;RBPJL;RELN;LAMA5;FZD2;MTOR;HEY1;THBS1;AXIN2;ITGA2B;CREB5;ITGA5;HEY2;COL4A4;ITGA10;JAG1;ATP6V0A4;COL4A2,extra_mouse_Embryonic
8,gsea,Focal adhesion,0.4957247188317257,2.4893740357766907,0.0,0.0,0.0,72/177,33.21%,MYL10;COL4A6;THBS2;LAMA1;TNC;MYL2;THBS4;MYLK2;COL9A1;COL2A1;LAMA4;ITGB7;ITGA8;COL4A3;COL6A2;PDGFRA;COL1A1;LAMB2;ITGA11;PDGFD;FLNC;THBS3;COL1A2;CAV1;MYLK3;TNN;ITGB4;SHC3;IGF1;PDGFC;LAMC3;VWF;MYLK;COL6A5;VTN;FN1;PDGFRB;LAMA2;RAC2;MYLK4;MYL9;LAMB3;EGF;CHAD;ITGA7;ITGB6;COL6A1;HGF;PARVG;KDR;FLT4;SOS2;FLT1;VAV1;CAV2;COL4A5;ERBB2;MYL7;RELN;LAMA5;THBS1;ITGA2B;ITGA5;COL4A4;ITGA10;COL4A2;LAMB1;ITGA1;VAV3;CAV3;PARVB;LAMC2,extra_mouse_Embryonic
9,gsea,Chemokine signaling pathway,0.5114658543233013,2.481580340066607,0.0,0.0,0.0,46/139,25.50%,CCL20;PLCB2;PPBP;CCR9;CCR6;FGR;CCL17;CXCR3;GNGT1;XCR1;WAS;PIK3R6;DOCK2;CCR3;CCR4;ITK;CCL19;CXCR1;GNG11;ADCY5;CXCR6;ADCY1;ADCY8;GNG8;CXCL9;CX3CR1;GNB3;SHC3;GNG13;CXCL14;NCF1;CCL24;CCR7;ADCY2;HCK;RAC2;PIK3CG;GNG10;GNGT2;CXCL13;CXCR2;CCL22;SOS2;VAV1;ADCY7;CXCR4,extra_mouse_Embryonic
