,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.49711845786868686,2.4555354958836957,0.0,0.0,0.0,116/289,28.77%,COL4A6;FGF23;THBS2;GNGT1;COL4A3;CD19;NTF3;FGF10;CHRM2;FGF5;TNC;LPAR3;EPO;EREG;EIF4E1B;COL2A1;COL9A1;LAMA4;FLT3;LPAR4;CHRM1;LAMA1;CSF3;IL2RA;THBS4;EPOR;ITGB7;OSM;FGF6;PDGFD;OSMR;IL2RG;LAMC3;LPAR5;PIK3R6;PCK1;ITGA11;IL4;PIK3AP1;FGF16;IGF2;TNN;GNB3;PDGFRA;IGF1;ITGA8;IL7R;FGF20;ITGB4;KIT;PDGFC;GNG8;ANGPT1;COL1A1;FGF21;CDK6;LAMB2;VTN;PIK3CG;FGF2;NGFR;EFNA3;TEK;SYK;THBS3;FN1;ITGB6;LAMA2;COL6A5;CHAD;KDR;COL6A1;MYB;GNGT2;COL1A2;IL7;CREB3L3;FGF7;VWF;PDGFRB;EGF;TLR4;ITGA7;FGF18;FLT4;GNG11;LAMB3;FGF17;HGF;PKN3;CREB3L4;IL2RB;NGF;COL4A5;GNG13;ERBB4;COL6A2;FGFR4;FLT1;ERBB2;FGF22;ITGA2B;SOS2;GNG10;EPHA2;LAMA5;ITGA5;COL4A4;RELN;FGFR3;MTOR;IL6;CSF1R;COL4A2;ITGA10;CREB5,extra_mouse_T1D
1,gsea,Phospholipase D signaling pathway,0.5301964117522733,2.3969664231149816,0.0,0.0,0.0,46/128,27.76%,MS4A2;AVP;PLCB2;CXCR1;GRM2;GRM6;LPAR3;PLA2G4D;GRM7;DGKI;LPAR4;PTGFR;GRM5;GRM8;PDGFD;PLA2G4F;LPAR5;PIK3R6;ADCY5;ADCY1;ADCY8;PLA2G4A;PLA2G4E;PDGFRA;AVPR1B;KIT;PLD2;PDGFC;PLA2G4C;PIK3CG;ADCY2;CYTH4;SYK;AVPR1A;SHC3;PDGFRB;CXCR2;EGF;RAPGEF3;ADCY7;GRM1;GRM3;SOS2;AVPR2;SPHK1;MTOR,extra_mouse_T1D
2,gsea,Vascular smooth muscle contraction,0.5179769138854605,2.3813381547396597,0.0,0.0,0.0,54/110,33.35%,AVP;PLCB2;PLA2G4D;MYLK2;PTGIR;ADRA1D;ACTG2;PLA2G4F;MYLK4;CACNA1S;ADCY5;KCNMB3;ADCY1;NPPB;ADRA1A;ADCY8;PLA2G4A;PLA2G4E;AVPR1B;PLA2G5;ADRA1B;MYLK3;NPPA;PLA2G2C;PRKCQ;KCNMB4;MYLK;CALCRL;PLA2G4C;ADCY2;AVPR1A;ACTA2;PLA2G12B;CALCB;ADM;NPPC;EDN3;MYL9;PRKG1;ADCY7;CALML4;PRKCH;PLA2G2D;NPR2;PPP1R14A;MYL6B;EDNRA;NPR1;EDN1;GUCY1A2;CACNA1D;EDN2;RAMP3;CALCA,extra_mouse_T1D
3,gsea,Serotonergic synapse,0.5163568508481877,2.3574255179247516,0.0,0.0,0.0,41/87,31.15%,HTR4;GNGT1;HTR7;PLCB2;ALOX15;PLA2G4D;HTR2B;HTR1F;ALOX12;PLA2G4F;CACNA1S;ADCY5;HTR3A;HTR6;PLA2G4A;PLA2G4E;GNB3;KCND2;HTR3B;TPH1;GABRB2;GNG8;PLA2G4C;GNGT2;PTGS2;GABRB1;KCNJ3;RAPGEF3;GNG11;HTR5A;SLC18A2;GNG13;SLC6A4;PTGS1;GNG10;CYP4X1;HTR2A;HTR2C;KCNJ5;TPH2;CACNA1D,extra_mouse_T1D
4,gsea,cAMP signaling pathway,0.4828258501637532,2.346863394630227,0.0,0.0003487345916246762,0.001,86/184,33.26%,HTR4;GLI1;TSHR;CHRM2;ATP2B3;GRIA4;SSTR5;PPP1R1B;GRIA1;HHIP;CHRM1;ADCYAP1;HTR1F;ATP1A4;FSHR;GRIN3A;CGA;CACNA1S;PTGER2;ADCY5;CNGA3;ADRB1;ADCY1;HTR6;ADCY8;TNNI3;NPPA;CNGA4;AMH;PLD2;DRD2;PLN;CFTR;ARAP3;GRIN2B;PTGER3;SUCNR1;ADCY2;ADCY10;CAMK2A;PLCE1;SSTR2;ATP1A2;NPY1R;ADCYAP1R1;GRIN2A;CNGA1;SSTR1;OXTR;CREB3L3;RAC2;EDN3;RAPGEF3;GHRL;GRIN3B;VIPR2;CREB3L4;MYL9;FXYD1;ADCY7;GRIA3;GLI3;CALML4;VAV1;GIP;RYR2;EDNRA;GRIN2D;NPR1;VIP;CNGB1;CREB5;GHSR;PPARA;F2R;FXYD2;EDN1;ATP1A3;PDE3A;VAV3;CACNA1D;TIAM1;EDN2;ACOX3;PDE4C;PIK3CB,extra_mouse_T1D
5,gsea,Glutamatergic synapse,0.5598532961711045,2.345837548069473,0.0,0.00029061215968723017,0.001,49/99,28.38%,GNGT1;PLCB2;SLC17A7;GRIA4;GRM2;GRM6;PLA2G4D;GRIA1;GRIK1;GRM7;SLC17A6;GRM5;GRM8;SLC1A7;GRIN3A;PLA2G4F;ADCY5;ADCY1;ADCY8;PLA2G4A;PLA2G4E;GNB3;PLD2;GNG8;GRIN2B;GRIK4;PLA2G4C;ADCY2;GRIN2A;SLC38A1;GNGT2;SLC1A6;SLC1A2;SLC1A3;HOMER2;KCNJ3;GRIK2;GNG11;GRIN3B;ADCY7;GRIA3;GNG13;SLC17A8;GRM1;GRM3;GNG10;SLC1A1;GRIN2D;SHANK2,extra_mouse_T1D
6,gsea,Gastric acid secretion,0.5591295016466625,2.3401082770141417,0.0,0.0002490961368747687,0.001,27/63,23.96%,PLCB2;KCNJ1;CCKBR;KCNE2;KCNJ16;MYLK2;ATP1A4;SLC26A7;MYLK4;ADCY5;ADCY1;ADCY8;MYLK3;KCNK2;KCNJ2;MYLK;HRH2;CFTR;ADCY2;CAMK2A;SSTR2;ATP1A2;SLC9A4;KCNJ10;KCNJ15;ADCY7;CALML4,extra_mouse_T1D
7,gsea,Focal adhesion,0.47064056844263585,2.3213743805477427,0.0,0.0002179591197654226,0.001,66/177,28.65%,COL4A6;THBS2;COL4A3;MYL10;MYL2;TNC;COL2A1;COL9A1;LAMA4;MYLK2;LAMA1;THBS4;ITGB7;PDGFD;LAMC3;MYLK4;ITGA11;TNN;PDGFRA;MYLK3;IGF1;CAV1;ITGA8;ITGB4;PDGFC;MYLK;COL1A1;LAMB2;VTN;THBS3;FN1;ITGB6;LAMA2;FLNC;COL6A5;CHAD;SHC3;KDR;COL6A1;COL1A2;VWF;RAC2;PDGFRB;EGF;ITGA7;FLT4;LAMB3;PARVG;HGF;MYL9;COL4A5;COL6A2;FLT1;VAV1;ERBB2;ITGA2B;SOS2;LAMA5;CAV2;MYL7;ITGA5;CAV3;COL4A4;RELN;COL4A2;ITGA10,extra_mouse_T1D
8,gsea,Calcium signaling pathway,0.559693495983439,2.3078061590212053,0.0,0.0003874828795829735,0.002,91/166,31.52%,HTR4;HTR7;RYR1;PLCB2;CHRM2;NTSR1;ATP2B3;TACR2;CCKBR;NOS2;ATP2A1;MYLK2;PTGFR;CHRM1;HTR2B;GRM5;ADRA1D;SLC8A3;ADRB3;CHRM5;MYLK4;CACNA1S;PLCZ1;P2RX7;ADRB1;ADCY1;HTR6;CCKAR;ADRA1A;ADCY8;PDGFRA;AVPR1B;ADRA1B;MYLK3;CACNA1E;P2RX1;PLCD3;PLN;MYLK;HRH2;PTGER3;NOS1;GNA15;ADCY2;CYSLTR1;CAMK2A;PLCE1;GRIN2A;P2RX6;AVPR1A;TNNC2;RYR3;TACR3;HRH1;OXTR;TACR1;LHCGR;P2RX2;PDGFRB;CD38;PLCD1;PDE1A;BDKRB1;HTR5A;TPCN2;PDE1B;P2RX3;GRPR;ADCY7;CXCR4;ERBB4;CACNA1G;CALML4;CACNA1H;PTGER1;GRM1;SLC25A31;ERBB2;RYR2;EDNRA;SPHK1;GRIN2D;EDNRB;PHKG1;TBXA2R;HTR2A;HTR2C;F2R;CACNA1D;PLCG2;PTAFR,extra_mouse_T1D
9,gsea,JAK-STAT signaling pathway,0.49920256844154126,2.292232210744277,0.0,0.0006974691832493524,0.004,50/113,35.05%,IL13RA2;IFNE;IL5RA;EPO;IFNG;IL12A;CSF3;IL2RA;IL22RA2;EPOR;OSM;IL22RA1;STAT4;OSMR;IL5;IL19;IL2RG;IL4;LEPR;PDGFRA;IL7R;IL21;IL21R;GFAP;IL12RB2;IL7;LEP;IL10RA;PDGFRB;EGF;IL10;IL15;IL2RB;LIF;MPL;TSLP;IL23R;IL24;IL20RA;SOS2;MTOR;IL6;IL20RB;CSF3R;IL23A;PIK3CB;IL11;SOCS1;JAK3;IL17D,extra_mouse_T1D
