,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,Phospholipase D signaling pathway,0.5099248426336103,2.279238652046476,0.0,0.0033950771381496834,0.002,42/128,24.34%,AVP;MS4A2;GRM2;GRM7;PTGFR;LPAR4;DGKI;PLA2G4D;LPAR3;GRM5;PLA2G4F;PLA2G4C;PLCB2;GRM6;PIK3R6;SYK;CXCR1;GRM8;ADCY8;AVPR2;ADCY5;LPAR5;ADCY1;KIT;PDGFC;PDGFD;PDGFRA;PIK3CG;PLA2G4A;CYTH4;SHC3;PDGFRB;ADCY2;AVPR1B;EGF;CXCR2;PLD2;SOS2;RAPGEF3;GRM3;ADCY7;GRM1,extra_mouse_aged
1,gsea,PI3K-Akt signaling pathway,0.46603816254916636,2.2596757714812137,0.0,0.0025463078536122623,0.003,131/289,34.46%,PCK1;COL4A6;FGF23;THBS2;CD19;CHRM2;NTF3;CHRM1;TNC;FLT3;EREG;LPAR4;COL9A1;COL2A1;EIF4E1B;LAMA4;LPAR3;EPO;FGF10;ITGB7;COL4A3;IL2RA;PIK3R6;SYK;FGF16;THBS4;GNGT1;LAMA1;ITGA11;ANGPT1;CSF3;IGF2;FGF5;IL4;COL6A2;IL2RB;LAMB2;ITGA8;LPAR5;GNB3;PKN3;GNG8;KIT;TNN;EPOR;PDGFC;IGF1;FGF18;PDGFD;FGF20;IL2RG;FGF21;PDGFRA;PIK3CG;EFNA3;GNG11;VTN;COL1A1;OSM;ITGB4;THBS3;PIK3AP1;PDGFRB;LAMA2;NGFR;FGF2;IL7R;TEK;CDK6;COL6A5;GNG13;LAMC3;IL7;COL6A1;MYB;TLR4;GNGT2;EGF;CREB3L4;CREB3L3;CHAD;COL1A2;ERBB4;NGF;ITGA7;FGF6;FGF17;VWF;SOS2;LAMB3;FLT4;ERBB2;GNG10;FGFR3;ITGB6;FN1;FGF22;FGFR4;OSMR;ITGA10;HGF;LAMA5;FGF7;EPHA2;FLT1;KDR;ITGA5;RELN;MTOR;COL4A5;COL4A4;LPAR1;IL6;ITGA2B;COL4A2;THBS1;CSF3R;FGFR2;F2R;LAMC2;SGK1;ITGA1;CDK2;GNG3;PIK3CB;CREB5;LAMB1;PIK3R5;FGF1;GYS2;PPP2R5D,extra_mouse_aged
2,gsea,Glutamatergic synapse,0.5446721822816196,2.2329595561866427,0.0,0.0039609233278412965,0.007,45/99,24.38%,SLC17A7;GRM2;GRIK1;GRM7;GRIA1;PLA2G4D;GRM5;PLA2G4F;PLA2G4C;PLCB2;GRM6;GRIA4;GNGT1;GRM8;ADCY8;ADCY5;SLC1A7;ADCY1;SLC17A6;GNB3;GNG8;GRIN3A;GRIK4;GNG11;PLA2G4A;GRIN2B;GRIN2A;ADCY2;SLC38A1;SLC1A3;GNG13;KCNJ3;GRIA3;GNGT2;SLC1A6;SLC1A2;PLD2;HOMER2;GRIK2;GRIN3B;GNG10;GRM3;ADCY7;GRM1;SLC17A8,extra_mouse_aged
3,gsea,Vascular smooth muscle contraction,0.4906221288445072,2.1893294738919327,0.0,0.007638923560836787,0.014,53/110,33.32%,ADRA1D;AVP;PTGIR;MYLK2;PLA2G4D;PLA2G4F;PLA2G4C;CACNA1S;PLCB2;PLA2G2C;ADCY8;ADCY5;ACTG2;ADCY1;NPPB;MYLK3;KCNMB3;ADRA1A;ADRA1B;PLA2G5;PRKCQ;KCNMB4;NPPA;CALCRL;PLA2G4A;MYLK;ADCY2;NPPC;ACTA2;ADM;PRKG1;CALCB;AVPR1B;PLA2G12B;MYLK4;EDN3;PLA2G2D;MYL9;ADCY7;NPR2;NPR1;CALML4;PRKCH;EDNRA;PPP1R14A;MYL6B;EDN1;CALCA;GUCY1A2;PLA2G4E;EDN2;PLA2G1B;RAMP3,extra_mouse_aged
4,gsea,Salivary secretion,0.5592994304828213,2.159140326439912,0.0,0.008827200559189176,0.017,27/61,24.71%,ADRA1D;MUC5B;AQP5;PLCB2;ADRB3;BST1;ADCY8;CAMP;ADCY5;LPO;ATP2B3;ADRB1;ADCY1;ADRA1A;ADRA1B;ATP1A4;PRKG2;NOS1;ADCY2;ATP1A2;PRKG1;BEST2;RYR3;CD38;KCNN4;ADCY7;CALML4,extra_mouse_aged
5,gsea,Serotonergic synapse,0.4846115247809515,2.142051632107211,0.0,0.008487692845374208,0.017,41/87,32.98%,HTR4;HTR7;ALOX15;HTR2B;PLA2G4D;ALOX12;PLA2G4F;PLA2G4C;CACNA1S;PLCB2;GABRB2;GNGT1;ADCY5;HTR3A;HTR3B;GNB3;GNG8;KCND2;HTR1F;HTR6;GNG11;PLA2G4A;GNG13;KCNJ3;GNGT2;TPH1;GABRB1;RAPGEF3;PTGS2;GNG10;PTGS1;SLC18A2;SLC6A4;HTR5A;CYP4X1;HTR2A;TPH2;KCNJ5;PLA2G4E;GNG3;HTR2C,extra_mouse_aged
6,gsea,Th1 and Th2 cell differentiation,0.5034117695251089,2.1387286549244098,0.00199203187250996,0.007517670805902869,0.018,22/68,26.18%,IL12A;CD3G;IFNG;CD3D;CD3E;IL2RA;IL5;GATA3;IL12RB2;TBX21;STAT4;IL4;IL2RB;PRKCQ;IL2RG;CD4;MAF;RUNX3;LAT;RBPJL;LCK;DLL3,extra_mouse_aged
7,gsea,Cell adhesion molecules (CAMs),0.5984483680833128,2.136115847566002,0.0,0.006790154276299367,0.018,53/98,27.90%,TIGIT;CD8A;CD2;CLDN16;CD40LG;ICOS;CD6;CLDN4;CLDN14;CD226;ITGB7;ESAM;CLDN8;CD80;ITGAL;LRRC4C;CNTN2;CLDN10;CLDN9;CLDN19;ITGA8;SELPLG;CLDN5;CLDN18;SELP;CTLA4;SELE;SELL;VTCN1;CDH3;CLDN15;PDCD1LG2;CDH15;NTNG2;CADM3;CD86;SDC1;CD28;CLDN2;CD4;NCAM2;NRXN3;ICAM2;VCAM1;NRXN2;CD22;ITGAM;NTNG1;VCAN;NLGN1;CDH5;CD34;CLDN11,extra_mouse_aged
8,gsea,JAK-STAT signaling pathway,0.4614428511682341,2.1328919658931214,0.0,0.006224308086607753,0.019,49/113,35.21%,IL13RA2;IL5RA;IL12A;IFNG;EPO;IL22RA2;IL2RA;IL5;GFAP;IFNE;IL12RB2;CSF3;STAT4;IL4;IL2RB;IL21;EPOR;LEP;IL2RG;PDGFRA;LEPR;IL15;OSM;PDGFRB;IL7R;IL7;EGF;MPL;IL10RA;IL10;SOS2;TSLP;IL23R;IL22RA1;OSMR;IL24;IL20RA;LIF;MTOR;IL6;IL21R;CSF3R;IL23A;PIK3CB;SOCS1;IL20RB;IL11;IL17D;IL19,extra_mouse_aged
9,gsea,Calcium signaling pathway,0.5340237195685491,2.1297278055542015,0.0,0.00577163113485446,0.019,86/166,31.03%,ADRA1D;HTR4;CHRM2;RYR1;HTR7;CHRM1;TACR2;NOS2;CCKBR;PTGFR;HTR2B;MYLK2;ATP2A1;GRM5;CACNA1S;PLCB2;ADRB3;CYSLTR1;CHRM5;ADCY8;NTSR1;OXTR;ATP2B3;PLCZ1;ADRB1;LHCGR;ADCY1;MYLK3;PLCD3;ADRA1A;P2RX7;ADRA1B;CCKAR;CACNA1E;HRH1;HTR6;P2RX1;PDGFRA;NOS1;P2RX6;P2RX2;PTGER3;HRH2;MYLK;GRIN2A;PDGFRB;SLC8A3;ADCY2;PLCE1;PLN;GRPR;CAMK2A;BDKRB1;PTGER1;CACNA1G;AVPR1B;MYLK4;RYR3;TNNC2;TPCN2;TACR3;ERBB4;GNA15;CD38;ERBB2;PDE1B;TACR1;PLCD1;CXCR4;P2RX3;ADCY7;SLC25A31;GRM1;CALML4;CACNA1H;HTR5A;EDNRA;EDNRB;GRIN2D;PDE1A;SPHK1;PHKG1;HTR2A;TBXA2R;F2R;PLCG2,extra_mouse_aged
