,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,Vascular smooth muscle contraction,0.5043131224876981,2.2859710433868488,0.0,0.0,0.0,50/110,27.93%,PLA2G4C;AVP;ACTG2;ADRA1D;PLA2G4F;PLCB2;PLA2G2C;PTGIR;PLA2G4D;PLA2G12B;MYLK2;CACNA1S;AVPR1B;PLA2G4A;ADCY5;ADCY1;KCNMB3;NPPA;MYLK3;NPPB;ADRA1A;MYLK4;ADRA1B;ADCY8;PLA2G5;PRKCQ;KCNMB4;CALCB;ADM;MYL9;ADCY2;ACTA2;MYLK;CALCRL;PLA2G4E;NPPC;NPR1;EDN3;PRKG1;MYL6B;PRKCH;NPR2;ADCY7;CALML4;EDNRA;PLA2G2D;GUCY1A2;EDN2;PPP1R14A;AVPR1A,extra_mouse_young
1,gsea,Glutamatergic synapse,0.5377689373136019,2.2318924528239936,0.0,0.005762692535228334,0.007,54/99,33.04%,PLA2G4C;PLA2G4F;GNGT1;PLCB2;GRM6;GNG11;SLC17A7;GRM2;GRIA4;SLC1A7;GRIK1;GRM8;GRM7;PLA2G4D;SLC17A6;GRIA1;GRIN3A;GRIN2B;GRM3;PLA2G4A;GRM5;ADCY5;SLC1A3;ADCY1;GNG8;GNB3;GRIA3;PLD2;GRIK4;ADCY8;GNG13;ADCY2;KCNJ3;SLC38A1;GRIN2A;PLA2G4E;SLC1A2;SLC1A6;GNGT2;GNG10;HOMER2;GRIN3B;ADCY7;GRIK2;SLC17A8;SHANK2;GRM1;SLC1A1;GRIK3;CACNA1D;GRM4;GNG3;GRIN2D;GNAI1,extra_mouse_young
2,gsea,PI3K-Akt signaling pathway,0.45552669859314576,2.1864160988524146,0.0,0.007683590046971111,0.014,132/289,35.17%,COL4A3;THBS2;SYK;COL4A6;GNGT1;PCK1;THBS3;CD19;FGF23;GNG11;THBS4;FGF10;LAMA1;CHRM2;KIT;FGF5;NTF3;CHRM1;ITGA8;FGF16;LPAR3;FGF6;IL7R;EPO;TNC;EREG;EIF4E1B;COL9A1;COL2A1;LAMA4;FLT3;LPAR4;OSM;EPOR;LAMC3;IGF2;IL2RA;IL2RB;ANGPT1;PDGFD;PDGFRA;COL6A2;LPAR5;CDK6;ITGA11;IL2RG;COL1A2;IGF1;CSF3;ITGB4;VWF;FN1;ITGB7;PIK3AP1;CREB3L4;FGF17;IL4;OSMR;TNN;GNG8;PDGFRB;LAMB2;PKN3;PIK3R6;GNB3;NGF;EFNA3;COL1A1;GNG13;TEK;FGF21;PDGFC;FGF20;COL6A5;LAMA2;PIK3CG;FGFR4;FGF2;FGF18;ITGB6;EGF;FGFR3;ERBB4;CHAD;NGFR;IL7;FGF7;CREB3L3;ITGA7;VTN;COL6A1;LAMB3;MYB;KDR;GNGT2;GNG10;LAMA5;FLT4;TLR4;SOS2;EPHA2;COL4A5;FLT1;LPAR1;FGF22;RELN;ITGA10;HGF;CREB5;COL4A4;ITGA2B;ITGA5;ERBB2;MTOR;IL6;COL4A2;FGFR2;PIK3CB;CSF3R;CSF1R;THBS1;F2R;LAMC2;GNG3;ITGA1;SGK1;LAMB1;CDK2;PIK3R5;GYS2;PPP2R5D;FGF1,extra_mouse_young
3,gsea,Phospholipase D signaling pathway,0.49306328403691924,2.1814186798135293,0.0,0.005762692535228334,0.014,50/128,31.50%,AVPR2;PLA2G4C;AVP;SYK;PLA2G4F;PLCB2;MS4A2;CXCR1;GRM6;GRM2;KIT;LPAR3;GRM8;GRM7;PLA2G4D;DGKI;PTGFR;LPAR4;AVPR1B;PDGFD;PDGFRA;LPAR5;GRM3;PLA2G4A;GRM5;ADCY5;ADCY1;PDGFRB;PIK3R6;PLD2;ADCY8;PDGFC;PIK3CG;CYTH4;ADCY2;EGF;PLA2G4E;CXCR2;SOS2;RAPGEF3;ADCY7;LPAR1;GRM1;SHC3;AVPR1A;MTOR;SPHK1;PIK3CB;PLCG2;F2R,extra_mouse_young
4,gsea,Cell adhesion molecules (CAMs),0.5932123618956632,2.1390673250639085,0.0,0.007903121191170287,0.02,47/98,22.35%,CLDN8;CLDN19;ESAM;CD2;SELE;SELL;CLDN10;CDH3;CD40LG;CD8A;ITGAL;CD6;ITGA8;TIGIT;CD226;ICOS;CLDN16;CLDN4;CLDN14;CNTN2;SELPLG;CD28;CLDN2;CLDN18;CD80;ITGAM;ITGB7;SDC1;NRXN2;NTNG1;CD22;NCAM2;CLDN15;CLDN9;CLDN5;LRRC4C;CTLA4;SELP;ICAM2;VTCN1;CDH15;NTNG2;CD86;CADM3;VCAN;CD4;PDCD1LG2,extra_mouse_young
5,gsea,Serotonergic synapse,0.48611387239865805,2.136779255035054,0.0,0.006585934325975239,0.02,42/87,33.04%,PLA2G4C;PLA2G4F;GNGT1;HTR4;PLCB2;HTR3B;HTR7;GNG11;HTR1F;ALOX15;PLA2G4D;HTR2B;CACNA1S;ALOX12;PLA2G4A;TPH1;ADCY5;PTGS2;GNG8;HTR6;GNB3;GNG13;KCNJ3;HTR3A;PLA2G4E;KCND2;HTR5A;GABRB2;GNGT2;GNG10;HTR2A;GABRB1;SLC18A2;RAPGEF3;SLC6A4;PTGS1;CYP4X1;KCNJ5;TPH2;CACNA1D;GNG3;GNAI1,extra_mouse_young
6,gsea,Ras signaling pathway,0.42807105151607155,2.08775924433748,0.0,0.010584537309603062,0.033,91/192,41.54%,PLA2G4C;PLA2G4F;GNGT1;FGF23;PLA2G2C;HTR7;GNG11;FGF10;KIT;FGF5;NTF3;FGF16;FGF6;PLA2G4D;PLA2G12B;FLT3;IGF2;ANGPT1;PDGFD;PDGFRA;GRIN2B;RAPGEF5;PLA2G4A;IGF1;FGF17;GNG8;PDGFRB;RASGRP3;GNB3;PLD2;NGF;EFNA3;PLA2G5;GNG13;TEK;FGF21;PDGFC;FGF20;FGFR4;FGF2;FGF18;RASGRP4;EGF;FGFR3;NGFR;PLCE1;FGF7;GRIN2A;PLA2G4E;RASAL3;RAC2;KDR;GNGT2;GNG10;FLT4;SOS2;EPHA2;CALML4;FLT1;RASAL1;FGF22;LAT;PLA2G2D;PLA1A;SHC3;HGF;FGFR2;PIK3CB;PLCG2;CSF1R;ETS1;RIN1;GNG3;PLA2G1B;BRAP;FGF1;RASGRP2;NTRK1;GNG7;TIAM1;KSR1;INSR;PIK3CD;EFNA1;RASGRP1;PDGFB;RASSF5;ANGPT2;PLD1;PRKCG;PAK1,extra_mouse_young
7,gsea,Pathways in cancer,0.4282506546090581,2.085046774360213,0.0,0.009467280593589405,0.033,167/440,31.50%,ESR2;COL4A3;GLI1;IL5;PAX8;COL4A6;GNGT1;WNT6;FGF23;PLCB2;CTNNA3;MMP2;LEF1;GNG11;FGF10;DCC;LAMA1;SHH;IL5RA;KIT;FGF5;RARB;NKX3-1;TRAF1;SKP2;FGF16;LPAR3;FGF6;WNT16;IL7R;EPO;ZBTB16;NOS2;BIRC7;GLI2;KIF7;IL12A;HHIP;WNT8B;IFNG;LAMA4;RXRG;MGST2;FLT3;LPAR4;EPOR;WNT11;LAMC3;WNT2B;WNT8A;IGF2;IL2RA;IL2RB;PDGFRA;WNT2;SPI1;LPAR5;CDK6;PMAIP1;BMP4;TCF7;IL12RB2;ADCY5;FZD10;IL2RG;IGF1;WNT7A;PTGS2;WNT7B;FN1;PTGER2;WNT3A;STAT4;FGF17;ADCY1;IL4;MMP9;GNG8;PDGFRB;LAMB2;RASGRP3;WNT10A;GNB3;ADCY8;GNG13;FGF21;ESR1;FGF20;AR;PTGER3;LAMA2;FGFR4;FGF2;FGF18;FZD4;CAMK2A;ADCY2;RASGRP4;EGF;FGFR3;ALK;IL7;FGF7;DAPK2;WNT9A;RAC2;IL15;LAMB3;GNGT2;GNG10;LAMA5;TGFB2;FLT4;SOS2;EGLN3;ADCY7;PTGER1;BDKRB1;MGST1;TGFBR2;COL4A5;FZD9;CALML4;GLI3;CXCR4;LPAR1;FGF22;BID;EDNRA;JAG1;BIRC5;FRAT2;HEY2;FZD2;DLL3;HEY1;TRAF5;HGF;BMP2;PTCH2;TGFB1;COL4A4;SMO;ITGA2B;RUNX1;ERBB2;EDNRB;MTOR;IL6;F2RL3;IL23R;AXIN2;COL4A2;SMAD3;FGFR2;GSTO2;EDN1;CXCL12;PIK3CB;WNT10B;RAD51;PLCG2;CSF3R;CSF1R;ETS1;MSH2;F2R,extra_mouse_young
8,gsea,Calcium signaling pathway,0.5092572858976532,2.0708613595844914,0.0,0.009147131008298942,0.035,89/166,32.93%,CYSLTR1;ADRA1D;NTSR1;HTR4;ATP2B3;PLCB2;ADRB3;HTR7;CCKAR;CHRM2;RYR1;TACR2;CHRM1;NOS2;CCKBR;PTGFR;ATP2A1;MYLK2;HTR2B;SLC8A3;CACNA1S;ADRB1;TNNC2;AVPR1B;PDGFRA;PLN;GNA15;TACR3;OXTR;GRPR;GRM5;PLCZ1;P2RX2;CHRM5;ADCY1;MYLK3;LHCGR;PDGFRB;HTR6;P2RX7;NOS1;ADRA1A;MYLK4;ADRA1B;ADCY8;CACNA1E;P2RX1;PTGER3;PLCD3;P2RX6;HRH2;RYR3;TACR1;CAMK2A;HRH1;ADCY2;ERBB4;TPCN2;MYLK;PLCE1;GRIN2A;CACNA1G;HTR5A;CD38;HTR2A;PLCD1;PDE1B;ADCY7;PTGER1;BDKRB1;P2RX3;CALML4;CXCR4;EDNRA;GRM1;SLC25A31;AVPR1A;ERBB2;EDNRB;SPHK1;PHKG1;PLCG2;CACNA1H;PDE1A;F2R;TBXA2R;CACNA1D;CACNA1I;GRIN2D,extra_mouse_young
9,gsea,JAK-STAT signaling pathway,0.45480293741289757,2.0639572612378485,0.0,0.008891011340066573,0.038,50/113,35.62%,IL5;IL13RA2;GFAP;IFNE;IL5RA;IL22RA2;IL7R;EPO;IL12A;IFNG;OSM;EPOR;IL2RA;IL2RB;IL22RA1;PDGFRA;IL12RB2;IL2RG;CSF3;IL24;STAT4;IL21;LEPR;IL4;OSMR;PDGFRB;IL10RA;MPL;LEP;IL21R;EGF;IL7;IL15;IL10;IL19;TSLP;SOS2;LIF;IL20RA;MTOR;IL6;IL23R;PIK3CB;CSF3R;IL23A;SOCS1;IL20RB;IL11;IL17D;AOX1,extra_mouse_young
