,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,PI3K-Akt signaling pathway,0.5551121974223276,2.8096800099133588,0.0,0.0,0.0,104/289,25.23%,COL4A3;COL4A6;FGF23;THBS2;CD19;NTF3;GNGT1;TNC;FGF10;COL9A1;CHRM2;EPO;THBS4;LAMA4;EREG;FLT3;EIF4E1B;LPAR3;LPAR4;COL2A1;OSMR;PCK1;CHRM1;FGF16;FGF5;PIK3R6;LAMA1;ITGB7;LAMC3;ITGA8;IL2RA;IL2RG;FGF6;PKN3;ANGPT1;IL2RB;COL1A1;OSM;CSF3;COL6A2;ITGA11;PDGFRA;EPOR;KIT;LAMB2;FGFR3;IGF2;IL7R;PDGFD;LPAR5;IL4;FGF7;GNG13;TNN;COL1A2;THBS3;GNB3;CDK6;GNG11;PIK3AP1;PDGFC;FGF18;GNG8;VWF;ITGB4;ITGB6;COL4A5;KDR;SYK;FGF21;FN1;FGF20;VTN;EFNA3;IGF1;FGF17;PDGFRB;HGF;PIK3CG;CREB3L4;NGFR;FGF2;TEK;COL6A5;ITGA10;ERBB2;LAMA2;TLR4;IL7;LAMB3;ERBB4;EGF;NGF;CHAD;COL6A1;MYB;ITGA7;GNGT2;FGFR4;CREB3L3;FLT4;FLT1;RELN;FGF22,random_human_seed_43
1,gsea,JAK-STAT signaling pathway,0.5980160317359015,2.7728831318065317,0.0,0.0,0.0,32/113,15.77%,IL5RA;IL19;IL13RA2;IL5;IL12A;IL21R;EPO;IFNG;IL22RA2;OSMR;IFNE;GFAP;IL2RA;IL2RG;IL22RA1;IL23R;IL24;IL2RB;OSM;CSF3;IL15;IL12RB2;PDGFRA;EPOR;LEPR;MPL;STAT4;IL7R;IL10RA;IL21;IL4;LEP,random_human_seed_43
2,gsea,Serotonergic synapse,0.603396359928686,2.6930789359129355,0.0,0.0,0.0,37/87,26.77%,HTR4;PLA2G4E;HTR7;PLA2G4F;GNGT1;GABRB2;PLCB2;ALOX12;ALOX15;PLA2G4D;HTR2B;CACNA1S;HTR3A;TPH1;HTR1F;HTR3B;HTR5A;HTR2C;KCND2;HTR2A;ADCY5;PLA2G4A;GNG13;HTR6;GNB3;PLA2G4C;GNG11;PTGS2;GNG8;KCNJ3;GNGT2;GABRB1;RAPGEF3;PTGS1;SLC18A2;GNG10;SLC6A4,random_human_seed_43
3,gsea,Phospholipase D signaling pathway,0.5791736839989119,2.6852849348529806,0.0,0.0,0.0,46/128,28.40%,MS4A2;AVP;PLA2G4E;PLA2G4F;PLCB2;GRM7;PTGFR;DGKI;LPAR3;LPAR4;PLA2G4D;GRM6;GRM5;CXCR1;GRM2;PIK3R6;GRM8;AVPR2;PDGFRA;ADCY8;KIT;SHC3;PDGFD;ADCY5;LPAR5;AVPR1B;PLA2G4A;GRM3;AVPR1A;ADCY1;PLA2G4C;PDGFC;SYK;PLD2;PDGFRB;PIK3CG;CYTH4;ADCY2;EGF;CXCR2;RAPGEF3;ADCY7;PLCG2;GRM1;SOS2;MTOR,random_human_seed_43
4,gsea,Focal adhesion,0.5262930156312072,2.6551607581858954,0.0,0.0,0.0,59/177,25.54%,COL4A3;COL4A6;MYL10;THBS2;TNC;COL9A1;THBS4;MYL2;LAMA4;COL2A1;MYLK2;LAMA1;CAV3;ITGB7;LAMC3;ITGA8;PARVG;COL1A1;COL6A2;ITGA11;FLNC;PDGFRA;SHC3;LAMB2;PDGFD;MYLK4;CAV1;TNN;COL1A2;THBS3;MYLK3;PDGFC;VWF;ITGB4;ITGB6;COL4A5;KDR;MYLK;FN1;VTN;IGF1;PDGFRB;HGF;RAC2;COL6A5;ITGA10;ERBB2;LAMA2;LAMB3;MYL9;EGF;CHAD;COL6A1;ITGA7;VAV1;FLT4;FLT1;RELN;CAV2,random_human_seed_43
5,gsea,Vascular smooth muscle contraction,0.5802707031327102,2.6499192781567387,0.0,0.0,0.0,49/110,29.13%,ACTG2;KCNMB3;ADRA1D;AVP;PLA2G4E;PLA2G4F;PLCB2;PLA2G4D;MYLK2;CACNA1S;PTGIR;PLA2G12B;PLA2G2C;ADCY8;PRKCH;ADCY5;AVPR1B;PLA2G4A;MYLK4;AVPR1A;ADCY1;NPPB;ADRA1B;MYLK3;PLA2G4C;ADRA1A;PLA2G5;PRKCQ;NPPA;KCNMB4;MYLK;ADM;NPPC;CALCRL;ADCY2;CALCB;PRKG1;ACTA2;MYL9;MYL6B;EDN3;NPR2;GUCY1A2;PLA2G2D;ADCY7;CALML4;NPR1;PPP1R14A;EDNRA,random_human_seed_43
6,gsea,Ras signaling pathway,0.5258463283935347,2.643091106836522,0.0,0.0,0.0,66/192,27.63%,FGF23;PLA2G4E;NTF3;HTR7;PLA2G4F;GNGT1;FGF10;FLT3;PLA2G4D;PLA1A;FGF16;FGF5;FGF6;ANGPT1;PLA2G12B;PDGFRA;PLA2G2C;KIT;SHC3;FGFR3;IGF2;PDGFD;PLA2G4A;RASGRP3;FGF7;GNG13;GNB3;PLA2G4C;GNG11;PDGFC;FGF18;GNG8;GRIN2B;PLA2G5;KDR;FGF21;FGF20;PLD2;EFNA3;IGF1;FGF17;PDGFRB;HGF;RAC2;NGFR;FGF2;TEK;PLCE1;RASGRP4;RAPGEF5;GRIN2A;EGF;NGF;GNGT2;FGFR4;FLT4;FLT1;FGF22;PLA2G2D;GNG10;RASAL1;CALML4;RASAL3;PLCG2;LAT;SOS2,random_human_seed_43
7,gsea,Wnt signaling pathway,0.5482230621982385,2.63533808522243,0.0,0.0,0.0,36/128,21.39%,LEF1;MMP7;PLCB2;WNT16;WNT8B;NKD1;SFRP1;WNT8A;WNT6;SFRP2;WNT7A;WNT3A;WNT11;RSPO1;RSPO2;DAAM2;WNT2B;FZD10;SFRP4;WNT2;DKK2;WNT7B;RSPO3;TCF7;WNT10A;LGR5;FZD4;NOTUM;CER1;WNT9A;SOX17;LGR6;RAC2;WIF1;DKK1;CAMK2A,random_human_seed_43
8,gsea,Human papillomavirus infection,0.4920843625066544,2.614666991818176,0.0,0.0,0.0,78/270,29.33%,COL4A3;COL4A6;THBS2;HES2;TBPL2;TNC;WNT16;COL9A1;THBS4;LAMA4;ATP6V0D2;COL2A1;WNT8B;ATP6V1E2;CCNA1;ATP6V1B1;WNT8A;WNT6;LAMA1;WNT7A;WNT3A;ITGB7;LAMC3;WNT11;ITGA8;WNT2B;COL1A1;FZD10;COL6A2;ATP6V1C2;ITGA11;WNT2;LAMB2;WNT7B;TCF7;HEY2;TNN;COL1A2;THBS3;CDK6;PTGS2;WNT10A;VWF;ITGB4;ITGB6;COL4A5;FZD4;FN1;WNT9A;VTN;PDGFRB;CREB3L4;COL6A5;ITGA10;LAMA2;LAMB3;EGF;CHAD;COL6A1;ITGA7;LFNG;CREB3L3;NOTCH3;RELN;RBPJL;FZD9;CCNA2;AXIN2;SOS2;HEY1;LAMA5;CREB5;FZD2;DLG2;MTOR;JAG1;ITGA2B;ITGA5,random_human_seed_43
9,gsea,Pathways in cancer,0.5091525199950194,2.5782090666656887,0.0,0.0,0.0,174/440,34.10%,ESR2;COL4A3;IL5RA;NKX3-1;COL4A6;GLI1;FGF23;PAX8;IL5;MMP2;LEF1;SHH;GNGT1;FGF10;PLCB2;IL12A;WNT16;NOS2;RXRG;EPO;IFNG;BIRC7;ZBTB16;LAMA4;HHIP;FLT3;LPAR3;LPAR4;WNT8B;MGST2;FGF16;FGF5;DCC;WNT8A;CTNNA3;WNT6;GLI2;LAMA1;WNT7A;WNT3A;LAMC3;WNT11;SPI1;IL2RA;IL2RG;RARB;FGF6;BMP4;WNT2B;IL23R;IL2RB;FZD10;IL15;TRAF1;IL12RB2;PDGFRA;PTGER2;ADCY8;EPOR;KIT;WNT2;LAMB2;FGFR3;STAT4;MMP9;IGF2;IL7R;ADCY5;WNT7B;LPAR5;IL4;RASGRP3;TCF7;PMAIP1;KIF7;ADCY1;FGF7;HEY2;GNG13;SKP2;GNB3;CDK6;GNG11;FGF18;PTGS2;GNG8;WNT10A;COL4A5;FZD4;FGF21;FN1;FGF20;WNT9A;PTGER3;IGF1;ESR1;FGF17;AR;PDGFRB;HGF;RAC2;EGLN3;FGF2;ADCY2;ALK;ERBB2;CAMK2A;BDKRB1;DAPK2;LAMA2;RASGRP4;IL7;LAMB3;PTGER1;EGF;GNGT2;FGFR4;F2RL3;MGST1;FLT4;NOTCH3;TGFB2;FGF22;CXCR4;FZD9;ADCY7;TGFBR2;GNG10;FRAT2;CALML4;PLCG2;GLI3;AXIN2;PTCH2;SOS2;BIRC5;HEY1;LAMA5;FZD2;MTOR;DLL3;SMO;JAG1;ITGA2B;EDNRA;BID;EDNRB;COL4A4;IL6;BMP2;EDN1;COL4A2;GSTO2;SMAD3;TGFB1;RUNX1;WNT10B;CXCL12;FGFR2;LPAR1;CSF1R;CSF3R;ETS1;F2R;LAMB1;NQO1;WNT5A;MLH1;PIK3CB;GSTM4;TRAF5;IL23A;MSH2;RAD51,random_human_seed_43
