,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,dataset_train
0,gsea,Phospholipase D signaling pathway,0.5333379116283247,2.424455536705004,0.0,0.0,0.0,44/128,25.95%,PLA2G4C;SYK;AVP;PLCB2;MS4A2;PLA2G4F;CXCR1;LPAR3;GRM7;AVPR2;GRM6;GRM2;PLA2G4D;DGKI;PTGFR;LPAR4;GRM5;KIT;GRM8;PDGFD;ADCY5;PIK3R6;PDGFRA;PDGFRB;LPAR5;ADCY1;GRM3;PLA2G4A;ADCY8;PDGFC;AVPR1B;PIK3CG;PLA2G4E;EGF;ADCY2;CYTH4;PLD2;CXCR2;RAPGEF3;SOS2;AVPR1A;ADCY7;SHC3;GRM1,train_adata_baseline
1,gsea,PI3K-Akt signaling pathway,0.49459999738527344,2.4227516694364404,0.0,0.0,0.0,125/289,32.44%,PCK1;THBS2;COL4A6;SYK;FGF23;CD19;CHRM2;FGF10;NTF3;CHRM1;THBS4;IL2RB;LPAR3;LAMA1;GNGT1;FGF16;TNC;COL4A3;EPO;EREG;FLT3;COL2A1;EIF4E1B;COL9A1;LAMA4;LPAR4;ITGA8;ANGPT1;GNG11;COL6A2;KIT;IL2RA;THBS3;ITGB7;FGF17;ITGA11;FGF5;IGF2;PDGFD;CSF3;LAMB2;EPOR;CDK6;PIK3R6;PDGFRA;IL7R;PKN3;COL1A2;IL2RG;CREB3L4;PDGFRB;LPAR5;OSM;IL4;FGF6;COL1A1;TNN;GNG8;EFNA3;GNB3;NGF;ITGB4;IGF1;FGF21;VWF;PDGFC;LAMC3;FGF18;PIK3AP1;GNG13;FGF20;PIK3CG;COL6A5;FN1;EGF;TEK;LAMA2;NGFR;FGF2;VTN;IL7;ERBB4;ITGB6;LAMB3;CHAD;ITGA7;COL6A1;MYB;FGFR4;GNGT2;CREB3L3;GNG10;TLR4;OSMR;FLT4;SOS2;FGFR3;FGF22;FLT1;FGF7;ERBB2;KDR;ITGA10;LAMA5;EPHA2;HGF;MTOR;ITGA2B;CREB5;RELN;COL4A4;THBS1;ITGA5;IL6;COL4A5;LPAR1;COL4A2;PIK3CB;FGFR2;CSF3R;F2R;SGK1;ITGA1;CSF1R;LAMC2,train_adata_baseline
2,gsea,Vascular smooth muscle contraction,0.5385200610227273,2.422180309680565,0.0,0.0,0.0,52/110,30.22%,ADRA1D;PLA2G4C;AVP;PLCB2;PLA2G4F;CACNA1S;PLA2G2C;PLA2G4D;MYLK2;PTGIR;ACTG2;PLA2G12B;ADCY5;KCNMB3;ADCY1;PLA2G4A;MYLK3;ADCY8;NPPB;ADRA1B;ADRA1A;ADM;PLA2G5;NPPA;AVPR1B;PRKCQ;KCNMB4;PLA2G4E;MYLK;CALCB;NPPC;MYL9;ADCY2;CALCRL;MYLK4;ACTA2;PRKG1;EDN3;AVPR1A;ADCY7;PLA2G2D;NPR1;NPR2;CALML4;EDNRA;PPP1R14A;PRKCH;MYL6B;EDN2;CACNA1D;EDN1;GUCY1A2,train_adata_baseline
3,gsea,Glutamatergic synapse,0.5700456513182914,2.3530571986482234,0.0,0.0004410973641742872,0.001,47/99,26.36%,PLA2G4C;PLCB2;PLA2G4F;SLC17A7;GRIK1;GRM7;GRIA4;GNGT1;GRM6;GRM2;PLA2G4D;GRIA1;GRM5;GNG11;SLC1A3;GRIN2B;GRM8;SLC1A7;ADCY5;SLC17A6;GRIN3A;ADCY1;GRM3;PLA2G4A;ADCY8;GNG8;GNB3;GRIK4;GNG13;SLC38A1;PLA2G4E;ADCY2;GRIN2A;GRIA3;KCNJ3;SLC1A6;GNGT2;PLD2;SLC1A2;GNG10;HOMER2;GRIN3B;GRIK2;SLC17A8;ADCY7;GRM1;SHANK2,train_adata_baseline
4,gsea,Ras signaling pathway,0.4716844051555643,2.3326690871641467,0.0,0.0003528778913394298,0.001,73/192,32.21%,PLA2G4C;FGF23;HTR7;PLA2G4F;FGF10;NTF3;PLA2G2C;GNGT1;FGF16;PLA2G4D;FLT3;ANGPT1;GNG11;KIT;GRIN2B;FGF17;FGF5;IGF2;PLA2G12B;PDGFD;PDGFRA;PDGFRB;FGF6;PLA2G4A;GNG8;EFNA3;GNB3;NGF;RAPGEF5;IGF1;FGF21;PLA2G5;PDGFC;FGF18;RASGRP3;GNG13;FGF20;PLA2G4E;EGF;TEK;NGFR;FGF2;GRIN2A;PLCE1;RASGRP4;RAC2;RASAL3;FGFR4;GNGT2;PLD2;GNG10;FLT4;SOS2;FGFR3;FGF22;PLA2G2D;FLT1;CALML4;FGF7;LAT;SHC3;KDR;RASAL1;EPHA2;HGF;PLA1A;PIK3CB;FGFR2;PLCG2;ETS1;RIN1;BRAP;CSF1R,train_adata_baseline
5,gsea,Serotonergic synapse,0.5265653774670017,2.3322898878567013,0.0,0.0002940649094495248,0.001,36/87,26.29%,PLA2G4C;HTR4;PLCB2;HTR7;PLA2G4F;CACNA1S;HTR3B;GNGT1;HTR2B;ALOX15;PLA2G4D;HTR1F;GNG11;ALOX12;ADCY5;PLA2G4A;HTR3A;GNG8;HTR6;GNB3;PTGS2;GNG13;KCND2;PLA2G4E;GABRB2;KCNJ3;TPH1;GNGT2;GNG10;GABRB1;RAPGEF3;PTGS1;HTR2A;SLC18A2;SLC6A4;HTR5A,train_adata_baseline
6,gsea,Wnt signaling pathway,0.48478457325431207,2.315723093005681,0.0,0.0002520556366710213,0.001,45/128,30.40%,MMP7;PLCB2;LEF1;WNT6;RSPO1;WNT8A;WNT16;SFRP2;NKD1;WNT8B;WNT3A;WNT2;SFRP1;WNT7A;WNT7B;DKK2;SFRP4;FZD10;WNT2B;WNT11;RSPO2;WNT10A;RSPO3;CER1;NOTUM;SOX17;LGR5;TCF7;CAMK2A;DKK1;WIF1;FZD4;RAC2;WNT9A;DAAM2;LGR6;VANGL1;FZD9;FRAT2;PRICKLE4;FZD2;TBL1XR1;AXIN2;SMAD3;WNT10B,train_adata_baseline
7,gsea,Long-term depression,0.5566034109663597,2.3018721531917885,0.0,0.0002205486820871436,0.001,16/51,21.16%,PLA2G4C;PLCB2;CRH;PLA2G4F;RYR1;PLA2G4D;GRIA1;PPP1R17;PLA2G4A;IGF1;NOS1;PLA2G4E;PRKG2;GRIA3;GRID2;PRKG1,train_adata_baseline
8,gsea,cAMP signaling pathway,0.4737335209461358,2.277022772319193,0.0,0.0009802163648317496,0.004,83/184,32.57%,GLI1;HTR4;CHRM2;CACNA1S;TSHR;CHRM1;GRIA4;SSTR5;FSHR;PPP1R1B;GRIA1;HHIP;ADCYAP1;HTR1F;ATP2B3;NPY1R;GRIN2B;VIPR2;TNNI3;CGA;ADCY5;ATP1A4;OXTR;AMH;CREB3L4;GRIN3A;ADCY1;ADRB1;PTGER2;CFTR;PLN;SSTR2;ADCY8;HTR6;PTGER3;CNGA3;CNGA4;NPPA;DRD2;CNGA1;SUCNR1;MYL9;ADCY2;ADCY10;GRIN2A;CAMK2A;GRIA3;ADCYAP1R1;PLCE1;ARAP3;RAC2;SSTR1;CREB3L3;PLD2;GRIN3B;EDN3;GHRL;RAPGEF3;VAV1;ADCY7;ATP1A2;FXYD1;NPR1;CALML4;GLI3;EDNRA;CREB5;EDN2;CACNA1D;EDN1;CNGB1;ACOX3;PIK3CB;GHSR;PPARA;F2R;VIP;FXYD2;GRIN2D;PDE3A;GIP;VAV3;PDE4C,train_adata_baseline
9,gsea,Calcium signaling pathway,0.5587813454067699,2.2680197983290196,0.0,0.0008821947283485745,0.004,79/166,26.39%,ADRA1D;CYSLTR1;HTR4;PLCB2;HTR7;CHRM2;RYR1;CACNA1S;TACR2;CHRM1;NOS2;HTR2B;CCKBR;ATP2A1;MYLK2;PTGFR;ADRB3;NTSR1;GRM5;ATP2B3;CCKAR;LHCGR;P2RX2;PDGFRA;CHRM5;OXTR;PDGFRB;GRPR;ADCY1;ADRB1;PLCZ1;PLN;TNNC2;HRH1;MYLK3;ADCY8;GNA15;HTR6;P2RX7;ADRA1B;ADRA1A;SLC8A3;PTGER3;PLCD3;CACNA1E;AVPR1B;NOS1;P2RX1;MYLK;HRH2;P2RX6;ADCY2;CACNA1G;GRIN2A;CAMK2A;MYLK4;PLCE1;TPCN2;ERBB4;TACR1;RYR3;CD38;BDKRB1;PTGER1;PDE1A;PDE1B;PLCD1;HTR2A;P2RX3;CXCR4;AVPR1A;ADCY7;TACR3;SLC25A31;CALML4;ERBB2;GRM1;HTR5A;EDNRA,train_adata_baseline
