,config.addl_dataset_train,config.cov_embed_dims,config.dataset_ground_truth1,config.dataset_ground_truth2,config.dataset_to_predict,config.dropout_rate,config.encode_ct,config.kl_weight,config.learning_rate,config.max_epochs,config.n_hidden,config.n_latent,config.n_layers,config.save_folder_name,config.save_models,config.seed,config.shared_top,config.weight_decay,result.r2_dbdb_healthy,result.r2_dbdb_OOD,result.r2_mSTZ_healthy,result.r2_mSTZ_OOD,result.shared_top_genes_dbdb,result.scores_corr_dbdb,result.pvals_adj_corr_dbdb,result.scores_ranks_corr_dbdb,result.shared_top_genes_mSTZ,result.scores_corr_mSTZ,result.pvals_adj_corr_mSTZ,result.scores_ranks_corr_mSTZ,result.pancreatic_D_cell_r2_dbdb_healthy,result.pancreatic_D_cell_r2_dbdb_OOD,result.pancreatic_D_cell_r2_mSTZ_healthy,result.pancreatic_D_cell_r2_mSTZ_OOD,result.type_B_pancreatic_cell_r2_dbdb_healthy,result.type_B_pancreatic_cell_r2_dbdb_OOD,result.type_B_pancreatic_cell_r2_mSTZ_healthy,result.type_B_pancreatic_cell_r2_mSTZ_OOD,result.pancreatic_A_cell_r2_dbdb_healthy,result.pancreatic_A_cell_r2_dbdb_OOD,result.pancreatic_A_cell_r2_mSTZ_healthy,result.pancreatic_A_cell_r2_mSTZ_OOD,result.pancreatic_A_cell_shared_top_genes_dbdb_,result.pancreatic_A_cell_scores_corr_dbdb_,result.pancreatic_A_cell_pvals_adj_corr_dbdb_,result.pancreatic_A_cell_scores_ranks_corr_dbdb_,result.pancreatic_A_cell_shared_top_genes_mSTZ_,result.pancreatic_A_cell_scores_corr_mSTZ_,result.pancreatic_A_cell_pvals_adj_corr_mSTZ_,result.pancreatic_A_cell_scores_ranks_corr_mSTZ_,result.n_cells_train,dataset_group
80,combination,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,43,4000,0.3,0.8677606717823181,0.8954082619968369,0.4192382000518131,0.9086520731882421,0.25725,0.0175637839027909,-0.033586639747491084,0.14218862265842444,0.24075,0.03805072346180366,-0.03124459484582953,0.1646660303883273,0.7856145795052351,0.360557388743059,0.40270353120556346,0.360557388743059,0.7625715433437437,0.2984622597178699,0.37203721406022905,0.2984622597178699,0.8421814359747126,0.40975072173538696,0.4233343891095279,0.40975072173538696,0.468,0.26236526659808257,-0.0844680600846341,0.5246828749012802,0.32275,0.14145681879924576,-0.007141477039821477,0.23682478150522437,1167639,
148,embedding_top100_mouse.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,45,4000,0.3,0.9425504006748349,0.9031398121943127,0.7878641304184348,0.9093026032535608,0.253,0.01999242029361734,-0.034099981041169895,0.14431401480022552,0.241,0.0329437635701398,-0.046485425079038495,0.16436161333177257,0.8663633457113193,0.6542743383914407,0.7180598290014488,0.6542743383914407,0.9012947725739805,0.6891585493478437,0.7797255054106085,0.6891585493478437,0.8312503580982932,0.6945521266692551,0.6983804971062813,0.6945521266692551,0.474,0.2654802395842671,-0.1216912527572761,0.5337870892925327,0.31825,0.13680462947622637,-0.021050749408674206,0.21830688534133116,401206,Emebdding based - Mouse
150,embedding_top30_human.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,45,4000,0.3,0.9222018270654505,0.8965413034281398,0.8310288526593075,0.9092575975105718,0.24925,0.02404485898905458,-0.05104320336846563,0.17947833888858333,0.2375,0.033080529708391364,-0.03702752019168582,0.17995289470252382,0.7948259571421029,0.7596803791112107,0.7778609470830882,0.7596803791112107,0.8572963214266996,0.7404059867534918,0.8061346873482022,0.7404059867534918,0.7965393163854471,0.7921643022629956,0.7476302943409822,0.7921643022629956,0.47225,0.2601409096428799,-0.12810488614283871,0.5351601397340929,0.317,0.13759165785525834,-0.02004891625052006,0.22603912350326139,415515,Emebdding based - Human
165,embedding_top30_mouse.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,46,4000,0.3,0.9496978337293452,0.8889774330429385,0.9511097607150065,0.898573623651964,0.2515,0.020740341519009303,-0.04004937549352046,0.14607948615702768,0.2385,0.026644822655860323,-0.05899525593664396,0.16334792360244071,0.8121015848064098,0.8642906806683381,0.8924622510251883,0.8642906806683381,0.9095910625933392,0.8655858016149847,0.9450317868442385,0.8655858016149847,0.8074430860906676,0.8147607281400725,0.8377115785097207,0.8147607281400725,0.4755,0.2597031979581729,-0.12360839254149161,0.5392503655567336,0.31625,0.1404460341338008,-0.03126318079171615,0.21221189543954763,301066,Emebdding based - Mouse
56,embedding_top50_human.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,43,4000,0.3,0.9457602999795169,0.9120764169118221,0.6174200224400022,0.9154703912348491,0.2485,0.017269152707066575,-0.04874345352144571,0.16012317012343968,0.2355,0.026573582979723773,-0.0318335213952572,0.16302004932656125,0.8683635268576453,0.49629894147026155,0.5252075738979132,0.49629894147026155,0.9399731311417322,0.5213294306759766,0.6030991104110266,0.5213294306759766,0.8768036163774618,0.651515170857047,0.6151291333261542,0.651515170857047,0.47375,0.25853954796170225,-0.10661840564724039,0.5432912513435816,0.31975,0.1386345066457778,-0.011422251797728707,0.2301638757522546,513058,Emebdding based - Human
10,embedding_top50_mouse.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,42,4000,0.3,0.9511850611535746,0.9075668363202941,0.7640536385471379,0.9068937516771672,0.2505,0.01762535795857742,-0.03880970963504627,0.14146162363666556,0.2385,0.027827390634464228,-0.0433417579741561,0.16913612383059257,0.7768505752136079,0.5386294687523674,0.5918338388773101,0.5386294687523674,0.899881045028096,0.6811139146581779,0.7804864885663996,0.6811139146581779,0.8603069337818889,0.6770868601406721,0.6577017305949819,0.6770868601406721,0.47275,0.2607210315372179,-0.11691840342876546,0.534029445064658,0.3165,0.14005102783116002,-0.009368365513142076,0.22173716067725807,334183,Emebdding based - Mouse
134,embedding_top70_human.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,45,4000,0.3,0.89935181534808,0.8969205954406556,0.7950337541179266,0.8998577106514031,0.251,0.01345075054788017,-0.03539540439082974,0.14423285095785027,0.238,0.030924698817241972,-0.037768025538636396,0.1620532513020495,0.7780412127023724,0.6060366568312981,0.639855966121286,0.6060366568312981,0.8688935161942541,0.7197412784748107,0.8003546666879497,0.7197412784748107,0.8791902721837203,0.7290495842180225,0.7416910178861555,0.7290495842180225,0.47175,0.25566204833386147,-0.09252978473021768,0.5313974215021511,0.316,0.13833176590209165,-0.016531473744743043,0.22774041652529167,650336,Emebdding based - Human
228,embedding_top70_mouse.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,47,4000,0.3,0.9248364295226342,0.9065086800799728,0.8980258663441945,0.9064630513901557,0.25275,0.02371605860231326,-0.043478726096040816,0.14701326644018625,0.23875,0.028795605731458125,-0.03254896672598942,0.17147733026268772,0.8646921966510726,0.8258742082147426,0.8572701862714286,0.8258742082147426,0.8260564120533052,0.8338089191151342,0.885339107753702,0.8338089191151342,0.8000390746257564,0.7735205378150006,0.7855301859608798,0.7735205378150006,0.4775,0.2649295001121362,-0.11316750713602698,0.5459342660192567,0.31675,0.13001517713595057,-0.017768899565970542,0.20347744631088752,354483,Emebdding based - Mouse
48,extra_human_chem.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,43,4000,0.3,0.9305449175075419,0.920105611739542,0.9427856485724645,0.9270639465143737,0.2485,0.033989521637732265,-0.0555835803658987,0.19858948529116996,0.23425,0.028463720923233116,-0.054369314743143965,0.18159018929435947,0.8895529675545416,0.90646960447331,0.9239248602917404,0.90646960447331,0.8388910592648228,0.9073987812570853,0.9231521180629846,0.9073987812570853,0.7945538864174513,0.7971385407448579,0.8178349106111072,0.7971385407448579,0.4735,0.26120064650106123,-0.115967640416575,0.5274229539996848,0.31525,0.11998754947106344,-0.05505601650386322,0.16552146512547503,220755,Extra conditions - Human
4,extra_human_neonatal.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,42,4000,0.3,0.9547749523529326,0.9124540082403243,0.955899741040666,0.9268977821627148,0.24875,0.021861749026414804,-0.057951443031459465,0.18552377627036037,0.2345,0.022481664849196243,-0.06532329582627891,0.16904247052219754,0.8241765934785499,0.8290418251427858,0.8205150261618963,0.8290418251427858,0.9394451047052509,0.9066256998096678,0.9506521419488381,0.9066256998096678,0.8634920337406216,0.8479270336737685,0.8625915804615913,0.8479270336737685,0.4745,0.2513398605380682,-0.13615108548056315,0.5331983537833136,0.31575,0.1325257652194722,-0.069323939351666,0.17113366170288627,215282,Extra conditions - Human
