,config.addl_dataset_train,config.cov_embed_dims,config.dataset_ground_truth1,config.dataset_ground_truth2,config.dataset_to_predict,config.dropout_rate,config.encode_ct,config.kl_weight,config.learning_rate,config.max_epochs,config.n_hidden,config.n_latent,config.n_layers,config.save_folder_name,config.save_models,config.seed,config.shared_top,config.weight_decay,result.r2_dbdb_healthy,result.r2_dbdb_OOD,result.r2_mSTZ_healthy,result.r2_mSTZ_OOD,result.shared_top_genes_dbdb,result.scores_corr_dbdb,result.pvals_adj_corr_dbdb,result.scores_ranks_corr_dbdb,result.shared_top_genes_mSTZ,result.scores_corr_mSTZ,result.pvals_adj_corr_mSTZ,result.scores_ranks_corr_mSTZ,result.pancreatic_D_cell_r2_dbdb_healthy,result.pancreatic_D_cell_r2_dbdb_OOD,result.pancreatic_D_cell_r2_mSTZ_healthy,result.pancreatic_D_cell_r2_mSTZ_OOD,result.type_B_pancreatic_cell_r2_dbdb_healthy,result.type_B_pancreatic_cell_r2_dbdb_OOD,result.type_B_pancreatic_cell_r2_mSTZ_healthy,result.type_B_pancreatic_cell_r2_mSTZ_OOD,result.pancreatic_A_cell_r2_dbdb_healthy,result.pancreatic_A_cell_r2_dbdb_OOD,result.pancreatic_A_cell_r2_mSTZ_healthy,result.pancreatic_A_cell_r2_mSTZ_OOD,result.pancreatic_A_cell_shared_top_genes_dbdb_,result.pancreatic_A_cell_scores_corr_dbdb_,result.pancreatic_A_cell_pvals_adj_corr_dbdb_,result.pancreatic_A_cell_scores_ranks_corr_dbdb_,result.pancreatic_A_cell_shared_top_genes_mSTZ_,result.pancreatic_A_cell_scores_corr_mSTZ_,result.pancreatic_A_cell_pvals_adj_corr_mSTZ_,result.pancreatic_A_cell_scores_ranks_corr_mSTZ_,result.n_cells_train,dataset_group
189,embedding_top100_mouse.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,46,4000,0.3,0.9496079422649975,0.8986111071469214,0.8602984274800781,0.9015519624368763,0.25475,0.016799428604473896,-0.0303128732039633,0.14342947226097552,0.23875,0.025353551369722768,-0.03628692925628494,0.16914568501487182,0.866880679235168,0.7587354547871329,0.7945604719031805,0.7587354547871329,0.9493811781400753,0.76533919297481,0.8433376190012866,0.76533919297481,0.8843229293563266,0.7831100751596962,0.7963142186037366,0.7831100751596962,0.47375,0.259253006578469,-0.12908542417533794,0.5269049415604604,0.31675,0.127468216114883,-0.021376790232481204,0.20842676702753943,401206,Emebdding based - Mouse
150,embedding_top30_human.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,45,4000,0.3,0.9222018270654505,0.8965413034281398,0.8310288526593075,0.9092575975105718,0.24925,0.02404485898905458,-0.05104320336846563,0.17947833888858333,0.2375,0.033080529708391364,-0.03702752019168582,0.17995289470252382,0.7948259571421029,0.7596803791112107,0.7778609470830882,0.7596803791112107,0.8572963214266996,0.7404059867534918,0.8061346873482022,0.7404059867534918,0.7965393163854471,0.7921643022629956,0.7476302943409822,0.7921643022629956,0.47225,0.2601409096428799,-0.12810488614283871,0.5351601397340929,0.317,0.13759165785525834,-0.02004891625052006,0.22603912350326139,415515,Emebdding based - Human
2,embedding_top30_mouse.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,42,4000,0.3,0.9358959460797719,0.9057961058908534,0.7676599168002144,0.9013025412539022,0.251,0.02575861471885665,-0.03472193413369826,0.1565469896609429,0.23875,0.044590450398318666,-0.030323140147874236,0.16491517497132344,0.7157883550251274,0.4555798400775437,0.4888473125376337,0.4555798400775437,0.8475808468964927,0.7673524257383166,0.8486959314332488,0.7673524257383166,0.8214574501523371,0.4831859577780919,0.5534259881580488,0.4831859577780919,0.473,0.26581396262315415,-0.10274753062856852,0.538006338686825,0.3185,0.1291556435962984,-0.005959321916941494,0.21371251728672916,301066,Emebdding based - Mouse
97,embedding_top50_human.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,44,4000,0.3,0.9373181670743221,0.8835297817182225,0.9058611224680678,0.8802297501912537,0.25175,0.013715227603864897,-0.026711840883208104,0.13990062943093037,0.23475,0.026947880930408074,-0.04165470236329744,0.1419602401408262,0.830298959546657,0.7678825146042207,0.7925599264931101,0.7678825146042207,0.9171791869488997,0.8406543414359959,0.9008003896399458,0.8406543414359959,0.8519476026704447,0.791853203567358,0.819435699947577,0.791853203567358,0.4705,0.26116550828387847,-0.08752487213964476,0.53074108351611,0.31625,0.1379478800833693,-0.04801254859384122,0.21091696400764984,513058,Emebdding based - Human
296,embedding_top50_mouse.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,49,4000,0.3,0.9464052288811554,0.9034665917083553,0.7530401694867143,0.8935896715915967,0.25125,0.030626995670805467,-0.03640094055605594,0.1736644649186201,0.2365,0.029478408994259016,-0.023390443481323537,0.15521247456044238,0.782739045380831,0.5555128320459248,0.5777227200842338,0.5555128320459248,0.8929086948740139,0.7175215995549344,0.8050638124362668,0.7175215995549344,0.8543559527552198,0.5915998311857003,0.5871389287036533,0.5915998311857003,0.47425,0.2607020829391191,-0.1174581689177797,0.544532450055797,0.31825,0.12676737188666462,-0.011420702248081333,0.22720002171018816,334183,Emebdding based - Mouse
134,embedding_top70_human.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,45,4000,0.3,0.89935181534808,0.8969205954406556,0.7950337541179266,0.8998577106514031,0.251,0.01345075054788017,-0.03539540439082974,0.14423285095785027,0.238,0.030924698817241972,-0.037768025538636396,0.1620532513020495,0.7780412127023724,0.6060366568312981,0.639855966121286,0.6060366568312981,0.8688935161942541,0.7197412784748107,0.8003546666879497,0.7197412784748107,0.8791902721837203,0.7290495842180225,0.7416910178861555,0.7290495842180225,0.47175,0.25566204833386147,-0.09252978473021768,0.5313974215021511,0.316,0.13833176590209165,-0.016531473744743043,0.22774041652529167,650336,Emebdding based - Human
23,embedding_top70_mouse.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,42,4000,0.3,0.9435889760412548,0.9062100384200936,0.7527421534927378,0.9109298537692588,0.25125,0.01718168945306182,-0.03569765288508301,0.13354725298746706,0.241,0.030585048247984796,-0.033547152199024516,0.16339536981815933,0.8120964149318779,0.5772094041763343,0.6202594091184748,0.5772094041763343,0.9264512145020776,0.6220139595893153,0.7050874063041339,0.6220139595893153,0.8352574321187091,0.7426720170938155,0.7342569671851955,0.7426720170938155,0.47425,0.26818204654243794,-0.1161832973557466,0.5349886421983918,0.31775,0.14312848046368065,-0.009566322710408512,0.2199719564403632,354483,Emebdding based - Mouse
253,extra_human_chem.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,48,4000,0.3,0.2537499201643796,0.2478088911467993,0.6838949377304238,0.4270231148463649,0.249,0.013758366076249187,-0.03390115341326152,0.14855333528912926,0.23425,0.02513101420756245,-0.03668832517364267,0.1599072276100024,0.23832045658198775,0.6362773240044681,0.6535995555840423,0.6362773240044681,0.20441551361620502,0.5638191509538315,0.6208193292554045,0.5638191509538315,0.27202362620944875,0.7383136853254457,0.6865987047610762,0.7383136853254457,0.475,0.25373899707462516,-0.07665271875352657,0.5415616676904093,0.3135,0.1290623060156538,-0.016760897433900284,0.20049900056514738,220755,Extra conditions - Human
85,extra_human_neonatal.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,44,4000,0.3,0.916233431159049,0.9184967499745096,0.893773788042992,0.93596541475246,0.24825,0.03043428389123213,-0.07128701701645934,0.187934437655239,0.23575,0.034934627671613414,-0.04567262840792764,0.18663117366439375,0.9011274585755242,0.8369330463699856,0.8980525920216877,0.8369330463699856,0.8604053649750537,0.8334259301180656,0.8803329892069469,0.8334259301180656,0.8154044899061093,0.815949479995815,0.8164914798658804,0.815949479995815,0.475,0.25729297737254936,-0.1318468033904797,0.5310763689479046,0.3145,0.1217293689686027,-0.040122918114370944,0.17805149719574995,215282,Extra conditions - Human
31,extra_human_preT2D.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,42,4000,0.3,0.9537981630574982,0.8969029548181238,0.9550719288750321,0.9118678756884608,0.24875,0.03312155502433873,-0.05182199320429129,0.20786056942484163,0.23575,0.028854862261288413,-0.04953430622976878,0.18150093101360099,0.7839554084628599,0.7765545709607209,0.8245930680797079,0.7765545709607209,0.8506138380845749,0.8509921517908039,0.9036649855188504,0.8509921517908039,0.7894581514919579,0.8089562822199691,0.8420723297280824,0.8089562822199691,0.472,0.25866612763727814,-0.13264844130359846,0.5272828380732694,0.31575,0.13156999033462027,-0.053713122705347255,0.18696739827134254,232413,Extra conditions - Human
183,extra_mouse_Embryonic.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,46,4000,0.3,0.9110734967310443,0.8977934263272693,0.9128617555666427,0.9115450574281877,0.24875,0.03268956325134939,-0.055181259621937435,0.17797965011535916,0.236,0.02551462514854494,-0.058850104917173976,0.1849390452211766,0.8279453181892871,0.8172691983286552,0.8302165692259785,0.8172691983286552,0.8318595006293277,0.8721396414487528,0.856961901465007,0.8721396414487528,0.8561767033149339,0.8049517084377453,0.8426196434914887,0.8049517084377453,0.47525,0.26337152353230386,-0.11596327173135605,0.5244419359889376,0.319,0.12244005381847606,-0.056417406140029575,0.17766629152917532,242315,Extra conditions - Mouse
58,extra_mouse_T1D.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,43,4000,0.3,0.9518030959345035,0.8992812417406394,0.9386998351516963,0.9123456324638761,0.2515,0.03206696699947242,-0.04682704459616117,0.1865507510876512,0.23875,0.027949940414412348,-0.052622549505114066,0.19577375565064006,0.7445317685223416,0.7984793491559606,0.8123797489242969,0.7984793491559606,0.9317670944104094,0.8508663573508557,0.9177158570510818,0.8508663573508557,0.8933958321069955,0.804979531874682,0.8836046624141103,0.804979531874682,0.4785,0.2518805776956185,-0.13883107518267773,0.5289083528422407,0.31625,0.10440073709543198,-0.0699810199145257,0.1272996969109147,244686,Extra conditions - Mouse
218,extra_mouse_aged.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,47,4000,0.3,0.9734035139446255,0.9055689190850842,0.9310173658368279,0.9177687825563354,0.24925,0.0256687227062431,-0.04638416639087387,0.1602838535273332,0.23525,0.029611171878321105,-0.04612374034876058,0.16394381753610177,0.8170430974545375,0.8476996327740041,0.8717814498288379,0.8476996327740041,0.9410960607755585,0.8091049295369428,0.8782450481865156,0.8091049295369428,0.7866384460788429,0.8047177575316612,0.835802898032825,0.8047177575316612,0.46975,0.25670163902376975,-0.12342044614434314,0.5178048368184748,0.319,0.12061457958874049,-0.045573399415611913,0.1888024525298582,222115,Extra conditions - Mouse
74,extra_mouse_chem.h5ad,10,dbdb_ground_truth_cleanCT.h5ad,mSTZ_ground_truth_cleanCT.h5ad,wang_to_predict_cleanCT.h5ad,0.0001,False,0.005,0.0001,1500,1000,512,8,final_full_CT_10reps,False,43,4000,0.3,0.9382110463860208,0.9111657702303398,0.9498269541708262,0.923739725016866,0.25125,0.028922139896105772,-0.0596309888765229,0.1755894740888557,0.23475,0.027237672869770902,-0.04856633856731308,0.18269618135591373,0.8676387106385718,0.8508860077208109,0.9143339766826339,0.8508860077208109,0.8849512325075867,0.8701329080655875,0.9208529091241893,0.8701329080655875,0.802047900956156,0.8136739582723573,0.854980078006951,0.8136739582723573,0.476,0.24923358464785547,-0.12280341099762385,0.5380759892467737,0.316,0.10547761801814733,-0.03156763383414873,0.18274066372495262,238085,Extra conditions - Mouse
