Gene stable ID	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID
ENSMUSG00000000049	Apoh	apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]	11818
ENSMUSG00000000058	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]	12390
ENSMUSG00000000078	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]	23849
ENSMUSG00000000093	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]	21385
ENSMUSG00000000120	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]	18053
ENSMUSG00000000127	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]	14158
ENSMUSG00000000244	Tspan32	tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360]	27027
ENSMUSG00000000263	Glra1	glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]	14654
ENSMUSG00000000275	Trim25	tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]	217069
ENSMUSG00000000301	Pemt	phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]	18618
ENSMUSG00000000317	Bcl6b	B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]	12029
ENSMUSG00000000320	Alox12	arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998]	11684
ENSMUSG00000000359	Rem1	rad and gem related GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:1097696]	19700
ENSMUSG00000000392	Fap	fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608]	14089
ENSMUSG00000000394	Gcg	glucagon [Source:MGI Symbol;Acc:MGI:95674]	14526
ENSMUSG00000000402	Egfl6	EGF-like-domain, multiple 6 [Source:MGI Symbol;Acc:MGI:1858599]	54156
ENSMUSG00000000409	Lck	lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]	16818
ENSMUSG00000000489	Pdgfb	platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]	18591
ENSMUSG00000000530	Acvrl1	activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]	11482
ENSMUSG00000000555	Itga5	integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]	16402
ENSMUSG00000000567	Sox9	SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]	20682
ENSMUSG00000000594	Gm2a	GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]	14667
ENSMUSG00000000627	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]	20355
ENSMUSG00000000628	Hk2	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]	15277
ENSMUSG00000000673	Haao	3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]	107766
ENSMUSG00000000682	Cd52	CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]	23833
ENSMUSG00000000730	Dnmt3l	DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol;Acc:MGI:1859287]	54427
ENSMUSG00000000731	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy) [Source:MGI Symbol;Acc:MGI:1338803]	11634
ENSMUSG00000000732	Icosl	icos ligand [Source:MGI Symbol;Acc:MGI:1354701]	50723
ENSMUSG00000000782	Tcf7	transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]	21414
ENSMUSG00000000791	Il12rb1	interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]	16161
ENSMUSG00000000792	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5 [Source:MGI Symbol;Acc:MGI:2149330]	114479
ENSMUSG00000000805	Car4	carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]	12351
ENSMUSG00000000817	Fasl	Fas ligand (TNF superfamily, member 6) [Source:MGI Symbol;Acc:MGI:99255]	14103
ENSMUSG00000000861	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]	14025
ENSMUSG00000000869	Il4	interleukin 4 [Source:MGI Symbol;Acc:MGI:96556]	16189
ENSMUSG00000000903	Vpreb3	V-set pre-B cell surrogate light chain 3 [Source:MGI Symbol;Acc:MGI:98938]	22364
ENSMUSG00000000957	Mmp14	matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]	17387
ENSMUSG00000001020	S100a4	S100 calcium binding protein A4 [Source:MGI Symbol;Acc:MGI:1330282]	20198
ENSMUSG00000001023	S100a5	S100 calcium binding protein A5 [Source:MGI Symbol;Acc:MGI:1338915]	20199
ENSMUSG00000001025	S100a6	S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]	20200
ENSMUSG00000001027	Scn4a	sodium channel, voltage-gated, type IV, alpha [Source:MGI Symbol;Acc:MGI:98250]	110880
ENSMUSG00000001029	Icam2	intercellular adhesion molecule 2 [Source:MGI Symbol;Acc:MGI:96394]	15896
ENSMUSG00000001089	Luzp1	leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629]	269593
ENSMUSG00000001098	Kctd10	potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207]	330171
ENSMUSG00000001119	Col6a1	collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]	12833
ENSMUSG00000001128	Cfp	complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]	18636
ENSMUSG00000001131	Timp1	tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]	21857
ENSMUSG00000001156	Mxd1	MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908]	17119
