,Ensembl Gene ID,External Gene Name,NCBI Entrez ID,Description
0,ENSMUSG00000000049,Apoh,11818,apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]
1,ENSMUSG00000000058,Cav2,12390,caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
2,ENSMUSG00000000078,Klf6,23849,Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
3,ENSMUSG00000000093,Tbx2,21385,T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
4,ENSMUSG00000000120,Ngfr,18053,"nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]"
5,ENSMUSG00000000127,Fer,14158,fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
6,ENSMUSG00000000244,Tspan32,27027,tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360]
7,ENSMUSG00000000263,Glra1,14654,"glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]"
8,ENSMUSG00000000275,Trim25,217069,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]
9,ENSMUSG00000000301,Pemt,18618,phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]
10,ENSMUSG00000000317,Bcl6b,12029,"B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]"
11,ENSMUSG00000000320,Alox12,11684,arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998]
12,ENSMUSG00000000359,Rem1,19700,rad and gem related GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:1097696]
13,ENSMUSG00000000392,Fap,14089,fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608]
14,ENSMUSG00000000394,Gcg,14526,glucagon [Source:MGI Symbol;Acc:MGI:95674]
15,ENSMUSG00000000402,Egfl6,54156,"EGF-like-domain, multiple 6 [Source:MGI Symbol;Acc:MGI:1858599]"
16,ENSMUSG00000000409,Lck,16818,lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]
17,ENSMUSG00000000489,Pdgfb,18591,"platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]"
18,ENSMUSG00000000530,Acvrl1,11482,"activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]"
19,ENSMUSG00000000555,Itga5,16402,integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]
20,ENSMUSG00000000567,Sox9,20682,SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]
21,ENSMUSG00000000594,Gm2a,14667,GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]
22,ENSMUSG00000000627,Sema4f,20355,"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]"
23,ENSMUSG00000000628,Hk2,15277,hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]
24,ENSMUSG00000000673,Haao,107766,"3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]"
25,ENSMUSG00000000682,Cd52,23833,CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]
26,ENSMUSG00000000730,Dnmt3l,54427,DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol;Acc:MGI:1859287]
