Gene stable ID	Gene stable ID version	Mouse gene stable ID	Mouse gene name	Gene name	Mouse homology type
ENSG00000198888	ENSG00000198888.2	ENSMUSG00000064341	mt-Nd1	MT-ND1	ortholog_one2one
ENSG00000198763	ENSG00000198763.3	ENSMUSG00000064345	mt-Nd2	MT-ND2	ortholog_one2one
ENSG00000198804	ENSG00000198804.2	ENSMUSG00000064351	mt-Co1	MT-CO1	ortholog_one2one
ENSG00000198712	ENSG00000198712.1	ENSMUSG00000064354	mt-Co2	MT-CO2	ortholog_one2one
ENSG00000228253	ENSG00000228253.1	ENSMUSG00000064356	mt-Atp8	MT-ATP8	ortholog_one2one
ENSG00000198899	ENSG00000198899.2	ENSMUSG00000064357	mt-Atp6	MT-ATP6	ortholog_one2one
ENSG00000198938	ENSG00000198938.2	ENSMUSG00000064358	mt-Co3	MT-CO3	ortholog_one2one
ENSG00000198840	ENSG00000198840.2	ENSMUSG00000064360	mt-Nd3	MT-ND3	ortholog_one2one
ENSG00000212907	ENSG00000212907.2	ENSMUSG00000065947	mt-Nd4l	MT-ND4L	ortholog_one2one
ENSG00000198886	ENSG00000198886.2	ENSMUSG00000064363	mt-Nd4	MT-ND4	ortholog_one2one
ENSG00000198786	ENSG00000198786.2	ENSMUSG00000064367	mt-Nd5	MT-ND5	ortholog_one2one
ENSG00000198695	ENSG00000198695.2	ENSMUSG00000064368	mt-Nd6	MT-ND6	ortholog_one2one
ENSG00000198727	ENSG00000198727.2	ENSMUSG00000064370	mt-Cytb	MT-CYB	ortholog_one2one
ENSG00000275987	ENSG00000275987.1	ENSMUSG00000087949	Gm24251	U1	ortholog_one2many
ENSG00000275405	ENSG00000275405.1			U1	
ENSG00000277374	ENSG00000277374.1	ENSMUSG00000088258	Gm24291	U1	ortholog_one2many
ENSG00000282175	ENSG00000282175.4			HNRNPCL1	
ENSG00000282584	ENSG00000282584.2			PRAMEF4	
ENSG00000282119	ENSG00000282119.2			PRAMEF6	
ENSG00000288263	ENSG00000288263.1			GRK1	
ENSG00000291426	ENSG00000291426.1			TOLLIP	
ENSG00000291428	ENSG00000291428.1			BRSK2	
ENSG00000291431	ENSG00000291431.1			DUSP8	
ENSG00000291432	ENSG00000291432.1			KRTAP5-AS1	
ENSG00000291443	ENSG00000291443.1			KRTAP5-5	
ENSG00000291442	ENSG00000291442.1			MOB2	
ENSG00000114374	ENSG00000114374.13	ENSMUSG00000069044	Usp9y	USP9Y	ortholog_one2one
ENSG00000198692	ENSG00000198692.10			EIF1AY	
ENSG00000226906	ENSG00000226906.1			TTTY4	
ENSG00000229236	ENSG00000229236.3			TTTY10	
ENSG00000169953	ENSG00000169953.12	ENSMUSG00000045336	Hsfy2	HSFY2	ortholog_one2many
ENSG00000233522	ENSG00000233522.1			FAM224A	
ENSG00000176728	ENSG00000176728.10			TTTY14	
ENSG00000012817	ENSG00000012817.16	ENSMUSG00000056673	Kdm5d	KDM5D	ortholog_one2one
ENSG00000285070	ENSG00000285070.2			ADIPOR2	
ENSG00000284953	ENSG00000284953.2			CACNA2D4	
ENSG00000284850	ENSG00000284850.2			DCP1B	
ENSG00000285101	ENSG00000285101.1			CACNA1C-AS2	
ENSG00000285335	ENSG00000285335.1			CACNA1C-AS1	
ENSG00000285479	ENSG00000285479.3			CACNA1C	
ENSG00000228296	ENSG00000228296.1			TTTY4C	
ENSG00000184895	ENSG00000184895.8	ENSMUSG00000069036	Sry	SRY	ortholog_one2one
ENSG00000129824	ENSG00000129824.16			RPS4Y1	
