,ensembl_gene_id,external_gene_name,hsapiens_homolog_ensembl_gene,hsapiens_homolog_associated_gene_name
0,ENSMUSG00000064336,mt-Tf,,
1,ENSMUSG00000064337,mt-Rnr1,,
2,ENSMUSG00000064338,mt-Tv,,
3,ENSMUSG00000064339,mt-Rnr2,,
4,ENSMUSG00000064340,mt-Tl1,,
5,ENSMUSG00000064341,mt-Nd1,ENSG00000198888,MT-ND1
6,ENSMUSG00000064342,mt-Ti,,
7,ENSMUSG00000064343,mt-Tq,,
8,ENSMUSG00000064344,mt-Tm,,
9,ENSMUSG00000064345,mt-Nd2,ENSG00000198763,MT-ND2
10,ENSMUSG00000064346,mt-Tw,,
11,ENSMUSG00000064347,mt-Ta,,
12,ENSMUSG00000064348,mt-Tn,,
13,ENSMUSG00000064349,mt-Tc,,
14,ENSMUSG00000064350,mt-Ty,,
15,ENSMUSG00000064351,mt-Co1,ENSG00000198804,MT-CO1
16,ENSMUSG00000064352,mt-Ts1,,
17,ENSMUSG00000064353,mt-Td,,
18,ENSMUSG00000064354,mt-Co2,ENSG00000198712,MT-CO2
19,ENSMUSG00000064355,mt-Tk,,
20,ENSMUSG00000064356,mt-Atp8,ENSG00000228253,MT-ATP8
21,ENSMUSG00000064357,mt-Atp6,ENSG00000198899,MT-ATP6
22,ENSMUSG00000064358,mt-Co3,ENSG00000198938,MT-CO3
23,ENSMUSG00000064359,mt-Tg,,
24,ENSMUSG00000064360,mt-Nd3,ENSG00000198840,MT-ND3
25,ENSMUSG00000064361,mt-Tr,,
26,ENSMUSG00000065947,mt-Nd4l,ENSG00000212907,MT-ND4L
27,ENSMUSG00000064363,mt-Nd4,ENSG00000198886,MT-ND4
28,ENSMUSG00000064364,mt-Th,,
29,ENSMUSG00000064365,mt-Ts2,,
30,ENSMUSG00000064366,mt-Tl2,,
31,ENSMUSG00000064367,mt-Nd5,ENSG00000198786,MT-ND5
32,ENSMUSG00000064368,mt-Nd6,ENSG00000198695,MT-ND6
33,ENSMUSG00000064369,mt-Te,,
34,ENSMUSG00000064370,mt-Cytb,ENSG00000198727,MT-CYB
35,ENSMUSG00000064371,mt-Tt,,
36,ENSMUSG00000064372,mt-Tp,,
37,ENSMUSG00002075400,,,
38,ENSMUSG00002074899,,,
39,ENSMUSG00002076890,,,
40,ENSMUSG00002074970,,,
41,ENSMUSG00002075729,,,
42,ENSMUSG00000095742,,,
43,ENSMUSG00000094915,,ENSG00000067066,SP100
44,ENSMUSG00000079808,,ENSG00000135899,SP110
45,ENSMUSG00000095666,,ENSG00000239810,PRAMEF11
46,ENSMUSG00000095666,,ENSG00000204501,PRAMEF15
47,ENSMUSG00000095666,,ENSG00000229571,PRAMEF25
48,ENSMUSG00000095666,,ENSG00000187545,PRAMEF10
49,ENSMUSG00000095666,,ENSG00000243073,PRAMEF4
50,ENSMUSG00000095666,,ENSG00000270601,PRAMEF5
51,ENSMUSG00000095666,,ENSG00000279804,PRAMEF18
