,EID
0,ENSMUSG00000000001
1,ENSMUSG00000000028
2,ENSMUSG00000000037
3,ENSMUSG00000000049
4,ENSMUSG00000000056
5,ENSMUSG00000000058
6,ENSMUSG00000000078
7,ENSMUSG00000000085
8,ENSMUSG00000000088
9,ENSMUSG00000000093
10,ENSMUSG00000000094
11,ENSMUSG00000000120
12,ENSMUSG00000000125
13,ENSMUSG00000000126
14,ENSMUSG00000000127
15,ENSMUSG00000000131
16,ENSMUSG00000000134
17,ENSMUSG00000000142
18,ENSMUSG00000000148
19,ENSMUSG00000000149
20,ENSMUSG00000000154
21,ENSMUSG00000000167
22,ENSMUSG00000000168
23,ENSMUSG00000000171
24,ENSMUSG00000000182
25,ENSMUSG00000000183
26,ENSMUSG00000000184
27,ENSMUSG00000000194
28,ENSMUSG00000000197
29,ENSMUSG00000000202
30,ENSMUSG00000000214
31,ENSMUSG00000000216
32,ENSMUSG00000000223
33,ENSMUSG00000000244
34,ENSMUSG00000000247
35,ENSMUSG00000000253
36,ENSMUSG00000000263
37,ENSMUSG00000000266
38,ENSMUSG00000000275
39,ENSMUSG00000000276
40,ENSMUSG00000000278
41,ENSMUSG00000000282
42,ENSMUSG00000000295
43,ENSMUSG00000000296
44,ENSMUSG00000000301
45,ENSMUSG00000000303
46,ENSMUSG00000000305
47,ENSMUSG00000000317
48,ENSMUSG00000000320
49,ENSMUSG00000000326
50,ENSMUSG00000000339
51,ENSMUSG00000000340
52,ENSMUSG00000000346
53,ENSMUSG00000000355
54,ENSMUSG00000000359
55,ENSMUSG00000000365
56,ENSMUSG00000000374
57,ENSMUSG00000000378
58,ENSMUSG00000000384
59,ENSMUSG00000000385
60,ENSMUSG00000000392
61,ENSMUSG00000000394
62,ENSMUSG00000000399
63,ENSMUSG00000000402
64,ENSMUSG00000000409
65,ENSMUSG00000000411
66,ENSMUSG00000000416
67,ENSMUSG00000000420
68,ENSMUSG00000000435
69,ENSMUSG00000000439
70,ENSMUSG00000000440
71,ENSMUSG00000000441
72,ENSMUSG00000000489
73,ENSMUSG00000000530
74,ENSMUSG00000000532
75,ENSMUSG00000000538
76,ENSMUSG00000000544
77,ENSMUSG00000000552
78,ENSMUSG00000000555
79,ENSMUSG00000000560
80,ENSMUSG00000000561
81,ENSMUSG00000000562
82,ENSMUSG00000000567
83,ENSMUSG00000000568
84,ENSMUSG00000000581
85,ENSMUSG00000000594
86,ENSMUSG00000000600
87,ENSMUSG00000000605
88,ENSMUSG00000000617
89,ENSMUSG00000000627
90,ENSMUSG00000000628
91,ENSMUSG00000000631
92,ENSMUSG00000000632
93,ENSMUSG00000000673
94,ENSMUSG00000000682
95,ENSMUSG00000000686
96,ENSMUSG00000000690
97,ENSMUSG00000000693
98,ENSMUSG00000000706
99,ENSMUSG00000000708
100,ENSMUSG00000000711
101,ENSMUSG00000000724
102,ENSMUSG00000000730
103,ENSMUSG00000000731
104,ENSMUSG00000000732
105,ENSMUSG00000000738
106,ENSMUSG00000000740
107,ENSMUSG00000000743
108,ENSMUSG00000000751
109,ENSMUSG00000000753
110,ENSMUSG00000000759
111,ENSMUSG00000000766
112,ENSMUSG00000000776
113,ENSMUSG00000000782
114,ENSMUSG00000000787
115,ENSMUSG00000000791
116,ENSMUSG00000000792
117,ENSMUSG00000000794
118,ENSMUSG00000000805
119,ENSMUSG00000000811
120,ENSMUSG00000000817
121,ENSMUSG00000000823
122,ENSMUSG00000000826
123,ENSMUSG00000000827
124,ENSMUSG00000000838
125,ENSMUSG00000000861
126,ENSMUSG00000000869
127,ENSMUSG00000000876
128,ENSMUSG00000000881
129,ENSMUSG00000000884
130,ENSMUSG00000000889
131,ENSMUSG00000000901
132,ENSMUSG00000000902
133,ENSMUSG00000000903
134,ENSMUSG00000000915
135,ENSMUSG00000000916
136,ENSMUSG00000000934
137,ENSMUSG00000000938
138,ENSMUSG00000000942
139,ENSMUSG00000000957
140,ENSMUSG00000000958
141,ENSMUSG00000000959
142,ENSMUSG00000000976
143,ENSMUSG00000001014
144,ENSMUSG00000001016
145,ENSMUSG00000001017
146,ENSMUSG00000001018
147,ENSMUSG00000001020
148,ENSMUSG00000001021
149,ENSMUSG00000001023
150,ENSMUSG00000001025
151,ENSMUSG00000001027
152,ENSMUSG00000001029
153,ENSMUSG00000001034
154,ENSMUSG00000001036
155,ENSMUSG00000001039
156,ENSMUSG00000001052
157,ENSMUSG00000001054
158,ENSMUSG00000001056
159,ENSMUSG00000001062
160,ENSMUSG00000001065
161,ENSMUSG00000001076
162,ENSMUSG00000001082
163,ENSMUSG00000001089
164,ENSMUSG00000001095
165,ENSMUSG00000001098
166,ENSMUSG00000001100
167,ENSMUSG00000001103
168,ENSMUSG00000001105
169,ENSMUSG00000001119
170,ENSMUSG00000001120
171,ENSMUSG00000001127
172,ENSMUSG00000001128
173,ENSMUSG00000001131
174,ENSMUSG00000001134
175,ENSMUSG00000001138
176,ENSMUSG00000001143
177,ENSMUSG00000001150
178,ENSMUSG00000001151
179,ENSMUSG00000001155
180,ENSMUSG00000001156
181,ENSMUSG00000001173
182,ENSMUSG00000001175
183,ENSMUSG00000001211
184,ENSMUSG00000001225
185,ENSMUSG00000001227
186,ENSMUSG00000001228
187,ENSMUSG00000001229
188,ENSMUSG00000001240
189,ENSMUSG00000001247
190,ENSMUSG00000001248
191,ENSMUSG00000001249
192,ENSMUSG00000001260
193,ENSMUSG00000001270
194,ENSMUSG00000001280
195,ENSMUSG00000001281
196,ENSMUSG00000001288
197,ENSMUSG00000001289
198,ENSMUSG00000001300
199,ENSMUSG00000001305
200,ENSMUSG00000001313
201,ENSMUSG00000001323
202,ENSMUSG00000001333
203,ENSMUSG00000001334
204,ENSMUSG00000001348
205,ENSMUSG00000001349
206,ENSMUSG00000001366
207,ENSMUSG00000001376
208,ENSMUSG00000001383
209,ENSMUSG00000001403
210,ENSMUSG00000001415
211,ENSMUSG00000001416
212,ENSMUSG00000001418
213,ENSMUSG00000001419
214,ENSMUSG00000001420
215,ENSMUSG00000001424
216,ENSMUSG00000001435
217,ENSMUSG00000001436
218,ENSMUSG00000001440
219,ENSMUSG00000001441
220,ENSMUSG00000001444
221,ENSMUSG00000001445
222,ENSMUSG00000001467
223,ENSMUSG00000001472
224,ENSMUSG00000001473
225,ENSMUSG00000001482
226,ENSMUSG00000001493
227,ENSMUSG00000001494
228,ENSMUSG00000001496
229,ENSMUSG00000001497
230,ENSMUSG00000001504
231,ENSMUSG00000001506
232,ENSMUSG00000001507
233,ENSMUSG00000001508
234,ENSMUSG00000001510
235,ENSMUSG00000001517
236,ENSMUSG00000001518
237,ENSMUSG00000001520
238,ENSMUSG00000001521
239,ENSMUSG00000001524
240,ENSMUSG00000001525
241,ENSMUSG00000001542
242,ENSMUSG00000001552
243,ENSMUSG00000001555
244,ENSMUSG00000001558
245,ENSMUSG00000001566
246,ENSMUSG00000001569
247,ENSMUSG00000001576
248,ENSMUSG00000001583
249,ENSMUSG00000001588
250,ENSMUSG00000001604
251,ENSMUSG00000001622
252,ENSMUSG00000001627
253,ENSMUSG00000001630
254,ENSMUSG00000001632
255,ENSMUSG00000001642
256,ENSMUSG00000001655
257,ENSMUSG00000001656
258,ENSMUSG00000001657
259,ENSMUSG00000001661
260,ENSMUSG00000001670
261,ENSMUSG00000001672
262,ENSMUSG00000001674
263,ENSMUSG00000001687
264,ENSMUSG00000001707
265,ENSMUSG00000001729
266,ENSMUSG00000001739
267,ENSMUSG00000001741
268,ENSMUSG00000001750
269,ENSMUSG00000001751
270,ENSMUSG00000001755
271,ENSMUSG00000001761
272,ENSMUSG00000001763
273,ENSMUSG00000001767
274,ENSMUSG00000001768
275,ENSMUSG00000001773
276,ENSMUSG00000001774
277,ENSMUSG00000001783
278,ENSMUSG00000001785
279,ENSMUSG00000001786
280,ENSMUSG00000001794
281,ENSMUSG00000001802
282,ENSMUSG00000001804
283,ENSMUSG00000001815
284,ENSMUSG00000001819
285,ENSMUSG00000001823
286,ENSMUSG00000001827
287,ENSMUSG00000001829
288,ENSMUSG00000001844
289,ENSMUSG00000001847
290,ENSMUSG00000001855
291,ENSMUSG00000001864
292,ENSMUSG00000001865
293,ENSMUSG00000001870
294,ENSMUSG00000001891
295,ENSMUSG00000001901
296,ENSMUSG00000001909
297,ENSMUSG00000001910
298,ENSMUSG00000001911
299,ENSMUSG00000001918
300,ENSMUSG00000001924
301,ENSMUSG00000001930
302,ENSMUSG00000001942
303,ENSMUSG00000001943
