Gene stable ID	Human gene stable ID	Human homology type
ENSMUSG00000000049	ENSG00000091583	ortholog_one2one
ENSMUSG00000000058	ENSG00000105971	ortholog_one2one
ENSMUSG00000000078	ENSG00000067082	ortholog_one2one
ENSMUSG00000000093	ENSG00000121068	ortholog_one2one
ENSMUSG00000000120	ENSG00000064300	ortholog_one2one
ENSMUSG00000000127	ENSG00000151422	ortholog_one2one
ENSMUSG00000000244	ENSG00000064201	ortholog_one2one
ENSMUSG00000000263	ENSG00000145888	ortholog_one2one
ENSMUSG00000000275	ENSG00000121060	ortholog_one2one
ENSMUSG00000000301	ENSG00000133027	ortholog_one2one
ENSMUSG00000000317	ENSG00000161940	ortholog_one2one
ENSMUSG00000000320	ENSG00000108839	ortholog_one2one
ENSMUSG00000000359	ENSG00000088320	ortholog_one2one
ENSMUSG00000000392	ENSG00000078098	ortholog_one2one
ENSMUSG00000000394	ENSG00000115263	ortholog_one2one
ENSMUSG00000000402	ENSG00000198759	ortholog_one2one
ENSMUSG00000000409	ENSG00000182866	ortholog_one2one
ENSMUSG00000000489	ENSG00000100311	ortholog_one2one
ENSMUSG00000000530	ENSG00000139567	ortholog_one2one
ENSMUSG00000000555	ENSG00000161638	ortholog_one2one
ENSMUSG00000000567	ENSG00000125398	ortholog_one2one
ENSMUSG00000000594	ENSG00000196743	ortholog_one2one
ENSMUSG00000000627	ENSG00000135622	ortholog_one2one
ENSMUSG00000000628	ENSG00000159399	ortholog_one2one
ENSMUSG00000000673	ENSG00000162882	ortholog_one2one
ENSMUSG00000000682	ENSG00000169442	ortholog_one2one
ENSMUSG00000000730	ENSG00000142182	ortholog_one2one
ENSMUSG00000000731	ENSG00000160224	ortholog_one2one
ENSMUSG00000000732	ENSG00000160223	ortholog_one2one
ENSMUSG00000000782	ENSG00000081059	ortholog_one2one
ENSMUSG00000000791	ENSG00000096996	ortholog_one2one
ENSMUSG00000000792	ENSG00000105641	ortholog_one2one
ENSMUSG00000000805	ENSG00000167434	ortholog_one2one
ENSMUSG00000000817	ENSG00000117560	ortholog_one2one
ENSMUSG00000000861	ENSG00000119866	ortholog_one2one
ENSMUSG00000000869	ENSG00000113520	ortholog_one2one
ENSMUSG00000000903	ENSG00000128218	ortholog_one2one
ENSMUSG00000000957	ENSG00000157227	ortholog_one2one
ENSMUSG00000001020	ENSG00000196154	ortholog_one2one
ENSMUSG00000001023	ENSG00000196420	ortholog_one2one
ENSMUSG00000001025	ENSG00000197956	ortholog_one2one
ENSMUSG00000001027	ENSG00000007314	ortholog_one2one
ENSMUSG00000001029	ENSG00000108622	ortholog_one2one
ENSMUSG00000001089	ENSG00000169641	ortholog_one2one
ENSMUSG00000001098	ENSG00000110906	ortholog_one2one
ENSMUSG00000001119	ENSG00000142156	ortholog_one2one
ENSMUSG00000001128	ENSG00000126759	ortholog_one2one
ENSMUSG00000001131	ENSG00000102265	ortholog_one2one
ENSMUSG00000001156	ENSG00000059728	ortholog_one2one
ENSMUSG00000001173	ENSG00000122126	ortholog_one2one
ENSMUSG00000001227	ENSG00000167680	ortholog_one2one
ENSMUSG00000001240	ENSG00000131477	ortholog_one2one
ENSMUSG00000001270	ENSG00000166165	ortholog_one2one
ENSMUSG00000001281	ENSG00000139626	ortholog_one2one
ENSMUSG00000001300	ENSG00000125266	ortholog_one2one
ENSMUSG00000001348	ENSG00000102575	ortholog_one2one
ENSMUSG00000001349	ENSG00000130176	ortholog_one2one
ENSMUSG00000001403	ENSG00000175063	ortholog_one2one
ENSMUSG00000001444	ENSG00000073861	ortholog_one2one
ENSMUSG00000001473	ENSG00000176014	ortholog_one2one
ENSMUSG00000001493	ENSG00000005102	ortholog_one2one
ENSMUSG00000001504	ENSG00000170561	ortholog_one2one
ENSMUSG00000001506	ENSG00000108821	ortholog_one2one
ENSMUSG00000001520	ENSG00000053702	ortholog_one2one
ENSMUSG00000001542	ENSG00000118985	ortholog_one2one
ENSMUSG00000001622	ENSG00000171209	ortholog_one2one
ENSMUSG00000001627	ENSG00000006652	ortholog_one2one
ENSMUSG00000001741	ENSG00000172349	ortholog_one2one
ENSMUSG00000001773	ENSG00000086205	ortholog_one2one
ENSMUSG00000001827	ENSG00000110195	ortholog_one2one
ENSMUSG00000001865	ENSG00000163751	ortholog_one2one
ENSMUSG00000001870	ENSG00000049323	ortholog_one2one
ENSMUSG00000001911	ENSG00000008441	ortholog_one2one
ENSMUSG00000001918	ENSG00000105281	ortholog_one2one
ENSMUSG00000001930	ENSG00000110799	ortholog_one2one
ENSMUSG00000001943	ENSG00000019102	ortholog_one2one
ENSMUSG00000001946	ENSG00000149564	ortholog_one2one
ENSMUSG00000001964	ENSG00000102119	ortholog_one2one
ENSMUSG00000001985	ENSG00000163873	ortholog_one2one
ENSMUSG00000001986	ENSG00000125675	ortholog_one2one
ENSMUSG00000001995	ENSG00000116991	ortholog_one2one
ENSMUSG00000002007	ENSG00000184343	ortholog_one2one
ENSMUSG00000002020	ENSG00000119681	ortholog_one2one
ENSMUSG00000002033	ENSG00000160654	ortholog_one2one
ENSMUSG00000002100	ENSG00000134571	ortholog_one2one
ENSMUSG00000002104	ENSG00000165917	ortholog_one2one
ENSMUSG00000002107	ENSG00000048740	ortholog_one2one
ENSMUSG00000002111	ENSG00000066336	ortholog_one2one
ENSMUSG00000002204	ENSG00000131400	ortholog_one2one
ENSMUSG00000002233	ENSG00000155366	ortholog_one2one
ENSMUSG00000002257	ENSG00000023892	ortholog_one2one
ENSMUSG00000002289	ENSG00000167772	ortholog_one2one
ENSMUSG00000002458	ENSG00000171700	ortholog_one2one
ENSMUSG00000002475	ENSG00000158201	ortholog_one2one
ENSMUSG00000002489	ENSG00000156299	ortholog_one2one
ENSMUSG00000002602	ENSG00000167601	ortholog_one2one
ENSMUSG00000002603	ENSG00000105329	ortholog_one2one
