,Ensembl Gene ID,External Gene Name,NCBI Entrez ID,Description,associated_pathways
0,ENSMUSG00000000627,Sema4f,20355,"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]",
1,ENSMUSG00000000673,Haao,107766,"3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]",
2,ENSMUSG00000000730,Dnmt3l,54427,DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol;Acc:MGI:1859287],
3,ENSMUSG00000000731,Aire,11634,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy) [Source:MGI Symbol;Acc:MGI:1338803],
4,ENSMUSG00000000782,Tcf7,21414,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]",
5,ENSMUSG00000000791,Il12rb1,16161,"interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]",
6,ENSMUSG00000000861,Bcl11a,14025,B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190],
7,ENSMUSG00000000869,Il4,16189,interleukin 4 [Source:MGI Symbol;Acc:MGI:96556],
8,ENSMUSG00000001023,S100a5,20199,S100 calcium binding protein A5 [Source:MGI Symbol;Acc:MGI:1338915],
9,ENSMUSG00000001027,Scn4a,110880,"sodium channel, voltage-gated, type IV, alpha [Source:MGI Symbol;Acc:MGI:98250]",
10,ENSMUSG00000001128,Cfp,18636,complement factor properdin [Source:MGI Symbol;Acc:MGI:97545],
11,ENSMUSG00000001156,Mxd1,17119,MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908],
12,ENSMUSG00000001622,Csn3,12994,casein kappa [Source:MGI Symbol;Acc:MGI:107461],
13,ENSMUSG00000001773,Folh1,53320,folate hydrolase 1 [Source:MGI Symbol;Acc:MGI:1858193],
14,ENSMUSG00000001911,Nfix,18032,nuclear factor I/X [Source:MGI Symbol;Acc:MGI:97311],
15,ENSMUSG00000001943,Vsig2,57276,V-set and immunoglobulin domain containing 2 [Source:MGI Symbol;Acc:MGI:1928009],
16,ENSMUSG00000001964,Emd,13726,emerin [Source:MGI Symbol;Acc:MGI:108117],
17,ENSMUSG00000002100,Mybpc3,17868,"myosin binding protein C, cardiac [Source:MGI Symbol;Acc:MGI:102844]",
18,ENSMUSG00000002104,Rapsn,19400,receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422],
19,ENSMUSG00000002107,Celf2,14007,"CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]",
20,ENSMUSG00000002257,Def6,23853,differentially expressed in FDCP 6 [Source:MGI Symbol;Acc:MGI:1346328],
21,ENSMUSG00000002458,Rgs19,56470,regulator of G-protein signaling 19 [Source:MGI Symbol;Acc:MGI:1915153],
22,ENSMUSG00000002732,Fkbp7,14231,FK506 binding protein 7 [Source:MGI Symbol;Acc:MGI:1336879],
23,ENSMUSG00000002831,Plin4,57435,perilipin 4 [Source:MGI Symbol;Acc:MGI:1929709],
24,ENSMUSG00000002881,Nab1,17936,Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564],
25,ENSMUSG00000003420,Fcgrt,14132,Fc fragment of IgG receptor and transporter [Source:MGI Symbol;Acc:MGI:103017],
26,ENSMUSG00000004043,Stat5a,20850,signal transducer and activator of transcription 5A [Source:MGI Symbol;Acc:MGI:103036],
27,ENSMUSG00000004207,Psap,19156,prosaposin [Source:MGI Symbol;Acc:MGI:97783],
28,ENSMUSG00000004266,Ptpn6,15170,"protein tyrosine phosphatase, non-receptor type 6 [Source:MGI Symbol;Acc:MGI:96055]",
29,ENSMUSG00000004709,Cd244a,18106,CD244 molecule A [Source:MGI Symbol;Acc:MGI:109294],
30,ENSMUSG00000004939,Nmrk2,69564,nicotinamide riboside kinase 2 [Source:MGI Symbol;Acc:MGI:1916814],
31,ENSMUSG00000005054,Cstb,13014,cystatin B [Source:MGI Symbol;Acc:MGI:109514],
32,ENSMUSG00000005057,Sh2b2,23921,SH2B adaptor protein 2 [Source:MGI Symbol;Acc:MGI:1345171],
33,ENSMUSG00000005089,Slc1a2,20511,"solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:MGI Symbol;Acc:MGI:101931]",
34,ENSMUSG00000005142,Man2b1,17159,"mannosidase 2, alpha B1 [Source:MGI Symbol;Acc:MGI:107286]",
35,ENSMUSG00000005360,Slc1a3,20512,"solute carrier family 1 (glial high affinity glutamate transporter), member 3 [Source:MGI Symbol;Acc:MGI:99917]",
36,ENSMUSG00000005474,Myl10,59310,"myosin, light chain 10, regulatory [Source:MGI Symbol;Acc:MGI:1891705]",
37,ENSMUSG00000005824,Tnfsf14,50930,"tumor necrosis factor (ligand) superfamily, member 14 [Source:MGI Symbol;Acc:MGI:1355317]",
38,ENSMUSG00000006522,Itih3,16426,"inter-alpha trypsin inhibitor, heavy chain 3 [Source:MGI Symbol;Acc:MGI:96620]",
39,ENSMUSG00000006529,Itih1,16424,"inter-alpha trypsin inhibitor, heavy chain 1 [Source:MGI Symbol;Acc:MGI:96618]",
40,ENSMUSG00000006574,Slc4a1,20533,"solute carrier family 4 (anion exchanger), member 1 [Source:MGI Symbol;Acc:MGI:109393]",
41,ENSMUSG00000006782,Cnp,12799,"2',3'-cyclic nucleotide 3' phosphodiesterase [Source:MGI Symbol;Acc:MGI:88437]",
42,ENSMUSG00000007379,Dennd2c,329727,DENN domain containing 2C [Source:MGI Symbol;Acc:MGI:3036254],
43,ENSMUSG00000008193,Spib,272382,Spi-B transcription factor (Spi-1/PU.1 related) [Source:MGI Symbol;Acc:MGI:892986],
44,ENSMUSG00000008999,Bmp7,12162,bone morphogenetic protein 7 [Source:MGI Symbol;Acc:MGI:103302],
45,ENSMUSG00000009350,Mpo,17523,myeloperoxidase [Source:MGI Symbol;Acc:MGI:97137],
46,ENSMUSG00000009628,Tex15,104271,testis expressed gene 15 [Source:MGI Symbol;Acc:MGI:1934816],
47,ENSMUSG00000010095,Slc3a2,17254,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]",
48,ENSMUSG00000010797,Wnt2,22413,"wingless-type MMTV integration site family, member 2 [Source:MGI Symbol;Acc:MGI:98954]",
49,ENSMUSG00000011008,Mcoln2,68279,mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529],
50,ENSMUSG00000013584,Aldh1a2,19378,"aldehyde dehydrogenase family 1, subfamily A2 [Source:MGI Symbol;Acc:MGI:107928]",
51,ENSMUSG00000014030,Pax5,18507,paired box 5 [Source:MGI Symbol;Acc:MGI:97489],
52,ENSMUSG00000014351,Gip,14607,gastric inhibitory polypeptide [Source:MGI Symbol;Acc:MGI:107504],
53,ENSMUSG00000014547,Wdfy2,268752,WD repeat and FYVE domain containing 2 [Source:MGI Symbol;Acc:MGI:2442811],
54,ENSMUSG00000014609,Chrne,11448,"cholinergic receptor, nicotinic, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:87894]",
55,ENSMUSG00000015133,Lrrk1,233328,leucine-rich repeat kinase 1 [Source:MGI Symbol;Acc:MGI:2142227],
56,ENSMUSG00000015354,Pcolce2,76477,procollagen C-endopeptidase enhancer 2 [Source:MGI Symbol;Acc:MGI:1923727],
57,ENSMUSG00000015854,Cd5l,11801,CD5 antigen-like [Source:MGI Symbol;Acc:MGI:1334419],
58,ENSMUSG00000016239,Lonrf3,74365,LON peptidase N-terminal domain and ring finger 3 [Source:MGI Symbol;Acc:MGI:1921615],
