Gene stable ID	Mouse gene stable ID	Mouse homology type	Gene name
ENSG00000198888	ENSMUSG00000064341	ortholog_one2one	MT-ND1
ENSG00000198763	ENSMUSG00000064345	ortholog_one2one	MT-ND2
ENSG00000198804	ENSMUSG00000064351	ortholog_one2one	MT-CO1
ENSG00000198712	ENSMUSG00000064354	ortholog_one2one	MT-CO2
ENSG00000228253	ENSMUSG00000064356	ortholog_one2one	MT-ATP8
ENSG00000198899	ENSMUSG00000064357	ortholog_one2one	MT-ATP6
ENSG00000198938	ENSMUSG00000064358	ortholog_one2one	MT-CO3
ENSG00000198840	ENSMUSG00000064360	ortholog_one2one	MT-ND3
ENSG00000212907	ENSMUSG00000065947	ortholog_one2one	MT-ND4L
ENSG00000198886	ENSMUSG00000064363	ortholog_one2one	MT-ND4
ENSG00000198786	ENSMUSG00000064367	ortholog_one2one	MT-ND5
ENSG00000198695	ENSMUSG00000064368	ortholog_one2one	MT-ND6
ENSG00000198727	ENSMUSG00000064370	ortholog_one2one	MT-CYB
ENSG00000275987	ENSMUSG00000087949	ortholog_one2many	U1
ENSG00000275405			U1
ENSG00000277374	ENSMUSG00000088258	ortholog_one2many	U1
ENSG00000281934			PRAMEF11
ENSG00000282175			HNRNPCL1
ENSG00000282817			PRAMEF2
ENSG00000282584			PRAMEF4
ENSG00000282663			PRAMEF10
ENSG00000279195			PRAMEF7
ENSG00000282119			PRAMEF6
ENSG00000281987			PRAMEF26
ENSG00000282298			PRAMEF9
ENSG00000282741			PRAMEF13
ENSG00000282212			PRAMEF18
ENSG00000282424			PRAMEF5
ENSG00000282583			PRAMEF8
ENSG00000262647			OR9G4
ENSG00000261958			OR9G1
ENSG00000288263			GRK1
ENSG00000291426			TOLLIP
ENSG00000291428			BRSK2
ENSG00000291431			DUSP8
ENSG00000291432			KRTAP5-AS1
ENSG00000291433			KRTAP5-1
ENSG00000291434			KRTAP5-2
ENSG00000291435			KRTAP5-3
ENSG00000291440			KRTAP5-4
ENSG00000291443			KRTAP5-5
ENSG00000291438			FAM99B
ENSG00000291442			MOB2
ENSG00000237048			TTTY12
ENSG00000147761			TTTY7B
ENSG00000131538			TTTY6
ENSG00000183704			SLC9B1P1
ENSG00000239225			TTTY23
ENSG00000147753			TTTY7
ENSG00000286217			LINC00279
ENSG00000169789			PRY
ENSG00000212856			TTTY2B
ENSG00000228890			TTTY21
ENSG00000114374	ENSMUSG00000069044	ortholog_one2one	USP9Y
ENSG00000291453			TTTY20
