Unnamed: 0,Ensembl Gene ID,External Gene Name,NCBI Entrez ID,Description,associated_pathways
0,ENSMUSG00000000627,Sema4f,20355.0,"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]",
1,ENSMUSG00000000673,Haao,107766.0,"3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]",
2,ENSMUSG00000000730,Dnmt3l,54427.0,DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol;Acc:MGI:1859287],
3,ENSMUSG00000000731,Aire,11634.0,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy) [Source:MGI Symbol;Acc:MGI:1338803],
4,ENSMUSG00000000782,Tcf7,21414.0,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]",
5,ENSMUSG00000000791,Il12rb1,16161.0,"interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]",
6,ENSMUSG00000000861,Bcl11a,14025.0,B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190],
7,ENSMUSG00000000869,Il4,16189.0,interleukin 4 [Source:MGI Symbol;Acc:MGI:96556],
8,ENSMUSG00000001023,S100a5,20199.0,S100 calcium binding protein A5 [Source:MGI Symbol;Acc:MGI:1338915],
9,ENSMUSG00000001027,Scn4a,110880.0,"sodium channel, voltage-gated, type IV, alpha [Source:MGI Symbol;Acc:MGI:98250]",
10,ENSMUSG00000001128,Cfp,18636.0,complement factor properdin [Source:MGI Symbol;Acc:MGI:97545],
11,ENSMUSG00000001156,Mxd1,17119.0,MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908],
12,ENSMUSG00000001622,Csn3,12994.0,casein kappa [Source:MGI Symbol;Acc:MGI:107461],
13,ENSMUSG00000001773,Folh1,53320.0,folate hydrolase 1 [Source:MGI Symbol;Acc:MGI:1858193],
14,ENSMUSG00000001911,Nfix,18032.0,nuclear factor I/X [Source:MGI Symbol;Acc:MGI:97311],
15,ENSMUSG00000001943,Vsig2,57276.0,V-set and immunoglobulin domain containing 2 [Source:MGI Symbol;Acc:MGI:1928009],
16,ENSMUSG00000001964,Emd,13726.0,emerin [Source:MGI Symbol;Acc:MGI:108117],
17,ENSMUSG00000002100,Mybpc3,17868.0,"myosin binding protein C, cardiac [Source:MGI Symbol;Acc:MGI:102844]",
18,ENSMUSG00000002104,Rapsn,19400.0,receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422],
19,ENSMUSG00000002107,Celf2,14007.0,"CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]",
20,ENSMUSG00000002257,Def6,23853.0,differentially expressed in FDCP 6 [Source:MGI Symbol;Acc:MGI:1346328],
21,ENSMUSG00000002458,Rgs19,56470.0,regulator of G-protein signaling 19 [Source:MGI Symbol;Acc:MGI:1915153],
22,ENSMUSG00000002732,Fkbp7,14231.0,FK506 binding protein 7 [Source:MGI Symbol;Acc:MGI:1336879],
23,ENSMUSG00000002831,Plin4,57435.0,perilipin 4 [Source:MGI Symbol;Acc:MGI:1929709],
24,ENSMUSG00000002881,Nab1,17936.0,Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564],
25,ENSMUSG00000003420,Fcgrt,14132.0,Fc fragment of IgG receptor and transporter [Source:MGI Symbol;Acc:MGI:103017],
26,ENSMUSG00000004043,Stat5a,20850.0,signal transducer and activator of transcription 5A [Source:MGI Symbol;Acc:MGI:103036],
27,ENSMUSG00000004207,Psap,19156.0,prosaposin [Source:MGI Symbol;Acc:MGI:97783],
28,ENSMUSG00000004266,Ptpn6,15170.0,"protein tyrosine phosphatase, non-receptor type 6 [Source:MGI Symbol;Acc:MGI:96055]",
29,ENSMUSG00000004709,Cd244a,18106.0,CD244 molecule A [Source:MGI Symbol;Acc:MGI:109294],
30,ENSMUSG00000004939,Nmrk2,69564.0,nicotinamide riboside kinase 2 [Source:MGI Symbol;Acc:MGI:1916814],
31,ENSMUSG00000005054,Cstb,13014.0,cystatin B [Source:MGI Symbol;Acc:MGI:109514],
32,ENSMUSG00000005057,Sh2b2,23921.0,SH2B adaptor protein 2 [Source:MGI Symbol;Acc:MGI:1345171],
33,ENSMUSG00000005089,Slc1a2,20511.0,"solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:MGI Symbol;Acc:MGI:101931]",
34,ENSMUSG00000005142,Man2b1,17159.0,"mannosidase 2, alpha B1 [Source:MGI Symbol;Acc:MGI:107286]",
35,ENSMUSG00000005360,Slc1a3,20512.0,"solute carrier family 1 (glial high affinity glutamate transporter), member 3 [Source:MGI Symbol;Acc:MGI:99917]",
36,ENSMUSG00000005474,Myl10,59310.0,"myosin, light chain 10, regulatory [Source:MGI Symbol;Acc:MGI:1891705]",
37,ENSMUSG00000005824,Tnfsf14,50930.0,"tumor necrosis factor (ligand) superfamily, member 14 [Source:MGI Symbol;Acc:MGI:1355317]",
38,ENSMUSG00000006522,Itih3,16426.0,"inter-alpha trypsin inhibitor, heavy chain 3 [Source:MGI Symbol;Acc:MGI:96620]",
39,ENSMUSG00000006529,Itih1,16424.0,"inter-alpha trypsin inhibitor, heavy chain 1 [Source:MGI Symbol;Acc:MGI:96618]",
40,ENSMUSG00000006574,Slc4a1,20533.0,"solute carrier family 4 (anion exchanger), member 1 [Source:MGI Symbol;Acc:MGI:109393]",
41,ENSMUSG00000006782,Cnp,12799.0,"2',3'-cyclic nucleotide 3' phosphodiesterase [Source:MGI Symbol;Acc:MGI:88437]",
42,ENSMUSG00000007379,Dennd2c,329727.0,DENN domain containing 2C [Source:MGI Symbol;Acc:MGI:3036254],
43,ENSMUSG00000008193,Spib,272382.0,Spi-B transcription factor (Spi-1/PU.1 related) [Source:MGI Symbol;Acc:MGI:892986],
44,ENSMUSG00000008999,Bmp7,12162.0,bone morphogenetic protein 7 [Source:MGI Symbol;Acc:MGI:103302],
